,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2020-09-14,Mon,1,Home,L 0–2,Sheffield Utd,Wolves,Y,"WB,LB",90,0,0,0,0,1,0,0,0,74,3,1,2,0.1,0.1,0.0,1,0,55,62,8,36,1,3,2,1065,441,24,26,20,21,10,13,0.1,0,10,5,0,51,10,0,0,0,1,10,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,2,5,3,0,2,2,0,2,13,33,30,2,144.0,85.0,3,0,1,1,40,2,0,13,0,6.9,2.6,13.2,2020-09-14 17:00:00+00:00,90,0,1,0,340758,6.0,1,0,0,0,55,2020-09-14
1,2020-09-21,Mon,2,Away,L 0–1,Sheffield Utd,Aston Villa,Y,"LB,WB",90,0,0,0,0,0,0,0,0,39,0,2,0,0.0,0.0,0.0,0,0,17,29,2,6,2,2,2,274,167,8,10,7,14,1,3,0.0,0,1,0,0,19,10,0,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,5,14,22,4,0,66.0,61.0,2,0,1,1,10,0,0,11,0,0.3,1.4,13.2,2020-09-21 17:00:00+00:00,90,0,2,0,306284,0.0,2,-42400,5284,47684,55,2020-09-21
2,2020-09-27,Sun,3,Home,L 0–1,Sheffield Utd,Leeds United,Y,WB,90,0,0,0,0,1,1,0,0,49,6,0,1,0.0,0.0,0.0,2,0,24,33,4,20,2,2,2,289,137,18,21,4,7,1,2,0.0,0,2,0,0,33,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,5,5,1,0,2,2,0,1,0,5,0,6,19,23,8,1,101.0,49.0,2,0,2,2,22,2,0,19,0,1.8,4.1,29.8,2020-09-27 11:00:00+00:00,90,0,3,0,264639,9.0,2,-44946,4071,49017,55,2020-09-27
3,2020-10-04,Sun,4,Away,L 1–2,Sheffield Utd,Arsenal,Y,"WB,LB",90,0,0,0,0,1,0,0,0,65,4,2,1,0.0,0.0,0.0,0,0,39,51,4,27,0,0,0,545,171,20,25,12,15,2,4,0.0,0,4,1,0,47,3,0,0,0,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,2,0,0,1,2,0,3,12,28,25,1,97.0,43.0,0,0,1,0,38,4,0,13,0,4.6,3.1,16.2,2020-10-04 13:00:00+00:00,90,0,4,0,224544,10.0,1,-41947,1296,43243,54,2020-10-04
4,2020-10-18,Sun,5,Home,D 1–1,Sheffield Utd,Fulham,Y,"WB,CB",90,0,0,0,0,1,1,0,0,54,2,0,2,0.1,0.1,0.0,1,1,35,44,1,20,2,4,1,487,175,22,26,11,14,1,2,0.0,0,5,0,0,41,2,0,0,0,2,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,2,0,2,3,1,0,2,2,0,2,11,30,14,2,91.0,48.0,0,2,0,0,33,4,0,9,0,2.6,3.7,15.4,2020-10-18 11:00:00+00:00,90,0,5,0,202683,19.0,2,-25491,5038,30529,54,2020-10-18
5,2020-10-24,Sat,6,Away,L 1–2,Sheffield Utd,Liverpool,Y,CB,90,0,0,0,0,2,0,1,0,76,4,0,3,0.1,0.1,0.1,3,0,44,55,7,23,2,0,0,723,343,24,28,17,21,3,5,0.0,1,3,1,0,50,5,0,0,0,0,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,2,3,1,1,2,8,0,11,33,26,17,3,129.0,86.0,1,0,1,0,35,1,0,9,0,12.9,4.7,24.6,2020-10-24 19:00:00+00:00,90,0,6,0,177038,9.0,0,-24779,504,25283,54,2020-10-24
6,2020-10-31,Sat,7,Home,L 0–1,Sheffield Utd,Manchester City,Y,"CB,LB",90,0,0,0,0,0,0,0,0,64,4,1,1,0.0,0.0,0.0,0,0,47,51,5,40,0,0,0,784,296,24,26,20,20,3,5,0.0,0,6,0,0,49,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,1,2,2,0,0,1,3,0,6,28,29,7,1,149.0,79.0,0,0,2,0,39,2,0,19,0,1.8,2.0,16.4,2020-10-31 12:30:00+00:00,90,0,7,0,159365,2.0,2,-18807,522,19329,53,2020-10-31
7,2020-11-07,Sat,8,Away,L 1–4,Sheffield Utd,Chelsea,Y,CB,90,0,0,0,0,0,0,0,0,43,0,0,2,0.0,0.0,0.0,1,0,29,36,3,14,0,0,0,450,212,17,19,9,11,3,6,0.0,0,2,1,0,33,3,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,7,23,19,1,0,83.0,43.0,0,0,0,0,18,0,0,14,0,0.8,1.2,11.6,2020-11-07 17:30:00+00:00,90,0,8,0,147117,0.0,0,-12529,424,12953,53,2020-11-07
8,2020-12-13,Sun,12,Away,L 0–3,Sheffield Utd,Southampton,Y,LB,90,0,0,0,0,0,0,1,0,53,1,2,2,0.0,0.0,0.1,2,0,32,43,3,24,1,0,0,443,269,24,25,7,13,1,3,0.1,1,1,2,1,29,14,0,0,0,5,14,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,2,2,0,5,9,23,21,1,77.0,43.0,0,0,0,2,24,4,0,4,0,16.1,2.8,9.8,2020-12-13 12:00:00+00:00,90,0,12,0,97055,2.0,0,-5437,146,5583,51,2020-12-13
9,2020-12-17,Thu,13,Home,L 2–3,Sheffield Utd,Manchester Utd,Y,LB,90,0,0,0,0,0,0,0,0,47,2,0,1,0.0,0.0,0.0,0,0,27,40,5,16,0,0,0,417,220,16,18,9,13,2,8,0.0,0,2,1,0,36,3,0,0,0,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,2,0,1,0,1,0,2,10,16,21,1,58.0,17.0,0,0,2,2,31,4,0,8,0,3.3,1.8,12.4,2020-12-17 20:00:00+00:00,90,0,13,0,93518,2.0,1,-3631,126,3757,51,2020-12-17
