,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2022-01-15,Sat,22,Away,D 1–1,Watford,Newcastle Utd,Y,LB,90,0,0,0,0,0,0,0,0,71,3,5,1,0.0,0.0,0.0,2,0,41,60,3,26,4,2,2,709,322,20,25,17,25,4,10,0.0,1,1,2,1,47,13,2,0,0,2,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,1,1,0,1,2,0,3,40,25,8,1,188.0,103.0,2,0,0,0,30,1,0,18,0,15.1,4.0,22.6,2022-01-15 15:00:00+00:00,90,0,22,0,4202,2.0,2,1706,2247,541,45,2022-01-15
1,2022-01-21,Fri,23,Home,L 0–3,Watford,Norwich City,Y,LB,83,0,0,0,0,0,0,0,0,69,1,0,1,0.0,0.0,0.0,1,0,49,63,4,45,4,1,1,816,261,24,27,17,25,6,7,0.0,0,3,0,0,56,7,0,0,0,4,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,27,27,15,2,223.0,107.0,1,0,1,0,49,5,0,13,0,3.0,1.0,3.0,2022-01-21 20:00:00+00:00,83,0,23,0,12921,4.0,1,10395,11146,751,45,2022-01-21
2,2022-02-05,Sat,17,Away,D 0–0,Watford,Burnley,Y,LB,90,0,0,0,0,0,0,0,0,74,4,5,1,0.0,0.0,0.1,2,0,33,58,3,40,2,1,1,567,376,16,18,8,16,6,18,0.1,2,3,1,0,45,13,1,1,0,5,12,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,2,2,0,1,0,1,0,5,25,43,6,0,210.0,96.0,1,0,1,1,29,0,3,33,1,23.6,4.9,25.8,2022-02-05 18:00:00+00:00,90,0,23,0,12921,0.0,9,10395,11146,751,45,2022-02-05
3,2022-02-08,Tue,24,Away,L 0–1,Watford,West Ham,Y,LB,90,0,0,0,0,1,0,0,0,79,4,4,3,0.0,0.0,0.1,1,0,33,53,3,23,0,1,0,490,288,18,23,11,19,2,9,0.3,1,2,1,0,44,9,0,0,0,2,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,2,1,1,3,6,3,1,2,10,0,7,42,29,8,1,100.0,27.0,0,0,1,0,25,3,0,26,0,14.9,5.4,35.6,2022-02-08 19:45:00+00:00,90,0,24,0,10609,3.0,2,-1854,1140,2994,45,2022-02-08
4,2022-02-12,Sat,25,Home,L 0–2,Watford,Brighton,Y,LB,90,0,0,0,0,0,0,1,0,54,3,2,2,0.0,0.0,0.0,1,0,25,41,2,22,0,1,0,449,263,10,13,13,20,2,8,0.0,0,3,0,0,29,12,0,0,0,0,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,2,2,0,0,2,1,0,2,24,24,7,0,102.0,17.0,1,0,2,2,21,1,0,2,0,0.8,0.9,8.2,2022-02-12 15:00:00+00:00,90,0,25,0,11736,0.0,0,836,2442,1606,45,2022-02-12
5,2022-02-19,Sat,26,Away,W 1–0,Watford,Aston Villa,Y,LB,90,0,0,0,0,0,0,1,0,87,3,4,1,0.0,0.0,0.0,0,0,57,73,8,48,1,1,0,873,467,33,34,22,27,2,7,0.0,0,3,0,0,53,20,2,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,2,2,0,0,1,4,0,4,40,40,7,1,205.0,95.0,0,0,0,0,42,1,0,22,1,1.4,2.0,16.8,2022-02-19 15:00:00+00:00,90,0,26,0,11926,2.0,5,-837,1502,2339,45,2022-02-19
6,2022-02-23,Wed,18,Home,L 1–4,Watford,Crystal Palace,Y,LB,90,0,0,0,0,0,0,0,0,78,2,4,0,0.0,0.0,0.3,2,0,45,65,4,33,3,2,0,745,252,20,23,23,29,2,9,0.1,2,5,1,0,52,12,0,0,0,2,12,0,1,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,3,0,3,40,28,12,0,238.0,141.0,3,0,1,0,38,2,0,17,0,22.1,3.9,16.4,2022-02-23 19:30:00+00:00,90,0,26,0,11926,0.0,0,-837,1502,2339,45,2022-02-23
7,2022-02-26,Sat,27,Away,D 0–0,Watford,Manchester Utd,Y,LB,90,0,0,0,0,1,0,0,0,61,2,3,3,0.0,0.0,0.0,2,0,31,43,1,25,1,4,3,438,186,25,26,5,8,1,7,0.0,0,3,0,0,35,7,0,0,0,0,7,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,2,5,3,0,3,7,0,8,31,22,8,1,82.0,35.0,0,1,2,1,23,1,0,26,1,0.8,2.1,17.6,2022-02-26 15:00:00+00:00,90,0,27,0,9094,3.0,6,-1255,568,1823,45,2022-02-26
8,2022-03-06,Sun,28,Home,L 2–3,Watford,Arsenal,Y,LB,90,0,0,0,0,1,0,0,0,97,5,7,1,0.0,0.0,0.0,1,0,58,77,4,39,2,1,1,847,360,36,45,19,21,2,8,0.0,1,1,1,1,62,15,0,0,0,1,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,2,3,1,0,1,3,0,7,50,33,14,2,160.0,73.0,1,1,0,0,42,2,0,19,0,16.1,5.0,28.0,2022-03-06 14:00:00+00:00,90,0,28,0,10767,6.0,1,193,1825,1632,45,2022-03-06
9,2022-03-10,Thu,19,Away,L 0–4,Watford,Wolves,Y,LB,90,0,0,0,0,0,0,0,0,62,5,3,0,0.0,0.0,0.0,0,0,39,47,2,32,1,2,1,552,221,29,31,9,12,1,1,0.0,0,0,0,0,39,7,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,4,5,1,0,0,2,0,2,26,28,8,0,176.0,95.0,2,0,0,0,29,2,0,16,0,1.4,2.0,18.4,2022-03-10 19:30:00+00:00,90,0,28,0,10767,0.0,0,193,1825,1632,45,2022-03-10
10,2022-03-13,Sun,29,Away,W 2–1,Watford,Southampton,Y,LB,90,0,0,0,0,0,0,0,0,53,3,3,0,0.0,0.0,0.0,1,0,23,40,4,15,0,0,0,516,234,6,9,10,17,7,13,0.0,1,4,0,0,30,10,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,1,2,1,0,0,4,0,6,23,24,6,0,95.0,38.0,0,0,2,0,22,0,0,15,0,11.1,2.7,15.4,2022-03-13 14:00:00+00:00,90,0,29,0,8352,0.0,2,-1519,440,1959,45,2022-03-13
11,2022-04-02,Sat,31,Away,L 0–2,Watford,Liverpool,Y,LB,90,0,0,0,0,0,0,0,0,61,7,4,3,0.0,0.0,0.0,0,0,21,39,2,17,3,3,1,282,171,13,18,4,10,2,6,0.0,0,3,0,0,32,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,1,2,3,1,1,2,4,0,7,35,22,5,0,201.0,121.0,0,0,1,0,17,0,0,11,0,1.0,3.0,29.0,2022-04-02 11:30:00+00:00,90,0,31,0,7036,0.0,1,-575,210,785,45,2022-04-02
12,2022-04-09,Sat,32,Home,L 0–3,Watford,Leeds United,Y,LB,90,0,0,0,0,0,0,0,0,80,4,2,0,0.0,0.0,0.0,2,0,47,64,4,28,3,3,1,700,439,29,37,14,18,3,6,0.0,1,4,0,0,44,20,1,0,0,0,19,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,1,3,0,3,3,0,0,0,8,0,4,36,34,11,0,175.0,104.0,0,0,1,1,24,0,0,22,0,11.6,3.8,26.8,2022-04-09 14:00:00+00:00,90,0,32,0,7117,0.0,1,3,425,422,45,2022-04-09
13,2022-04-16,Sat,33,Home,L 1–2,Watford,Brentford,Y,LB,90,0,0,0,0,0,0,1,0,62,2,5,1,0.0,0.0,0.1,1,0,38,48,4,26,3,1,0,612,281,22,24,12,15,3,6,0.0,1,6,3,2,41,7,0,0,0,2,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,2,0,1,3,0,3,25,29,8,0,146.0,79.0,0,0,0,0,28,1,0,12,0,19.6,4.0,20.4,2022-04-16 14:00:00+00:00,90,0,33,0,8031,0.0,0,877,1589,712,45,2022-04-16
14,2022-04-23,Sat,34,Away,L 1–5,Watford,Manchester City,Y,LB,90,1,0,0,0,1,1,0,0,41,1,4,0,0.1,0.1,0.0,0,0,19,33,1,29,0,3,2,299,155,10,14,7,9,1,6,0.0,0,2,0,0,29,4,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,0,0,3,0,3,21,19,4,1,152.0,103.0,0,0,0,0,21,1,0,22,0,6.6,7.2,48.0,2022-04-23 14:00:00+00:00,90,0,34,0,6920,17.0,6,-1175,392,1567,45,2022-04-23
15,2022-04-30,Sat,35,Home,L 1–2,Watford,Burnley,Y,LB,90,0,0,0,0,0,0,0,0,49,0,2,1,0.0,0.0,0.0,1,0,26,39,2,24,2,0,0,387,171,14,16,10,12,1,9,0.0,0,1,0,0,33,6,0,0,0,2,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,6,21,21,7,0,154.0,42.0,1,0,1,0,23,2,0,12,0,1.3,1.5,13.2,2022-04-30 14:00:00+00:00,90,0,35,0,11596,0.0,1,4293,5350,1057,45,2022-04-30
16,2022-05-07,Sat,36,Away,L 0–1,Watford,Crystal Palace,Y,LB,68,0,0,0,0,1,0,2,1,42,1,2,2,0.0,0.0,0.0,1,0,19,31,0,23,2,2,1,313,170,9,11,8,12,2,5,0.0,0,0,0,0,24,7,0,0,0,3,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,0,2,3,0,2,18,15,10,0,115.0,66.0,2,0,1,0,15,2,0,-3,0,1.0,0.5,0.0,2022-05-07 14:00:00+00:00,67,0,36,0,12753,8.0,-1,954,3169,2215,45,2022-05-07
17,2022-05-15,Sun,37,Home,L 1–5,Watford,Leicester City,N,WB,45,0,0,0,0,0,0,0,0,27,1,3,0,0.0,0.0,0.0,0,0,16,21,2,14,0,2,1,288,84,8,9,7,8,1,2,0.0,0,0,0,0,14,6,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,3,13,11,0,77.0,17.0,0,0,1,1,15,1,0,5,0,1.1,0.8,6.8,2022-05-15 13:00:00+00:00,45,0,37,0,10187,0.0,0,-1559,747,2306,45,2022-05-15
18,2022-05-22,Sun,38,Away,L 1–2,Watford,Chelsea,Y,LB,77,0,0,0,0,0,0,0,0,35,2,7,0,0.0,0.0,0.0,0,0,17,22,2,20,1,0,0,257,163,10,13,7,8,0,0,0.0,0,3,1,0,16,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,5,0,5,20,12,3,0,123.0,44.0,0,0,1,0,12,0,0,11,0,0.0,0.0,0.0,2022-05-22 15:00:00+00:00,77,0,38,0,9065,0.0,2,-1709,91,1800,45,2022-05-22
