,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2018-08-12,Sun,1,Home,D 0–0,Southampton,Burnley,Y,CB,90,0,0,0,0,1,0,0,0,48,2,0,0,0.0,0.0,0.0,0,0,29,41,4,22,1,0,0,527,257,11,12,15,17,3,10,0.0,0,2,0,0,37,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,2,0,0,0,5,1,3,22,22,4,0,100.0,57.0,2,0,0,0,28,0,0,22,1,1.1,1.1,8.6,2018-08-12 12:30:00+00:00,90,0,1,0,19002,1.0,6,0,0,0,45,2018-08-12
1,2018-08-18,Sat,2,Away,L 1–2,Southampton,Everton,Y,CB,90,0,0,0,0,0,0,1,0,52,0,1,1,0.0,0.0,0.0,1,0,25,44,4,23,0,2,2,604,345,7,12,12,17,5,13,0.0,0,4,1,0,42,2,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,6,27,25,0,0,166.0,129.0,0,0,0,1,24,0,0,7,0,0.3,1.7,16.6,2018-08-18 14:00:00+00:00,90,0,2,0,24699,0.0,0,1884,3731,1847,45,2018-08-18
2,2018-08-25,Sat,3,Home,L 1–2,Southampton,Leicester City,Y,CB,90,0,0,0,0,0,0,0,0,63,2,2,1,0.0,0.0,0.0,2,0,46,54,8,38,1,1,1,1003,489,14,15,26,31,6,8,0.0,1,8,0,0,52,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,1,0,1,2,1,6,17,45,1,0,156.0,98.0,0,0,0,1,41,0,0,12,0,11.5,2.6,14.0,2018-08-25 14:00:00+00:00,90,0,3,0,22946,0.0,1,-2065,1375,3440,45,2018-08-25
3,2018-09-01,Sat,4,Away,W 2–0,Southampton,Crystal Palace,Y,CB,90,0,0,0,0,0,0,0,0,53,1,1,4,0.0,0.0,0.0,1,1,33,40,3,27,0,0,0,733,242,8,8,20,23,5,8,0.0,0,1,0,0,37,3,3,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4,0,5,0,8,22,31,0,0,129.0,88.0,0,0,0,0,29,0,0,27,1,0.5,3.2,31.0,2018-09-01 14:00:00+00:00,90,0,4,0,21570,0.0,6,-1770,840,2610,45,2018-09-01
4,2018-09-17,Mon,5,Home,D 2–2,Southampton,Brighton,Y,CB,90,0,0,0,0,1,0,0,0,79,2,2,1,0.1,0.1,0.0,0,0,59,69,2,42,0,0,0,1311,440,16,16,29,33,13,18,0.0,0,1,0,0,67,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,1,3,0,3,37,42,1,1,183.0,117.0,0,0,0,1,55,0,0,8,0,0.8,2.1,13.2,2018-09-17 19:00:00+00:00,90,0,5,0,22163,7.0,1,-83,1656,1739,45,2018-09-17
5,2018-09-22,Sat,6,Away,L 0–3,Southampton,Liverpool,Y,CB,90,0,0,0,0,0,0,0,0,53,4,3,0,0.0,0.0,0.0,0,0,29,35,4,18,0,0,0,854,243,4,4,14,16,11,15,0.0,0,5,0,0,31,4,4,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,2,3,1,0,0,11,0,8,26,27,0,0,96.0,56.0,0,0,1,0,23,0,0,11,0,0.6,2.3,22.0,2018-09-22 14:00:00+00:00,90,1,6,0,20657,0.0,-1,-1491,273,1764,45,2018-09-22
6,2018-09-29,Sat,7,Away,L 0–2,Southampton,Wolves,Y,CB,90,0,0,0,0,0,0,0,0,70,5,2,1,0.0,0.0,0.0,0,0,47,58,3,29,0,0,0,924,371,12,15,30,32,4,9,0.0,0,1,0,0,57,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,2,0,2,4,2,1,0,4,0,6,31,35,4,1,122.0,64.0,1,0,0,0,43,0,0,14,0,0.8,3.0,27.6,2018-09-29 14:00:00+00:00,90,0,7,0,19504,2.0,1,-1261,207,1468,45,2018-09-29
7,2018-10-07,Sun,8,Home,L 0–3,Southampton,Chelsea,Y,CB,90,0,0,0,0,2,0,0,0,68,4,3,3,0.1,0.1,0.0,1,0,38,49,4,27,0,0,0,865,298,10,11,24,27,4,11,0.0,0,1,0,0,47,2,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,4,4,0,3,0,8,0,15,31,35,2,2,121.0,42.0,0,0,0,0,42,0,0,17,0,0.3,4.6,37.4,2018-10-07 13:15:00+00:00,90,0,8,0,18583,8.0,1,-990,116,1106,44,2018-10-07
8,2018-10-20,Sat,9,Away,D 0–0,Southampton,Bournemouth,Y,CB,90,0,0,0,0,0,0,0,0,57,0,2,2,0.0,0.0,0.0,0,0,28,41,3,16,1,0,0,701,312,5,6,16,19,7,15,0.0,0,2,0,0,38,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,5,25,34,1,1,125.0,70.0,0,0,0,0,17,0,2,29,1,0.3,2.3,20.6,2018-10-20 14:00:00+00:00,90,0,9,0,17711,2.0,8,-971,219,1190,44,2018-10-20
9,2018-10-27,Sat,10,Home,D 0–0,Southampton,Newcastle Utd,Y,CB,90,0,0,0,0,0,0,0,0,58,3,1,1,0.0,0.0,0.0,1,0,33,45,3,20,0,1,1,615,165,11,15,19,22,2,6,0.0,0,3,0,0,43,2,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,3,4,1,1,0,7,0,7,28,31,0,0,146.0,101.0,0,0,0,0,28,0,1,27,1,0.8,2.9,28.4,2018-10-27 14:00:00+00:00,90,0,10,0,18650,0.0,7,574,1032,458,44,2018-10-27
