,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-12,Sat,1,Away,W 1–0,Crystal Palace,Sheffield Utd,Y,CB,90,0,0,0,0,2,2,0,0,99,3,0,1,0.2,0.2,0.1,5,0,78,86,10,69,4,2,2,1942,830,15,18,48,50,15,16,0.1,2,8,1,0,85,0,0,1,2,1,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,2,0,1,0,6,0,8,41,52,7,2,517.0,390.0,1,0,0,0,68,0,3,31,1,24.9,10.8,41.2,2023-08-12 14:00:00+00:00,90,0,1,0,60908,42.0,9,0,0,0,45,2023-08-12
1,2023-08-21,Mon,2,Home,L 0–1,Crystal Palace,Arsenal,Y,CB,90,0,0,0,0,0,0,0,0,80,1,1,1,0.0,0.0,0.0,2,0,63,73,10,43,1,1,1,1427,308,20,21,32,33,11,18,0.0,0,11,0,0,67,6,6,0,2,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,3,0,8,33,39,9,0,245.0,156.0,1,0,0,0,56,1,0,14,0,8.3,2.9,21.0,2023-08-21 19:00:00+00:00,90,0,2,0,257659,0.0,2,100984,113569,12585,45,2023-08-21
2,2023-08-26,Sat,3,Away,D 1–1,Crystal Palace,Brentford,Y,CB,90,1,0,0,0,1,1,0,0,72,3,1,2,0.1,0.1,0.1,7,1,40,53,9,39,0,1,1,772,260,14,15,23,24,3,11,0.1,4,6,5,2,50,2,2,0,0,2,0,0,1,7,0,0,0,0,0,1,0,0,0,0,0,3,3,0,0,3,3,0,1,1,7,0,10,33,25,14,2,167.0,99.0,3,0,2,0,38,0,3,38,0,51.0,14.4,74.0,2023-08-26 14:00:00+00:00,90,0,3,0,280497,19.0,11,16538,39131,22593,45,2023-08-26
3,2023-09-03,Sun,4,Home,W 3–2,Crystal Palace,Wolves,Y,CB,90,0,0,0,0,0,0,0,0,74,1,2,1,0.0,0.0,0.0,1,0,48,64,9,43,2,0,0,1089,456,12,16,28,32,8,16,0.0,0,10,0,0,61,3,2,0,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,7,0,11,31,38,5,3,254.0,197.0,0,0,0,0,51,1,0,15,0,1.3,3.2,24.6,2023-09-03 13:00:00+00:00,90,0,4,0,673883,6.0,1,329830,355490,25660,46,2023-09-03
4,2023-09-16,Sat,5,Away,L 1–3,Crystal Palace,Aston Villa,Y,CB,90,0,0,0,0,0,0,0,0,44,0,1,1,0.0,0.0,0.4,1,0,22,34,3,18,1,0,0,464,171,11,13,8,9,3,7,0.2,1,1,0,0,31,3,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,10,24,17,3,1,102.0,53.0,0,0,0,0,21,0,0,16,0,11.0,2.7,14.2,2023-09-16 14:00:00+00:00,90,0,5,0,787004,2.0,1,97146,142868,45722,46,2023-09-16
5,2023-09-23,Sat,6,Home,D 0–0,Crystal Palace,Fulham,Y,CB,90,0,0,0,0,1,0,0,0,76,1,0,0,0.1,0.1,0.0,0,0,60,71,3,46,0,1,1,1381,449,11,11,41,44,8,16,0.0,0,6,0,0,65,6,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,0,6,38,37,2,1,193.0,78.0,0,0,0,0,60,0,0,26,1,0.8,1.7,12.4,2023-09-23 14:00:00+00:00,90,0,6,0,838462,4.0,6,46014,85685,39671,46,2023-09-23
6,2023-09-30,Sat,7,Away,W 1–0,Crystal Palace,Manchester Utd,Y,CB,90,1,0,0,0,3,1,0,0,44,2,1,3,0.4,0.4,0.2,2,0,16,24,2,7,0,1,1,439,199,2,3,10,10,4,11,0.1,1,1,1,1,20,4,4,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,1,2,10,0,18,26,14,4,3,46.0,19.0,0,0,0,0,12,1,3,40,1,14.1,10.4,60.8,2023-09-30 14:00:00+00:00,90,0,7,0,922779,29.0,15,76239,119420,43181,47,2023-09-30
7,2023-10-07,Sat,8,Home,D 0–0,Crystal Palace,Nott'ham Forest,Y,CB,90,0,0,0,0,0,0,0,0,124,1,0,2,0.0,0.0,0.3,1,0,100,115,9,84,0,2,1,2285,595,17,19,69,73,14,23,0.1,1,13,1,1,110,5,4,0,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,2,0,3,0,6,43,79,3,0,461.0,314.0,1,0,0,1,102,1,0,30,1,16.3,4.6,29.6,2023-10-07 16:30:00+00:00,90,0,8,0,1571154,0.0,6,587920,640692,52772,48,2023-10-07
8,2023-10-21,Sat,9,Away,L 0–4,Crystal Palace,Newcastle Utd,Y,CB,90,0,0,0,0,0,0,0,0,51,1,2,0,0.0,0.0,0.0,0,0,35,43,2,29,0,0,0,636,333,17,17,12,15,5,10,0.0,0,1,0,0,42,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,7,23,26,2,0,92.0,44.0,0,0,0,0,34,0,0,13,0,1.0,1.4,13.2,2023-10-21 14:00:00+00:00,90,0,9,0,1787003,0.0,0,239168,291865,52697,49,2023-10-21
9,2023-10-27,Fri,10,Home,L 1–2,Crystal Palace,Tottenham,Y,CB,90,0,1,0,0,2,0,1,0,48,1,0,1,0.1,0.1,0.1,2,1,22,34,3,19,1,0,0,734,385,1,5,10,13,11,16,0.0,1,4,1,0,31,3,3,0,5,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,2,1,1,0,8,0,9,28,15,5,2,57.0,18.0,0,0,0,0,27,1,0,14,0,10.6,5.3,33.2,2023-10-27 19:00:00+00:00,90,0,10,0,1829116,9.0,3,42382,150020,107638,49,2023-10-27
10,2023-11-04,Sat,11,Away,W 2–0,Crystal Palace,Burnley,Y,CB,90,0,0,0,0,1,1,1,0,60,2,3,1,0.0,0.0,0.0,0,0,37,46,1,36,0,1,0,796,234,7,7,26,29,4,10,0.0,0,1,0,0,45,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,2,1,1,0,8,0,11,33,26,1,1,137.0,55.0,0,0,0,0,33,0,0,24,1,0.3,4.4,26.8,2023-11-04 15:00:00+00:00,90,0,11,0,2133339,17.0,5,280524,314030,33506,50,2023-11-04
11,2023-11-11,Sat,12,Home,L 2–3,Crystal Palace,Everton,Y,CB,90,0,0,0,0,0,0,0,0,133,1,2,1,0.0,0.0,0.0,1,0,113,122,8,91,3,0,0,2483,862,28,31,65,66,18,21,0.0,0,15,0,0,117,4,3,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,7,0,13,59,71,3,1,616.0,418.0,0,0,1,0,105,0,0,19,0,2.1,3.6,32.2,2023-11-11 15:00:00+00:00,90,0,12,0,2372850,2.0,1,231584,261625,30041,51,2023-11-11
12,2023-11-25,Sat,13,Away,L 1–2,Crystal Palace,Luton Town,Y,CB,90,0,0,0,0,1,1,0,0,77,1,0,0,0.1,0.1,0.0,1,0,51,71,0,40,1,0,0,994,300,20,24,25,25,6,18,0.0,0,0,1,1,68,3,3,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,3,1,7,41,33,4,3,212.0,133.0,0,0,0,0,50,0,0,10,0,8.6,4.2,12.6,2023-11-25 15:00:00+00:00,90,0,13,0,2585503,21.0,1,187391,232739,45348,52,2023-11-25
13,2023-12-03,Sun,14,Away,D 1–1,Crystal Palace,West Ham,Y,CB,90,0,0,0,0,1,0,0,0,93,4,0,2,0.0,0.0,0.1,1,0,60,82,9,53,1,2,0,1244,472,13,17,40,45,7,18,0.1,1,7,1,1,76,6,6,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,1,2,1,0,2,3,0,6,45,42,6,2,239.0,148.0,0,0,0,0,53,0,0,17,0,18.0,4.7,23.2,2023-12-03 14:00:00+00:00,90,0,14,0,2469189,6.0,2,-90141,38707,128848,52,2023-12-03
