,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2022-08-07,Sun,1,Away,D 2–2,Brentford,Leicester City,Y*,CB,90,0,0,0,0,0,0,0,0,69,1,0,0,0.0,0.0,0.0,0,0,56,60,1,43,0,0,0,1217,329,8,10,40,40,8,10,0.1,0,1,0,0,60,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,8,0,7,40,29,0,0,194.0,94.0,0,0,0,0,52,0,0,17,0,0.5,1.9,18.2,2022-08-07 13:00:00+00:00,90,0,1,0,186616,0.0,1,0,0,0,45,2022-08-07
1,2022-08-13,Sat,2,Home,W 4–0,Brentford,Manchester Utd,Y*,CB,90,0,0,0,0,0,0,0,0,22,1,1,1,0.0,0.0,0.0,0,0,8,15,2,5,0,1,1,151,75,2,4,5,10,1,1,0.0,0,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,4,10,11,1,1,21.0,1.0,0,0,1,0,5,0,0,22,1,0.0,1.5,12.6,2022-08-13 16:30:00+00:00,90,0,2,0,179674,2.0,6,-11769,2819,14588,45,2022-08-13
2,2022-08-20,Sat,3,Away,L 2–3,Brentford,Fulham,Y*,CB,90,0,0,0,0,0,0,0,0,63,0,1,3,0.0,0.0,0.0,0,0,46,57,2,34,0,0,0,936,247,13,16,28,30,5,10,0.0,0,1,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,11,44,19,0,0,115.0,45.0,0,0,0,0,43,0,0,11,0,0.2,2.2,21.8,2022-08-20 14:00:00+00:00,90,0,3,0,189224,0.0,1,3761,17631,13870,45,2022-08-20
3,2022-09-03,Sat,6,Home,W 5–2,Brentford,Leeds United,Y*,CB,90,0,0,0,0,0,0,0,0,28,0,2,2,0.0,0.0,0.0,0,0,11,19,2,5,0,1,1,214,126,4,6,6,9,1,4,0.0,0,0,0,0,18,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,6,0,10,18,10,0,0,27.0,10.0,0,0,0,0,5,0,0,12,0,0.0,2.3,22.6,2022-09-03 14:00:00+00:00,90,0,6,0,111209,0.0,1,-22849,730,23579,44,2022-09-03
4,2022-09-18,Sun,8,Home,L 0–3,Brentford,Arsenal,Y*,CB,90,0,0,0,0,0,0,0,0,44,1,1,1,0.0,0.0,0.0,0,0,35,41,2,24,0,0,0,524,157,20,21,15,17,0,1,0.0,0,2,0,0,39,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,3,0,5,25,18,1,1,78.0,20.0,0,0,0,1,23,0,0,14,0,0.5,1.5,12.2,2022-09-18 11:00:00+00:00,90,0,8,0,103448,2.0,1,-3528,775,4303,44,2022-09-18
5,2022-10-01,Sat,9,Away,D 0–0,Brentford,Bournemouth,Y*,CB,64,0,0,0,0,1,0,0,0,58,0,3,1,0.0,0.0,0.0,1,0,39,47,4,37,0,0,0,764,278,6,7,30,33,3,4,0.0,0,4,0,0,45,2,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,10,37,19,2,2,144.0,54.0,0,0,0,0,37,0,0,23,1,0.2,1.6,9.8,2022-10-01 14:00:00+00:00,63,0,9,0,102392,6.0,6,-2981,3229,6210,44,2022-10-01
6,2022-12-30,Fri,18,Away,W 2–0,Brentford,West Ham,N,CM,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,2,0,1,1,0,0,9,0,1,1,0,0,0,1,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,24.0,17.0,0,0,0,0,2,0,0,3,0,0.1,0.0,0.0,2022-12-30 19:45:00+00:00,1,0,18,0,44542,0.0,1,-126,520,646,42,2022-12-30
7,2023-03-15,Wed,7,Away,W 2–0,Brentford,Southampton,N,"CB,LW",13,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,2,0,0,0.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0.0,0.0,0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,2023-03-15 19:30:00+00:00,12,0,27,0,37912,0.0,1,296,687,391,42,2023-03-15
8,2023-03-18,Sat,28,Home,D 1–1,Brentford,Leicester City,N,CB,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,2023-03-18 15:00:00+00:00,1,0,28,0,38111,0.0,1,31,403,372,42,2023-03-18
9,2023-04-01,Sat,29,Away,D 3–3,Brentford,Brighton,Y*,CB,90,1,0,0,0,1,1,0,0,40,1,1,2,0.1,0.1,0.0,1,1,23,27,0,16,0,0,0,470,138,7,9,14,15,2,3,0.0,0,1,0,0,24,3,1,0,0,0,2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,8,0,14,27,11,2,1,40.0,14.0,1,0,0,0,19,0,0,25,0,0.1,7.3,55.8,2023-04-01 14:00:00+00:00,90,0,29,0,38082,17.0,7,52,503,451,42,2023-04-01
