,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2021-09-18,Sat,5,Away,L 0–3,Everton,Aston Villa,N,RB,11,0,0,0,0,0,0,0,0,4,1,0,0,0.0,0.0,0.0,1,0,3,3,1,2,0,0,0,61,33,1,1,1,1,1,1,0.0,0,1,0,0,2,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,7.0,5.0,0,0,0,0,2,0,0,5,0,0.1,0.2,2.2,2021-09-18 16:30:00+00:00,10,0,5,0,6758,0.0,1,-141,566,707,45,2021-09-18
1,2021-12-16,Thu,17,Away,D 1–1,Everton,Chelsea,Y,RB,90,0,0,0,0,1,0,0,0,24,1,1,0,0.0,0.0,0.0,0,0,11,16,1,6,0,0,0,277,141,3,3,3,5,5,7,0.0,0,1,0,0,15,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,2,0,2,12,5,7,0,19.0,3.0,1,0,1,0,8,1,0,8,0,4.5,1.0,4.2,2021-12-16 19:45:00+00:00,90,0,17,0,7277,1.0,2,-35,70,105,44,2021-12-16
2,2022-01-02,Sun,21,Home,L 2–3,Everton,Brighton,Y,RB,75,0,1,0,0,0,0,1,0,55,3,2,1,0.0,0.0,0.2,3,2,34,43,2,32,1,1,0,507,155,19,20,7,10,4,7,0.2,2,3,2,2,36,7,0,0,0,5,7,0,0,3,0,0,0,0,0,2,0,0,0,0,0,2,1,2,0,2,2,0,0,1,3,0,2,10,28,18,0,139.0,58.0,2,0,2,0,28,6,0,25,0,34.6,7.1,36.2,2022-01-02 14:00:00+00:00,75,0,21,0,7863,0.0,3,235,399,164,44,2022-01-02
3,2022-01-22,Sat,23,Home,L 0–1,Everton,Aston Villa,Y,RB,90,0,0,0,0,0,0,0,0,68,0,1,0,0.0,0.0,0.0,1,0,41,65,8,30,0,0,0,698,283,15,22,21,28,3,9,0.0,1,7,0,0,45,18,0,0,0,0,18,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,16,33,19,0,78.0,33.0,2,0,0,0,31,5,0,9,0,11.9,1.9,6.8,2022-01-22 12:30:00+00:00,90,0,23,0,8242,0.0,2,-252,115,367,44,2022-01-22
4,2022-02-12,Sat,25,Home,W 3–0,Everton,Leeds United,Y,LB,90,0,0,0,0,1,0,0,0,51,2,3,2,0.0,0.0,0.3,5,0,27,37,2,20,2,4,3,469,191,16,17,6,11,4,8,0.0,2,1,0,0,24,13,0,0,0,1,13,0,0,1,1,2,1,0,0,0,0,0,0,0,0,1,0,2,0,2,4,2,0,2,2,0,1,14,24,13,3,122.0,46.0,1,2,2,0,21,3,0,25,1,25.4,6.6,18.4,2022-02-12 15:00:00+00:00,90,0,25,0,8247,22.0,6,-124,105,229,44,2022-02-12
5,2022-02-19,Sat,26,Away,L 0–2,Everton,Southampton,Y,LB,90,0,0,0,0,0,0,0,0,58,0,2,1,0.0,0.0,0.0,1,0,39,51,3,26,0,1,0,599,269,17,17,18,23,2,4,0.1,1,6,1,0,38,12,0,0,0,1,12,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,1,13,33,13,0,73.0,12.0,0,0,0,2,26,0,0,12,0,12.1,2.2,10.0,2022-02-19 15:00:00+00:00,90,0,26,0,8523,0.0,1,195,401,206,44,2022-02-19
6,2022-02-26,Sat,27,Home,L 0–1,Everton,Manchester City,Y,LB,90,0,0,0,0,1,0,0,0,41,1,0,0,0.1,0.1,0.0,0,0,25,33,1,21,0,0,0,328,133,18,20,7,10,0,2,0.0,0,0,0,0,27,6,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,2,0,0,6,0,7,17,21,3,1,62.0,18.0,0,0,0,1,22,1,0,6,0,0.8,1.5,10.4,2022-02-26 17:30:00+00:00,90,0,27,0,8542,4.0,2,-3,192,195,44,2022-02-26
7,2022-03-07,Mon,28,Away,L 0–5,Everton,Tottenham,Y,"LB,CB",90,0,0,0,0,0,0,0,0,60,1,1,0,0.0,0.0,0.0,0,0,46,54,7,38,2,0,0,661,174,28,29,16,19,1,3,0.0,0,5,0,0,51,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,2,6,39,15,0,165.0,104.0,3,0,0,0,48,2,0,13,0,4.0,1.1,7.2,2022-03-07 20:00:00+00:00,90,0,28,0,8941,0.0,0,373,815,442,44,2022-03-07
8,2022-03-13,Sun,29,Home,L 0–1,Everton,Wolves,Y,"CB,LB",77,0,0,0,0,1,0,2,1,50,2,4,3,0.0,0.0,0.0,0,0,26,37,1,25,2,1,1,428,183,16,19,7,10,2,5,0.0,0,2,1,1,34,2,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,1,1,2,2,0,4,18,29,5,0,194.0,143.0,1,0,1,0,31,1,0,0,0,5.2,1.7,10.8,2022-03-13 14:00:00+00:00,77,0,29,0,11342,1.0,-1,1646,2077,431,44,2022-03-13
9,2022-04-03,Sun,31,Away,L 1–2,Everton,West Ham,Y,RB,90,0,0,0,0,0,0,0,0,45,0,2,0,0.0,0.0,0.2,4,0,30,41,3,26,2,1,0,518,244,12,13,16,21,2,7,0.1,3,2,3,2,33,8,1,0,0,5,7,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,10,24,11,0,98.0,64.0,0,0,0,0,24,3,0,11,0,39.5,5.3,13.2,2022-04-03 13:00:00+00:00,90,0,31,0,10001,0.0,1,31,261,230,44,2022-04-03
