,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2021-08-14,Sat,1,Home,W 3–2,Watford,Aston Villa,Y,CB,90,0,0,0,0,1,0,0,0,54,0,1,1,0.3,0.3,0.0,0,0,36,41,0,30,0,0,0,715,209,11,12,22,23,3,6,0.0,0,0,0,0,40,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,8,0,14,48,5,1,1,92.0,42.0,0,0,1,0,30,0,0,12,0,0.1,2.4,20.2,2021-08-14 14:00:00+00:00,90,0,1,0,6905,4.0,1,0,0,0,45,2021-08-14
1,2021-08-21,Sat,2,Away,L 0–2,Watford,Brighton,Y,CB,90,0,0,0,0,0,0,0,0,72,0,1,3,0.0,0.0,0.0,1,0,58,60,0,44,0,0,0,1220,476,14,14,36,38,8,8,0.0,0,0,0,0,60,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,6,0,10,51,21,0,0,127.0,38.0,0,0,1,0,53,0,0,16,0,0.2,2.9,28.4,2021-08-21 16:30:00+00:00,90,0,2,0,8330,0.0,1,-165,701,866,45,2021-08-21
2,2021-10-02,Sat,7,Away,L 0–1,Watford,Leeds United,N,CB,23,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,3,6,0,4,0,0,0,77,61,0,1,2,2,1,3,0.0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,6,3,0,0,70.0,65.0,0,0,0,0,5,0,0,2,0,0.0,0.2,1.6,2021-10-02 14:00:00+00:00,22,0,7,0,6206,0.0,1,-401,58,459,44,2021-10-02
3,2022-01-21,Fri,23,Home,L 0–3,Watford,Norwich City,Y,CB,90,0,0,0,0,0,0,0,0,84,0,2,1,0.0,0.0,0.1,1,0,68,78,3,50,1,0,0,1526,521,9,13,49,52,9,12,0.0,1,5,0,0,78,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,5,49,35,2,1,239.0,121.0,0,0,0,0,60,0,0,15,0,10.3,3.2,20.0,2022-01-21 20:00:00+00:00,90,0,23,0,4071,2.0,1,17,74,57,43,2022-01-21
4,2022-02-19,Sat,26,Away,W 1–0,Watford,Aston Villa,N,CB,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,3,0,0.0,0.1,1.0,2022-02-19 15:00:00+00:00,1,0,26,0,4150,0.0,1,-27,54,81,43,2022-02-19
5,2022-02-26,Sat,27,Away,D 0–0,Watford,Manchester Utd,N,CB,28,0,0,0,0,0,0,0,0,7,0,2,0,0.0,0.0,0.0,0,0,3,3,0,1,0,0,0,74,52,0,0,3,3,0,0,0.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,5,2,0,0,7.0,0.0,0,0,0,0,1,0,0,5,0,0.0,0.5,5.4,2022-02-26 15:00:00+00:00,27,0,27,0,4111,0.0,1,-37,18,55,43,2022-02-26
6,2022-03-10,Thu,19,Away,L 0–4,Watford,Wolves,N,RB,61,0,0,0,0,2,0,0,0,32,1,0,0,0.1,0.1,0.0,1,0,21,26,3,19,1,0,0,424,191,9,10,9,10,3,6,0.0,0,2,1,1,23,3,0,0,0,1,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,3,0,3,8,19,5,1,53.0,22.0,0,0,1,0,22,0,0,7,0,4.8,1.3,3.6,2022-03-10 19:30:00+00:00,60,0,28,0,4127,5.0,2,-8,32,40,43,2022-03-10
7,2022-03-13,Sun,29,Away,W 2–1,Watford,Southampton,Y,CB,90,0,0,0,0,0,0,0,0,29,0,0,1,0.0,0.0,0.0,0,0,11,19,0,11,0,0,0,295,99,0,1,7,10,4,8,0.0,0,1,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,8,17,12,0,0,44.0,4.0,0,0,0,0,12,0,0,12,0,0.0,2.0,19.8,2022-03-13 14:00:00+00:00,90,0,29,0,4134,0.0,2,-4,31,35,43,2022-03-13
8,2022-04-02,Sat,31,Away,L 0–2,Watford,Liverpool,Y,CB,90,0,0,0,0,0,0,0,0,31,1,0,3,0.0,0.0,0.0,0,0,15,19,0,13,0,0,0,301,73,3,3,11,15,1,1,0.0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,6,0,7,20,11,0,0,48.0,9.0,0,0,1,0,18,0,0,10,0,0.1,2.8,28.0,2022-04-02 11:30:00+00:00,90,0,31,0,4168,0.0,1,-2,34,36,43,2022-04-02
9,2022-04-09,Sat,32,Home,L 0–3,Watford,Leeds United,Y,CB,90,0,0,0,0,0,0,0,0,41,1,3,0,0.0,0.0,0.0,0,0,18,28,3,13,0,3,1,321,149,5,9,13,16,0,3,0.0,0,0,0,0,27,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,4,0,8,23,16,2,2,68.0,12.0,0,0,1,0,10,1,0,11,0,0.1,1.9,14.4,2022-04-09 14:00:00+00:00,90,0,32,0,4245,4.0,1,62,86,24,43,2022-04-09
10,2022-04-16,Sat,33,Home,L 1–2,Watford,Brentford,Y,CB,90,0,0,0,0,0,0,0,0,52,2,1,1,0.0,0.0,0.0,0,0,31,39,3,16,1,0,0,577,255,11,12,19,20,1,6,0.0,0,3,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,1,0,7,0,8,29,23,0,0,82.0,49.0,0,0,1,0,24,0,0,20,0,0.4,2.7,26.4,2022-04-16 14:00:00+00:00,90,0,33,0,4408,0.0,1,131,194,63,43,2022-04-16
11,2022-04-23,Sat,34,Away,L 1–5,Watford,Manchester City,Y,CB,90,0,0,0,0,0,0,0,0,28,0,2,2,0.0,0.0,0.0,0,0,14,18,2,14,0,0,0,277,89,3,3,9,11,2,4,0.0,0,1,0,0,17,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,8,17,11,0,0,39.0,4.0,0,0,0,0,14,0,0,10,0,0.2,1.6,15.8,2022-04-23 14:00:00+00:00,90,0,34,0,4354,0.0,0,-59,79,138,43,2022-04-23
