,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-14,Mon,1,Away,L 0–1,Wolves,Manchester Utd,Y*,CB,90,0,0,0,0,1,1,0,0,66,2,2,4,0.0,0.0,0.0,2,0,38,50,2,34,2,0,0,659,287,18,20,17,19,3,10,0.0,1,1,1,0,48,2,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,1,3,1,4,0,14,44,18,4,2,190.0,132.0,0,0,0,1,39,0,0,11,0,10.8,6.6,34.6,2023-08-14 19:00:00+00:00,90,0,1,0,66513,21.0,2,0,0,0,45,2023-08-14
1,2023-08-19,Sat,2,Home,L 1–4,Wolves,Brighton,Y*,CB,90,0,0,0,0,0,0,1,0,70,1,1,1,0.0,0.0,0.0,1,0,57,65,3,52,0,1,1,901,411,37,38,15,15,5,9,0.0,1,4,0,0,61,3,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,2,0,11,42,25,3,0,177.0,75.0,0,0,0,1,49,0,0,11,0,11.4,2.3,11.2,2023-08-19 14:00:00+00:00,90,0,2,0,71470,0.0,-1,676,4635,3959,45,2023-08-19
2,2023-08-26,Sat,3,Away,W 1–0,Wolves,Everton,Y*,CB,90,0,0,0,0,0,0,0,0,86,0,2,0,0.0,0.0,0.3,1,0,59,75,4,66,1,0,0,1100,493,23,24,30,33,5,16,0.1,1,5,1,0,74,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,14,44,42,0,0,398.0,276.0,0,0,1,0,66,0,2,30,1,14.3,3.7,22.2,2023-08-26 14:00:00+00:00,90,0,3,0,63863,0.0,8,-8238,910,9148,45,2023-08-26
3,2023-09-03,Sun,4,Away,L 2–3,Wolves,Crystal Palace,Y*,CB,90,0,0,0,0,0,0,0,0,77,0,0,2,0.0,0.0,0.0,1,0,61,71,6,39,0,0,0,1120,500,21,22,37,39,3,10,0.0,0,3,0,0,66,5,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,6,38,40,0,0,250.0,189.0,0,0,0,0,52,0,0,13,0,1.2,1.7,15.4,2023-09-03 13:00:00+00:00,90,0,4,0,67387,0.0,1,934,4212,3278,45,2023-09-03
4,2023-09-16,Sat,5,Home,L 1–3,Wolves,Liverpool,Y*,CB,90,0,0,0,0,1,0,0,0,49,1,2,0,0.0,0.0,0.0,0,0,33,40,2,38,0,0,0,694,273,11,11,19,19,3,10,0.0,0,1,0,0,40,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,9,28,18,3,1,186.0,94.0,0,0,1,1,32,0,0,12,0,0.4,1.5,10.8,2023-09-16 11:30:00+00:00,90,0,5,0,66239,4.0,1,-2282,2972,5254,45,2023-09-16
5,2023-09-23,Sat,6,Away,D 1–1,Wolves,Luton Town,Y*,CB,90,0,0,0,0,1,1,0,0,69,3,0,2,0.4,0.4,0.0,0,0,38,53,1,34,1,2,2,610,231,20,23,14,18,4,11,0.0,0,1,0,0,49,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,1,1,6,0,19,45,23,1,1,168.0,114.0,0,0,0,0,30,0,0,12,0,1.3,6.3,28.8,2023-09-23 14:00:00+00:00,90,0,6,0,83394,33.0,2,13745,17954,4209,45,2023-09-23
6,2023-09-30,Sat,7,Home,W 2–1,Wolves,Manchester City,Y*,CB,90,0,0,0,0,0,0,0,0,46,0,1,3,0.0,0.0,0.0,1,0,29,33,2,30,2,1,0,616,253,12,12,13,15,4,6,0.0,0,5,0,0,31,2,2,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,7,0,13,31,14,2,0,161.0,96.0,1,0,0,0,29,0,0,13,0,0.9,1.9,18.2,2023-09-30 14:00:00+00:00,90,0,7,0,68576,0.0,2,-12595,994,13589,45,2023-09-30
7,2023-10-08,Sun,8,Home,D 1–1,Wolves,Aston Villa,Y*,CB,90,0,0,0,0,0,0,0,0,62,0,1,2,0.0,0.0,0.0,1,0,44,52,3,41,2,0,0,807,340,21,23,17,20,6,9,0.0,1,2,1,0,50,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,0,10,27,33,3,0,226.0,132.0,2,0,1,0,39,0,0,17,0,10.9,3.3,22.2,2023-10-08 13:00:00+00:00,90,0,8,0,66727,0.0,2,-2874,2145,5019,45,2023-10-08
8,2023-10-21,Sat,9,Away,W 2–1,Wolves,Bournemouth,Y*,CB,90,0,0,0,0,0,0,1,0,83,2,3,1,0.0,0.0,0.0,3,0,61,73,4,46,2,0,0,1123,434,29,32,24,29,8,12,0.0,1,2,2,1,70,3,2,0,0,3,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,1,1,0,5,0,10,39,34,13,0,218.0,112.0,2,0,0,1,52,1,0,14,0,17.5,4.7,29.4,2023-10-21 14:00:00+00:00,90,0,9,0,75113,0.0,1,6666,10454,3788,45,2023-10-21
9,2023-10-28,Sat,10,Home,D 2–2,Wolves,Newcastle Utd,Y*,CB,90,0,0,0,0,0,0,0,0,60,5,1,4,0.0,0.0,0.0,1,0,41,47,4,31,0,0,0,770,225,15,15,20,22,5,9,0.0,0,4,0,0,47,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,4,4,0,1,3,3,0,12,28,30,3,0,113.0,67.0,0,0,0,1,39,0,0,23,0,1.7,2.9,25.2,2023-10-28 16:30:00+00:00,90,0,10,0,66263,2.0,1,-8236,1014,9250,45,2023-10-28
