,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2017-08-19,Sat,2,Home,W 1–0,Liverpool,Crystal Palace,Y,CB,90,0,0,0,0,0,0,0,0,93,1,0,0,0.0,0.0,0.0,2,0,80,87,6,70,1,3,3,1436,559,29,32,46,49,5,5,0.0,1,7,0,0,85,2,1,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,4,0,2,30,63,1,0,441.0,251.0,0,0,0,0,69,0,1,32,1,11.9,3.8,25.8,2017-08-19 14:00:00+00:00,90,0,2,0,18355,0.0,7,-3532,377,3909,45,2017-08-19
1,2017-09-09,Sat,4,Away,L 0–5,Liverpool,Manchester City,Y,CB,90,0,0,0,0,0,0,0,0,51,3,1,0,0.0,0.0,0.0,1,0,33,40,0,19,0,0,0,580,245,14,16,17,18,1,5,0.0,0,0,0,0,38,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,2,3,1,0,0,6,1,7,40,11,0,0,68.0,37.0,0,0,1,1,31,0,0,18,0,0.1,1.4,14.2,2017-09-09 11:30:00+00:00,90,0,4,0,22347,0.0,0,-2690,496,3186,45,2017-09-09
2,2017-09-16,Sat,5,Home,D 1–1,Liverpool,Burnley,Y,CB,90,0,0,0,0,0,0,0,0,108,1,2,0,0.0,0.0,0.0,4,1,93,102,10,65,1,0,0,1758,718,29,31,58,60,6,10,0.0,1,3,1,0,101,1,1,0,1,0,0,0,0,4,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,0,0,2,0,5,47,57,4,1,377.0,205.0,1,0,0,0,80,0,0,18,0,11.4,3.4,21.0,2017-09-16 14:00:00+00:00,90,0,5,0,21669,2.0,2,-1077,674,1751,45,2017-09-16
3,2017-10-28,Sat,10,Home,W 3–0,Liverpool,Huddersfield,Y,CB,90,0,0,0,0,0,0,0,0,111,0,1,0,0.0,0.0,0.0,0,0,89,100,7,62,0,0,0,1729,425,24,27,58,62,7,9,0.0,0,4,0,0,97,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,28,80,3,0,269.0,158.0,2,0,2,0,82,1,0,23,1,3.0,2.2,19.2,2017-10-28 14:00:00+00:00,90,0,10,0,20535,0.0,6,-345,1324,1669,43,2017-10-28
4,2017-11-04,Sat,11,Away,W 4–1,Liverpool,West Ham,Y,CB,90,0,0,0,0,0,0,0,0,64,0,0,0,0.0,0.0,0.0,2,1,58,63,0,29,0,0,0,1320,384,10,10,34,36,14,17,0.0,0,1,0,0,62,1,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,42,23,0,0,134.0,62.0,0,0,0,0,53,0,0,13,0,1.3,1.0,8.4,2017-11-04 17:30:00+00:00,90,0,11,0,27069,0.0,2,5997,7388,1391,43,2017-11-04
5,2017-11-18,Sat,12,Home,W 3–0,Liverpool,Southampton,Y,CB,90,0,0,0,0,0,0,0,0,77,1,0,2,0.0,0.0,0.0,3,1,64,72,4,36,0,0,0,1318,532,9,10,49,50,4,10,0.1,1,3,0,0,71,1,1,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,1,0,3,47,27,3,1,153.0,70.0,0,0,1,0,55,0,0,28,1,11.3,3.1,17.8,2017-11-18 15:00:00+00:00,90,0,12,0,35076,2.0,6,7146,9551,2405,43,2017-11-18
6,2017-11-25,Sat,13,Home,D 1–1,Liverpool,Chelsea,Y,CB,90,0,0,0,0,0,0,0,0,73,0,0,0,0.0,0.0,0.0,1,0,60,62,3,48,2,0,0,1164,380,17,17,37,39,5,5,0.0,0,5,0,0,62,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,11,0,8,27,46,0,0,278.0,155.0,0,0,0,0,57,0,0,17,0,1.1,1.8,16.6,2017-11-25 17:30:00+00:00,90,0,13,0,49144,0.0,2,13196,16068,2872,43,2017-11-25
7,2017-12-10,Sun,16,Home,D 1–1,Liverpool,Everton,Y,CB,90,0,0,0,0,0,0,0,0,82,1,1,0,0.0,0.0,0.0,1,0,67,77,7,50,0,1,1,1295,501,18,20,45,50,4,6,0.0,0,4,1,0,74,3,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,5,40,37,5,1,238.0,94.0,1,0,0,0,58,1,0,14,0,1.6,1.7,13.2,2017-12-10 14:15:00+00:00,90,0,16,0,55954,2.0,2,-779,4202,4981,43,2017-12-10
8,2017-12-13,Wed,17,Home,D 0–0,Liverpool,West Brom,Y,CB,90,0,0,0,0,0,0,0,0,107,1,1,0,0.0,0.0,0.0,0,0,93,97,7,70,2,0,0,1653,673,32,33,57,58,3,5,0.0,0,4,0,0,94,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,8,0,6,47,60,0,0,500.0,336.0,0,0,0,0,79,0,3,29,1,0.9,2.4,23.0,2017-12-13 20:00:00+00:00,90,0,17,0,62345,0.0,9,5969,8240,2271,43,2017-12-13
9,2017-12-17,Sun,18,Away,W 4–0,Liverpool,Bournemouth,Y,CB,90,0,0,0,0,0,0,0,0,95,0,3,2,0.0,0.0,0.0,1,0,76,83,2,53,1,0,0,1535,419,24,24,43,44,8,12,0.0,0,3,0,0,82,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6,0,6,58,38,0,0,274.0,181.0,0,0,2,0,74,0,0,31,1,0.6,2.5,24.0,2017-12-17 16:30:00+00:00,90,0,18,0,76721,0.0,6,13477,15569,2092,43,2017-12-17
10,2017-12-22,Fri,19,Away,D 3–3,Liverpool,Arsenal,Y,CB,90,0,0,0,0,0,0,0,0,54,1,4,0,0.0,0.0,0.0,0,0,34,44,2,31,1,0,0,689,184,9,10,21,23,4,11,0.0,0,3,0,0,42,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,5,0,3,21,34,0,0,192.0,110.0,0,0,0,0,34,0,0,13,0,0.3,1.7,16.8,2017-12-22 19:45:00+00:00,90,0,19,0,91810,0.0,1,13857,19032,5175,43,2017-12-22
11,2017-12-26,Tue,20,Home,W 5–0,Liverpool,Swansea City,Y,CB,90,0,0,0,0,0,0,0,0,104,0,2,2,0.0,0.0,0.0,0,0,91,98,5,75,0,0,0,1820,599,23,23,62,64,5,9,0.1,0,5,1,0,98,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,6,37,67,1,1,449.0,306.0,0,0,0,0,88,0,0,28,1,3.9,2.8,22.0,2017-12-26 17:30:00+00:00,90,0,20,0,114568,2.0,6,21518,25697,4179,43,2017-12-26
12,2017-12-30,Sat,21,Home,W 2–1,Liverpool,Leicester City,N,LW,2,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,0,1,0,0,0,36,0,0,0,0,0,1,1,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,1.0,0.0,0,0,0,0,1,0,0,3,0,0.0,0.2,2.0,2017-12-30 15:00:00+00:00,1,0,21,0,134420,0.0,1,18922,27368,8446,44,2017-12-30
