,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2022-04-02,Sat,31,Home,L 0–2,Burnley,Manchester City,Y,CB,90,0,0,0,0,1,0,0,0,27,0,0,2,0.0,0.0,0.0,0,0,12,17,1,7,0,0,0,252,78,2,3,8,10,2,3,0.0,0,1,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,8,21,5,1,1,34.0,24.0,0,0,0,0,11,0,0,7,0,0.1,1.1,6.8,2022-04-02 14:00:00+00:00,90,0,31,0,15243,4.0,1,158,339,181,40,2022-04-02
1,2022-04-24,Sun,34,Home,W 1–0,Burnley,Wolves,N,RM,6,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,2022-04-24 13:00:00+00:00,5,0,34,0,16063,0.0,1,30,294,264,40,2022-04-24
2,2022-05-07,Sat,36,Home,L 1–3,Burnley,Aston Villa,N,CB,44,0,0,0,0,0,0,0,0,25,0,0,0,0.0,0.0,0.0,0,0,18,22,0,14,0,0,0,394,168,4,5,10,12,4,4,0.0,0,0,0,0,21,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,14,11,0,0,61.0,21.0,0,0,0,0,15,0,0,4,0,0.0,0.7,6.6,2022-05-07 14:00:00+00:00,43,0,36,0,16426,0.0,1,-6,329,335,40,2022-05-07
3,2022-05-15,Sun,37,Away,L 0–1,Burnley,Tottenham,Y,CB,90,0,0,0,0,2,0,0,0,35,3,0,1,0.1,0.1,0.0,1,0,18,24,1,15,0,0,0,366,172,5,5,11,13,2,4,0.0,0,1,0,0,24,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,1,1,0,0,1,2,0,6,15,17,3,3,79.0,41.0,0,0,1,0,18,0,0,8,0,0.1,1.8,7.6,2022-05-15 11:00:00+00:00,90,0,37,0,17557,10.0,2,439,745,306,40,2022-05-15
4,2022-05-19,Thu,18,Away,D 1–1,Burnley,Aston Villa,Y,CB,90,0,0,0,0,1,0,1,0,21,0,0,1,0.0,0.0,0.0,0,0,8,11,1,2,0,0,0,181,32,2,2,5,6,1,2,0.0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,6,0,6,14,4,3,3,11.0,3.0,0,0,1,0,7,0,0,2,0,0.0,1.3,7.4,2022-05-19 19:00:00+00:00,90,0,37,0,17557,6.0,1,439,745,306,40,2022-05-19
5,2022-05-22,Sun,38,Home,L 1–2,Burnley,Newcastle Utd,Y,CB,90,0,0,0,0,0,0,0,0,33,0,1,0,0.0,0.0,0.0,0,0,23,28,1,14,1,0,0,503,151,6,7,12,13,5,8,0.0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,17,16,0,0,101.0,36.0,0,0,0,0,18,0,0,7,0,0.0,0.0,0.0,2022-05-22 15:00:00+00:00,90,0,38,0,20047,0.0,1,1761,2213,452,40,2022-05-22
6,2020-09-20,Sun,2,Away,L 2–4,Burnley,Leicester City,Y,CB,90,0,0,0,0,0,0,0,0,29,2,0,3,0.0,0.0,0.0,0,0,9,18,1,6,0,0,0,114,50,5,8,3,4,0,5,0.0,1,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,2,0,2,1,4,0,6,15,11,3,3,36.0,11.0,0,0,0,0,9,1,0,11,0,10.2,3.9,22.8,2020-09-20 18:00:00+00:00,90,0,2,0,15118,6.0,0,-563,881,1444,45,2020-09-20
7,2020-09-26,Sat,3,Home,L 0–1,Burnley,Southampton,Y,CB,90,0,0,0,0,0,0,0,0,81,1,2,2,0.0,0.0,0.0,0,0,48,68,1,25,0,0,0,933,241,13,19,25,29,8,14,0.1,0,1,0,0,65,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,6,0,6,39,40,2,2,141.0,25.0,0,0,0,0,39,0,0,12,0,0.5,2.9,24.6,2020-09-26 19:00:00+00:00,90,0,3,0,15661,4.0,2,-584,1496,2080,45,2020-09-26
8,2020-10-03,Sat,4,Away,L 1–3,Burnley,Newcastle Utd,Y,CB,90,0,0,0,0,1,0,0,0,41,2,0,0,0.1,0.1,0.0,0,0,29,36,3,21,0,0,0,504,218,14,15,11,14,3,6,0.0,0,1,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,2,0,0,0,2,0,4,29,11,1,1,69.0,40.0,0,0,1,0,22,0,0,10,0,0.0,1.1,6.6,2020-10-03 19:00:00+00:00,90,0,4,0,15833,4.0,1,-445,845,1290,45,2020-10-03
9,2020-10-19,Mon,5,Away,D 0–0,Burnley,West Brom,Y,CB,90,0,0,0,0,0,0,0,0,33,2,0,0,0.0,0.0,0.0,0,0,22,31,3,11,0,0,0,396,209,12,12,8,11,2,8,0.0,0,3,0,0,30,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,0,2,0,2,21,12,0,0,61.0,33.0,0,0,0,0,14,0,1,26,1,0.2,0.8,7.6,2020-10-19 16:30:00+00:00,90,0,5,0,16390,0.0,7,-52,1605,1657,45,2020-10-19
