,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-12,Sat,1,Away,L 1–5,Aston Villa,Newcastle Utd,Y,CB,90,0,0,0,0,0,0,0,0,57,5,0,0,0.0,0.0,0.0,1,0,44,48,3,34,0,2,1,784,390,17,18,23,25,3,4,0.0,0,4,0,0,47,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,2,2,1,2,2,0,0,0,2,1,13,32,23,2,0,173.0,113.0,0,0,3,0,41,0,0,16,0,1.3,1.5,13.2,2023-08-12 16:30:00+00:00,90,0,1,0,102941,0.0,0,0,0,0,45,2023-08-12
1,2023-08-20,Sun,2,Home,W 4–0,Aston Villa,Everton,Y,CB,90,0,0,0,0,0,0,0,0,77,1,0,0,0.0,0.0,0.0,0,0,67,70,0,56,0,0,0,1144,344,26,27,37,38,3,4,0.0,0,1,0,0,65,5,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,3,0,12,47,28,3,1,198.0,82.0,0,0,1,0,58,2,0,29,1,0.4,1.6,14.0,2023-08-20 13:00:00+00:00,90,0,2,0,105680,2.0,6,-2372,6316,8688,45,2023-08-20
2,2023-08-27,Sun,3,Away,W 3–1,Aston Villa,Burnley,Y,CB,90,0,0,0,0,0,0,0,0,64,4,1,1,0.0,0.0,0.0,0,0,46,52,2,25,1,1,1,811,196,21,21,22,28,3,3,0.0,0,4,0,0,45,7,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,1,1,0,0,1,3,0,3,24,37,3,0,183.0,51.0,0,0,1,0,37,0,0,12,0,1.5,1.7,15.6,2023-08-27 13:00:00+00:00,90,0,3,0,107133,0.0,2,-1412,4559,5971,45,2023-08-27
3,2023-09-03,Sun,4,Away,L 0–3,Aston Villa,Liverpool,Y,"CB,RB",90,0,0,0,0,0,0,0,0,63,0,2,3,0.0,0.0,0.0,0,0,52,55,3,38,0,1,0,851,322,28,29,20,20,4,5,0.0,0,1,0,0,49,6,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,15,45,18,0,0,140.0,49.0,0,0,0,0,39,0,0,16,0,0.5,2.7,26.4,2023-09-03 13:00:00+00:00,90,0,4,0,101710,0.0,1,-6343,1759,8102,45,2023-09-03
4,2023-09-16,Sat,5,Home,W 3–1,Aston Villa,Crystal Palace,Y,CB,90,0,0,0,0,0,0,0,0,95,3,1,3,0.0,0.0,0.0,0,0,80,85,2,59,0,0,0,1636,485,18,20,53,55,9,9,0.0,0,7,0,0,83,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,3,4,1,1,2,2,0,9,29,62,5,1,307.0,211.0,1,0,0,0,64,0,0,15,0,2.8,2.8,23.2,2023-09-16 14:00:00+00:00,90,0,5,0,100617,2.0,2,-3119,3241,6360,45,2023-09-16
5,2023-09-24,Sun,6,Away,W 1–0,Aston Villa,Chelsea,Y,CB,90,0,0,0,0,1,0,0,0,52,1,1,2,0.2,0.2,0.0,0,0,37,38,3,32,1,1,0,686,292,11,11,24,25,2,2,0.0,0,1,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,6,0,18,39,11,2,2,148.0,110.0,0,0,1,0,36,0,1,29,1,0.3,3.1,21.2,2023-09-24 13:00:00+00:00,90,0,6,0,96937,9.0,7,-4220,1687,5907,45,2023-09-24
6,2023-09-30,Sat,7,Home,W 6–1,Aston Villa,Brighton,Y,CB,90,0,0,0,0,0,0,1,0,46,0,0,2,0.0,0.0,0.0,0,0,31,36,2,34,0,3,0,538,221,9,10,21,22,1,3,0.0,0,2,0,0,34,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,8,28,18,0,0,180.0,114.0,0,0,0,0,32,0,0,10,0,0.4,2.0,20.0,2023-09-30 11:30:00+00:00,90,0,7,0,100950,0.0,1,2774,7136,4362,45,2023-09-30
7,2023-10-08,Sun,8,Away,D 1–1,Aston Villa,Wolves,Y,RB,90,0,0,0,0,2,1,0,0,53,0,1,2,0.2,0.2,0.0,3,0,36,45,3,26,2,1,0,598,160,19,20,15,20,2,4,0.0,1,3,1,0,38,7,3,0,0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,3,16,31,6,2,116.0,58.0,1,1,0,0,35,3,0,11,0,12.1,5.1,16.4,2023-10-08 13:00:00+00:00,90,0,8,0,104522,22.0,2,2609,9496,6887,45,2023-10-08
8,2023-10-22,Sun,9,Home,W 4–1,Aston Villa,West Ham,Y,CB,90,0,0,0,0,2,1,0,0,66,1,1,2,0.1,0.1,0.0,2,2,56,59,0,55,0,2,2,995,445,17,18,37,37,1,2,0.0,0,2,0,0,57,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,0,1,0,0,0,0,1,1,1,0,13,37,25,4,3,226.0,99.0,0,0,0,0,57,0,1,25,0,0.5,6.0,18.2,2023-10-22 15:30:00+00:00,90,0,9,0,106051,41.0,6,944,5743,4799,45,2023-10-22
9,2023-10-29,Sun,10,Home,W 3–1,Aston Villa,Luton Town,Y,"CB,RB",90,0,0,0,0,1,0,0,0,110,0,1,1,0.1,0.1,0.0,2,0,100,106,5,97,0,0,0,1570,547,48,49,50,52,2,5,0.2,1,2,0,0,103,3,2,1,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,5,20,88,2,2,438.0,290.0,0,0,0,1,96,0,0,13,0,15.1,4.1,16.4,2023-10-29 14:00:00+00:00,90,0,10,0,127075,9.0,2,19333,24183,4850,45,2023-10-29
