,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2022-08-06,Sat,1,Away,W 1–0,Chelsea,Everton,Y,CB,74,0,0,0,0,1,1,0,0,69,2,1,2,0.0,0.0,0.0,1,1,51,58,4,32,0,1,1,711,300,31,34,18,20,1,3,0.0,0,9,1,0,57,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1,1,0,2,4,0,5,22,40,7,1,153.0,112.0,1,0,1,0,47,1,0,24,1,3.1,3.9,18.4,2022-08-06 16:30:00+00:00,74,0,1,0,696788,17.0,6,0,0,0,55,2022-08-06
1,2022-08-14,Sun,2,Home,D 2–2,Chelsea,Tottenham,Y,CB,90,1,0,0,0,3,1,0,0,86,4,1,1,0.1,0.1,0.0,2,0,66,75,4,54,0,0,0,1257,553,28,29,29,30,9,14,0.0,0,8,0,0,73,1,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,4,2,1,1,2,2,0,0,1,2,0,4,27,49,10,2,249.0,112.0,2,0,0,1,64,0,0,29,0,3.2,7.4,49.0,2022-08-14 15:30:00+00:00,90,0,2,0,921100,22.0,7,12555,74469,61914,55,2022-08-14
2,2022-08-21,Sun,3,Away,L 0–3,Chelsea,Leeds United,Y,CB,83,0,0,0,0,1,1,2,1,84,3,4,3,0.0,0.0,0.0,1,0,58,74,10,31,1,1,1,1358,589,17,17,29,39,11,16,0.0,0,4,0,0,68,6,5,0,6,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,2,2,0,1,2,1,0,7,41,40,3,2,199.0,117.0,1,0,0,0,58,0,0,2,0,1.3,4.0,20.0,2022-08-21 13:00:00+00:00,83,0,3,0,1290657,19.0,-2,194788,263469,68681,56,2022-08-21
3,2022-08-30,Tue,5,Away,L 1–2,Chelsea,Southampton,Y,CB,90,0,0,0,0,0,0,0,0,87,1,1,1,0.0,0.0,0.0,0,0,61,77,6,52,2,0,0,1082,455,24,28,31,36,6,11,0.0,0,7,1,0,72,5,2,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,5,0,7,39,44,5,0,334.0,208.0,1,0,0,0,59,1,0,14,0,1.9,2.1,19.2,2022-08-30 18:45:00+00:00,90,0,5,0,828779,0.0,1,-18201,53177,71378,55,2022-08-30
4,2022-09-03,Sat,6,Home,W 2–1,Chelsea,West Ham,Y,CB,90,0,0,0,0,1,0,0,0,92,0,0,0,0.1,0.1,0.0,1,1,72,84,6,55,1,1,1,1115,406,35,40,28,31,4,7,0.0,0,3,0,0,81,3,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,5,0,4,28,59,6,2,221.0,105.0,1,0,1,0,63,1,0,15,0,3.0,3.6,13.2,2022-09-03 14:00:00+00:00,90,0,6,0,822809,20.0,2,-35037,49234,84271,55,2022-09-03
5,2022-10-08,Sat,10,Home,W 3–0,Chelsea,Wolves,Y,CB,90,0,0,0,0,1,0,0,0,90,5,1,1,0.1,0.1,0.0,3,0,72,80,3,73,0,0,0,1234,375,32,33,37,40,3,7,0.0,1,4,0,0,79,1,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,4,3,2,0,3,3,0,0,1,4,0,11,38,52,2,1,323.0,150.0,0,0,0,0,69,0,2,32,1,11.2,3.9,23.4,2022-10-08 14:00:00+00:00,90,0,10,0,744851,4.0,8,-33976,24057,58033,55,2022-10-08
6,2022-10-16,Sun,11,Away,W 2–0,Chelsea,Aston Villa,N,CB,45,0,0,0,0,0,0,1,0,53,0,2,0,0.0,0.0,0.0,0,0,43,46,2,33,1,0,0,644,254,25,25,17,19,1,2,0.0,0,0,0,0,45,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,4,33,20,1,0,94.0,35.0,1,0,1,0,40,0,0,11,0,0.4,1.3,12.2,2022-10-16 13:00:00+00:00,45,0,11,0,893853,0.0,0,131602,148157,16555,55,2022-10-16
7,2022-10-19,Wed,12,Away,D 0–0,Chelsea,Brentford,Y,CB,90,0,0,0,0,0,0,0,0,74,2,2,2,0.0,0.0,0.1,2,0,58,67,5,40,1,0,0,1150,526,30,32,16,18,10,15,0.0,1,7,1,0,60,7,3,0,3,1,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,3,2,1,1,1,0,6,28,38,8,0,180.0,69.0,1,0,0,0,51,0,0,25,1,13.2,3.5,21.4,2022-10-19 18:30:00+00:00,90,0,12,0,952315,0.0,6,23577,63634,40057,55,2022-10-19
8,2022-11-12,Sat,16,Away,L 0–1,Chelsea,Newcastle Utd,Y,CB,90,0,0,0,0,0,0,1,0,67,1,0,0,0.0,0.0,0.0,1,0,46,60,3,43,0,0,0,753,362,24,24,16,22,4,12,0.0,0,5,0,0,55,5,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3,0,9,31,34,2,0,149.0,82.0,0,0,1,0,48,0,0,8,0,0.9,1.0,8.6,2022-11-12 17:30:00+00:00,90,0,16,0,677193,0.0,1,-17224,8482,25706,55,2022-11-12
9,2022-12-27,Tue,17,Home,W 2–0,Chelsea,Bournemouth,Y,CB,90,0,0,0,0,1,0,0,0,68,2,1,1,0.0,0.0,0.0,1,0,53,58,1,44,0,1,0,891,236,28,30,22,24,2,2,0.0,0,1,0,0,58,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,3,0,7,38,26,4,3,176.0,59.0,0,0,0,0,53,0,0,24,1,0.8,2.1,12.6,2022-12-27 17:30:00+00:00,90,0,17,0,685647,8.0,6,1021,57974,56953,55,2022-12-27
10,2023-01-01,Sun,18,Away,D 1–1,Chelsea,Nott'ham Forest,Y,CB,90,0,0,0,0,0,0,0,0,116,3,0,1,0.0,0.0,0.2,2,0,97,108,4,92,3,1,0,1742,435,33,34,60,61,4,10,0.2,2,4,1,0,106,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,2,3,1,0,1,2,0,5,42,74,1,1,524.0,338.0,0,0,0,0,97,0,0,10,0,23.2,4.3,17.6,2023-01-01 16:30:00+00:00,90,0,18,0,725467,2.0,2,36445,43787,7342,55,2023-01-01
11,2023-01-05,Thu,19,Home,L 0–1,Chelsea,Manchester City,Y,CB,90,0,0,0,0,0,0,1,0,100,1,2,1,0.0,0.0,0.0,0,0,77,89,2,73,0,0,0,1339,406,30,31,42,45,5,11,0.0,0,2,0,0,86,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,3,0,17,68,31,1,1,289.0,101.0,0,0,2,0,78,0,0,7,0,0.8,2.0,17.2,2023-01-05 20:00:00+00:00,90,0,19,0,751274,2.0,1,23150,35182,12032,55,2023-01-05
12,2023-01-12,Thu,7,Away,L 1–2,Chelsea,Fulham,Y,CB,90,1,0,0,0,1,1,0,0,85,1,3,1,0.4,0.4,0.0,2,0,63,75,3,59,0,1,1,1000,575,30,32,28,29,3,9,0.0,1,2,1,0,72,3,2,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,2,0,7,53,29,3,2,229.0,133.0,0,0,1,0,59,0,2,29,0,10.6,9.4,48.6,2023-01-12 20:00:00+00:00,90,0,19,0,751274,35.0,9,23150,35182,12032,55,2023-01-12
13,2023-01-15,Sun,20,Home,W 1–0,Chelsea,Crystal Palace,N,LB,13,0,0,0,0,0,0,0,0,9,0,0,0,0.0,0.0,0.0,0,0,3,7,1,3,0,0,0,59,58,1,2,2,4,0,1,0.0,0,1,0,0,5,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,5,3,1,0,8.0,2.0,0,0,1,0,4,0,0,3,0,0.1,0.2,1.4,2023-01-15 14:00:00+00:00,12,0,20,0,745281,0.0,1,-7501,19557,27058,55,2023-01-15
14,2023-02-18,Sat,24,Home,L 0–1,Chelsea,Southampton,Y,CB,45,0,0,0,0,0,0,1,0,33,1,0,1,0.0,0.0,0.0,0,0,28,31,4,28,0,0,0,548,237,13,14,12,13,3,4,0.0,0,3,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,5,16,16,1,0,103.0,75.0,0,0,0,0,28,0,0,7,0,0.3,0.8,7.4,2023-02-18 15:00:00+00:00,45,0,24,0,669445,0.0,0,-16926,4334,21260,55,2023-02-18
