,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2022-10-02,Sun,9,Home,D 0–0,Leeds United,Aston Villa,Y*,CB,90,0,0,0,0,1,0,0,0,61,0,0,0,0.1,0.1,0.0,1,0,39,49,2,28,0,0,0,710,323,16,19,20,23,3,6,0.0,0,3,0,0,49,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,9,44,17,1,1,93.0,56.0,0,0,0,0,38,0,0,23,1,0.2,2.1,17.0,2022-10-02 15:30:00+00:00,90,0,9,0,3814,4.0,6,17,171,154,44,2022-10-02
1,2022-10-09,Sun,10,Away,L 1–2,Leeds United,Crystal Palace,Y*,CB,90,0,0,0,0,0,0,0,0,44,3,1,0,0.0,0.0,0.0,0,0,19,36,0,19,0,0,0,373,243,6,9,10,19,2,6,0.0,0,1,0,0,35,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,4,3,0,0,2,0,7,33,10,1,1,88.0,50.0,0,0,1,0,18,0,0,11,0,0.1,1.4,12.0,2022-10-09 13:00:00+00:00,90,0,10,0,6545,2.0,1,2249,2529,280,44,2022-10-09
2,2022-10-16,Sun,11,Home,L 0–1,Leeds United,Arsenal,Y*,CB,90,0,0,0,0,0,0,0,0,59,1,4,1,0.0,0.0,0.2,1,0,41,51,3,36,0,0,0,798,328,13,14,25,29,3,7,0.0,1,4,0,0,50,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,5,27,31,2,2,214.0,77.0,0,0,0,0,34,0,0,15,0,10.9,2.9,14.0,2022-10-16 13:00:00+00:00,90,0,11,0,6712,4.0,2,164,674,510,44,2022-10-16
3,2022-10-20,Thu,12,Away,L 0–2,Leeds United,Leicester City,N,CB,45,0,0,0,0,2,1,0,0,52,2,3,2,0.1,0.1,0.1,2,0,36,42,2,24,0,0,0,607,203,14,14,20,23,1,3,0.0,1,2,0,0,40,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,1,0,2,0,2,0,3,28,20,4,3,106.0,37.0,0,0,0,0,32,0,0,12,0,10.9,6.0,26.2,2022-10-20 19:15:00+00:00,45,0,12,0,7368,23.0,1,231,513,282,44,2022-10-20
4,2022-10-23,Sun,13,Home,L 2–3,Leeds United,Fulham,Y*,CB,90,0,0,0,0,1,0,1,0,83,3,3,0,0.1,0.1,0.1,0,0,58,73,3,52,0,0,0,1058,395,23,27,30,34,5,10,0.0,1,2,0,0,72,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,1,1,0,0,0,0,0,6,47,33,3,1,225.0,88.0,0,0,0,0,55,0,0,7,0,10.9,3.7,16.4,2022-10-23 13:00:00+00:00,90,0,13,0,7117,10.0,0,14,422,408,44,2022-10-23
5,2022-10-29,Sat,14,Away,W 2–1,Leeds United,Liverpool,Y*,CB,90,0,0,0,0,0,0,0,0,35,2,1,0,0.0,0.0,0.0,1,0,12,20,4,4,0,0,0,245,178,4,5,6,8,2,5,0.0,0,0,0,0,18,2,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2,1,0,0,10,1,8,20,16,0,0,17.0,13.0,0,0,1,0,1,0,0,12,0,0.1,2.0,20.2,2022-10-29 18:45:00+00:00,90,0,14,0,6486,0.0,2,-698,149,847,44,2022-10-29
6,2022-11-05,Sat,15,Home,W 4–3,Leeds United,Bournemouth,Y*,CB,90,1,0,0,0,2,1,0,0,69,0,2,0,0.2,0.2,0.0,1,1,50,59,1,38,0,0,0,1010,358,14,16,31,33,4,9,0.0,0,4,0,0,56,3,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4,0,5,25,39,6,4,195.0,90.0,0,0,1,0,42,0,0,25,0,1.5,8.7,44.2,2022-11-05 15:00:00+00:00,90,0,15,0,7553,41.0,7,887,1277,390,44,2022-11-05
7,2022-11-12,Sat,16,Away,L 3–4,Leeds United,Tottenham,Y*,CB,90,0,0,0,0,0,0,0,0,54,2,2,1,0.0,0.0,0.0,3,2,36,44,2,23,1,0,0,669,159,13,16,20,22,3,6,0.0,0,2,0,0,43,1,1,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,1,1,1,0,2,3,1,0,1,4,0,10,21,32,1,0,112.0,41.0,0,0,0,1,27,0,0,14,0,1.3,1.7,16.0,2022-11-12 15:00:00+00:00,90,0,16,0,8606,0.0,0,775,1858,1083,44,2022-11-12
8,2022-12-28,Wed,17,Home,L 1–3,Leeds United,Manchester City,Y*,CB,71,0,0,0,0,0,0,0,0,31,1,1,1,0.0,0.0,0.0,0,0,23,28,0,12,0,1,0,403,135,13,15,9,10,1,3,0.0,0,0,0,0,25,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,0,1,0,1,3,21,10,1,1,56.0,8.0,0,0,0,0,19,0,0,4,0,0.0,0.0,0.0,2022-12-28 20:00:00+00:00,71,0,17,0,7156,2.0,1,-1530,665,2195,44,2022-12-28
9,2022-12-31,Sat,18,Away,D 0–0,Leeds United,Newcastle Utd,Y*,CB,90,0,0,0,0,0,0,0,0,46,4,3,1,0.0,0.0,0.0,0,0,18,29,0,16,0,0,0,280,149,11,12,3,7,2,8,0.0,0,2,0,0,24,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,3,3,0,0,1,6,0,7,25,21,1,1,31.0,10.0,0,0,2,0,15,0,1,30,1,0.4,2.4,21.4,2022-12-31 15:00:00+00:00,90,0,18,0,6894,2.0,7,-281,127,408,44,2022-12-31
