,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2020-09-28,Mon,3,Home,L 0–3,Fulham,Aston Villa,N,CB,33,0,0,0,0,0,0,1,0,27,1,0,0,0.0,0.0,0.0,0,0,23,25,2,16,0,0,0,462,248,6,7,14,14,3,4,0.0,0,2,0,0,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,5,16,10,1,0,77.0,57.0,1,0,0,0,19,0,0,2,0,0.6,0.6,5.0,2020-09-28 16:45:00+00:00,32,0,3,0,8502,0.0,0,-1911,220,2131,44,2020-09-28
1,2020-10-04,Sun,4,Away,L 0–1,Fulham,Wolves,Y,CB,90,0,0,0,0,1,0,1,0,65,1,0,0,0.0,0.0,0.0,2,0,55,60,6,31,0,0,0,1220,492,16,18,29,29,10,13,0.1,0,2,1,0,59,1,1,0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,2,0,7,43,19,3,0,109.0,46.0,0,0,0,0,50,0,0,10,0,1.0,1.0,7.6,2020-10-04 13:00:00+00:00,90,0,4,0,7645,1.0,1,-1066,100,1166,44,2020-10-04
2,2018-08-11,Sat,1,Home,L 0–2,Fulham,Crystal Palace,Y,CB,90,0,0,0,0,0,0,0,0,98,3,1,0,0.0,0.0,0.0,0,0,74,85,10,56,0,0,0,1375,546,28,29,34,37,10,15,0.0,0,5,0,0,83,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,0,2,2,0,0,0,6,0,6,44,51,3,1,251.0,167.0,1,0,1,0,69,0,0,20,0,1.1,2.7,23.4,2018-08-11 14:00:00+00:00,90,0,1,0,16146,2.0,1,0,0,0,45,2018-08-11
3,2018-08-18,Sat,2,Away,L 1–3,Fulham,Tottenham,Y,CB,90,0,0,0,0,0,0,0,0,63,2,2,2,0.0,0.0,0.0,0,0,35,42,2,18,0,0,0,625,250,15,17,12,13,5,7,0.0,0,1,0,0,40,1,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,2,2,0,14,0,16,40,23,0,0,48.0,13.0,1,0,0,2,30,0,1,24,0,0.3,4.0,39.2,2018-08-18 14:00:00+00:00,90,0,2,0,15661,0.0,2,-1663,327,1990,45,2018-08-18
4,2018-08-26,Sun,3,Home,W 4–2,Fulham,Burnley,Y,"CB,LB",90,0,0,0,0,0,0,0,0,83,3,2,1,0.0,0.0,0.0,3,0,61,71,1,28,1,0,0,1035,483,26,27,28,31,5,10,0.0,1,2,1,0,68,3,0,0,1,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,1,2,1,1,0,6,0,10,40,36,7,0,141.0,87.0,1,0,0,0,51,0,0,20,0,11.0,4.4,33.0,2018-08-26 15:00:00+00:00,90,0,3,0,16488,0.0,1,-164,1989,2153,45,2018-08-26
5,2018-09-01,Sat,4,Away,D 2–2,Fulham,Brighton,Y,LB,90,0,0,0,0,0,0,1,0,85,4,3,1,0.0,0.0,0.0,1,0,55,77,2,28,2,1,1,905,282,27,33,21,27,5,9,0.0,0,5,0,0,62,13,2,0,0,2,11,0,2,1,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,3,5,2,0,1,2,1,3,22,54,10,0,171.0,110.0,2,0,0,0,53,1,0,6,0,2.7,1.3,9.8,2018-09-01 14:00:00+00:00,90,0,4,0,15847,0.0,0,-956,821,1777,45,2018-09-01
6,2018-10-07,Sun,8,Home,L 1–5,Fulham,Arsenal,Y,CB,90,0,0,0,0,0,0,0,0,73,2,3,1,0.0,0.0,0.0,1,0,55,61,8,26,1,1,1,992,328,20,20,30,32,3,5,0.0,0,4,0,0,56,4,4,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,1,6,0,6,23,46,4,0,100.0,72.0,2,0,0,0,46,0,0,18,0,2.0,2.0,18.0,2018-10-07 11:00:00+00:00,90,0,8,0,11410,0.0,0,-652,25,677,43,2018-10-07
7,2018-10-20,Sat,9,Away,L 2–4,Fulham,Cardiff City,Y,LB,90,0,0,0,0,0,0,0,0,55,2,2,2,0.0,0.0,0.0,0,0,30,46,2,15,1,1,1,499,179,15,17,12,18,2,8,0.0,0,1,0,0,38,8,1,0,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,2,0,0,2,18,26,12,2,110.0,63.0,1,0,0,1,28,2,0,7,0,2.0,1.5,9.2,2018-10-20 14:00:00+00:00,90,0,9,0,10950,4.0,0,-517,123,640,43,2018-10-20
8,2018-10-27,Sat,10,Home,L 0–3,Fulham,Bournemouth,Y,LB,59,0,0,0,0,1,0,0,0,56,1,1,0,0.1,0.1,0.0,2,0,33,49,5,28,3,0,0,601,250,16,16,14,22,3,11,0.0,0,6,0,0,44,5,0,0,1,2,5,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,3,0,4,19,30,7,1,179.0,133.0,0,0,0,0,36,0,0,6,0,1.3,4.5,9.2,2018-10-27 14:00:00+00:00,59,0,10,0,10547,34.0,1,-403,65,468,43,2018-10-27
9,2018-11-05,Mon,11,Away,L 0–1,Fulham,Huddersfield,Y,CB,90,0,0,0,0,0,0,0,0,71,5,1,0,0.0,0.0,0.0,0,0,37,55,4,27,0,0,0,679,348,15,16,18,23,3,9,0.0,0,0,0,0,50,3,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,0,4,4,0,0,0,8,0,14,48,23,0,0,117.0,30.0,1,0,0,1,27,0,0,13,0,0.3,2.6,25.6,2018-11-05 20:00:00+00:00,90,0,11,0,10229,0.0,2,-346,69,415,43,2018-11-05
10,2018-11-11,Sun,12,Away,L 0–2,Fulham,Liverpool,Y,LB,90,0,0,0,0,0,0,0,0,61,5,3,0,0.0,0.0,0.0,0,0,32,52,3,17,0,1,1,635,486,13,15,15,21,4,10,0.0,0,3,0,0,29,21,5,0,0,2,16,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,1,3,2,0,0,4,0,3,33,24,4,0,102.0,35.0,0,0,1,1,21,1,0,12,0,0.4,1.8,17.8,2018-11-11 12:00:00+00:00,90,0,12,0,10018,0.0,1,-238,117,355,42,2018-11-11
