,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-09-24,Sun,6,Away,W 8–0,Newcastle Utd,Sheffield Utd,N,LB,10,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,2,2,0,2,0,0,0,21,10,2,2,0,0,0,0,0.0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,3,1,1,0,7.0,1.0,0,0,0,2,2,0,0,2,0,0.0,0.1,1.0,2023-09-24 15:30:00+00:00,9,0,6,0,20548,0.0,1,-1620,579,2199,45,2023-09-24
1,2023-11-11,Sat,12,Away,L 0–2,Newcastle Utd,Bournemouth,Y,LB,45,0,0,0,0,1,1,0,0,39,4,1,1,0.0,0.0,0.0,1,0,23,29,2,14,1,1,1,385,168,9,10,13,16,1,2,0.0,0,3,0,0,26,3,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,4,1,3,0,2,3,1,0,1,0,0,2,11,24,4,1,52.0,26.0,0,1,1,0,22,0,0,13,0,0.9,3.2,14.2,2023-11-11 17:30:00+00:00,45,0,12,0,19592,17.0,1,2108,2937,829,43,2023-11-11
2,2023-12-10,Sun,16,Away,L 1–4,Newcastle Utd,Tottenham,N,LB,17,0,0,0,0,0,0,0,0,14,2,0,1,0.0,0.0,0.0,0,0,7,9,1,6,0,3,0,135,24,4,5,1,2,2,2,0.0,0,0,0,0,7,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,1,0,1,0,0,0,8,5,3,0,36.0,11.0,1,0,0,1,7,0,0,-1,0,0.3,0.5,4.6,2023-12-10 16:30:00+00:00,16,0,16,0,16781,0.0,1,-401,190,591,43,2023-12-10
3,2023-12-16,Sat,17,Home,W 3–0,Newcastle Utd,Fulham,N,LB,7,0,0,0,0,0,0,0,0,13,1,0,0,0.0,0.0,0.0,0,0,8,9,1,8,0,2,0,158,46,3,3,3,3,2,2,0.0,0,1,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,3,6,4,0,47.0,7.0,1,0,0,0,9,2,0,1,0,1.2,0.4,2.8,2023-12-16 15:00:00+00:00,6,0,17,0,16762,0.0,1,-129,415,544,43,2023-12-16
4,2023-12-23,Sat,18,Away,L 0–1,Newcastle Utd,Luton Town,N,LB,6,0,0,0,0,0,0,1,0,4,2,0,0,0.0,0.0,0.0,0,0,2,2,1,2,0,0,0,25,7,2,2,0,0,0,0,0.0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0,0,0,0,0,2,2,0,0,5.0,5.0,0,0,0,0,2,1,0,3,0,0.1,0.2,2.2,2023-12-23 15:00:00+00:00,5,0,18,0,16481,0.0,0,-311,203,514,43,2023-12-23
5,2023-12-26,Tue,19,Home,L 1–3,Newcastle Utd,Nott'ham Forest,N,LB,12,0,0,0,0,0,0,0,0,24,0,1,0,0.0,0.0,0.0,1,0,15,23,1,14,0,0,0,249,23,6,9,8,10,1,2,0.0,0,1,0,0,19,4,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,9,10,0,68.0,33.0,1,0,0,1,14,3,0,2,0,1.5,0.3,1.8,2023-12-26 12:30:00+00:00,11,0,19,0,16384,0.0,1,-179,188,367,43,2023-12-26
6,2024-01-01,Mon,20,Away,L 2–4,Newcastle Utd,Liverpool,N,LB,9,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,6,7,0,3,1,0,0,76,22,3,3,2,3,0,0,0.0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,1,0,29.0,22.0,0,0,1,0,4,1,0,3,0,0.4,0.1,0.4,2024-01-01 20:00:00+00:00,8,0,20,0,16088,0.0,1,-332,161,493,43,2024-01-01
7,2024-01-13,Sat,21,Home,L 2–3,Newcastle Utd,Manchester City,N,LW,5,0,0,0,0,0,0,0,0,2,1,0,0,0.0,0.0,0.0,0,0,2,2,0,2,0,0,0,31,10,1,1,1,1,0,0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,2,0,0,0,3.0,0.0,0,0,0,0,1,0,0,5,0,0.0,0.2,2.2,2024-01-13 17:30:00+00:00,4,0,21,0,15647,0.0,1,-536,251,787,43,2024-01-13
8,2024-03-30,Sat,30,Home,W 4–3,Newcastle Utd,West Ham,N,LB,34,0,0,0,0,0,0,0,0,31,3,1,1,0.0,0.0,0.0,0,0,19,25,1,16,2,0,0,266,41,12,13,7,10,0,1,0.2,0,1,0,0,20,5,0,0,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,0,3,3,0,0,1,1,0,2,6,15,10,3,77.0,55.0,0,1,0,2,18,7,0,4,0,1.8,1.7,8.8,2024-03-30 12:30:00+00:00,33,0,30,0,14817,6.0,1,25,138,113,42,2024-03-30
9,2024-04-02,Tue,31,Home,D 1–1,Newcastle Utd,Everton,Y,LB,78,0,0,0,0,0,0,0,0,78,2,0,2,0.0,0.0,0.1,2,0,56,67,4,31,2,1,1,896,333,33,36,21,23,2,5,0.2,1,2,2,1,61,6,2,0,0,4,3,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,1,0,2,5,0,3,34,27,17,1,169.0,107.0,1,1,1,0,52,1,3,28,1,20.8,4.5,21.8,2024-04-02 18:30:00+00:00,78,0,31,0,16214,2.0,9,1331,1598,267,42,2024-04-02
