,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,own_goals,penalties_conceded,recoveries,round,saves,selected,tackled,tackles,target_missed,threat,total_points,transfers_balance,transfers_in,transfers_out,value,winning_goals,kickoff_date
0,2018-08-12,Sun,1,Home,L 0–2,Arsenal,Manchester City,N,LB,56,0,0,0,0,0,0,0,0,42,0,0,2,0.0,0.0,0.0,0,0,30,40,1,20,2,0,0,482,183,13,14,13,17,2,5,0.0,0,0,1,1,31,9,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,0,0,0,13,15,14,1,123.0,75.0,1,0,0,1,27,5,27,0,0,0,0,0,0,22,5.8,0,0,0,0,2,0.9,11,1.0,0,2018-08-12 15:00:00+00:00,12 Aug 16:00,0,0,55,2,1,0,0,3,1,0,112156,1,0,0,2.0,1,0,0,0,50,0,2018-08-12
1,2018-10-22,Mon,9,Home,W 3–1,Arsenal,Leicester City,Y,LB,60,0,0,0,0,1,0,0,0,48,0,0,1,0.0,0.0,0.0,0,0,32,40,1,37,1,2,0,397,61,22,24,10,14,0,1,0.0,0,3,0,0,37,3,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,14,25,9,0,212.0,74.0,1,0,2,1,37,4,35,0,0,0,6,0,1,29,2.0,0,0,0,0,1,0.3,4287,0.0,0,2018-10-22 19:00:00+00:00,22 Oct 20:00,0,0,60,0,0,0,0,4,9,0,56477,3,0,1,1.0,2,-2932,422,3354,46,0,2018-10-22
2,2018-10-28,Sun,10,Away,D 2–2,Arsenal,Crystal Palace,N,RB,45,0,0,0,0,0,0,1,0,25,1,0,1,0.0,0.0,0.0,2,1,15,20,1,10,0,0,0,227,89,9,11,6,7,0,0,0.0,1,3,0,0,18,2,0,0,0,2,2,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,4,0,2,7,9,9,0,39.0,20.0,1,0,1,0,13,2,16,0,0,0,2,0,5,13,10.9,0,0,0,0,3,2.3,4833,12.4,1,2018-10-28 13:30:00+00:00,28 Oct 13:30,0,0,45,0,0,0,0,0,10,0,56009,0,1,0,0.0,0,-853,681,1534,46,0,2018-10-28
3,2018-12-05,Wed,15,Away,D 2–2,Arsenal,Manchester Utd,N,CB,55,0,0,0,0,0,0,0,0,35,0,0,2,0.0,0.0,0.0,0,0,25,29,2,18,3,0,0,366,97,14,14,9,11,1,2,0.0,0,1,0,0,28,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,3,0,5,13,15,7,0,157.0,107.0,3,0,0,0,24,0,28,0,0,0,5,0,5,25,1.9,0,0,0,0,0,1.9,7592,17.4,0,2018-12-05 20:00:00+00:00,05 Dec 20:00,0,0,54,0,0,0,0,1,15,0,50753,0,0,0,0.0,1,-408,226,634,45,0,2018-12-05
4,2018-12-08,Sat,16,Home,W 1–0,Arsenal,Huddersfield,Y,CB,45,0,0,0,0,0,0,1,0,32,0,2,1,0.0,0.0,0.0,1,0,23,28,1,13,1,0,0,427,157,10,11,9,11,4,6,0.0,0,1,0,0,22,6,3,0,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,16,14,2,0,85.0,37.0,1,0,0,0,16,0,25,0,0,0,1,0,2,20,0.3,0,0,0,0,0,0.2,8150,1.4,0,2018-12-08 15:00:00+00:00,08 Dec 15:00,0,0,45,0,0,0,0,2,16,0,51463,0,0,0,0.0,0,436,1078,642,45,0,2018-12-08
5,2018-12-16,Sun,17,Away,L 2–3,Arsenal,Southampton,Y,"CB,RB",73,0,0,0,0,0,0,0,0,78,0,1,0,0.0,0.0,0.0,0,0,53,68,3,37,4,0,0,837,270,25,26,22,28,4,9,0.0,0,3,0,0,61,7,0,0,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,17,45,16,2,228.0,180.0,2,1,1,0,54,2,60,0,0,0,10,0,3,47,2.1,0,0,0,0,0,1.3,8709,7.0,0,2018-12-16 13:30:00+00:00,16 Dec 13:30,0,0,73,0,0,0,0,4,17,0,52167,0,0,0,4.0,1,303,1327,1024,45,0,2018-12-16
6,2018-12-22,Sat,18,Home,W 3–1,Arsenal,Burnley,N,CB,54,0,0,0,0,0,0,0,0,45,3,0,0,0.0,0.0,0.0,0,0,33,40,2,24,1,1,1,551,143,19,21,10,11,4,8,0.0,0,2,0,0,39,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,1,0,3,14,28,5,0,163.0,43.0,0,0,1,0,31,0,40,0,0,0,9,0,1,33,1.1,1,0,0,0,1,1.3,9271,11.4,0,2018-12-22 12:30:00+00:00,22 Dec 12:30,0,0,53,0,0,0,0,7,18,0,55475,0,0,0,0.0,1,2787,4057,1270,45,0,2018-12-22
7,2018-12-26,Wed,19,Away,D 1–1,Arsenal,Brighton,Y,"RB,CB",90,0,0,0,0,0,0,0,0,58,2,2,0,0.0,0.0,0.0,0,0,34,52,6,22,0,0,0,523,109,15,19,18,26,0,3,0.2,0,1,3,0,49,3,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,0,0,1,3,17,24,17,4,78.0,37.0,1,0,0,3,38,6,46,0,0,0,7,0,2,32,3.1,0,0,1,0,0,1.4,9836,2.8,0,2018-12-26 17:15:00+00:00,26 Dec 17:15,0,0,90,0,0,0,0,5,19,0,54887,2,2,0,8.0,2,-712,1088,1800,45,0,2018-12-26
8,2018-12-29,Sat,20,Away,L 1–5,Arsenal,Liverpool,Y,RB,90,0,0,0,0,0,0,0,0,71,3,0,1,0.0,0.0,0.0,1,0,47,61,7,39,4,1,1,826,277,21,22,22,24,4,10,0.1,1,4,2,0,56,4,0,0,0,3,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,1,2,3,5,2,0,1,3,0,5,20,38,14,0,170.0,113.0,5,0,2,2,53,6,53,0,0,0,18,0,3,43,12.8,1,0,0,0,1,2.9,10404,15.8,1,2018-12-29 17:30:00+00:00,29 Dec 17:30,0,0,90,0,0,0,0,6,20,0,54055,2,3,0,0.0,0,-1110,796,1906,45,0,2018-12-29
9,2019-01-29,Tue,24,Home,W 2–1,Arsenal,Cardiff City,Y,RB,59,0,0,0,0,0,0,0,0,45,0,0,2,0.0,0.0,0.0,1,0,32,40,3,23,1,0,0,412,149,18,19,11,14,0,0,0.0,0,1,0,0,30,10,0,0,0,3,10,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,8,17,20,1,83.0,31.0,0,0,0,2,30,4,27,0,0,0,0,0,2,24,2.7,0,0,0,0,2,1.1,12695,5.8,0,2019-01-29 19:45:00+00:00,29 Jan 19:45,0,0,59,0,0,0,0,0,24,0,52696,2,0,0,2.0,1,-200,1073,1273,45,0,2019-01-29
