Unnamed: 0,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2018-08-11,Sat,1,Away,L 0–2,Cardiff City,Bournemouth,Y,CB,90,0,0,0,0,0,0,0,0,33,4,1,0,0.0,0.0,0.0,0,0,15,20,1,15,0,0,0,434,125,1,1,8,9,6,10,0.0,0,1,1,0,19,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,0,2,2,0,0,0,8,0,6,22,12,0,0,77.0,31.0,0,0,0,0,9,0,0,8,0,0.2,1.6,15.4,2018-08-11 14:00:00+00:00,90,0,1,0,5192,0.0,1,0,0,0,45,2018-08-11
1,2018-08-18,Sat,2,Home,D 0–0,Cardiff City,Newcastle Utd,Y,RB,90,0,0,0,0,0,0,0,0,52,4,1,1,0.0,0.0,0.0,2,0,19,38,3,18,0,0,0,269,158,15,19,2,12,2,6,0.0,0,2,0,0,30,8,1,0,0,0,7,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,1,2,1,1,0,6,0,6,13,31,8,0,73.0,28.0,2,0,0,0,21,1,0,22,1,1.6,2.7,25.2,2018-08-18 11:30:00+00:00,90,0,2,0,5565,0.0,6,-280,227,507,45,2018-08-18
2,2018-08-25,Sat,3,Away,D 0–0,Cardiff City,Huddersfield,Y,RB,90,0,0,0,0,0,0,0,0,53,2,0,1,0.0,0.0,0.0,1,0,26,44,2,16,1,0,0,474,256,9,13,14,21,3,9,0.0,1,2,0,0,34,10,0,0,0,3,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,3,0,4,11,27,15,0,43.0,29.0,0,0,2,0,19,1,0,22,1,11.9,2.8,16.4,2018-08-25 14:00:00+00:00,90,0,3,0,6623,0.0,6,327,840,513,45,2018-08-25
3,2018-09-02,Sun,4,Home,L 2–3,Cardiff City,Arsenal,Y,RB,90,0,0,0,0,0,0,0,0,36,3,2,1,0.0,0.0,0.0,1,0,14,29,5,14,0,0,0,236,184,6,13,7,12,1,3,0.0,1,3,1,0,27,2,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,3,3,0,0,1,2,1,6,13,19,4,0,72.0,47.0,0,0,2,1,9,1,0,16,0,10.5,2.3,12.2,2018-09-02 12:30:00+00:00,90,0,4,0,8578,0.0,1,867,1527,660,45,2018-09-02
4,2018-09-15,Sat,5,Away,L 1–4,Cardiff City,Chelsea,Y,"CB,RB",90,0,0,0,0,0,0,0,0,34,0,4,2,0.0,0.0,0.0,2,0,18,29,3,18,3,0,0,430,223,6,8,8,10,4,8,0.0,1,3,2,1,24,5,1,0,1,2,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,3,0,5,11,17,7,0,98.0,40.0,1,0,0,0,12,0,0,11,0,14.8,2.7,12.4,2018-09-15 14:00:00+00:00,90,0,5,0,8666,0.0,0,-288,434,722,45,2018-09-15
5,2018-09-22,Sat,6,Home,L 0–5,Cardiff City,Manchester City,Y,CB,90,0,0,0,0,0,0,0,0,34,2,2,3,0.0,0.0,0.0,0,0,15,21,0,15,0,0,0,321,167,5,6,8,10,2,5,0.0,0,1,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,2,1,3,0,7,1,10,27,7,0,0,50.0,16.0,0,0,1,0,8,0,0,16,0,0.0,2.9,29.0,2018-09-22 14:00:00+00:00,90,0,6,0,8292,0.0,0,-494,109,603,45,2018-09-22
6,2018-09-30,Sun,7,Home,L 1–2,Cardiff City,Burnley,Y,RB,90,0,1,0,0,0,0,0,0,45,0,0,0,0.0,0.0,0.1,1,1,21,36,7,17,2,0,0,477,258,7,7,9,16,5,11,0.1,1,4,1,0,31,5,1,0,0,3,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,10,24,11,1,84.0,32.0,0,0,3,0,15,1,0,20,0,11.5,4.0,26.4,2018-09-30 15:00:00+00:00,90,0,7,0,8046,2.0,4,-338,163,501,45,2018-09-30
7,2018-10-06,Sat,8,Away,L 0–1,Cardiff City,Tottenham,Y,RB,90,0,0,0,0,0,0,0,0,46,4,4,0,0.0,0.0,0.0,0,0,18,29,3,20,0,0,0,281,146,9,14,6,9,1,4,0.0,0,3,0,0,23,6,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,2,6,4,0,0,6,0,8,15,16,15,0,92.0,22.0,1,0,0,3,15,3,0,11,0,1.4,2.4,22.4,2018-10-06 14:00:00+00:00,90,0,8,0,7897,0.0,2,-192,133,325,45,2018-10-06
8,2018-10-20,Sat,9,Home,W 4–2,Cardiff City,Fulham,Y,RB,90,0,0,0,0,1,0,0,0,52,0,2,1,0.0,0.0,0.0,2,1,20,39,4,18,1,0,0,410,217,10,11,6,14,4,12,0.1,1,4,1,1,32,7,5,1,0,2,2,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,6,17,26,10,1,66.0,26.0,0,1,0,1,17,4,0,13,0,19.0,4.0,18.2,2018-10-20 14:00:00+00:00,90,0,9,0,7802,3.0,1,-207,183,390,45,2018-10-20
9,2018-10-27,Sat,10,Away,L 1–4,Cardiff City,Liverpool,Y,RB,90,0,0,0,0,0,0,0,0,35,0,6,1,0.0,0.0,0.0,0,0,9,22,1,11,2,1,1,127,53,5,7,3,8,0,6,0.0,0,1,0,0,18,4,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,7,0,10,20,16,0,0,110.0,83.0,0,0,1,0,7,1,0,14,0,0.3,1.7,16.6,2018-10-27 14:00:00+00:00,90,0,10,0,7585,0.0,0,-244,60,304,45,2018-10-27
10,2018-11-03,Sat,11,Home,L 0–1,Cardiff City,Leicester City,Y,RB,90,0,0,0,0,0,0,0,0,58,4,2,2,0.0,0.0,0.0,0,0,24,45,3,14,1,0,0,349,194,10,12,10,20,1,6,0.0,0,1,1,0,35,9,1,0,0,2,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,2,3,1,0,2,7,0,6,22,25,11,0,86.0,25.0,0,0,2,0,14,2,0,12,0,1.9,2.6,23.8,2018-11-03 15:00:00+00:00,90,0,11,0,7363,0.0,2,-270,88,358,45,2018-11-03
11,2018-11-10,Sat,12,Home,W 2–1,Cardiff City,Brighton,Y,"RB,CB",90,0,0,0,0,1,0,0,0,73,0,3,2,0.1,0.1,0.2,4,0,51,67,6,47,0,2,2,798,269,29,34,21,27,1,6,0.1,1,5,0,0,62,5,2,0,0,1,3,0,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,1,0,0,10,42,23,3,195.0,137.0,2,0,0,1,43,2,0,13,0,15.3,5.3,15.4,2018-11-10 12:30:00+00:00,90,0,12,0,7348,22.0,2,-89,97,186,45,2018-11-10
12,2018-11-24,Sat,13,Away,L 0–1,Cardiff City,Everton,Y,RB,90,0,0,0,0,0,0,0,0,29,2,2,3,0.0,0.0,0.0,0,0,12,19,2,11,0,0,0,253,196,4,6,6,6,2,7,0.0,0,0,0,0,15,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,1,0,3,4,0,5,15,12,3,0,41.0,15.0,1,0,0,0,5,0,0,10,0,0.7,1.3,11.8,2018-11-24 15:00:00+00:00,90,0,13,0,7295,0.0,2,-117,106,223,45,2018-11-24
13,2018-11-30,Fri,14,Home,W 2–1,Cardiff City,Wolves,Y,CB,90,0,0,0,0,0,0,0,0,66,6,2,0,0.0,0.0,0.0,0,0,33,55,7,24,1,0,0,580,309,19,22,10,18,4,9,0.0,0,3,0,0,43,11,3,0,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,4,2,0,2,2,0,0,0,6,0,5,22,41,4,0,150.0,97.0,0,0,0,0,22,0,0,21,0,0.9,2.6,25.0,2018-11-30 20:00:00+00:00,90,0,14,0,7403,0.0,2,62,183,121,44,2018-11-30
14,2018-12-04,Tue,15,Away,L 1–3,Cardiff City,West Ham,Y,RB,90,0,0,0,0,0,0,0,0,48,2,1,1,0.0,0.0,0.0,0,0,21,35,0,10,0,0,0,325,167,9,12,9,15,1,3,0.0,0,0,0,0,26,9,1,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,0,0,1,9,32,7,0,24.0,16.0,0,0,1,1,17,0,0,6,0,0.8,0.8,6.8,2018-12-04 19:45:00+00:00,90,0,15,0,7329,0.0,1,-84,110,194,44,2018-12-04
