Unnamed: 0,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2017-08-19,Sat,2,Home,W 1–0,Stoke City,Arsenal,N,WB,2,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,18,15,0,0,1,1,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0.0,0.0,0,0,0,0,0,0,0,3,0,0.0,0.1,1.2,2017-08-19 16:30:00+00:00,1,0,2,0,179,0.0,1,32,38,6,50,2017-08-19
1,2017-08-27,Sun,3,Away,D 1–1,Stoke City,West Brom,Y,CB,90,0,0,0,0,1,0,0,0,73,1,0,0,0.2,0.2,0.0,1,0,56,65,10,33,1,0,0,1033,383,32,34,15,19,9,12,0.1,1,13,2,2,56,9,1,0,2,3,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,6,0,3,13,49,11,1,181.0,134.0,1,0,0,0,47,3,0,19,0,21.9,5.4,24.8,2017-08-27 12:30:00+00:00,90,0,3,0,929,7.0,2,222,330,108,50,2017-08-27
2,2017-09-09,Sat,4,Home,D 2–2,Stoke City,Manchester Utd,N,CB,45,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,0,0,7,8,1,6,0,0,0,93,53,4,4,3,4,0,0,0.0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,7,4,0,0,46.0,44.0,0,0,0,0,6,0,0,4,0,0.1,0.4,4.0,2017-09-09 16:30:00+00:00,45,0,4,0,1592,0.0,0,164,328,164,50,2017-09-09
3,2017-09-16,Sat,5,Away,L 1–2,Stoke City,Newcastle Utd,Y,CB,90,0,0,0,0,0,0,0,0,46,1,2,1,0.0,0.0,0.0,1,0,30,33,1,26,0,0,0,598,164,6,7,22,23,2,3,0.0,1,1,1,1,31,2,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,8,0,7,25,19,2,1,98.0,23.0,0,0,1,0,26,1,0,20,0,14.3,4.0,23.2,2017-09-16 14:00:00+00:00,90,0,5,0,1839,2.0,1,29,240,211,50,2017-09-16
4,2017-09-23,Sat,6,Home,L 0–4,Stoke City,Chelsea,Y,CB,75,0,0,0,0,0,0,0,0,35,3,1,0,0.0,0.0,0.0,1,0,21,29,1,9,1,0,0,425,157,4,6,14,18,2,4,0.0,1,1,0,0,27,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,3,5,2,0,0,3,0,3,17,17,1,0,38.0,25.0,0,0,1,0,13,0,0,13,0,10.5,2.4,13.4,2017-09-23 14:00:00+00:00,75,0,6,0,2052,0.0,1,4,230,226,50,2017-09-23
5,2017-10-14,Sat,8,Away,L 2–7,Stoke City,Manchester City,N,CB,45,0,0,0,0,0,0,0,0,16,1,0,1,0.0,0.0,0.0,0,0,11,13,1,4,0,0,0,248,61,3,3,5,6,3,3,0.0,0,1,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,1,2,7,9,0,0,12.0,1.0,0,0,0,0,9,0,0,2,0,0.2,0.0,0.0,2017-10-14 14:00:00+00:00,45,0,8,0,1432,0.0,-1,-230,18,248,49,2017-10-14
6,2017-11-29,Wed,14,Home,L 0–3,Stoke City,Liverpool,Y,CB,90,0,0,0,0,1,0,1,0,46,3,3,1,0.0,0.0,0.0,0,0,33,37,1,28,0,0,0,799,209,6,6,19,19,8,12,0.0,0,1,0,0,35,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,1,0,1,0,1,13,32,1,0,100.0,55.0,0,0,1,0,26,0,0,11,0,0.3,2.4,16.0,2017-11-29 20:00:00+00:00,90,0,14,0,1515,8.0,0,-23,20,43,49,2017-11-29
7,2017-12-02,Sat,15,Home,W 2–1,Stoke City,Swansea City,Y,CB,52,0,0,0,0,0,0,0,0,34,1,2,0,0.0,0.0,0.0,0,0,27,31,0,25,0,0,0,569,198,6,7,19,21,2,3,0.0,0,0,0,0,29,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,14,22,0,0,106.0,42.0,0,0,0,0,22,0,0,11,0,0.1,0.6,5.8,2017-12-02 15:00:00+00:00,52,0,15,0,1574,0.0,1,26,74,48,49,2017-12-02
8,2018-01-15,Mon,23,Away,L 0–3,Stoke City,Manchester Utd,Y,CB,90,0,0,0,0,0,0,0,0,25,1,2,1,0.0,0.0,0.0,0,0,14,17,3,12,0,0,0,289,145,5,5,7,8,2,4,0.0,0,0,0,0,15,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3,2,1,0,4,0,4,14,11,0,0,50.0,13.0,0,0,0,0,13,0,0,7,0,0.0,1.4,13.8,2018-01-15 20:00:00+00:00,90,0,23,0,1302,0.0,1,-21,19,40,49,2018-01-15
9,2018-02-24,Sat,28,Away,D 1–1,Stoke City,Leicester City,Y,CB,73,0,0,0,0,0,0,0,0,22,0,0,1,0.0,0.0,0.0,0,0,10,15,2,9,0,0,0,247,114,3,3,3,5,4,5,0.0,0,2,0,0,14,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,6,10,12,0,0,41.0,26.0,0,0,0,0,9,0,0,10,0,0.0,1.5,15.2,2018-02-24 12:30:00+00:00,73,0,28,0,1588,0.0,2,-18,43,61,49,2018-02-24
