,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-27,Sun,3,Away,W 2–1,Liverpool,Newcastle Utd,Y,CB,76,0,0,0,0,1,0,0,0,46,0,1,0,0.1,0.1,0.0,0,0,34,43,3,29,1,0,0,636,284,11,11,21,27,2,5,0.0,0,3,0,0,41,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,25,20,2,1,153.0,121.0,0,0,0,0,32,0,0,10,0,0.9,1.0,5.0,2023-08-27 15:30:00+00:00,76,0,3,0,22733,4.0,2,-2828,835,3663,49,2023-08-27
1,2023-09-03,Sun,4,Home,W 3–0,Liverpool,Aston Villa,Y,CB,90,0,0,0,0,1,0,0,0,92,1,1,0,0.3,0.3,0.0,3,0,83,88,4,72,1,0,0,1276,406,44,46,37,38,1,2,0.0,1,2,0,0,88,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,2,0,8,35,52,6,4,305.0,164.0,1,0,0,0,78,0,0,24,1,11.5,3.4,12.8,2023-09-03 13:00:00+00:00,90,0,4,0,29726,10.0,6,3975,6184,2209,49,2023-09-03
2,2023-09-16,Sat,5,Away,W 3–1,Liverpool,Wolves,Y,CB,90,0,0,0,0,0,0,0,0,111,1,2,1,0.0,0.0,0.0,0,0,89,98,11,74,2,0,0,1552,507,34,36,48,52,5,7,0.0,0,9,0,0,97,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,1,0,6,0,10,39,69,3,0,454.0,342.0,3,0,1,1,79,0,0,21,0,3.2,3.0,27.0,2023-09-16 11:30:00+00:00,90,0,5,0,48819,0.0,2,12655,16530,3875,49,2023-09-16
3,2023-09-24,Sun,6,Home,W 3–1,Liverpool,West Ham,Y,CB,90,0,0,0,0,0,0,0,0,77,1,2,1,0.0,0.0,0.0,1,1,59,66,3,47,1,1,0,1001,355,23,25,32,34,4,7,0.1,0,3,2,0,65,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,5,0,9,30,40,7,1,260.0,147.0,4,0,0,1,49,0,0,15,0,2.2,2.3,18.6,2023-09-24 13:00:00+00:00,90,0,6,0,48265,2.0,2,-1109,4192,5301,49,2023-09-24
4,2023-09-30,Sat,7,Away,L 1–2,Liverpool,Tottenham,Y,CB,90,0,0,0,0,1,0,0,0,64,1,1,3,0.0,0.0,0.0,1,0,33,41,1,34,0,1,0,600,250,11,11,17,22,3,5,0.0,0,0,0,0,41,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,2,10,0,20,46,15,3,1,199.0,104.0,0,0,0,0,36,0,0,10,0,0.6,2.4,19.8,2023-09-30 16:30:00+00:00,90,1,7,0,48261,4.0,-1,-958,3470,4428,49,2023-09-30
5,2023-10-08,Sun,8,Away,D 2–2,Liverpool,Brighton,Y,CB,72,0,0,0,0,0,0,0,0,57,2,1,2,0.0,0.0,0.0,0,0,39,44,2,32,0,0,0,779,221,12,13,21,23,5,6,0.0,0,1,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2,1,2,0,5,0,7,28,27,2,0,142.0,77.0,1,0,1,1,37,0,0,11,0,0.5,2.5,24.0,2023-10-08 13:00:00+00:00,72,0,8,0,50781,0.0,2,1525,6625,5100,49,2023-10-08
6,2023-10-21,Sat,9,Home,W 2–0,Liverpool,Everton,N,CB,25,0,0,0,0,0,0,0,0,33,2,0,0,0.0,0.0,0.0,0,0,24,29,0,14,0,0,0,357,164,13,15,11,13,0,0,0.0,0,1,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,2,0,3,13,17,3,0,59.0,28.0,0,0,0,0,16,0,0,6,0,1.0,1.2,11.0,2023-10-21 11:30:00+00:00,23,0,9,0,62469,0.0,1,10277,14156,3879,49,2023-10-21
7,2023-11-12,Sun,12,Home,W 3–0,Liverpool,Brentford,Y,CB,90,0,0,0,0,1,0,1,0,58,2,0,1,0.0,0.0,0.0,2,0,40,49,1,35,0,0,0,782,276,12,16,21,24,7,7,0.0,1,3,0,0,48,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1,0,3,0,6,23,26,9,4,175.0,117.0,3,0,0,0,35,1,0,21,1,11.9,3.9,16.2,2023-11-12 14:00:00+00:00,90,0,12,0,49128,11.0,5,-2784,1219,4003,49,2023-11-12
8,2023-11-25,Sat,13,Away,D 1–1,Liverpool,Manchester City,Y,CB,90,0,0,0,0,0,0,1,0,61,1,0,4,0.0,0.0,0.0,1,0,41,49,1,42,1,0,0,734,225,17,21,21,24,3,4,0.0,0,0,0,0,49,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,4,0,5,0,14,34,26,1,0,215.0,149.0,1,0,1,1,40,0,0,10,0,0.8,3.3,32.0,2023-11-25 12:30:00+00:00,90,0,13,0,49943,0.0,1,148,2431,2283,49,2023-11-25
9,2023-12-03,Sun,14,Home,W 4–3,Liverpool,Fulham,Y,CB,68,0,0,0,0,1,0,0,0,66,1,1,4,0.0,0.0,0.0,0,0,52,57,8,42,2,0,0,970,378,21,22,28,30,3,4,0.0,0,5,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,3,1,3,0,8,30,35,1,1,233.0,157.0,0,0,0,0,49,0,0,17,0,0.7,3.1,26.4,2023-12-03 14:00:00+00:00,68,0,14,0,55513,4.0,1,4829,6433,1604,49,2023-12-03
