,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2018-09-01,Sat,4,Away,D 2–2,Fulham,Brighton,Y,CB,90,0,0,0,0,0,0,0,0,68,2,1,2,0.0,0.0,0.0,2,0,51,57,0,37,1,0,0,1024,257,18,21,24,26,8,9,0.0,1,0,0,0,55,2,2,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,1,0,1,1,4,0,8,26,41,1,0,160.0,69.0,1,0,1,0,45,0,0,18,0,10.6,3.6,25.4,2018-09-01 14:00:00+00:00,90,0,4,0,9191,0.0,1,-902,139,1041,50,2018-09-01
1,2018-09-15,Sat,5,Away,L 0–3,Fulham,Manchester City,Y,CB,90,0,0,0,0,0,0,0,0,48,0,2,4,0.0,0.0,0.0,0,0,29,35,3,28,0,0,0,605,175,11,11,13,13,5,9,0.0,0,3,0,0,34,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,7,0,11,29,20,0,0,146.0,65.0,1,0,1,0,27,0,0,17,0,0.3,3.0,29.2,2018-09-15 14:00:00+00:00,90,0,5,0,8978,0.0,1,-400,193,593,50,2018-09-15
2,2018-09-22,Sat,6,Home,D 1–1,Fulham,Watford,Y,CB,45,0,0,0,0,0,0,1,0,39,0,2,0,0.0,0.0,0.0,0,0,20,29,4,13,0,0,0,456,173,5,10,12,13,3,6,0.0,0,0,0,0,28,1,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,6,25,14,0,0,82.0,47.0,0,0,1,0,16,0,0,1,0,0.1,0.9,9.0,2018-09-22 11:30:00+00:00,45,0,6,0,8906,0.0,0,-165,226,391,50,2018-09-22
3,2018-10-20,Sat,9,Away,L 2–4,Fulham,Cardiff City,N,CB,45,0,0,0,0,1,1,0,0,35,2,0,1,0.1,0.1,0.0,0,0,21,26,1,11,0,0,0,424,161,5,6,10,12,4,6,0.0,0,1,0,0,25,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,3,0,5,17,17,1,1,57.0,44.0,0,0,2,0,15,0,0,5,0,0.4,3.5,18.0,2018-10-20 14:00:00+00:00,45,0,9,0,7729,17.0,0,-212,221,433,49,2018-10-20
4,2018-11-11,Sun,12,Away,L 0–2,Fulham,Liverpool,Y,CB,90,0,0,0,0,0,0,0,0,31,2,2,2,0.0,0.0,0.0,0,0,12,18,1,8,0,0,0,223,78,5,5,6,9,1,4,0.0,0,0,0,0,17,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,2,0,5,0,9,24,7,0,0,39.0,9.0,0,0,0,0,9,0,0,10,0,0.0,2.0,20.4,2018-11-11 12:00:00+00:00,90,0,12,0,7047,0.0,1,-246,52,298,49,2018-11-11
5,2018-11-24,Sat,13,Home,W 3–2,Fulham,Southampton,Y,CB,90,0,0,0,0,0,0,1,0,58,0,1,3,0.0,0.0,0.0,0,0,36,46,2,20,0,0,0,809,238,8,10,21,26,7,8,0.0,0,0,0,0,44,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,5,0,9,40,16,2,2,63.0,26.0,0,0,0,0,24,0,0,12,0,0.2,3.0,25.6,2018-11-24 15:00:00+00:00,90,0,13,0,7247,4.0,0,98,290,192,49,2018-11-24
6,2018-12-02,Sun,14,Away,L 0–2,Fulham,Chelsea,Y,CB,90,0,0,0,0,0,0,0,0,27,0,1,0,0.0,0.0,0.0,1,0,21,25,1,12,0,0,0,613,284,4,4,11,11,6,9,0.0,1,3,0,0,24,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,2,15,12,0,0,59.0,27.0,0,0,0,0,17,0,0,9,0,10.2,1.6,6.0,2018-12-02 12:00:00+00:00,90,0,14,0,7095,0.0,1,-149,57,206,49,2018-12-02
7,2018-12-05,Wed,15,Home,D 1–1,Fulham,Leicester City,Y,CB,90,0,0,0,0,1,0,0,0,22,0,2,0,0.0,0.0,0.0,0,0,11,15,2,4,0,0,0,218,106,5,5,4,6,2,4,0.0,0,1,0,0,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,10,10,2,1,9.0,1.0,0,0,1,0,7,0,0,8,0,0.0,0.9,4.8,2018-12-05 19:45:00+00:00,90,0,15,0,7096,4.0,2,-36,101,137,48,2018-12-05
8,2018-12-08,Sat,16,Away,L 1–4,Fulham,Manchester Utd,Y,CB,90,0,0,0,0,0,0,0,0,44,2,2,1,0.0,0.0,0.0,0,0,16,27,0,16,0,0,0,366,141,6,6,7,10,3,9,0.0,0,0,0,0,24,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,2,0,1,0,8,0,12,25,19,0,0,42.0,30.0,0,0,1,0,16,0,0,14,0,0.0,2.7,26.6,2018-12-08 15:00:00+00:00,90,0,16,0,7117,0.0,0,-20,127,147,48,2018-12-08
9,2018-12-15,Sat,17,Home,L 0–2,Fulham,West Ham,Y,CB,90,0,0,0,0,0,0,0,0,51,2,1,2,0.0,0.0,0.0,1,0,36,42,2,23,0,0,0,692,242,10,12,22,23,3,6,0.0,0,0,0,0,41,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,2,4,2,1,1,5,0,6,18,33,0,0,82.0,46.0,0,0,0,0,23,0,0,17,0,0.4,1.9,18.8,2018-12-15 17:30:00+00:00,90,0,17,0,7187,0.0,1,11,204,193,48,2018-12-15
