,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-09-02,Sat,4,Home,D 2–2,Brentford,Bournemouth,Y,CB,80,0,0,0,0,0,0,0,0,52,2,0,2,0.0,0.0,0.1,2,0,34,44,4,26,0,0,0,615,291,10,11,20,23,4,10,0.2,1,3,0,0,43,1,0,0,0,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,2,1,1,1,3,0,12,34,15,3,2,109.0,73.0,0,0,0,2,32,1,0,16,0,10.4,3.2,17.8,2023-09-02 14:00:00+00:00,80,0,4,0,305673,4.0,1,-53968,5180,59148,49,2023-09-02
1,2023-09-16,Sat,5,Away,L 0–1,Brentford,Newcastle Utd,Y,CB,71,0,0,0,0,0,0,0,0,34,3,1,0,0.0,0.0,0.0,0,0,22,28,2,20,1,0,0,314,134,13,13,9,12,0,3,0.0,0,1,0,0,25,3,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,2,2,0,0,0,1,0,2,17,17,0,0,73.0,42.0,0,0,0,2,16,0,0,12,0,0.5,0.9,8.8,2023-09-16 16:30:00+00:00,71,0,5,0,291524,0.0,2,-18052,6053,24105,49,2023-09-16
2,2023-11-04,Sat,11,Home,W 3–2,Brentford,West Ham,N,LB,1,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,1,2,0,2,0,0,0,29,0,0,0,1,1,0,1,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,4,1,0,0,11.0,0.0,0,0,0,0,2,0,0,4,0,0.0,0.5,5.0,2023-11-04 15:00:00+00:00,1,0,11,0,137946,0.0,1,-2532,3041,5573,48,2023-11-04
3,2023-11-12,Sun,12,Away,L 0–3,Brentford,Liverpool,Y,CB,90,0,0,0,0,1,0,0,0,43,1,1,0,0.1,0.1,0.0,2,0,21,33,2,22,0,0,0,330,119,12,16,7,8,2,4,0.2,1,1,0,0,30,3,1,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,4,0,6,18,17,8,3,68.0,32.0,0,0,0,0,23,3,0,11,0,14.7,3.7,13.2,2023-11-12 14:00:00+00:00,90,0,12,0,137292,9.0,1,-966,3361,4327,48,2023-11-12
4,2023-11-25,Sat,13,Home,L 0–1,Brentford,Arsenal,Y,CB,90,0,0,0,0,0,0,0,0,61,2,2,1,0.0,0.0,0.1,1,0,34,47,5,26,0,1,1,507,202,19,22,14,22,1,2,0.0,1,2,0,0,38,9,0,0,0,0,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,1,8,0,12,25,29,7,2,79.0,24.0,0,0,2,0,28,1,0,16,0,12.1,4.0,23.4,2023-11-25 17:30:00+00:00,90,0,13,0,138579,4.0,2,641,4504,3863,48,2023-11-25
5,2023-12-02,Sat,14,Home,W 3–1,Brentford,Luton Town,Y,CB,90,1,0,0,0,3,1,0,0,103,0,1,2,0.2,0.2,0.1,5,1,81,94,11,66,2,1,1,1594,523,21,23,49,54,9,13,0.0,2,17,0,0,89,5,2,0,0,0,3,0,0,3,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,2,0,5,21,74,9,5,430.0,291.0,0,0,0,1,73,0,3,38,0,23.6,11.0,57.0,2023-12-02 15:00:00+00:00,90,0,14,0,174645,29.0,14,32497,35703,3206,48,2023-12-02
6,2023-12-06,Wed,15,Away,L 1–2,Brentford,Brighton,Y,CB,90,0,0,0,0,1,0,0,0,64,1,0,2,0.1,0.1,0.0,1,0,44,53,1,36,1,1,0,829,313,17,17,21,24,5,10,0.0,0,3,0,0,50,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,3,0,5,32,29,3,1,157.0,56.0,0,0,1,0,41,0,0,11,0,1.2,1.9,14.2,2023-12-06 19:30:00+00:00,90,0,15,0,204268,4.0,1,29993,36774,6781,48,2023-12-06
7,2023-12-09,Sat,16,Away,L 0–1,Brentford,Sheffield Utd,Y,CB,90,0,0,0,0,1,0,0,0,77,2,2,0,0.1,0.1,0.0,1,0,53,66,6,55,3,1,0,981,417,18,18,28,30,6,14,0.1,0,7,2,1,65,1,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,3,2,0,0,1,1,4,31,34,12,4,400.0,294.0,4,1,3,0,53,1,0,11,0,5.6,2.9,12.4,2023-12-09 15:00:00+00:00,90,0,16,0,261056,11.0,2,50659,56879,6220,48,2023-12-09
8,2023-12-17,Sun,17,Home,L 1–2,Brentford,Aston Villa,Y,CB,70,0,0,0,0,0,0,0,1,23,0,0,1,0.0,0.0,0.0,0,0,11,19,1,12,0,0,0,168,71,5,6,5,9,0,3,0.0,0,1,0,0,17,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,4,14,7,2,1,78.0,41.0,0,0,0,0,13,0,0,-3,0,0.5,0.7,4.6,2023-12-17 14:00:00+00:00,70,0,17,0,242628,2.0,-2,-13269,11074,24343,48,2023-12-17
9,2024-01-20,Sat,21,Home,W 3–2,Brentford,Nott'ham Forest,Y,CB,90,1,0,0,0,2,1,0,0,70,2,1,3,0.1,0.1,0.0,0,0,44,56,3,32,3,1,1,874,291,18,22,20,23,6,10,0.0,1,1,0,0,47,9,2,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,3,1,2,1,6,0,8,25,35,10,1,179.0,111.0,0,0,0,0,42,0,0,26,0,11.6,10.9,62.4,2024-01-20 17:30:00+00:00,90,0,21,0,154373,35.0,7,928,9581,8653,48,2024-01-20
10,2024-01-31,Wed,22,Away,L 2–3,Brentford,Tottenham,Y,CB,90,0,0,0,0,1,0,0,0,45,4,1,3,0.1,0.1,0.0,0,0,17,28,5,9,1,0,0,352,191,7,11,6,9,4,6,0.2,0,3,2,1,24,4,1,0,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0,4,4,0,2,1,4,0,10,22,14,9,3,37.0,21.0,0,0,1,1,9,1,0,9,0,5.0,4.3,29.2,2024-01-31 19:30:00+00:00,90,0,22,0,159187,9.0,1,4301,9108,4807,48,2024-01-31
11,2024-02-05,Mon,23,Home,L 1–3,Brentford,Manchester City,Y,CB,90,0,0,0,0,0,0,0,0,53,4,1,1,0.0,0.0,0.0,0,0,29,33,1,19,0,0,0,417,241,22,23,4,5,3,5,0.0,0,3,0,0,30,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,2,2,0,0,1,10,0,11,38,13,3,0,78.0,56.0,0,0,1,0,22,1,0,12,0,0.9,2.8,27.4,2024-02-05 20:00:00+00:00,90,0,23,0,158902,0.0,1,-192,3694,3886,48,2024-02-05
12,2024-02-10,Sat,24,Away,W 2–0,Brentford,Wolves,Y,CB,90,0,0,0,0,0,0,0,0,47,1,2,2,0.0,0.0,0.0,0,0,25,36,1,18,0,0,0,432,211,12,13,12,19,1,4,0.0,0,0,0,0,28,8,1,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,1,2,0,5,0,7,28,14,5,0,72.0,34.0,0,0,0,1,19,0,0,23,1,0.6,2.1,20.0,2024-02-10 15:00:00+00:00,90,0,24,0,168195,0.0,6,8677,13917,5240,48,2024-02-10
13,2024-02-17,Sat,25,Home,L 1–4,Brentford,Liverpool,Y,CB,90,0,0,0,0,1,0,0,0,60,2,1,1,0.8,0.8,0.0,2,0,32,47,0,19,0,1,0,512,201,15,20,14,16,1,6,0.0,0,0,0,0,36,10,1,0,0,0,9,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,6,0,8,31,24,5,2,56.0,33.0,0,0,0,0,23,1,0,5,0,0.5,2.5,15.0,2024-02-17 12:30:00+00:00,90,0,25,0,215586,9.0,0,27364,35423,8059,48,2024-02-17
14,2024-02-20,Tue,18,Away,L 0–1,Brentford,Manchester City,Y,CB,90,0,0,0,0,0,0,1,0,47,1,0,2,0.0,0.0,0.0,0,0,30,39,3,12,0,0,0,479,230,14,17,9,11,5,7,0.0,0,2,0,0,32,7,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,2,0,4,0,6,26,19,2,1,67.0,15.0,0,0,1,0,23,0,0,10,0,0.5,2.2,19.2,2024-02-20 19:30:00+00:00,90,0,25,0,215586,2.0,1,27364,35423,8059,48,2024-02-20
15,2024-02-26,Mon,26,Away,L 2–4,Brentford,West Ham,Y,CB,60,0,0,0,0,0,0,0,0,45,1,0,1,0.0,0.0,0.0,0,0,33,42,4,14,0,0,0,597,223,15,17,16,19,2,5,0.0,0,1,0,0,38,4,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,1,0,7,22,22,1,0,64.0,27.0,0,0,0,0,28,0,0,9,0,0.5,0.6,5.2,2024-02-26 20:00:00+00:00,60,0,26,0,202641,0.0,1,3813,11733,7920,48,2024-02-26
16,2022-08-07,Sun,1,Away,D 2–2,Brentford,Leicester City,Y,CB,58,0,0,0,0,0,0,0,0,69,0,1,0,0.0,0.0,0.0,0,0,55,65,4,56,1,0,0,1007,337,23,25,25,30,6,7,0.0,0,3,1,0,64,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,33,35,1,0,229.0,159.0,0,0,2,0,57,0,0,9,0,1.4,0.9,7.8,2022-08-07 13:00:00+00:00,58,0,1,0,26294,0.0,0,0,0,0,45,2022-08-07
17,2022-08-13,Sat,2,Home,W 4–0,Brentford,Manchester Utd,Y,CB,90,1,0,0,0,1,1,0,0,33,0,2,1,0.4,0.4,0.0,0,0,15,26,1,13,0,0,0,251,104,7,9,6,10,2,5,0.0,0,1,0,0,21,5,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,2,0,6,19,10,4,2,17.0,5.0,0,0,1,0,14,0,2,32,1,0.3,7.5,39.2,2022-08-13 16:30:00+00:00,90,0,2,0,27610,35.0,14,-1824,1026,2850,45,2022-08-13
18,2022-08-20,Sat,3,Away,L 2–3,Brentford,Fulham,Y,CB,90,0,0,0,0,2,0,1,0,83,1,1,1,0.1,0.1,0.0,2,0,56,75,5,42,0,0,0,1216,393,17,22,30,32,9,16,0.1,0,2,2,0,70,4,2,0,2,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,8,42,34,7,3,156.0,77.0,1,0,1,0,48,0,0,7,0,1.0,2.2,7.6,2022-08-20 14:00:00+00:00,90,0,3,0,366260,13.0,0,255395,291643,36248,46,2022-08-20
19,2022-08-27,Sat,4,Home,D 1–1,Brentford,Everton,Y,CB,90,0,0,0,0,1,0,0,0,79,0,4,2,0.1,0.1,0.0,3,0,54,65,0,52,0,0,0,1014,362,18,20,31,35,5,10,0.0,0,2,0,0,62,3,2,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,6,0,11,39,37,3,1,214.0,104.0,0,0,0,0,49,0,0,17,0,1.8,3.2,26.6,2022-08-27 14:00:00+00:00,90,0,4,0,351329,4.0,2,-14012,56202,70214,46,2022-08-27
20,2022-08-30,Tue,5,Away,D 1–1,Brentford,Crystal Palace,Y,CB,90,0,0,0,0,2,0,0,0,74,1,1,0,0.3,0.3,0.0,0,0,55,68,0,49,0,0,0,996,327,17,18,31,37,6,10,0.0,0,1,0,0,66,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,6,36,35,3,2,155.0,63.0,0,0,0,0,48,0,0,6,0,1.1,1.8,5.6,2022-08-30 18:30:00+00:00,90,0,5,0,327429,11.0,2,-28805,21983,50788,46,2022-08-30
21,2022-09-03,Sat,6,Home,W 5–2,Brentford,Leeds United,Y,CB,90,0,0,0,0,0,0,0,0,49,4,5,0,0.0,0.0,0.0,0,0,21,33,0,18,0,0,0,515,242,7,8,9,14,5,11,0.0,0,2,0,0,29,4,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,2,3,1,0,0,5,0,8,31,17,1,0,59.0,30.0,0,0,1,0,17,0,0,12,0,0.3,2.2,21.4,2022-09-03 14:00:00+00:00,90,0,6,0,318885,0.0,1,-14080,21638,35718,46,2022-09-03
22,2022-09-18,Sun,8,Home,L 0–3,Brentford,Arsenal,Y,CB,90,0,0,0,0,0,0,0,0,57,0,4,1,0.0,0.0,0.0,1,0,31,46,2,28,0,0,0,625,250,10,14,14,17,6,11,0.0,0,2,0,0,39,6,0,0,0,0,6,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,10,32,22,3,3,92.0,28.0,1,0,0,1,26,0,0,9,0,0.2,2.2,15.6,2022-09-18 11:00:00+00:00,90,0,8,0,296865,6.0,1,-9509,9032,18541,45,2022-09-18
23,2022-10-01,Sat,9,Away,D 0–0,Brentford,Bournemouth,Y,CB,90,0,0,0,0,1,1,0,0,83,3,1,2,0.0,0.0,0.0,0,0,55,70,2,50,0,1,1,1102,370,18,22,31,37,6,11,0.0,0,2,0,0,67,3,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,1,1,0,2,0,4,0,11,42,37,4,2,189.0,100.0,0,0,0,0,51,0,1,29,1,0.7,5.2,31.8,2022-10-01 14:00:00+00:00,90,0,9,0,309773,19.0,7,5676,29128,23452,45,2022-10-01
24,2022-10-08,Sat,10,Away,L 1–5,Brentford,Newcastle Utd,Y,CB,70,0,0,0,0,0,0,0,0,35,1,2,2,0.0,0.0,0.0,0,0,24,29,1,15,0,0,0,436,139,10,14,10,10,3,4,0.0,0,0,0,0,28,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,2,0,0,0,6,18,15,2,1,51.0,19.0,0,0,0,0,17,1,0,10,0,0.5,1.8,15.0,2022-10-08 14:00:00+00:00,70,0,10,0,336793,2.0,1,24945,46116,21171,45,2022-10-08
25,2022-10-14,Fri,11,Home,W 2–0,Brentford,Brighton,Y,CB,90,0,0,0,0,1,0,0,0,37,0,1,5,0.1,0.1,0.0,0,0,12,23,1,10,0,0,0,241,97,5,7,6,10,1,6,0.0,0,1,0,0,19,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,4,0,12,22,11,4,2,47.0,27.0,0,0,1,0,10,0,0,23,1,0.3,3.4,27.2,2022-10-14 19:00:00+00:00,90,0,11,0,336232,6.0,6,-1352,18302,19654,45,2022-10-14
26,2022-10-19,Wed,12,Home,D 0–0,Brentford,Chelsea,Y,CB,90,0,0,0,0,0,0,0,0,44,3,0,2,0.0,0.0,0.0,0,0,20,30,2,18,0,0,0,326,173,9,11,10,13,1,4,0.2,0,1,0,0,28,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,3,3,0,2,0,5,0,7,17,24,4,1,43.0,14.0,0,0,0,0,14,1,0,23,1,0.7,2.7,24.6,2022-10-19 18:30:00+00:00,90,0,12,0,371047,2.0,6,24903,38588,13685,45,2022-10-19
27,2022-10-29,Sat,14,Home,D 1–1,Brentford,Wolves,Y,CB,90,1,0,0,0,2,1,0,0,63,0,0,1,0.2,0.2,0.1,2,0,52,56,0,38,0,0,0,1016,433,17,18,28,28,7,9,0.0,1,0,0,0,53,3,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,4,1,13,49,11,3,3,153.0,77.0,0,0,0,0,41,0,3,28,0,10.3,8.2,48.6,2022-10-29 14:00:00+00:00,90,0,14,0,445506,23.0,11,7184,33691,26507,45,2022-10-29
28,2022-11-05,Sat,15,Away,D 2–2,Brentford,Nott'ham Forest,Y,CB,90,0,0,0,0,0,0,0,0,92,0,0,1,0.0,0.0,0.0,1,0,75,87,1,71,0,0,0,1518,576,28,31,34,40,13,16,0.0,0,3,0,0,87,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,10,69,23,0,0,352.0,165.0,0,0,0,0,69,0,0,13,0,0.1,2.0,19.6,2022-11-05 15:00:00+00:00,90,0,15,0,549828,0.0,1,91856,104484,12628,46,2022-11-05
29,2022-11-12,Sat,16,Away,W 2–1,Brentford,Manchester City,Y,CB,90,0,0,0,0,0,0,0,0,27,1,0,3,0.0,0.0,0.0,0,0,7,15,2,8,0,0,0,107,69,2,5,5,8,0,2,0.0,1,2,0,0,13,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,3,0,5,0,12,16,8,3,3,20.0,7.0,0,0,2,0,11,1,0,18,0,0.3,3.2,25.8,2022-11-12 12:30:00+00:00,90,0,16,0,510361,6.0,5,-34242,24393,58635,46,2022-11-12
30,2022-12-26,Mon,17,Home,D 2–2,Brentford,Tottenham,Y,CB,90,0,0,0,0,0,0,0,0,47,2,0,0,0.0,0.0,0.1,0,0,28,35,0,19,1,0,0,590,257,7,9,10,11,7,11,0.0,1,1,0,0,33,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,3,2,0,0,6,0,7,22,15,10,3,71.0,30.0,1,0,1,0,20,0,0,15,0,11.3,3.4,16.6,2022-12-26 12:30:00+00:00,90,0,17,0,597542,6.0,1,79604,233174,153570,46,2022-12-26
31,2022-12-30,Fri,18,Away,W 2–0,Brentford,West Ham,Y,CB,90,0,0,0,0,0,0,0,0,52,0,2,4,0.0,0.0,0.0,0,0,36,44,1,20,0,0,0,773,381,13,14,18,21,5,8,0.0,0,3,0,0,35,9,2,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,5,23,26,3,0,143.0,24.0,1,1,0,0,23,0,0,25,1,0.8,1.8,17.6,2022-12-30 19:45:00+00:00,90,0,18,0,603907,0.0,6,5403,28413,23010,46,2022-12-30
32,2023-01-02,Mon,19,Home,W 3–1,Brentford,Liverpool,Y,CB,90,0,0,0,0,0,0,0,0,51,2,0,3,0.0,0.0,0.0,0,0,16,36,1,18,0,0,0,228,160,9,9,7,11,0,13,0.0,0,2,0,0,28,7,1,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,4,0,8,30,17,4,1,39.0,7.0,0,0,3,0,18,1,0,10,0,0.1,2.4,21.8,2023-01-02 17:30:00+00:00,90,0,19,0,639581,2.0,2,34393,52803,18410,46,2023-01-02
33,2023-01-14,Sat,20,Home,W 2–0,Brentford,Bournemouth,Y,CB,90,0,0,0,0,1,0,0,0,77,1,3,0,0.1,0.1,0.0,0,0,53,66,3,45,0,0,0,922,384,23,27,27,31,2,5,0.0,0,4,0,0,58,8,1,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,0,8,33,40,5,2,188.0,86.0,0,0,0,0,44,0,1,28,1,0.8,2.2,15.2,2023-01-14 17:30:00+00:00,90,0,20,0,805447,6.0,7,154060,192711,38651,46,2023-01-14
34,2023-01-22,Sun,21,Away,D 0–0,Brentford,Leeds United,Y,CB,90,0,0,0,0,0,0,0,0,72,1,0,1,0.0,0.0,0.0,0,0,43,68,4,23,0,1,1,676,426,23,29,17,26,3,9,0.0,0,1,1,0,58,9,0,0,0,1,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,2,32,32,8,2,71.0,29.0,0,0,0,0,35,2,0,19,1,1.3,1.6,11.0,2023-01-22 14:00:00+00:00,90,0,21,0,995217,4.0,6,187432,208707,21275,47,2023-01-22
