,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-12,Sat,1,Away,W 1–0,Crystal Palace,Sheffield Utd,Y,LB,90,0,0,0,0,0,0,0,0,93,2,0,1,0.0,0.0,0.0,1,0,66,85,3,57,1,1,1,1019,429,32,36,29,33,3,8,0.0,0,2,1,0,65,19,1,0,0,0,18,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,1,4,0,2,34,44,18,1,218.0,115.0,0,0,1,0,55,7,2,29,1,2.6,1.9,14.6,2023-08-12 14:00:00+00:00,90,0,1,0,19560,2.0,8,0,0,0,45,2023-08-12
1,2023-08-21,Mon,2,Home,L 0–1,Crystal Palace,Arsenal,Y,LB,90,0,0,0,0,1,0,0,0,65,3,0,1,0.1,0.1,0.3,3,0,40,53,2,30,1,1,0,569,135,24,26,14,21,1,3,0.1,2,1,2,1,40,13,0,0,0,5,13,0,0,2,0,0,0,0,1,0,0,0,0,0,0,2,1,0,2,1,1,0,0,1,2,0,4,18,15,32,3,81.0,29.0,0,1,3,2,35,11,0,15,0,28.2,4.7,10.8,2023-08-21 19:00:00+00:00,90,0,2,0,68294,8.0,2,17680,21301,3621,45,2023-08-21
2,2023-08-26,Sat,3,Away,D 1–1,Crystal Palace,Brentford,Y,LB,90,0,0,0,0,0,0,0,0,33,1,0,1,0.0,0.0,0.0,0,0,19,29,1,16,0,1,1,341,102,9,10,8,14,2,3,0.0,0,0,1,1,21,8,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,2,0,2,14,9,10,1,39.0,13.0,0,0,1,0,16,3,0,13,0,8.9,2.1,9.6,2023-08-26 14:00:00+00:00,90,0,3,0,83531,2.0,2,11191,17540,6349,45,2023-08-26
3,2023-09-03,Sun,4,Home,W 3–2,Crystal Palace,Wolves,Y,LB,90,0,1,0,0,0,0,0,0,51,0,0,0,0.0,0.0,0.2,3,1,38,47,3,22,0,1,0,512,163,22,25,15,19,0,1,0.2,1,0,2,1,36,11,3,0,0,1,8,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,17,16,19,2,57.0,27.0,0,0,0,2,23,4,0,24,0,17.6,4.5,23.8,2023-09-03 13:00:00+00:00,90,0,4,0,93828,4.0,4,6535,14849,8314,45,2023-09-03
4,2023-09-16,Sat,5,Away,L 1–3,Crystal Palace,Aston Villa,Y,LB,90,0,0,0,0,0,0,0,0,52,0,1,0,0.0,0.0,0.0,0,0,35,46,0,23,2,1,1,549,272,20,23,11,14,2,7,0.0,0,2,0,0,36,10,1,0,0,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6,0,7,21,17,16,1,141.0,108.0,2,0,0,0,25,2,0,14,0,2.1,1.7,13.2,2023-09-16 14:00:00+00:00,90,0,5,0,104512,2.0,1,7784,15975,8191,45,2023-09-16
5,2023-09-23,Sat,6,Home,D 0–0,Crystal Palace,Fulham,Y,LB,90,0,0,0,0,0,0,1,0,58,1,0,3,0.0,0.0,0.0,0,0,32,47,1,21,0,1,0,443,200,22,26,7,11,2,7,0.0,0,0,0,0,39,8,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,2,6,0,6,29,12,18,0,50.0,14.0,1,0,1,1,29,6,0,18,1,2.5,1.7,14.8,2023-09-23 14:00:00+00:00,90,0,6,0,115034,0.0,5,8825,15190,6365,45,2023-09-23
6,2023-09-30,Sat,7,Away,W 1–0,Crystal Palace,Manchester Utd,Y,LB,90,0,0,0,0,0,0,0,0,43,3,3,4,0.0,0.0,0.0,0,0,15,24,0,12,2,1,0,300,195,6,7,7,12,2,4,0.0,0,0,0,0,19,5,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,1,3,1,4,0,7,29,10,4,0,101.0,36.0,0,0,2,0,14,2,0,20,1,0.8,2.8,27.2,2023-09-30 14:00:00+00:00,90,0,7,0,115587,0.0,6,513,10092,9579,45,2023-09-30
7,2023-10-07,Sat,8,Home,D 0–0,Crystal Palace,Nott'ham Forest,Y,LB,90,0,0,0,0,0,0,0,0,66,4,1,0,0.0,0.0,0.1,4,0,50,58,10,35,1,1,1,908,363,23,26,20,22,7,9,0.1,2,11,2,1,53,5,1,0,0,2,4,0,0,4,0,0,0,0,0,0,0,0,0,0,0,3,4,0,0,2,2,0,0,0,1,0,2,16,38,14,0,136.0,64.0,2,0,2,1,46,7,0,32,1,32.6,5.6,23.6,2023-10-07 16:30:00+00:00,90,0,8,0,162568,0.0,6,40887,55928,15041,45,2023-10-07
8,2023-10-21,Sat,9,Away,L 0–4,Crystal Palace,Newcastle Utd,Y,LB,90,0,0,0,0,1,0,1,0,77,5,1,1,0.0,0.0,0.1,2,0,38,61,4,38,0,1,0,629,322,18,22,18,29,2,4,0.2,1,2,1,0,50,11,0,0,0,4,11,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,2,2,0,1,6,0,6,27,34,16,3,116.0,64.0,1,0,2,0,38,7,0,6,0,12.2,3.9,20.0,2023-10-21 14:00:00+00:00,90,0,9,0,167352,7.0,-1,7306,17308,10002,45,2023-10-21
9,2023-10-27,Fri,10,Home,L 1–2,Crystal Palace,Tottenham,Y,LB,69,0,0,0,0,0,0,0,0,26,1,2,1,0.0,0.0,0.0,0,0,13,19,1,9,0,1,1,226,77,5,7,8,11,0,1,0.0,0,0,0,0,14,5,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,4,11,10,5,0,33.0,4.0,0,0,0,0,9,0,0,9,0,0.7,0.6,4.8,2023-10-27 19:00:00+00:00,69,0,10,0,162620,0.0,1,-4716,9123,13839,45,2023-10-27
