,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-12,Sat,1,Home,L 0–1,Everton,Fulham,Y,CB,90,0,0,0,0,2,2,0,0,62,2,2,0,0.0,0.0,0.0,1,0,46,52,5,39,1,0,0,980,372,12,13,27,30,6,8,0.0,0,7,0,0,52,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,3,0,9,29,28,5,2,171.0,79.0,0,0,1,0,43,0,0,16,0,1.5,5.6,20.6,2023-08-12 14:00:00+00:00,90,0,1,0,21879,34.0,2,0,0,0,45,2023-08-12
1,2023-08-20,Sun,2,Away,L 0–4,Everton,Aston Villa,Y,CB,90,0,0,0,0,0,0,1,0,54,1,1,0,0.0,0.0,0.0,1,0,38,49,1,35,1,0,0,815,245,8,11,24,25,6,12,0.0,0,0,0,0,48,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,4,1,8,25,28,1,0,120.0,83.0,0,0,0,0,39,0,0,6,0,0.5,0.8,7.2,2023-08-20 13:00:00+00:00,90,0,2,0,28206,0.0,-1,-164,1991,2155,45,2023-08-20
2,2023-08-26,Sat,3,Home,L 0–1,Everton,Wolves,N,DM,1,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,2,0,1,0,0,0,9,0,1,1,0,1,0,0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1.0,0.0,0,0,0,1,2,0,0,2,0,0.3,0.4,0.0,2023-08-26 14:00:00+00:00,1,0,3,0,26734,4.0,1,-2553,895,3448,45,2023-08-26
3,2023-10-21,Sat,9,Away,L 0–2,Everton,Liverpool,N,CB,45,0,0,0,0,0,0,0,0,16,1,1,2,0.0,0.0,0.0,1,0,7,10,0,3,0,0,0,163,95,2,2,4,6,1,2,0.0,0,1,0,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2,0,0,0,1,10,3,3,1,2.0,0.0,0,0,0,0,7,0,0,0,0,0.3,1.0,7.8,2023-10-21 11:30:00+00:00,45,0,9,0,21405,2.0,0,-727,313,1040,43,2023-10-21
4,2023-12-16,Sat,17,Away,W 2–0,Everton,Burnley,Y,CB,90,1,0,0,0,3,2,0,0,56,0,0,2,0.6,0.6,0.0,1,1,31,41,3,35,0,0,0,673,222,8,11,18,19,4,9,0.0,0,3,0,0,40,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,8,0,13,28,22,6,4,107.0,24.0,0,0,0,2,34,2,2,32,1,0.7,10.3,58.8,2023-12-16 17:30:00+00:00,90,0,17,0,19655,43.0,14,-417,176,593,43,2023-12-16
5,2023-12-27,Wed,19,Home,L 1–3,Everton,Manchester City,N,CB,26,0,0,0,0,0,0,0,0,15,2,0,0,0.0,0.0,0.0,0,0,10,13,1,9,1,0,0,206,34,1,1,6,7,2,4,0.0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,2,5,9,2,0,40.0,21.0,1,0,0,0,7,0,0,3,0,0.5,0.4,3.4,2023-12-27 20:15:00+00:00,25,0,19,0,22765,0.0,1,142,753,611,43,2023-12-27
6,2023-12-30,Sat,20,Away,L 0–3,Everton,Wolves,Y,CB,62,0,0,0,0,1,0,0,0,36,1,1,0,0.1,0.1,0.0,0,0,19,28,0,15,0,1,1,342,159,8,12,9,13,2,2,0.0,0,1,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,3,0,0,3,0,2,16,17,3,2,72.0,27.0,0,0,1,0,19,0,0,10,0,0.2,1.5,8.2,2023-12-30 15:00:00+00:00,62,0,20,0,22990,7.0,1,128,810,682,43,2023-12-30
7,2024-04-15,Mon,33,Away,L 0–6,Everton,Chelsea,N,CB,34,0,0,0,0,0,0,1,0,29,0,0,1,0.0,0.0,0.0,0,0,19,26,4,17,1,2,1,331,134,7,9,10,12,2,5,0.0,0,3,0,0,24,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,9,19,2,1,82.0,62.0,1,0,0,0,19,1,0,0,0,0.6,0.5,2.2,2024-04-15 19:00:00+00:00,33,0,33,0,21386,2.0,-1,-191,77,268,43,2024-04-15
8,2024-04-27,Sat,35,Home,W 1–0,Everton,Brentford,N,FW,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,2024-04-27 16:30:00+00:00,1,0,35,0,21251,0.0,1,-241,84,325,43,2024-04-27
9,2022-08-27,Sat,4,Away,D 1–1,Everton,Brentford,N,CB,23,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,1,0,2,4,0,1,0,0,0,21,8,2,2,0,1,0,0,0.0,0,1,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,6,1,3,0,6.0,5.0,0,0,1,0,3,0,0,4,0,0.3,0.7,6.4,2022-08-27 14:00:00+00:00,22,0,4,0,50881,0.0,1,-7384,509,7893,44,2022-08-27
