Unnamed: 0,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2017-08-12,Sat,1,Away,D 0–0,Swansea City,Southampton,Y,LB,90,0,0,0,0,0,0,0,0,53,0,0,3,0.0,0.0,0.0,0,0,26,43,3,24,2,0,0,455,118,10,16,13,17,2,9,0.0,0,0,0,0,36,7,0,0,1,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,4,0,5,14,26,13,0,150.0,75.0,4,0,2,0,31,3,0,20,1,1.8,0.7,5.0,2017-08-12 14:00:00+00:00,90,0,1,0,11361,0.0,6,0,0,0,50,2017-08-12
1,2017-08-19,Sat,2,Home,L 0–4,Swansea City,Manchester Utd,Y,"LW,LB",90,0,0,0,0,0,0,0,0,67,0,3,0,0.0,0.0,0.0,1,0,37,59,3,35,1,0,0,484,180,28,32,8,13,1,9,0.0,0,1,1,0,47,12,0,0,0,4,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,14,25,28,1,122.0,55.0,2,0,1,1,41,4,0,10,0,2.9,1.3,7.8,2017-08-19 11:30:00+00:00,90,0,2,0,14393,2.0,0,104,745,641,50,2017-08-19
2,2017-08-26,Sat,3,Away,W 2–0,Swansea City,Crystal Palace,Y,"WB,LB",90,0,0,0,0,0,0,0,0,42,2,0,0,0.0,0.0,0.0,0,0,25,36,1,19,0,0,0,483,102,13,13,9,13,3,10,0.0,0,1,0,0,30,6,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,1,0,0,3,0,5,11,27,4,0,84.0,17.0,0,0,2,0,23,1,0,25,1,5.1,1.6,10.8,2017-08-26 14:00:00+00:00,90,0,3,0,14452,0.0,6,-544,799,1343,50,2017-08-26
3,2017-09-10,Sun,4,Home,L 0–1,Swansea City,Newcastle Utd,Y,LB,90,0,0,0,0,0,0,0,0,59,1,2,0,0.0,0.0,0.0,0,0,35,53,3,33,6,1,0,651,267,15,18,16,23,4,11,0.0,0,4,1,1,47,6,0,0,0,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,3,0,2,18,24,17,0,274.0,180.0,3,0,1,0,40,8,0,14,0,9.8,2.4,14.6,2017-09-10 15:00:00+00:00,90,0,4,0,16430,0.0,2,991,2027,1036,50,2017-09-10
4,2017-09-16,Sat,5,Away,D 0–0,Swansea City,Tottenham,Y,"WB,LB",90,0,0,0,0,0,0,0,0,33,0,0,0,0.0,0.0,0.0,1,0,17,23,2,10,0,0,0,253,139,9,10,4,4,2,6,0.0,0,1,0,0,18,5,1,0,0,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,7,14,9,10,0,44.0,17.0,1,0,0,0,13,3,0,21,1,1.3,1.2,10.8,2017-09-16 16:30:00+00:00,90,0,5,0,15892,0.0,6,-777,416,1193,50,2017-09-16
5,2017-09-23,Sat,6,Home,L 1–2,Swansea City,Watford,Y,"LB,WB",90,0,0,0,0,0,0,0,0,59,2,0,1,0.0,0.0,0.1,1,0,39,51,2,32,3,1,1,652,204,23,23,13,19,3,8,0.1,1,2,2,1,42,9,0,0,1,6,9,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,2,0,3,12,31,17,2,193.0,96.0,1,0,2,5,40,5,0,11,0,20.2,4.0,16.2,2017-09-23 14:00:00+00:00,90,0,6,0,17285,4.0,1,909,1956,1047,50,2017-09-23
6,2017-09-30,Sat,7,Away,L 0–1,Swansea City,West Ham,Y,LB,86,0,0,0,0,2,0,0,0,73,0,3,1,0.1,0.1,0.0,0,0,42,61,4,40,5,3,0,604,210,27,30,13,18,2,8,0.0,0,0,0,0,51,10,1,0,0,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,9,38,26,0,335.0,162.0,5,0,1,0,45,5,0,18,1,3.3,0.7,1.6,2017-09-30 14:00:00+00:00,86,0,7,0,16830,2.0,6,-682,557,1239,50,2017-09-30
7,2017-10-14,Sat,8,Home,W 2–0,Swansea City,Huddersfield,Y,LB,90,0,0,0,0,0,0,0,0,59,1,2,1,0.0,0.0,0.0,1,0,39,48,3,28,2,0,0,562,231,24,24,12,15,2,7,0.0,1,1,0,0,40,8,1,0,0,1,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,3,0,3,12,32,15,2,195.0,78.0,2,1,1,1,35,4,0,25,1,12.8,3.4,17.0,2017-10-14 14:00:00+00:00,90,0,8,0,18010,4.0,6,713,1659,946,50,2017-10-14
8,2017-10-21,Sat,9,Home,L 1–2,Swansea City,Leicester City,Y,LB,90,0,0,0,0,0,0,0,0,71,2,0,0,0.0,0.0,0.1,4,0,46,62,5,26,7,0,0,754,320,28,33,11,17,6,9,0.0,2,5,3,3,47,15,0,0,0,10,15,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,2,1,0,0,3,0,2,14,35,23,2,257.0,143.0,4,1,2,3,38,7,0,12,0,35.0,5.4,15.2,2017-10-21 14:00:00+00:00,90,0,9,0,21867,4.0,1,3328,4528,1200,50,2017-10-21
9,2017-11-18,Sat,12,Away,L 0–2,Swansea City,Burnley,Y,LB,90,0,0,0,0,1,0,0,0,56,0,0,0,0.1,0.1,0.1,1,0,38,48,2,23,5,0,0,551,213,23,25,10,14,3,6,0.0,1,3,1,1,42,6,1,0,0,6,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,15,24,17,3,177.0,124.0,2,0,2,0,34,6,0,11,0,16.6,4.8,9.2,2017-11-18 15:00:00+00:00,90,0,12,0,14646,22.0,1,-1164,172,1336,50,2017-11-18
