Unnamed: 0,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2017-08-12,Sat,1,Away,D 0–0,Swansea City,Southampton,Y,RB,90,0,0,0,0,0,0,0,0,63,1,5,7,0.0,0.0,0.0,1,0,35,47,4,9,0,0,0,619,207,17,19,15,22,3,5,0.0,0,3,0,0,39,8,1,0,1,0,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,3,4,5,0,7,24,34,6,0,56.0,39.0,0,0,0,0,30,2,1,28,1,1.3,3.2,30.2,2017-08-12 14:00:00+00:00,90,0,1,0,77639,0.0,7,0,0,0,45,2017-08-12
1,2017-08-19,Sat,2,Home,L 0–4,Swansea City,Manchester Utd,Y,"RW,RB",90,0,0,0,0,0,0,0,0,73,3,0,0,0.0,0.0,0.0,0,0,42,63,9,39,1,0,0,767,405,22,26,12,23,7,10,0.0,0,4,1,1,50,13,2,0,2,5,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,3,4,1,0,0,5,0,5,16,39,18,2,128.0,79.0,1,1,2,0,39,1,0,14,0,5.9,3.2,21.6,2017-08-19 11:30:00+00:00,90,0,2,0,96079,4.0,0,5683,10245,4562,45,2017-08-19
2,2017-08-26,Sat,3,Away,W 2–0,Swansea City,Crystal Palace,Y,"WB,RB",87,0,1,0,0,0,0,0,0,75,1,2,1,0.0,0.0,0.1,5,2,48,64,5,35,2,1,0,744,244,30,33,12,18,4,9,0.0,2,5,0,0,50,13,0,0,1,0,13,0,1,4,0,0,0,0,1,1,0,0,0,0,1,1,0,1,0,1,2,1,0,1,4,0,2,22,38,15,1,147.0,77.0,2,1,1,1,44,1,3,38,1,23.7,5.6,30.0,2017-08-26 14:00:00+00:00,87,0,3,0,94689,2.0,12,-2870,5069,7939,45,2017-08-26
3,2017-09-10,Sun,4,Home,L 0–1,Swansea City,Newcastle Utd,Y,RB,90,0,0,0,0,0,0,1,0,104,0,1,0,0.0,0.0,0.0,1,0,70,94,7,54,1,0,0,1319,457,32,35,30,38,8,16,0.1,1,8,2,2,79,15,1,0,1,7,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,6,0,4,21,50,33,1,162.0,38.0,1,0,2,1,69,11,0,11,0,23.4,4.5,19.2,2017-09-10 15:00:00+00:00,90,0,4,0,225178,2.0,1,114264,135333,21069,45,2017-09-10
4,2017-09-16,Sat,5,Away,D 0–0,Swansea City,Tottenham,Y,"WB,RB",90,0,0,0,0,0,0,0,0,37,5,2,0,0.0,0.0,0.0,0,0,16,27,3,12,0,1,1,324,166,6,9,7,12,2,3,0.0,0,4,0,0,24,3,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,1,3,5,2,0,0,2,0,1,14,21,2,0,41.0,18.0,0,0,0,0,16,0,0,20,1,0.8,1.5,14.2,2017-09-16 16:30:00+00:00,90,0,5,0,234468,0.0,6,6158,29033,22875,45,2017-09-16
5,2017-09-23,Sat,6,Home,L 1–2,Swansea City,Watford,Y,"RB,WB",90,0,0,0,0,0,0,0,0,76,3,0,2,0.0,0.0,0.0,2,0,43,69,8,29,2,3,2,746,416,21,26,16,27,5,12,0.0,0,9,1,0,54,15,0,0,0,5,15,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,3,2,0,2,1,0,3,20,38,18,1,177.0,80.0,1,0,1,1,39,4,0,12,0,3.7,1.9,12.8,2017-09-23 14:00:00+00:00,90,0,6,0,307521,2.0,1,65801,83448,17647,46,2017-09-23
6,2017-09-30,Sat,7,Away,L 0–1,Swansea City,West Ham,Y,RB,90,0,0,0,0,0,0,0,0,93,3,4,3,0.0,0.0,0.0,2,0,55,82,6,33,0,3,2,820,318,34,41,18,26,2,13,0.0,0,4,0,0,63,19,2,0,1,3,17,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,2,1,0,1,1,0,0,3,4,0,4,22,55,18,1,188.0,79.0,1,0,1,1,47,6,0,21,0,4.6,2.8,21.6,2017-09-30 14:00:00+00:00,90,0,7,0,305079,2.0,2,-3951,14885,18836,46,2017-09-30
7,2017-10-14,Sat,8,Home,W 2–0,Swansea City,Huddersfield,Y,RB,90,0,0,0,0,0,0,0,0,71,4,0,2,0.0,0.0,0.0,1,0,45,58,7,24,2,2,1,869,535,21,25,16,21,8,11,0.0,0,9,3,1,42,16,1,0,0,1,15,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,0,0,1,1,4,0,5,19,44,9,1,162.0,96.0,1,1,0,0,33,6,0,25,1,6.0,3.3,25.4,2017-10-14 14:00:00+00:00,90,0,8,0,295893,2.0,6,-10189,9353,19542,46,2017-10-14
8,2017-10-21,Sat,9,Home,L 1–2,Swansea City,Leicester City,Y,RB,90,0,0,0,0,2,0,0,0,89,3,1,2,0.1,0.1,0.1,6,0,56,79,13,25,4,1,0,961,341,25,30,27,36,4,12,0.1,3,7,1,1,64,15,1,0,1,3,14,0,0,6,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,3,5,2,0,2,2,0,1,20,44,26,1,176.0,120.0,2,1,1,1,57,4,0,14,0,39.2,6.9,21.0,2017-10-21 14:00:00+00:00,90,0,9,0,311987,9.0,1,14621,22044,7423,46,2017-10-21
9,2017-10-28,Sat,10,Away,L 1–2,Swansea City,Arsenal,Y,"WB,RB",90,0,0,0,0,0,0,0,0,53,1,2,1,0.0,0.0,0.0,0,0,26,40,2,8,1,3,1,407,162,12,18,14,16,0,6,0.0,0,1,0,0,29,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,6,0,6,24,23,6,0,56.0,24.0,0,0,0,1,21,1,0,11,0,1.1,1.7,15.6,2017-10-28 14:00:00+00:00,90,0,10,0,301244,0.0,1,-11957,10603,22560,46,2017-10-28
