,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-11,Fri,1,Home,L 0–3,Burnley,Manchester City,Y,CB,90,0,0,0,0,0,0,0,0,62,0,1,2,0.0,0.0,0.0,0,0,42,56,3,27,0,0,0,857,307,12,17,24,25,6,12,0.0,0,2,0,0,54,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,15,43,18,1,0,130.0,34.0,0,0,1,0,42,0,0,12,0,0.1,1.6,15.6,2023-08-11 19:00:00+00:00,90,0,1,0,13663,0.0,1,0,0,0,45,2023-08-11
1,2023-08-27,Sun,3,Home,L 1–3,Burnley,Aston Villa,Y,CB,90,0,0,0,0,0,0,0,0,121,1,4,2,0.0,0.0,0.0,1,0,102,109,6,93,1,0,0,1727,675,47,49,49,50,6,8,0.0,1,8,0,0,107,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,0,4,0,9,32,86,3,0,502.0,327.0,0,0,0,0,95,0,0,19,0,15.3,5.1,35.4,2023-08-27 13:00:00+00:00,90,0,3,0,19989,0.0,1,-1232,388,1620,45,2023-08-27
2,2023-09-02,Sat,4,Home,L 2–5,Burnley,Tottenham,Y,CB,90,0,0,0,0,1,0,0,0,73,2,2,4,0.0,0.0,0.0,0,0,50,60,2,48,0,0,0,934,400,18,23,27,30,5,7,0.0,0,3,0,0,59,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,4,0,2,1,28,52,18,3,3,125.0,51.0,0,0,1,0,52,0,0,17,0,0.3,4.1,29.6,2023-09-02 14:00:00+00:00,90,0,4,0,20241,11.0,0,-422,987,1409,45,2023-09-02
3,2023-10-07,Sat,8,Home,L 1–4,Burnley,Chelsea,N,CB,45,0,0,0,0,0,0,0,0,27,0,1,0,0.0,0.0,0.0,0,0,21,25,0,17,0,0,0,385,128,9,11,10,11,2,3,0.0,0,1,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,2,14,13,0,0,107.0,56.0,0,0,0,0,20,0,0,4,0,0.3,0.4,3.8,2023-10-07 14:00:00+00:00,45,0,8,0,18008,0.0,0,-745,204,949,44,2023-10-07
4,2023-10-21,Sat,9,Away,L 0–3,Burnley,Brentford,Y,CB,90,0,0,0,0,0,0,0,0,63,0,2,2,0.0,0.0,0.0,0,0,42,47,3,34,3,0,0,741,262,16,18,23,24,3,5,0.0,0,4,0,0,46,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,0,19,41,21,1,0,187.0,105.0,0,0,0,0,32,0,0,18,0,1.3,3.6,34.6,2023-10-21 14:00:00+00:00,90,0,9,0,17612,0.0,1,-549,208,757,44,2023-10-21
5,2023-10-28,Sat,10,Away,L 1–2,Burnley,Bournemouth,Y,CB,90,0,1,0,0,0,0,0,0,71,0,2,1,0.0,0.0,0.0,2,1,48,58,6,31,1,0,0,898,389,21,22,21,24,6,10,0.0,1,3,0,0,55,3,3,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10,0,17,43,25,3,1,136.0,81.0,1,1,0,0,39,1,1,26,0,11.0,5.8,44.6,2023-10-28 14:00:00+00:00,90,0,10,0,17602,2.0,5,-89,471,560,44,2023-10-28
6,2023-11-04,Sat,11,Home,L 0–2,Burnley,Crystal Palace,Y,CB,90,0,0,0,0,1,1,0,0,110,2,2,3,0.1,0.1,0.0,1,0,78,100,5,80,0,0,0,1508,542,24,28,49,58,5,14,0.1,1,3,1,1,99,1,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,3,2,0,4,45,58,8,3,433.0,278.0,1,0,0,0,82,1,0,12,0,15.8,6.0,22.8,2023-11-04 15:00:00+00:00,90,0,11,0,18519,21.0,1,697,1228,531,44,2023-11-04
7,2023-11-11,Sat,12,Away,L 1–3,Burnley,Arsenal,Y,CB,90,0,0,0,0,1,0,0,0,65,1,0,0,0.0,0.0,0.0,0,0,46,59,3,42,1,0,0,1011,378,11,15,28,29,7,12,0.0,0,4,0,0,56,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,4,0,9,28,29,8,3,234.0,148.0,0,0,0,0,49,1,0,10,0,1.6,2.3,10.2,2023-11-11 15:00:00+00:00,90,0,12,0,18239,11.0,1,-333,635,968,44,2023-11-11
8,2023-11-25,Sat,13,Home,L 1–2,Burnley,West Ham,Y,CB,90,0,0,0,0,2,1,0,0,85,1,0,1,0.1,0.1,0.0,2,0,58,70,3,44,2,0,0,1304,482,10,10,37,40,10,16,0.0,1,4,0,0,70,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,6,0,7,37,44,4,2,250.0,203.0,0,0,1,0,56,0,0,8,0,10.4,5.0,19.0,2023-11-25 15:00:00+00:00,90,1,13,0,19049,21.0,-1,612,1392,780,44,2023-11-25
9,2023-12-02,Sat,14,Home,W 5–0,Burnley,Sheffield Utd,Y,CB,82,0,1,0,0,1,0,1,0,80,0,0,0,0.0,0.0,0.4,1,1,60,77,15,45,2,0,0,1330,595,11,12,38,44,10,18,0.2,1,16,0,0,74,2,2,0,0,2,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,21,54,6,2,354.0,290.0,3,0,0,0,53,0,0,31,1,12.0,4.2,23.8,2023-12-02 15:00:00+00:00,82,0,14,0,19990,6.0,8,782,1841,1059,44,2023-12-02
10,2023-12-05,Tue,15,Away,L 0–1,Burnley,Wolves,Y,CB,90,0,0,0,0,0,0,0,0,75,2,1,0,0.0,0.0,0.0,0,0,45,65,4,31,1,0,0,964,347,11,16,28,34,6,15,0.0,0,6,0,0,59,6,3,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,1,0,0,4,0,6,23,42,10,3,167.0,91.0,0,0,0,0,39,0,0,12,0,0.9,2.4,17.4,2023-12-05 19:30:00+00:00,90,0,15,0,20734,6.0,2,643,1718,1075,44,2023-12-05
11,2023-12-09,Sat,16,Away,D 1–1,Burnley,Brighton,Y,CB,90,0,0,0,0,0,0,1,0,42,2,1,3,0.0,0.0,0.0,1,0,22,32,1,23,0,0,0,490,205,3,5,17,20,2,7,0.0,0,3,0,0,31,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,3,0,4,0,13,28,13,2,2,104.0,47.0,0,0,0,1,22,0,0,9,0,0.7,3.1,25.8,2023-12-09 15:00:00+00:00,90,0,16,0,20106,4.0,1,-655,706,1361,44,2023-12-09
12,2023-12-16,Sat,17,Home,L 0–2,Burnley,Everton,Y,CB,90,0,0,0,0,0,0,0,0,104,2,0,1,0.0,0.0,0.0,0,0,88,97,15,80,9,1,1,1839,679,24,26,51,52,12,17,0.0,0,19,0,0,95,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,1,3,0,9,36,66,2,0,500.0,390.0,1,0,1,0,86,0,0,13,0,3.3,2.1,17.4,2023-12-16 17:30:00+00:00,90,0,17,0,19223,0.0,1,-1016,379,1395,44,2023-12-16
13,2023-12-23,Sat,18,Away,W 2–0,Burnley,Fulham,Y,CB,90,0,0,0,0,1,0,0,0,51,1,0,1,0.1,0.1,0.0,1,1,31,41,3,31,1,0,0,528,199,15,18,15,16,1,6,0.0,0,2,0,0,40,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,7,0,11,30,18,3,2,191.0,109.0,0,0,0,0,30,1,0,21,1,0.5,2.4,16.2,2023-12-23 15:00:00+00:00,90,0,18,0,19699,7.0,6,403,955,552,44,2023-12-23
14,2023-12-26,Tue,19,Home,L 0–2,Burnley,Liverpool,Y,CB,90,0,0,0,0,1,0,1,0,43,2,2,0,0.0,0.0,0.2,1,0,19,28,4,15,0,0,0,465,227,5,11,9,10,4,6,0.0,1,4,1,0,27,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,7,0,11,26,13,4,3,57.0,28.0,0,0,0,0,21,0,0,7,0,10.3,3.5,16.2,2023-12-26 17:30:00+00:00,90,0,19,0,19876,8.0,0,75,830,755,44,2023-12-26
15,2023-12-30,Sat,20,Away,L 2–3,Burnley,Aston Villa,Y,CB,90,0,1,0,0,1,0,0,0,36,0,0,1,0.0,0.0,0.6,3,1,16,28,1,20,0,0,0,400,183,4,5,9,12,3,10,0.1,1,2,0,0,26,1,0,1,0,0,1,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,6,19,14,3,2,52.0,24.0,0,0,0,0,23,1,0,20,0,13.5,4.3,22.6,2023-12-30 15:00:00+00:00,90,0,20,0,19827,7.0,4,-155,766,921,44,2023-12-30
16,2024-01-12,Fri,21,Home,D 1–1,Burnley,Luton Town,Y,CB,90,0,0,0,0,0,0,0,0,39,1,1,1,0.0,0.0,0.0,1,0,16,28,2,15,0,0,0,332,80,4,4,9,13,3,8,0.0,1,1,0,0,27,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,7,0,10,20,15,4,3,58.0,20.0,0,0,0,0,17,2,0,13,0,11.0,3.1,14.2,2024-01-12 19:45:00+00:00,90,0,21,0,29133,6.0,2,7862,9756,1894,44,2024-01-12
17,2024-01-31,Wed,22,Away,L 1–3,Burnley,Manchester City,Y,CB,90,0,0,0,0,0,0,0,0,43,1,0,3,0.0,0.0,0.0,1,1,27,34,0,16,0,0,0,531,179,9,13,12,13,5,6,0.0,0,1,0,0,33,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,2,1,4,0,12,33,8,2,0,56.0,29.0,0,0,0,0,25,0,0,13,0,0.3,2.1,20.6,2024-01-31 19:30:00+00:00,90,0,22,0,23643,0.0,1,-4645,440,5085,44,2024-01-31
18,2024-02-03,Sat,23,Home,D 2–2,Burnley,Fulham,Y,CB,90,0,0,0,0,0,0,0,0,62,0,1,1,0.0,0.0,0.0,1,0,41,50,8,32,0,0,0,719,246,17,21,19,20,4,8,0.0,0,4,0,0,50,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,7,29,32,1,0,163.0,109.0,1,0,0,0,34,0,0,16,0,0.8,2.4,23.6,2024-02-03 15:00:00+00:00,90,0,23,0,25588,0.0,1,1774,2796,1022,44,2024-02-03
