,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-10-29,Sun,10,Away,L 1–3,Luton Town,Aston Villa,Y,CB,56,0,0,0,0,0,0,0,0,13,1,0,1,0.0,0.0,0.0,0,0,10,12,1,10,0,0,0,134,53,5,5,5,6,0,1,0.0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,0,0,1,5,7,1,0,22.0,13.0,0,0,0,1,10,0,0,4,0,0.3,0.7,7.0,2023-10-29 14:00:00+00:00,56,0,10,0,1031,0.0,0,13,58,45,44,2023-10-29
1,2023-11-05,Sun,11,Home,D 1–1,Luton Town,Liverpool,Y,CB,90,0,0,0,0,0,0,0,0,30,2,2,1,0.0,0.0,0.0,0,0,10,17,2,5,0,1,1,189,129,4,4,5,9,1,3,0.0,0,0,0,0,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,8,0,8,18,10,2,0,19.0,13.0,0,0,0,1,5,0,0,11,0,0.0,2.1,20.8,2023-11-05 16:30:00+00:00,90,0,11,0,1055,0.0,2,-5,63,68,44,2023-11-05
2,2023-11-11,Sat,12,Away,L 0–1,Luton Town,Manchester Utd,Y,CB,90,0,0,0,0,0,0,0,0,42,0,2,1,0.0,0.0,0.0,0,0,22,28,0,18,0,1,0,346,96,10,10,12,15,0,3,0.0,0,1,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,12,22,17,3,1,74.0,49.0,0,0,0,0,22,0,0,10,0,1.3,2.0,16.8,2023-11-11 15:00:00+00:00,90,0,12,0,1188,2.0,2,97,148,51,44,2023-11-11
3,2023-11-25,Sat,13,Home,W 2–1,Luton Town,Crystal Palace,Y,CB,90,0,0,0,0,0,0,1,0,50,0,2,1,0.0,0.0,0.0,2,0,33,37,3,23,0,1,1,595,198,15,15,15,15,3,5,0.0,0,3,0,0,36,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,8,0,8,34,16,1,0,109.0,68.0,1,0,1,0,25,0,0,12,0,0.6,2.2,21.0,2023-11-25 15:00:00+00:00,90,0,13,0,1571,0.0,1,284,383,99,44,2023-11-25
4,2023-12-02,Sat,14,Away,L 1–3,Luton Town,Brentford,Y,CB,90,0,0,0,0,0,0,0,0,51,3,0,7,0.0,0.0,0.0,1,1,21,28,0,17,0,0,0,383,146,6,8,14,15,1,4,0.0,0,0,0,0,28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0,2,2,0,4,3,7,0,18,41,7,3,2,81.0,28.0,0,0,0,0,12,0,0,12,0,0.5,4.1,36.8,2023-12-02 15:00:00+00:00,90,0,14,0,1587,4.0,1,22,209,187,44,2023-12-02
5,2023-12-05,Tue,15,Home,L 3–4,Luton Town,Arsenal,Y,CB,90,1,0,0,0,1,1,0,0,42,2,2,3,0.2,0.2,0.0,1,1,22,25,1,15,0,0,0,477,152,4,4,16,17,2,3,0.0,0,2,0,0,25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,1,1,0,2,1,7,0,9,28,14,1,1,45.0,11.0,0,0,0,0,13,0,0,29,0,0.2,7.8,60.8,2023-12-05 20:15:00+00:00,90,0,15,0,1849,17.0,6,213,350,137,44,2023-12-05
6,2023-12-23,Sat,18,Home,W 1–0,Luton Town,Newcastle Utd,Y,CB,90,0,0,0,0,0,0,0,0,32,3,2,3,0.0,0.0,0.0,0,0,8,11,0,10,0,0,0,169,36,1,3,6,6,1,2,0.0,0,1,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,0,0,2,1,7,0,7,19,13,0,0,62.0,11.0,0,0,1,2,7,0,0,23,1,0.2,2.7,26.6,2023-12-23 15:00:00+00:00,90,0,18,0,2135,0.0,6,-167,111,278,44,2023-12-23
7,2023-12-26,Tue,19,Away,W 3–2,Luton Town,Sheffield Utd,Y,CB,90,0,0,0,0,0,0,0,0,32,1,4,1,0.0,0.0,0.0,0,0,17,23,0,18,0,0,0,328,71,5,6,12,15,0,2,0.0,0,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,2,0,7,19,12,1,0,90.0,39.0,1,0,0,0,13,0,0,12,0,0.3,1.5,15.0,2023-12-26 15:00:00+00:00,90,0,19,0,3336,0.0,1,1070,1216,146,44,2023-12-26
8,2023-12-30,Sat,20,Home,L 2–3,Luton Town,Chelsea,Y,CB,90,0,0,0,0,0,0,0,0,46,2,2,1,0.0,0.0,0.0,0,0,30,37,0,13,0,0,0,503,161,12,14,18,19,0,3,0.0,0,1,0,0,36,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,3,1,0,1,1,0,3,27,17,2,1,88.0,66.0,0,0,1,0,26,0,0,11,0,0.2,1.2,9.6,2023-12-30 12:30:00+00:00,90,0,20,0,3471,2.0,1,71,724,653,44,2023-12-30
9,2024-01-12,Fri,21,Away,D 1–1,Luton Town,Burnley,Y,CB,90,0,0,0,0,0,0,0,0,82,4,2,0,0.0,0.0,0.0,0,0,61,75,2,48,1,1,1,1138,377,21,24,37,44,3,6,0.0,0,3,0,0,74,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,3,4,1,0,0,2,0,12,40,43,2,0,215.0,83.0,2,0,1,0,42,0,0,22,0,1.3,1.9,17.8,2024-01-12 19:45:00+00:00,90,0,21,0,4085,0.0,2,421,1231,810,44,2024-01-12
