,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2019-08-17,Sat,2,Home,D 2–2,Manchester City,Tottenham,Y,CB,90,0,0,0,0,2,1,0,0,90,0,1,3,0.1,0.1,0.1,2,0,73,78,5,69,1,0,0,1448,422,23,25,42,45,8,8,0.0,1,7,0,0,78,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,0,9,27,59,4,4,453.0,269.0,0,0,1,0,72,0,0,13,0,11.1,8.3,17.0,2019-08-17 16:30:00+00:00,90,0,2,0,71210,55.0,1,-19889,2051,21940,54,2019-08-17
1,2019-08-25,Sun,3,Away,W 3–1,Manchester City,Bournemouth,Y,CB,90,0,0,0,0,1,0,1,0,125,1,1,1,0.1,0.1,0.0,1,0,107,114,6,106,3,0,0,1932,481,36,37,65,69,3,5,0.1,0,3,0,0,114,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,5,1,7,36,86,3,3,563.0,371.0,0,0,1,0,109,1,0,6,0,2.4,5.9,17.0,2019-08-25 13:00:00+00:00,90,0,3,0,76034,40.0,1,-237,8787,9024,54,2019-08-25
2,2019-08-31,Sat,4,Home,W 4–0,Manchester City,Brighton,Y,CB,90,0,0,0,0,0,0,0,0,69,1,2,1,0.0,0.0,0.0,0,0,51,60,0,52,0,0,0,950,233,18,18,30,34,3,8,0.0,0,2,0,0,58,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,4,0,11,38,29,2,1,255.0,179.0,0,0,1,0,53,0,0,25,1,0.9,2.4,21.4,2019-08-31 14:00:00+00:00,90,0,4,0,84072,2.0,6,4342,13664,9322,54,2019-08-31
3,2019-09-14,Sat,5,Away,L 2–3,Manchester City,Norwich City,Y,CB,90,0,0,0,0,3,2,0,0,89,0,0,2,0.3,0.3,0.0,3,0,73,80,7,66,0,0,0,1487,356,14,18,56,59,2,2,0.0,0,6,0,0,80,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,1,6,16,62,11,4,393.0,202.0,3,0,0,1,64,1,0,11,0,3.6,7.7,17.2,2019-09-14 16:30:00+00:00,90,0,5,0,149026,56.0,1,58587,72779,14192,54,2019-09-14
4,2019-09-21,Sat,6,Home,W 8–0,Manchester City,Watford,Y,CB,62,1,0,0,0,2,1,0,0,52,3,1,0,0.6,0.6,0.0,1,1,44,46,0,38,1,0,0,790,210,18,19,24,25,2,2,0.0,0,1,0,0,46,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,3,0,0,1,2,1,0,0,0,0,7,20,30,2,2,186.0,120.0,0,0,0,0,43,0,0,47,1,0.4,9.5,43.8,2019-09-21 14:00:00+00:00,62,0,6,0,179284,51.0,15,27382,39479,12097,54,2019-09-21
5,2019-09-28,Sat,7,Away,W 3–1,Manchester City,Everton,Y,CB,90,0,0,0,0,0,0,1,0,93,1,1,0,0.0,0.0,0.0,2,0,80,86,6,79,2,0,0,1647,420,22,22,50,52,8,10,0.0,1,4,0,0,86,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,4,0,4,30,61,2,1,552.0,394.0,1,0,0,0,77,0,0,12,0,11.1,3.2,19.2,2019-09-28 16:30:00+00:00,90,0,7,0,482526,2.0,1,284356,301082,16726,55,2019-09-28
6,2019-10-06,Sun,8,Home,L 0–2,Manchester City,Wolves,Y,CB,90,0,0,0,0,0,0,0,0,73,3,1,0,0.0,0.0,0.0,0,0,64,68,10,56,0,0,0,1445,485,13,15,34,35,16,17,0.0,0,1,0,0,66,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,2,4,2,0,0,1,0,7,18,51,4,4,408.0,232.0,0,0,0,0,58,1,0,15,0,1.4,2.5,16.0,2019-10-06 13:00:00+00:00,90,0,8,0,578044,8.0,1,87662,108813,21151,56,2019-10-06
7,2019-11-02,Sat,11,Home,W 2–1,Manchester City,Southampton,N,CB,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,2019-11-02 15:00:00+00:00,1,0,11,0,375657,0.0,1,-122298,12498,134796,54,2019-11-02
8,2019-12-03,Tue,15,Away,W 4–1,Manchester City,Burnley,Y,CB,90,0,0,0,0,0,0,0,0,89,1,2,0,0.0,0.0,0.0,0,0,77,82,1,75,0,0,0,1381,461,28,28,46,47,3,5,0.0,0,1,0,0,81,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,3,0,9,40,48,1,1,370.0,189.0,0,0,1,0,73,0,0,13,0,0.3,1.8,16.0,2019-12-03 20:15:00+00:00,90,0,15,0,167169,2.0,2,-17131,809,17940,51,2019-12-03
9,2019-12-07,Sat,16,Home,L 1–2,Manchester City,Manchester Utd,N,CB,32,1,0,0,0,3,1,0,0,30,0,0,0,0.5,0.5,0.0,0,0,24,24,0,22,0,0,0,482,166,7,7,14,14,3,3,0.0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,8,16,6,5,153.0,87.0,0,0,1,0,23,0,0,13,0,0.9,8.2,33.4,2019-12-07 17:30:00+00:00,31,0,16,0,159106,48.0,7,-8704,1791,10495,50,2019-12-07
