,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-12,Sat,1,Away,L 1–5,Aston Villa,Newcastle Utd,N,CB,60,0,0,0,0,0,0,0,0,51,1,0,2,0.0,0.0,0.0,1,0,40,44,4,35,3,1,1,653,229,19,19,20,21,1,3,0.0,1,5,0,0,42,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,3,0,8,21,24,7,0,224.0,155.0,2,0,0,0,36,0,0,12,0,12.6,3.1,18.2,2023-08-12 16:30:00+00:00,59,0,1,0,222078,0.0,0,0,0,0,45,2023-08-12
1,2023-08-20,Sun,2,Home,W 4–0,Aston Villa,Everton,Y,CB,90,0,0,0,0,0,0,0,0,82,0,0,0,0.0,0.0,0.0,0,0,71,79,4,67,0,0,0,1396,421,19,21,48,48,4,9,0.0,0,3,0,0,77,2,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,8,40,42,0,0,488.0,340.0,0,0,0,0,68,0,0,22,1,0.7,1.2,11.4,2023-08-20 13:00:00+00:00,90,0,2,0,239720,0.0,6,505,17942,17437,45,2023-08-20
2,2023-08-27,Sun,3,Away,W 3–1,Aston Villa,Burnley,Y,CB,90,0,0,0,0,0,0,0,0,52,1,0,1,0.0,0.0,0.0,1,0,44,47,1,30,0,1,1,801,243,14,15,25,25,4,6,0.0,0,2,1,0,39,8,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,0,1,3,0,16,39,13,1,0,191.0,92.0,0,0,0,0,30,0,0,18,0,0.8,1.2,11.0,2023-08-27 13:00:00+00:00,90,0,3,0,246178,0.0,2,-33,13126,13159,45,2023-08-27
3,2023-09-03,Sun,4,Away,L 0–3,Aston Villa,Liverpool,Y,CB,90,0,0,0,0,1,1,0,0,53,0,0,0,0.0,0.0,0.0,0,0,34,47,1,40,1,5,3,567,96,11,12,23,27,0,7,0.0,0,1,0,0,43,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,14,34,16,4,1,286.0,241.0,1,0,1,0,38,1,0,12,0,1.2,2.8,9.6,2023-09-03 13:00:00+00:00,90,0,4,0,230493,17.0,1,-17028,4272,21300,45,2023-09-03
4,2023-09-16,Sat,5,Home,W 3–1,Aston Villa,Crystal Palace,Y,CB,90,0,0,0,0,0,0,0,0,132,3,1,0,0.0,0.0,0.0,0,0,117,125,21,106,4,0,0,2460,706,29,32,76,77,11,14,0.0,0,22,1,0,120,4,3,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,1,2,1,0,0,2,0,5,37,83,12,0,562.0,354.0,4,0,0,0,106,0,0,16,0,6.5,2.9,22.2,2023-09-16 14:00:00+00:00,90,0,5,0,221342,0.0,2,-13457,5903,19360,45,2023-09-16
5,2023-09-24,Sun,6,Away,W 1–0,Aston Villa,Chelsea,Y,CB,90,0,0,0,0,0,0,0,0,56,2,0,2,0.0,0.0,0.0,2,0,45,49,1,41,2,1,1,901,241,14,15,26,28,5,5,0.0,1,5,0,0,48,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0,2,2,0,12,37,15,4,1,267.0,163.0,2,0,0,0,41,2,2,31,1,11.4,2.8,15.0,2023-09-24 13:00:00+00:00,90,0,6,0,207600,2.0,8,-14657,3223,17880,45,2023-09-24
6,2023-09-30,Sat,7,Home,W 6–1,Aston Villa,Brighton,Y,CB,90,0,0,0,0,0,0,0,0,44,0,0,3,0.0,0.0,0.0,0,0,33,41,2,30,1,1,1,563,160,10,11,20,24,1,4,0.0,0,3,0,0,37,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,0,0,3,20,24,2,0,269.0,110.0,1,0,0,0,29,0,0,9,0,1.1,0.7,5.8,2023-09-30 11:30:00+00:00,90,0,7,0,213332,0.0,2,3813,15479,11666,45,2023-09-30
7,2023-10-08,Sun,8,Away,D 1–1,Aston Villa,Wolves,Y,CB,90,1,0,0,0,2,1,0,0,73,0,1,0,0.4,0.4,0.0,2,0,59,70,3,43,0,0,0,1143,356,15,16,38,42,5,10,0.0,1,2,1,0,62,7,5,0,1,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,8,33,37,4,3,277.0,214.0,0,0,0,0,55,3,2,20,0,11.3,7.7,40.6,2023-10-08 13:00:00+00:00,90,0,8,0,222290,25.0,10,7089,26732,19643,45,2023-10-08
8,2023-10-22,Sun,9,Home,W 4–1,Aston Villa,West Ham,Y,CB,90,0,0,0,0,0,0,0,0,68,2,0,1,0.0,0.0,0.0,0,0,54,65,2,51,0,0,0,981,398,13,14,36,38,3,10,0.0,0,4,1,0,60,4,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,3,2,1,0,0,0,8,45,22,1,0,227.0,155.0,1,0,0,0,52,0,0,12,0,1.1,1.7,15.4,2023-10-22 15:30:00+00:00,90,0,9,0,290047,0.0,2,62655,74812,12157,45,2023-10-22
9,2023-10-29,Sun,10,Home,W 3–1,Aston Villa,Luton Town,Y,CB,90,0,0,0,0,2,0,0,0,108,0,2,1,0.1,0.1,0.0,2,0,93,98,10,84,1,1,1,1617,396,33,35,56,56,3,5,0.1,0,7,2,0,94,4,4,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,8,31,70,8,3,536.0,418.0,4,0,1,0,80,0,0,17,0,7.5,3.8,20.4,2023-10-29 14:00:00+00:00,90,0,10,0,366026,10.0,2,73657,92316,18659,45,2023-10-29
