,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-25,Fri,3,Away,L 0–3,Luton Town,Chelsea,Y,CB,76,0,0,0,0,0,0,0,0,32,1,0,1,0.0,0.0,0.0,1,0,20,25,3,18,0,0,0,369,163,8,11,8,8,3,4,0.0,1,1,1,0,23,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0,4,15,15,4,1,89.0,40.0,0,0,0,1,19,0,0,9,0,10.7,2.9,16.4,2023-08-25 19:00:00+00:00,76,0,3,0,2999,2.0,1,-220,153,373,40,2023-08-25
1,2023-09-01,Fri,4,Home,L 1–2,Luton Town,West Ham,Y,CB,90,0,0,0,0,3,0,0,0,50,2,1,1,0.3,0.3,0.2,2,0,29,38,3,15,0,0,0,500,140,12,15,14,16,2,6,0.0,1,1,0,0,36,2,1,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,0,0,2,4,2,1,0,4,0,3,20,23,7,3,88.0,58.0,1,0,1,0,26,0,0,13,0,11.7,3.9,14.4,2023-09-01 19:00:00+00:00,90,0,4,0,3762,13.0,1,206,485,279,40,2023-09-01
2,2023-09-16,Sat,5,Away,L 0–1,Luton Town,Fulham,Y,CB,80,0,0,0,0,0,0,0,0,27,2,0,2,0.0,0.0,0.0,0,0,11,18,1,13,0,0,0,198,55,2,4,7,10,1,3,0.0,0,1,0,0,18,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,2,0,3,0,5,11,13,3,2,49.0,20.0,0,0,2,1,12,3,0,11,0,0.5,2.7,20.0,2023-09-16 14:00:00+00:00,81,0,5,0,6457,6.0,2,1804,2429,625,40,2023-09-16
3,2023-09-23,Sat,6,Home,D 1–1,Luton Town,Wolves,Y,CB,90,0,0,0,0,1,0,0,0,62,1,1,0,0.1,0.1,0.0,1,0,38,52,4,40,0,0,0,650,235,17,20,19,23,2,7,0.0,0,3,1,0,51,1,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,2,18,29,15,2,149.0,81.0,1,0,1,0,40,3,0,9,0,2.7,1.7,7.6,2023-09-23 14:00:00+00:00,90,0,6,0,9411,7.0,2,2603,3385,782,40,2023-09-23
4,2023-09-30,Sat,7,Away,W 2–1,Luton Town,Everton,Y,CB,45,0,0,0,0,0,0,0,0,22,1,2,2,0.0,0.0,0.0,0,0,5,15,1,4,0,0,0,52,7,2,5,2,6,0,2,0.0,0,1,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,2,0,6,15,6,1,0,7.0,2.0,0,0,0,0,5,0,0,6,0,0.1,1.1,10.4,2023-09-30 14:00:00+00:00,45,0,7,0,12994,0.0,1,2807,3744,937,40,2023-09-30
5,2023-10-03,Tue,2,Home,L 1–2,Luton Town,Burnley,N,CB,70,0,1,0,0,1,1,1,0,30,1,0,0,0.0,0.0,0.1,2,1,15,25,4,9,0,1,1,352,123,4,7,6,8,4,7,0.1,1,3,1,0,21,4,0,0,1,1,4,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,3,2,0,0,1,0,1,6,12,13,3,51.0,33.0,0,0,2,0,13,2,0,16,0,12.2,5.7,24.0,2023-10-03 18:30:00+00:00,69,0,7,0,12994,21.0,3,2807,3744,937,40,2023-10-03
6,2023-10-07,Sat,8,Home,L 0–1,Luton Town,Tottenham,Y,RB,90,0,0,0,0,0,0,0,0,41,4,1,2,0.0,0.0,0.1,2,0,19,25,6,12,0,1,0,382,213,8,9,8,10,3,5,0.0,2,2,1,0,21,4,1,0,0,1,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,2,2,0,1,1,5,0,7,17,14,10,1,33.0,21.0,0,0,1,1,16,1,0,9,0,21.6,5.1,27.6,2023-10-07 11:30:00+00:00,90,0,8,0,15381,2.0,2,2404,4415,2011,40,2023-10-07
7,2023-10-21,Sat,9,Away,D 2–2,Luton Town,Nott'ham Forest,Y,RB,54,0,0,0,0,0,0,0,0,24,0,2,1,0.0,0.0,0.0,1,0,7,15,2,6,0,0,0,131,78,2,7,4,5,1,1,0.0,1,0,1,1,14,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,2,10,12,2,0,30.0,17.0,0,0,1,0,8,0,0,6,0,14.3,2.5,10.8,2023-10-21 14:00:00+00:00,54,0,9,0,22440,0.0,1,6430,8364,1934,40,2023-10-21
8,2024-01-30,Tue,22,Home,W 4–0,Luton Town,Brighton,Y,CB,90,0,0,0,0,1,0,0,0,42,4,1,1,0.0,0.0,0.0,1,0,15,30,0,13,0,1,1,311,137,4,7,9,15,2,6,0.0,0,1,0,0,27,2,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,3,0,3,1,0,2,2,0,1,4,0,2,15,24,3,0,61.0,31.0,0,0,1,0,15,0,0,25,1,0.3,1.7,15.0,2024-01-30 19:45:00+00:00,90,0,22,0,8934,2.0,6,-105,220,325,40,2024-01-30
9,2024-02-03,Sat,23,Away,D 4–4,Luton Town,Newcastle Utd,N,CB,12,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,0,0,2,5,0,3,0,0,0,21,14,2,2,0,3,0,0,0.0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,5,1,0,4.0,2.0,0,0,0,0,3,0,0,4,0,0.5,0.5,4.2,2024-02-03 15:00:00+00:00,11,0,23,0,9642,0.0,1,624,803,179,40,2024-02-03
10,2024-02-10,Sat,24,Home,L 1–3,Luton Town,Sheffield Utd,Y,CB,67,0,0,0,0,3,1,0,0,59,0,0,0,0.1,0.1,0.0,2,0,42,51,3,41,3,1,0,851,349,12,14,26,29,4,8,0.0,0,6,0,0,50,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,15,35,9,1,206.0,135.0,2,0,0,0,44,0,0,8,0,2.3,2.8,4.4,2024-02-10 15:00:00+00:00,67,0,24,0,10997,21.0,1,1210,1717,507,40,2024-02-10
11,2024-03-02,Sat,27,Home,L 2–3,Luton Town,Aston Villa,Y,CB,90,0,1,0,0,2,1,1,0,55,0,2,0,0.8,0.8,0.3,3,1,40,44,5,27,0,0,0,737,226,10,11,28,30,1,2,0.0,1,5,0,0,42,2,1,0,0,0,1,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,7,0,6,19,32,4,2,167.0,113.0,0,0,0,0,33,0,0,18,0,11.4,8.7,32.6,2024-03-02 17:30:00+00:00,90,0,27,0,13885,43.0,3,52,650,598,40,2024-03-02
12,2024-03-09,Sat,28,Away,D 1–1,Luton Town,Crystal Palace,Y,CB,90,0,0,0,0,0,0,1,0,63,1,1,5,0.0,0.0,0.0,0,0,43,51,2,35,0,2,0,769,366,21,24,17,19,5,6,0.0,0,3,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,1,2,0,7,31,30,2,0,111.0,52.0,1,0,1,0,33,0,0,10,0,1.4,3.0,28.6,2024-03-09 15:00:00+00:00,90,0,28,0,17883,0.0,1,3619,4308,689,40,2024-03-09
13,2024-03-13,Wed,17,Away,L 3–4,Luton Town,Bournemouth,Y,CB,90,0,0,0,0,1,0,0,0,45,5,2,2,0.0,0.0,0.0,0,0,23,27,0,20,0,0,0,476,198,5,7,14,14,3,5,0.0,0,1,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,1,2,2,0,2,0,8,0,8,27,15,3,1,93.0,39.0,0,0,0,0,21,1,0,12,0,0.1,3.5,31.2,2024-03-13 19:30:00+00:00,90,0,28,0,17883,4.0,0,3619,4308,689,40,2024-03-13
14,2024-03-16,Sat,29,Home,D 1–1,Luton Town,Nott'ham Forest,Y,CB,90,0,1,0,0,0,0,0,0,71,1,1,3,0.0,0.0,0.2,1,1,56,63,7,49,4,0,0,975,298,21,23,31,32,2,6,0.2,1,4,0,0,62,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,3,0,1,0,4,27,35,9,1,346.0,233.0,2,0,0,0,49,1,2,31,0,12.8,5.8,43.0,2024-03-16 15:00:00+00:00,90,0,29,0,28942,2.0,7,2201,3028,827,40,2024-03-16
15,2024-03-30,Sat,30,Away,L 1–2,Luton Town,Tottenham,Y,CB,45,0,0,0,0,0,0,1,0,14,0,0,0,0.0,0.0,0.2,1,0,10,12,0,11,0,0,0,183,74,2,3,8,8,0,1,0.3,1,0,1,1,12,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,1,11,0,3,1,38.0,17.0,0,0,0,0,11,1,0,1,0,14.3,1.9,2.6,2024-03-30 15:00:00+00:00,45,0,30,0,21570,2.0,0,1438,3830,2392,40,2024-03-30
16,2024-04-06,Sat,32,Home,W 2–1,Luton Town,Bournemouth,Y,CB,90,0,0,0,0,0,0,0,0,52,4,2,1,0.0,0.0,0.0,0,0,28,37,3,20,0,0,0,525,191,7,7,17,20,4,9,0.0,0,1,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,0,0,0,0,1,6,0,5,17,33,2,0,72.0,39.0,0,0,0,0,20,0,0,12,0,0.8,1.9,18.0,2024-04-06 14:00:00+00:00,90,0,32,0,18351,0.0,2,-1524,138,1662,40,2024-04-06
17,2024-04-13,Sat,33,Away,L 1–5,Luton Town,Manchester City,Y,CB,90,0,0,0,0,0,0,0,0,33,0,0,2,0.0,0.0,0.0,0,0,20,24,0,15,0,0,0,363,134,8,10,10,11,2,2,0.0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,5,0,14,28,5,0,0,33.0,5.0,0,0,2,0,19,0,0,9,0,0.0,2.0,20.4,2024-04-13 14:00:00+00:00,90,0,33,0,19171,0.0,0,638,1782,1144,40,2024-04-13
18,2024-04-20,Sat,34,Home,L 1–5,Luton Town,Brentford,Y,CB,45,0,0,0,0,0,0,0,0,26,2,0,0,0.0,0.0,0.0,1,0,15,19,3,10,1,0,0,292,68,4,4,10,10,1,5,0.0,0,2,0,0,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,1,1,0,0,2,1,3,14,8,4,0,47.0,25.0,0,0,2,0,11,0,0,5,0,0.8,0.3,2.4,2024-04-20 14:00:00+00:00,45,0,34,0,20332,0.0,0,1238,2462,1224,40,2024-04-20
