,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2022-08-31,Wed,5,Away,L 0–6,Nott'ham Forest,Manchester City,Y,LB,68,0,0,0,0,1,0,0,0,20,0,2,0,0.2,0.2,0.0,0,0,7,12,0,8,0,2,1,81,22,5,6,1,3,0,1,0.0,0,0,0,0,10,2,0,0,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,3,0,3,9,5,6,2,38.0,17.0,0,0,0,0,9,0,0,4,0,0.3,1.3,3.2,2022-08-31 18:30:00+00:00,68,0,5,0,1772,9.0,0,1460,1621,161,45,2022-08-31
1,2022-09-03,Sat,6,Home,L 2–3,Nott'ham Forest,Bournemouth,Y,WB,90,0,0,0,0,1,0,1,0,69,2,3,3,0.1,0.1,0.0,3,1,35,50,3,32,2,3,2,639,104,17,22,15,20,3,6,0.0,0,1,0,0,43,7,0,0,1,7,6,1,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,1,1,2,1,0,3,3,0,6,15,23,32,4,189.0,106.0,0,0,2,0,39,7,0,10,0,3.3,3.9,11.8,2022-09-03 14:00:00+00:00,90,0,6,0,17921,24.0,0,12723,14860,2137,45,2022-09-03
2,2022-09-16,Fri,8,Home,L 2–3,Nott'ham Forest,Fulham,Y,"WB,LB",90,0,0,0,0,1,0,0,0,64,1,1,0,0.1,0.1,0.1,2,0,42,56,4,41,1,0,0,737,189,17,19,20,25,3,8,0.1,2,2,1,1,46,10,2,0,0,6,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,3,0,1,19,29,16,2,188.0,82.0,1,0,0,3,38,7,0,12,0,25.7,6.1,15.0,2022-09-16 19:00:00+00:00,90,0,8,0,21716,20.0,1,2383,3938,1555,45,2022-09-16
3,2022-10-03,Mon,9,Away,L 0–4,Nott'ham Forest,Leicester City,Y,LB,90,0,0,0,0,0,0,0,0,68,3,3,1,0.0,0.0,0.0,1,0,44,59,1,42,2,5,3,734,94,20,22,21,25,3,10,0.0,0,1,0,0,48,10,5,0,0,2,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,1,1,0,0,1,1,0,3,26,36,6,0,261.0,127.0,0,0,0,0,45,4,0,14,0,2.1,1.5,13.2,2022-10-03 19:00:00+00:00,90,0,9,0,19357,0.0,0,-1400,1975,3375,45,2022-10-03
4,2022-10-22,Sat,13,Home,W 1–0,Nott'ham Forest,Liverpool,N,LB,19,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,1,2,0,1,0,0,0,20,17,0,0,1,2,0,0,0.0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,0,3.0,2.0,0,0,0,0,0,0,0,2,0,0.0,0.1,1.0,2022-10-22 11:30:00+00:00,17,0,13,0,13175,0.0,1,-1953,28,1981,44,2022-10-22
5,2022-10-30,Sun,14,Away,L 0–5,Nott'ham Forest,Arsenal,Y,LB,63,0,0,0,0,0,0,0,0,30,3,0,2,0.0,0.0,0.0,0,0,19,24,0,16,0,2,1,341,104,9,10,8,10,2,3,0.0,0,1,0,0,20,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,1,1,0,2,0,1,0,6,14,10,6,0,93.0,37.0,0,0,0,0,17,0,0,10,0,0.8,1.8,17.4,2022-10-30 14:00:00+00:00,63,0,14,0,12760,0.0,0,-543,351,894,43,2022-10-30
6,2022-11-12,Sat,16,Home,W 1–0,Nott'ham Forest,Crystal Palace,Y,LB,85,0,0,0,0,1,0,0,0,39,1,1,1,0.0,0.0,0.0,1,0,24,33,2,24,3,1,0,414,163,11,14,11,15,2,4,0.0,0,1,0,0,24,9,1,0,0,1,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,3,2,0,1,1,0,0,24,11,4,0,153.0,113.0,1,0,0,1,20,1,0,21,1,0.4,0.5,3.4,2022-11-12 15:00:00+00:00,85,0,16,0,12966,1.0,6,206,967,761,43,2022-11-12
7,2022-12-27,Tue,17,Away,L 0–3,Nott'ham Forest,Manchester Utd,Y,LB,61,0,0,0,0,0,0,0,0,41,2,1,1,0.0,0.0,0.1,1,0,19,32,1,14,1,1,0,373,145,10,11,5,9,4,12,0.1,1,1,1,1,17,15,3,0,1,7,7,5,0,0,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,1,2,0,4,14,13,14,0,89.0,41.0,2,0,1,0,14,1,0,15,0,18.7,3.1,12.0,2022-12-27 20:00:00+00:00,61,0,17,0,14359,0.0,1,1106,5094,3988,43,2022-12-27
8,2023-01-01,Sun,18,Home,D 1–1,Nott'ham Forest,Chelsea,Y,LB,90,0,0,0,0,0,0,1,0,44,1,1,0,0.0,0.0,0.2,2,0,28,37,2,18,2,2,0,466,194,14,15,12,15,2,6,0.1,1,1,1,0,21,16,3,0,0,3,13,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,10,24,11,1,103.0,51.0,2,1,2,0,17,3,0,3,0,11.1,1.5,3.4,2023-01-01 16:30:00+00:00,90,0,18,0,14253,0.0,1,-188,452,640,43,2023-01-01
9,2023-01-04,Wed,19,Away,W 1–0,Nott'ham Forest,Southampton,Y,LB,83,0,0,0,0,0,0,0,0,45,4,0,1,0.0,0.0,0.0,3,0,23,36,2,23,1,0,0,436,252,8,10,10,15,3,8,0.0,0,2,1,0,26,10,2,0,0,3,8,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,3,1,0,2,2,0,1,0,3,0,5,15,22,9,0,105.0,43.0,1,0,1,1,19,1,1,22,1,5.3,2.5,19.6,2023-01-04 19:30:00+00:00,83,0,19,0,14322,0.0,7,4,533,529,43,2023-01-04
