,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2019-10-06,Sun,8,Away,L 0–1,Manchester Utd,Newcastle Utd,N,CB,31,0,0,0,0,1,0,1,0,25,2,0,0,0.2,0.2,0.0,0,0,18,21,4,15,0,0,0,324,116,7,8,8,9,2,3,0.0,0,2,0,0,20,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,1,0,3,4,14,7,1,65.0,46.0,1,0,0,0,18,1,0,-2,0,1.6,1.0,4.4,2019-10-06 15:30:00+00:00,30,0,8,0,9920,4.0,0,-192,271,463,48,2019-10-06
1,2019-10-20,Sun,9,Home,D 1–1,Manchester Utd,Liverpool,Y,CB,90,0,0,0,0,0,0,0,0,46,1,0,1,0.0,0.0,0.0,0,0,21,37,2,17,0,1,0,360,195,8,9,13,20,0,7,0.0,0,0,0,0,27,10,1,0,1,2,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,5,0,5,21,22,3,1,72.0,24.0,0,0,0,0,22,0,0,8,0,0.3,1.8,15.8,2019-10-20 15:30:00+00:00,90,0,9,0,10096,2.0,2,-195,244,439,48,2019-10-20
2,2019-11-10,Sun,12,Home,W 3–1,Manchester Utd,Brighton,N,LB,1,0,0,0,0,0,0,0,0,3,0,0,1,0.0,0.0,0.0,0,0,1,2,0,1,0,0,0,9,9,1,1,0,0,0,0,0.0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,1,2,0,0.0,0.0,0,0,0,0,1,0,0,3,0,0.0,0.0,0.0,2019-11-10 14:00:00+00:00,1,0,12,0,11803,0.0,1,6,656,650,48,2019-11-10
3,2018-12-05,Wed,15,Home,D 2–2,Manchester Utd,Arsenal,Y,CB,71,0,0,0,0,3,2,1,0,67,1,0,1,0.1,0.1,0.0,2,1,38,56,2,43,1,1,1,691,231,18,19,14,19,4,16,0.0,0,5,0,0,55,1,1,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,3,1,6,19,41,7,1,194.0,136.0,1,0,1,0,51,0,0,-4,0,1.3,3.4,8.2,2018-12-05 20:00:00+00:00,71,1,15,0,3937,24.0,-2,-6,79,85,49,2018-12-05
4,2018-12-08,Sat,16,Home,W 4–1,Manchester Utd,Fulham,N,CB,33,0,0,0,0,0,0,0,0,29,1,1,0,0.0,0.0,0.0,0,0,25,27,2,24,0,0,0,393,145,15,15,8,8,1,1,0.0,0,2,0,0,26,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,11,18,0,0,85.0,29.0,0,0,0,0,25,0,0,5,0,0.2,0.6,6.0,2018-12-08 15:00:00+00:00,32,0,16,0,5468,0.0,1,989,1156,167,49,2018-12-08
5,2019-03-30,Sat,32,Home,W 2–1,Manchester Utd,Watford,N,CB,14,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,2,5,0,0,0,0,0,33,15,0,1,2,2,0,0,0.0,0,0,0,0,2,2,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,3,1,2,0,0.0,0.0,0,0,0,0,2,0,0,3,0,0.0,0.2,2.0,2019-03-30 15:00:00+00:00,13,0,32,0,4721,0.0,1,63,137,74,49,2019-03-30
6,2019-04-13,Sat,34,Home,W 2–1,Manchester Utd,West Ham,Y,LB,74,0,0,0,0,2,1,0,0,54,3,4,1,0.0,0.0,0.0,1,0,26,38,2,11,0,0,0,381,171,16,18,9,13,1,4,0.0,0,3,2,0,30,7,1,0,0,2,6,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1,2,0,1,4,3,1,0,5,0,7,19,29,7,0,35.0,23.0,0,0,0,0,25,3,0,11,0,1.5,4.7,24.6,2019-04-13 16:30:00+00:00,74,0,34,0,4921,21.0,2,49,124,75,49,2019-04-13
7,2019-04-28,Sun,36,Home,D 1–1,Manchester Utd,Chelsea,N,CB,20,0,0,0,0,1,0,1,0,14,0,1,1,0.1,0.1,0.0,0,0,7,11,2,6,0,0,0,154,118,1,1,3,5,2,2,0.0,0,2,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,11,1,1,30.0,16.0,0,0,0,0,9,0,0,0,0,0.1,2.0,1.4,2019-04-28 15:30:00+00:00,19,0,36,0,5071,18.0,0,-92,41,133,49,2019-04-28
8,2017-11-28,Tue,14,Away,W 4–2,Manchester Utd,Watford,Y,CB,90,0,0,0,0,0,0,1,0,53,1,0,2,0.0,0.0,0.0,0,0,29,41,4,33,0,0,0,572,294,15,15,9,13,5,12,0.0,0,4,0,0,38,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,1,1,9,0,11,31,22,0,0,126.0,64.0,0,0,0,0,33,0,0,7,0,0.5,1.6,15.8,2017-11-28 20:00:00+00:00,90,0,14,0,6942,0.0,0,-363,1009,1372,54,2017-11-28
9,2017-12-02,Sat,15,Away,W 3–1,Manchester Utd,Arsenal,Y,CB,90,0,0,0,0,0,0,1,0,37,0,2,2,0.0,0.0,0.0,0,0,9,17,0,10,0,0,0,222,142,2,2,5,7,2,8,0.0,0,1,0,0,15,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,16,0,17,28,9,0,0,49.0,6.0,0,0,0,0,8,0,0,10,0,0.0,3.0,30.0,2017-12-02 17:30:00+00:00,90,0,15,0,7739,0.0,1,506,1426,920,54,2017-12-02
