,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-19,Sat,2,Home,W 1–0,Manchester City,Newcastle Utd,Y,CB,90,0,0,0,0,0,0,0,0,90,1,0,0,0.0,0.0,0.0,1,0,82,87,5,60,0,0,0,1349,384,34,34,44,46,2,4,0.0,0,3,0,0,85,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,2,0,8,39,49,2,0,247.0,123.0,0,0,0,0,82,0,1,28,1,1.9,1.3,10.6,2023-08-19 19:00:00+00:00,90,0,2,0,545672,0.0,7,-86857,34260,121117,55,2023-08-19
1,2023-08-27,Sun,3,Away,W 2–1,Manchester City,Sheffield Utd,Y,CB,90,0,0,0,0,1,0,0,0,124,2,0,1,0.0,0.0,0.0,5,0,110,116,9,105,1,0,0,1964,561,51,51,49,52,10,13,0.1,0,11,2,1,114,2,1,0,0,4,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,4,32,74,19,2,530.0,324.0,4,0,1,0,103,3,0,14,0,10.3,3.7,20.4,2023-08-27 13:00:00+00:00,90,0,3,0,688212,6.0,2,90888,126534,35646,55,2023-08-27
2,2023-09-02,Sat,4,Home,W 5–1,Manchester City,Fulham,Y,CB,90,0,0,0,0,0,0,0,0,112,4,2,0,0.0,0.0,0.0,0,0,101,102,4,87,1,0,0,2003,626,33,33,55,56,13,13,0.0,0,4,0,0,99,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,1,2,1,0,0,1,0,8,53,58,1,0,542.0,385.0,1,0,0,0,95,0,0,12,0,1.9,2.4,22.0,2023-09-02 14:00:00+00:00,90,0,4,0,797895,0.0,2,71223,107340,36117,55,2023-09-02
3,2023-09-16,Sat,5,Away,W 3–1,Manchester City,West Ham,Y,CB,90,0,0,0,0,2,2,0,0,80,0,2,0,0.2,0.2,0.0,1,0,67,73,4,66,5,0,0,1117,374,30,31,32,35,4,6,0.0,0,5,0,0,73,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,3,25,50,5,3,446.0,346.0,2,0,0,0,66,1,0,11,0,2.3,5.7,19.0,2023-09-16 14:00:00+00:00,90,0,5,0,842408,36.0,2,11102,61531,50429,55,2023-09-16
4,2023-09-23,Sat,6,Home,W 2–0,Manchester City,Nott'ham Forest,Y,CB,90,0,0,0,0,0,0,0,0,80,0,1,2,0.0,0.0,0.0,1,0,65,71,3,58,0,0,0,1314,495,18,19,42,43,5,9,0.0,0,5,0,0,69,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,0,10,23,56,1,0,338.0,209.0,0,0,0,1,64,0,0,26,1,2.3,2.5,22.2,2023-09-23 14:00:00+00:00,90,0,6,0,853743,0.0,6,-2120,41870,43990,55,2023-09-23
5,2023-09-30,Sat,7,Away,L 1–2,Manchester City,Wolves,Y,CB,90,0,0,0,0,3,1,0,0,133,1,2,2,0.2,0.2,0.0,2,0,110,121,17,98,6,0,0,1980,571,43,45,61,65,6,9,0.3,1,25,1,0,117,4,1,1,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,3,0,6,26,81,27,3,936.0,721.0,11,0,0,0,105,1,0,9,0,21.8,7.0,23.2,2023-09-30 14:00:00+00:00,90,1,7,0,877614,25.0,-1,10098,41872,31774,55,2023-09-30
6,2023-10-08,Sun,8,Away,L 0–1,Manchester City,Arsenal,Y,CB,90,0,0,0,0,0,0,0,0,92,0,0,0,0.0,0.0,0.0,0,0,78,91,8,65,1,0,0,1263,412,40,43,33,37,3,7,0.0,0,5,0,0,90,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,27,58,7,0,267.0,193.0,2,0,0,0,81,0,0,10,0,2.5,1.3,10.4,2023-10-08 15:30:00+00:00,90,0,8,0,824427,0.0,2,-55029,18525,73554,55,2023-10-08
7,2023-10-21,Sat,9,Home,W 2–1,Manchester City,Brighton,N,CB,16,0,0,0,0,0,0,0,0,12,0,0,0,0.0,0.0,0.0,0,0,11,11,0,8,0,0,0,196,45,4,4,7,7,0,0,0.0,0,2,0,0,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,10,0,0,25.0,11.0,0,0,0,0,10,0,0,3,0,0.4,0.3,3.0,2023-10-21 14:00:00+00:00,15,0,9,0,824475,0.0,1,-13717,19195,32912,55,2023-10-21
8,2023-10-29,Sun,10,Away,W 3–0,Manchester City,Manchester Utd,Y,CB,90,0,0,0,0,0,0,0,0,86,0,3,0,0.0,0.0,0.0,0,0,74,80,3,57,1,0,0,1352,451,28,28,40,44,5,5,0.0,0,1,0,0,79,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,31,52,3,1,339.0,157.0,0,0,0,0,76,1,0,24,1,1.6,1.6,12.0,2023-10-29 15:30:00+00:00,90,0,10,0,778184,2.0,6,-48904,8616,57520,55,2023-10-29
9,2023-11-12,Sun,12,Away,D 4–4,Manchester City,Chelsea,Y,CB,90,0,0,0,0,0,0,0,0,98,1,0,2,0.0,0.0,0.0,0,0,76,84,5,56,2,0,0,1310,344,30,32,41,44,4,6,0.1,0,7,1,1,83,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3,2,0,2,8,0,10,44,50,4,0,382.0,230.0,1,0,0,0,73,0,0,15,0,6.3,2.1,14.4,2023-11-12 16:30:00+00:00,90,0,12,0,761484,0.0,0,-31404,15034,46438,55,2023-11-12
