,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-12,Sat,1,Home,W 2–1,Arsenal,Nott'ham Forest,Y,CB,90,0,1,0,0,0,0,0,0,132,0,0,0,0.0,0.0,0.0,2,1,127,130,7,114,0,0,0,2180,834,58,60,61,61,8,8,0.0,1,4,1,0,128,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,37,92,3,1,489.0,316.0,0,0,0,0,112,0,0,22,0,13.6,4.9,33.6,2023-08-12 12:00:00+00:00,90,0,1,0,1463572,2.0,5,0,0,0,50,2023-08-12
1,2023-08-21,Mon,2,Away,W 1–0,Arsenal,Crystal Palace,Y,CB,90,0,0,0,0,0,0,0,0,83,1,2,2,0.0,0.0,0.0,0,0,61,65,0,51,1,0,0,1239,378,21,21,32,33,8,11,0.0,0,4,0,0,61,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,9,0,19,37,46,0,0,271.0,220.0,0,0,1,0,54,0,2,29,1,1.2,2.9,27.6,2023-08-21 19:00:00+00:00,90,0,2,0,2061837,0.0,8,279299,320796,41497,51,2023-08-21
2,2023-08-26,Sat,3,Home,D 2–2,Arsenal,Fulham,Y,CB,90,0,0,0,0,1,0,0,0,104,0,2,1,0.0,0.0,0.0,1,0,91,96,12,55,1,1,0,1665,558,35,36,48,51,6,6,0.0,1,7,0,0,92,4,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,28,64,13,2,362.0,273.0,1,0,0,1,77,0,0,14,0,14.5,3.9,17.6,2023-08-26 14:00:00+00:00,90,0,3,0,2652845,7.0,1,460200,511623,51423,52,2023-08-26
3,2023-09-03,Sun,4,Home,W 3–1,Arsenal,Manchester Utd,Y,CB,90,0,0,0,0,0,0,0,0,84,0,2,1,0.0,0.0,0.0,0,0,71,79,7,59,0,1,1,1330,464,24,26,44,46,2,4,0.0,0,10,0,0,77,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,10,36,43,5,0,227.0,120.0,0,0,1,0,67,1,0,17,0,2.3,2.3,20.2,2023-09-03 15:30:00+00:00,90,0,4,0,2705729,0.0,2,15799,170346,154547,52,2023-09-03
4,2023-09-17,Sun,5,Away,W 1–0,Arsenal,Everton,Y,CB,90,0,0,0,0,0,0,0,0,108,0,0,2,0.0,0.0,0.0,0,0,94,103,4,72,0,0,0,1830,568,27,29,60,64,7,10,0.0,0,2,0,0,100,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,13,52,56,0,0,212.0,120.0,0,0,1,0,86,0,0,27,1,1.2,2.7,25.6,2023-09-17 15:30:00+00:00,90,0,5,0,2854851,0.0,6,63946,162369,98423,52,2023-09-17
5,2023-09-24,Sun,6,Home,D 2–2,Arsenal,Tottenham,Y,CB,90,0,0,0,0,0,0,0,0,58,2,0,4,0.0,0.0,0.0,1,0,44,50,4,43,0,1,0,892,328,11,12,30,34,3,4,0.0,0,3,0,0,50,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,2,0,2,2,1,0,6,29,25,5,0,233.0,111.0,4,0,0,0,42,0,0,11,0,1.3,2.3,21.2,2023-09-24 13:00:00+00:00,90,0,6,0,2874684,0.0,1,1035,92811,91776,52,2023-09-24
6,2023-09-30,Sat,7,Away,W 4–0,Arsenal,Bournemouth,Y,CB,90,0,0,0,0,0,0,0,0,51,1,1,0,0.0,0.0,0.0,1,0,45,47,1,36,0,0,0,677,177,21,22,24,25,0,0,0.0,0,2,0,0,46,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,30,21,0,0,142.0,57.0,0,0,2,0,39,0,0,25,1,0.4,0.8,7.4,2023-09-30 14:00:00+00:00,90,0,7,0,2682207,0.0,6,-179708,62539,242247,52,2023-09-30
7,2023-10-08,Sun,8,Home,W 1–0,Arsenal,Manchester City,Y,CB,90,0,0,0,0,0,0,0,0,76,2,0,1,0.0,0.0,0.0,0,0,69,70,2,59,0,0,0,1165,362,32,32,36,37,1,1,0.0,0,3,0,0,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,0,0,1,2,0,6,40,37,0,0,197.0,76.0,0,0,0,0,58,0,1,26,1,1.3,1.5,14.0,2023-10-08 15:30:00+00:00,90,0,8,0,2604523,0.0,7,-99840,75874,175714,52,2023-10-08
8,2023-10-21,Sat,9,Away,D 2–2,Arsenal,Chelsea,Y,CB,90,0,0,0,0,0,0,0,0,102,1,1,1,0.0,0.0,0.0,1,0,89,98,5,66,0,1,1,1565,505,40,45,43,44,6,7,0.0,0,3,0,0,97,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,1,2,0,7,48,52,4,0,293.0,183.0,2,0,0,0,82,0,0,14,0,2.1,1.2,10.2,2023-10-21 16:30:00+00:00,90,0,9,0,2492944,0.0,1,-134453,47496,181949,52,2023-10-21
9,2023-10-28,Sat,10,Home,W 5–0,Arsenal,Sheffield Utd,Y,CB,90,0,0,0,0,0,0,0,0,133,0,0,0,0.0,0.0,0.0,0,0,122,127,6,107,0,0,0,2052,741,47,49,66,66,6,9,0.3,0,5,0,0,126,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,53,79,1,0,515.0,304.0,0,0,2,1,110,0,1,27,1,8.3,2.1,12.4,2023-10-28 14:00:00+00:00,90,0,10,0,2554328,0.0,7,36611,116206,79595,52,2023-10-28
