,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,own_goals,penalties_conceded,recoveries,round,saves,selected,tackled,tackles,target_missed,threat,total_points,transfers_balance,transfers_in,transfers_out,value,winning_goals,kickoff_date
0,2018-08-11,Sat,1,Home,L 0–3,Huddersfield,Chelsea,Y,CB,90,0,0,0,0,0,0,1,0,38,1,2,6,0.0,0.0,0.0,1,0,26,29,5,18,0,0,0,701,180,2,2,16,16,8,11,0.0,0,3,0,0,28,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,4,2,1,0,5,18,20,0,0,86.0,44.0,0,0,0,0,21,0,29,0,0,0,6,0,7,26,0.2,0,0,0,0,1,2.0,192,20.2,0,2018-08-11 14:00:00+00:00,11 Aug 15:00,0,0,90,0,0,0,1,6,1,0,164951,0,1,0,0.0,0,0,0,0,45,0,2018-08-11
1,2018-08-19,Sun,2,Away,L 1–6,Huddersfield,Manchester City,Y,CB,90,0,0,0,0,0,0,1,0,35,2,0,3,0.0,0.0,0.1,1,0,21,24,2,15,0,0,0,430,160,8,10,10,10,2,3,0.0,1,2,0,0,22,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,1,3,0,5,0,9,22,9,4,2,35.0,5.0,0,0,0,0,18,0,24,0,0,0,7,0,8,21,10.7,0,0,0,0,1,4.4,717,29.0,1,2018-08-19 12:30:00+00:00,19 Aug 13:30,0,0,90,0,0,0,0,2,2,0,147672,0,0,0,4.0,-2,-18060,324,18384,45,0,2018-08-19
2,2018-08-25,Sat,3,Home,D 0–0,Huddersfield,Cardiff City,Y,CB,90,0,0,0,0,0,0,0,0,61,2,0,2,0.0,0.0,0.0,0,0,36,49,3,28,2,0,0,756,242,10,15,21,24,5,9,0.0,0,4,0,0,48,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,1,1,1,1,7,0,5,34,22,5,1,206.0,154.0,1,0,0,0,36,0,50,0,0,3,28,1,7,37,0.9,0,0,0,0,0,2.7,1244,24.4,0,2018-08-25 14:00:00+00:00,25 Aug 15:00,0,0,90,0,0,0,0,4,3,0,131277,0,2,0,2.0,9,-17388,1315,18703,45,0,2018-08-25
3,2018-09-01,Sat,4,Away,D 1–1,Huddersfield,Everton,Y*,CB,90,0,0,0,0,0,0,0,0,34,0,0,1,0.0,0.0,0.0,0,0,25,31,1,11,0,0,0,519,139,5,8,16,17,4,5,0.0,0,1,0,0,30,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,21,9,4,3,25.0,13.0,0,0,0,0,22,0,31,0,0,0,10,0,1,25,0.3,0,0,0,0,1,1.2,1775,6.0,0,2018-09-01 14:00:00+00:00,01 Sep 15:00,0,0,90,0,0,0,0,3,4,0,132527,0,0,0,6.0,2,-1092,5451,6543,45,0,2018-09-01
4,2018-09-15,Sat,5,Home,L 0–1,Huddersfield,Crystal Palace,Y*,CB,90,0,0,0,0,2,0,0,0,84,1,2,2,0.1,0.1,0.0,1,0,59,73,1,49,1,0,0,1330,395,11,12,37,44,11,16,0.0,0,4,0,0,71,2,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,0,7,50,30,4,3,204.0,110.0,0,0,0,0,62,0,73,0,0,0,9,0,5,60,0.4,0,0,0,0,1,1.8,2312,8.6,0,2018-09-15 14:00:00+00:00,15 Sep 15:00,0,0,90,0,0,0,0,1,5,0,126168,0,0,2,9.0,2,-6614,1935,8549,44,0,2018-09-15
5,2018-09-22,Sat,6,Away,L 1–3,Huddersfield,Leicester City,Y*,CB,90,0,0,0,0,0,0,0,0,35,0,1,1,0.0,0.0,0.1,2,0,29,31,2,15,0,0,0,593,115,7,9,15,15,6,6,0.1,1,0,1,0,31,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,4,22,13,2,1,62.0,25.0,0,0,0,0,21,0,31,1,0,0,19,0,4,29,10.6,0,0,0,0,0,2.7,2849,14.0,1,2018-09-22 14:00:00+00:00,22 Sep 15:00,0,0,90,0,0,0,0,3,6,0,121056,0,0,0,2.0,1,-5505,1324,6829,44,0,2018-09-22
6,2018-09-29,Sat,7,Home,L 0–2,Huddersfield,Tottenham,Y,CB,70,0,0,0,0,0,0,0,0,34,0,4,0,0.0,0.0,0.0,0,0,20,25,0,10,0,0,0,411,175,6,8,11,13,3,4,0.0,0,0,0,0,24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,4,1,4,23,11,0,0,31.0,4.0,1,1,0,0,16,0,25,0,0,0,12,0,8,20,0.0,0,0,0,0,1,0.8,3387,7.6,0,2018-09-29 14:00:00+00:00,29 Sep 15:00,0,0,70,0,0,0,0,3,7,0,114819,0,1,0,0.0,1,-6243,340,6583,44,0,2018-09-29
7,2018-10-06,Sat,8,Away,D 1–1,Huddersfield,Burnley,Y,CB,90,1,0,0,0,2,1,0,0,91,1,0,1,0.1,0.1,0.0,0,0,68,83,1,51,0,0,0,1468,338,17,20,36,43,13,17,0.0,0,0,0,0,82,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,5,56,32,4,3,199.0,63.0,0,0,0,0,63,0,83,0,0,0,23,0,4,68,0.0,0,0,0,0,1,7.3,3926,49.8,0,2018-10-06 14:00:00+00:00,06 Oct 15:00,0,0,90,0,0,0,0,3,8,0,103902,0,0,1,23.0,8,-10788,45,10833,44,0,2018-10-06
8,2018-10-20,Sat,9,Home,L 0–1,Huddersfield,Liverpool,Y,CB,90,0,0,0,0,0,0,0,0,77,6,1,4,0.0,0.0,0.0,0,0,55,62,1,35,0,0,0,1030,329,20,21,32,36,3,4,0.0,0,2,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,2,0,3,3,0,0,4,4,0,9,51,24,2,2,101.0,54.0,0,0,0,1,47,0,62,0,0,0,19,0,5,55,0.2,0,0,0,0,1,2.8,4468,24.0,0,2018-10-20 16:30:00+00:00,20 Oct 17:30,0,0,90,0,0,0,0,3,9,0,105373,1,4,0,4.0,2,249,4768,4519,43,0,2018-10-20
9,2018-10-27,Sat,10,Away,L 0–3,Huddersfield,Watford,Y,CB,90,0,0,0,0,0,0,0,0,72,2,2,0,0.0,0.0,0.0,0,0,54,64,2,32,2,0,0,1065,290,18,20,33,37,3,7,0.0,0,1,0,0,62,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,2,0,1,48,24,0,0,102.0,47.0,0,0,0,0,52,0,64,0,0,0,12,0,4,54,0.3,0,0,0,0,1,1.4,5014,13.4,0,2018-10-27 14:00:00+00:00,27 Oct 15:00,0,0,90,0,0,0,0,3,10,0,105831,0,0,0,0.0,1,342,3155,2813,43,0,2018-10-27
