,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2019-09-28,Sat,7,Home,D 2–2,Bournemouth,West Ham,N,RB,2,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,4,6,1,5,0,0,0,91,38,2,4,1,1,1,1,0.0,0,1,1,0,5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,12.0,9.0,0,0,1,0,4,1,0,3,0,0.3,0.1,0.4,2019-09-28 14:00:00+00:00,1,0,7,0,592,0.0,1,48,77,29,44,2019-09-28
1,2019-10-06,Sun,8,Away,L 0–1,Bournemouth,Arsenal,N,RB,12,0,0,0,0,0,0,0,0,19,1,1,1,0.0,0.0,0.0,0,0,9,11,0,4,0,0,0,159,119,6,6,1,2,2,2,0.0,0,1,0,0,10,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,3,0,4,13,6,0,0,12.0,5.0,0,0,0,0,4,0,0,6,0,0.3,0.9,8.6,2019-10-06 13:00:00+00:00,11,0,8,0,788,0.0,1,102,160,58,44,2019-10-06
2,2019-11-09,Sat,12,Away,L 1–2,Bournemouth,Newcastle Utd,N,CB,25,0,0,0,0,1,0,0,0,32,0,0,0,0.1,0.1,0.0,2,0,26,31,2,17,1,0,0,481,120,14,15,9,12,3,4,0.0,1,2,1,1,28,3,0,0,1,4,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,17,9,1,93.0,45.0,0,0,0,1,23,3,0,5,0,19.4,4.6,8.4,2019-11-09 15:00:00+00:00,24,0,12,0,1187,18.0,1,-6,90,96,44,2019-11-09
3,2019-11-23,Sat,13,Home,L 1–2,Bournemouth,Wolves,Y*,CB,36,0,0,0,0,0,0,2,1,52,1,1,0,0.0,0.0,0.0,0,0,41,48,3,38,0,1,0,599,210,26,26,13,17,2,5,0.0,0,4,0,0,42,6,1,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,0,1,0,1,11,30,11,0,134.0,59.0,0,0,0,0,40,3,0,-3,0,1.7,0.4,2.6,2019-11-23 15:00:00+00:00,36,0,13,0,1328,0.0,-3,75,163,88,44,2019-11-23
4,2019-12-03,Tue,15,Away,L 0–1,Bournemouth,Crystal Palace,N,RB,27,0,0,0,0,1,0,0,0,22,2,1,0,0.0,0.0,0.0,0,0,10,17,1,14,0,0,0,126,23,7,9,3,5,0,2,0.0,0,1,0,0,17,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2,1,0,0,0,0,1,9,7,6,1,124.0,24.0,1,0,0,1,12,1,0,3,0,1.2,2.5,6.0,2019-12-03 19:30:00+00:00,26,0,15,0,1237,18.0,1,25,73,48,44,2019-12-03
5,2019-12-07,Sat,16,Home,L 0–3,Bournemouth,Liverpool,Y*,RB,90,0,0,0,0,0,0,0,0,48,2,1,1,0.0,0.0,0.0,0,0,29,39,1,23,0,0,0,482,186,13,14,14,16,2,7,0.0,0,1,0,0,32,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,4,3,1,0,4,0,7,28,17,3,0,87.0,44.0,0,0,0,0,26,0,0,15,0,0.7,2.0,19.0,2019-12-07 15:00:00+00:00,90,0,16,0,1290,0.0,1,15,88,73,44,2019-12-07
6,2019-12-14,Sat,17,Away,W 1–0,Bournemouth,Chelsea,Y*,CB,90,0,0,0,0,1,0,0,0,47,0,1,1,0.0,0.0,0.0,1,0,24,35,1,33,0,2,2,473,193,8,10,13,15,3,10,0.0,0,0,0,0,35,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,14,35,11,2,2,114.0,54.0,0,0,1,0,25,0,1,28,1,0.0,4.4,23.8,2019-12-14 15:00:00+00:00,90,0,17,0,1440,20.0,7,76,150,74,44,2019-12-14
7,2019-12-21,Sat,18,Home,L 0–1,Bournemouth,Burnley,Y*,CB,90,0,0,0,0,0,0,1,0,62,1,0,1,0.0,0.0,0.0,0,0,42,49,3,37,1,0,0,899,354,15,16,21,22,6,11,0.0,0,3,0,0,47,2,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,9,0,8,45,19,0,0,214.0,114.0,0,0,1,0,36,0,0,11,0,0.3,2.5,24.4,2019-12-21 15:00:00+00:00,90,0,18,0,3871,0.0,1,1577,1744,167,44,2019-12-21
8,2020-01-01,Wed,21,Away,L 0–4,Bournemouth,West Ham,Y*,"RB,CB",90,0,0,0,0,0,0,0,0,97,1,0,0,0.0,0.0,0.0,0,0,73,87,3,67,2,0,0,982,289,52,56,21,23,0,5,0.0,0,2,0,0,77,10,0,0,0,5,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,0,0,7,0,5,37,41,20,0,230.0,82.0,1,0,0,0,66,6,0,16,0,2.7,1.8,14.8,2020-01-01 17:30:00+00:00,90,0,21,0,2210,0.0,0,-519,9,528,44,2020-01-01
9,2020-01-12,Sun,22,Home,L 0–3,Bournemouth,Watford,Y*,"CB,RB",90,0,0,0,0,0,0,0,0,92,0,2,4,0.0,0.0,0.0,3,0,58,81,5,53,1,2,1,1097,337,22,28,30,37,6,14,0.0,1,3,0,0,73,8,5,0,1,2,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,4,0,13,36,46,10,0,218.0,134.0,1,0,0,0,50,2,0,14,0,12.0,3.8,25.6,2020-01-12 14:00:00+00:00,90,0,22,0,2468,0.0,1,150,346,196,44,2020-01-12
10,2020-01-18,Sat,23,Away,L 0–1,Bournemouth,Norwich City,N,CB,57,0,0,0,0,0,0,0,0,36,2,2,1,0.0,0.0,0.1,1,0,21,28,0,24,0,0,0,462,246,6,7,11,13,4,7,0.1,1,2,0,0,28,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,3,1,1,0,2,0,5,20,12,4,3,145.0,90.0,0,0,0,0,22,0,0,14,0,10.7,3.6,18.8,2020-01-18 15:00:00+00:00,56,0,23,0,2651,6.0,1,118,323,205,44,2020-01-18
11,2020-01-21,Tue,24,Home,W 3–1,Bournemouth,Brighton,Y*,CB,90,0,0,0,0,0,0,0,0,33,0,0,1,0.0,0.0,0.0,0,0,19,26,2,17,0,0,0,423,213,3,6,13,14,3,4,0.0,0,1,0,0,23,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,7,19,13,1,1,75.0,37.0,0,0,0,0,19,0,0,7,0,0.3,1.6,14.0,2020-01-21 19:30:00+00:00,90,0,24,0,2623,2.0,2,-44,118,162,44,2020-01-21
12,2020-02-01,Sat,25,Home,W 2–1,Bournemouth,Aston Villa,Y*,CB,90,0,0,0,0,0,0,0,0,38,0,7,2,0.0,0.0,0.0,1,1,11,22,1,16,0,0,0,222,96,3,5,7,10,1,6,0.0,0,1,1,1,21,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,2,0,7,0,11,27,10,1,0,46.0,8.0,1,0,0,0,6,0,0,16,0,4.1,3.5,31.2,2020-02-01 15:00:00+00:00,90,0,25,0,2681,0.0,2,8,158,150,44,2020-02-01
13,2020-02-09,Sun,26,Away,L 1–2,Bournemouth,Sheffield Utd,Y*,CB,90,0,0,0,0,0,0,1,0,62,1,2,3,0.0,0.0,0.1,1,0,29,41,1,28,0,1,0,687,339,9,10,13,20,7,11,0.0,1,3,0,0,41,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,2,1,13,0,16,45,15,2,1,76.0,26.0,0,0,0,0,23,0,0,17,0,10.4,5.0,38.0,2020-02-09 14:00:00+00:00,90,0,26,0,2734,2.0,0,14,131,117,44,2020-02-09
14,2020-02-22,Sat,27,Away,L 0–3,Bournemouth,Burnley,Y*,CB,90,0,0,0,0,0,0,1,0,64,2,2,2,0.0,0.0,0.0,0,0,30,46,2,31,0,1,1,463,233,15,18,13,17,1,9,0.1,0,1,0,0,45,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,3,1,1,1,9,0,11,41,20,3,3,154.0,71.0,0,0,1,0,31,0,0,9,0,0.3,3.5,28.2,2020-02-22 15:00:00+00:00,90,0,27,0,2716,6.0,0,-48,106,154,44,2020-02-22
15,2018-08-11,Sat,1,Home,W 2–0,Bournemouth,Cardiff City,N,RB,24,0,1,0,0,0,0,0,0,16,0,0,1,0.0,0.0,0.1,2,2,10,14,1,8,0,1,1,147,99,7,7,3,5,0,1,0.1,1,0,1,0,11,3,0,0,0,1,3,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,4,4,8,1,25.0,8.0,0,0,1,0,8,1,0,15,0,10.8,3.7,22.2,2018-08-11 14:00:00+00:00,23,0,1,0,22164,4.0,4,0,0,0,45,2018-08-11
16,2018-08-18,Sat,2,Away,W 2–1,Bournemouth,West Ham,N,RB,13,0,0,0,0,0,0,0,0,9,0,1,0,0.0,0.0,0.0,0,0,4,5,0,2,0,0,0,108,84,2,2,0,0,2,3,0.0,0,1,0,0,3,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,3,4,2,0,26.0,10.0,0,0,0,0,2,0,0,5,0,0.3,0.8,7.6,2018-08-18 14:00:00+00:00,12,0,2,0,26400,0.0,1,-17,1882,1899,45,2018-08-18
17,2018-09-01,Sat,4,Away,L 0–2,Bournemouth,Chelsea,Y*,"CB,RB",90,0,0,0,0,0,0,0,0,50,2,2,2,0.0,0.0,0.0,0,0,25,35,4,21,1,0,0,441,305,12,16,8,11,5,7,0.0,0,3,1,0,28,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,2,0,2,0,8,0,13,27,15,8,1,99.0,27.0,1,0,1,0,19,2,0,11,0,1.6,3.3,29.8,2018-09-01 14:00:00+00:00,90,0,4,0,21993,2.0,1,-2756,401,3157,45,2018-09-01
