,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-14,Mon,1,Home,W 1–0,Manchester Utd,Wolves,Y,LB,90,0,0,0,0,0,0,1,0,87,2,2,4,0.0,0.0,0.0,0,0,55,67,9,41,0,0,0,800,226,31,37,20,22,2,5,0.0,0,5,1,0,53,14,2,0,0,1,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,2,2,0,2,2,7,0,15,30,41,16,4,177.0,116.0,2,0,3,1,41,3,0,25,1,3.7,4.3,31.0,2023-08-14 19:00:00+00:00,90,0,1,0,2192119,8.0,5,0,0,0,55,2023-08-14
1,2023-08-19,Sat,2,Away,L 0–2,Manchester Utd,Tottenham,Y,LB,90,0,0,0,0,0,0,0,0,63,1,0,3,0.0,0.0,0.7,6,0,43,53,2,32,1,1,1,746,314,21,22,14,17,6,8,0.4,6,1,1,0,41,11,1,2,1,5,6,4,1,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,2,3,0,6,15,26,23,1,79.0,36.0,0,0,1,0,35,5,0,23,0,81.5,11.2,28.8,2023-08-19 16:30:00+00:00,90,0,2,0,2330461,2.0,1,-13923,97719,111642,55,2023-08-19
2,2023-11-26,Sun,13,Away,W 3–0,Manchester Utd,Everton,Y,LB,75,0,0,0,0,1,0,0,0,45,1,0,0,0.0,0.0,0.0,0,0,33,42,2,15,1,1,1,479,167,21,24,11,12,0,4,0.0,0,2,1,0,33,9,2,0,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,0,0,3,0,3,23,15,7,0,71.0,41.0,0,0,0,0,22,2,0,26,1,1.8,0.9,6.4,2023-11-26 16:30:00+00:00,75,0,13,0,301905,1.0,6,2529,7997,5468,52,2023-11-26
3,2023-12-02,Sat,14,Away,L 0–1,Manchester Utd,Newcastle Utd,Y,CB,90,0,0,0,0,0,0,0,0,57,0,0,2,0.0,0.0,0.0,1,0,41,48,1,32,0,2,1,598,226,19,19,15,17,2,7,0.0,1,2,0,0,42,6,2,0,0,5,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,15,27,23,7,0,148.0,65.0,0,0,1,0,33,2,0,17,0,15.3,3.7,21.2,2023-12-02 20:00:00+00:00,90,0,14,0,331489,0.0,2,27813,30299,2486,52,2023-12-02
4,2023-12-06,Wed,15,Home,W 2–1,Manchester Utd,Chelsea,Y,"CB,LB",90,0,0,0,0,1,0,1,0,66,1,0,1,0.0,0.0,0.1,4,0,49,58,6,31,2,0,0,759,374,25,27,21,24,3,5,0.1,3,3,1,0,48,9,1,0,0,4,2,4,1,1,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,1,0,4,0,10,30,23,13,1,167.0,102.0,2,0,1,0,36,0,0,14,0,40.2,6.4,20.2,2023-12-06 20:15:00+00:00,90,0,15,0,336773,4.0,1,5080,8877,3797,52,2023-12-06
5,2023-12-09,Sat,16,Home,L 0–3,Manchester Utd,Bournemouth,Y,CB,78,0,0,0,0,0,0,0,0,97,0,1,0,0.0,0.0,0.0,1,0,78,90,5,67,0,0,0,1186,389,42,46,31,34,3,7,0.0,0,5,0,0,86,4,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,5,0,12,43,49,5,0,308.0,128.0,1,0,0,1,74,0,0,12,0,2.9,1.5,12.0,2023-12-09 15:00:00+00:00,78,0,16,0,374119,0.0,1,32949,36724,3775,52,2023-12-09
6,2023-12-17,Sun,17,Away,D 0–0,Manchester Utd,Liverpool,Y,LB,90,0,0,0,0,0,0,1,0,64,1,1,5,0.0,0.0,0.0,0,0,31,45,3,16,1,0,0,441,252,17,23,12,18,1,3,0.0,0,0,1,0,33,12,2,0,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,3,2,6,0,9,28,28,8,0,66.0,42.0,0,0,2,2,23,1,0,22,1,1.1,3.0,27.0,2023-12-17 16:30:00+00:00,90,0,17,0,349515,2.0,5,-20866,4079,24945,52,2023-12-17
7,2023-12-23,Sat,18,Away,L 0–2,Manchester Utd,West Ham,Y,"LB,CB",90,0,0,0,0,0,0,1,0,101,2,1,0,0.0,0.0,0.1,3,0,69,92,9,63,2,2,1,1123,412,35,39,30,39,3,9,0.1,1,4,2,0,81,11,2,0,0,7,7,2,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,2,2,0,0,0,2,0,3,26,52,24,2,400.0,113.0,4,0,2,0,69,9,0,7,0,17.7,3.7,15.2,2023-12-23 12:30:00+00:00,90,0,18,0,371363,4.0,0,15471,21000,5529,52,2023-12-23
8,2024-02-01,Thu,22,Away,W 4–3,Manchester Utd,Wolves,Y,LB,90,0,0,0,0,0,0,1,0,63,1,0,1,0.0,0.0,0.0,4,0,51,57,3,43,2,4,3,757,208,24,28,20,21,3,3,0.1,0,4,0,0,46,11,1,0,0,1,10,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,6,20,27,16,3,205.0,110.0,0,1,1,0,39,3,0,22,0,6.3,2.7,14.8,2024-02-01 20:15:00+00:00,90,0,22,0,341469,6.0,3,6123,10775,4652,52,2024-02-01
9,2024-02-04,Sun,23,Home,W 3–0,Manchester Utd,West Ham,Y,LB,87,0,0,0,0,0,0,0,0,64,2,1,1,0.0,0.0,0.0,2,0,49,52,3,31,1,1,0,732,245,23,25,16,17,3,3,0.0,1,5,0,0,41,11,2,0,1,1,8,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,2,0,0,1,4,0,1,20,26,19,1,121.0,40.0,1,0,2,2,36,3,0,22,1,13.6,2.9,13.6,2024-02-04 14:00:00+00:00,87,0,23,0,353170,2.0,6,11049,13611,2562,52,2024-02-04
