Unnamed: 0,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2017-08-12,Sat,1,Away,L 0–1,Stoke City,Everton,Y*,CB,90,0,0,0,0,0,0,0,0,26,3,4,1,0.0,0.0,0.0,0,0,8,10,1,6,0,0,0,150,66,2,2,5,6,1,2,0.0,0,1,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,1,1,0,0,1,6,0,5,19,5,2,0,30.0,17.0,0,0,1,0,6,0,0,11,0,0.2,2.1,21.0,2017-08-12 14:00:00+00:00,90,0,1,0,69753,0.0,2,0,0,0,50,2017-08-12
1,2017-08-19,Sat,2,Home,W 1–0,Stoke City,Arsenal,Y*,CB,90,0,0,0,0,1,0,0,0,23,0,0,2,0.1,0.1,0.0,0,0,6,8,0,4,0,0,0,101,41,2,2,4,5,0,0,0.0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,11,0,10,15,7,1,1,11.0,0.0,0,0,0,0,4,0,0,23,1,0.0,2.9,24.8,2017-08-19 16:30:00+00:00,90,0,2,0,78267,4.0,6,-2397,1675,4072,50,2017-08-19
2,2017-08-27,Sun,3,Away,D 1–1,Stoke City,West Brom,Y*,CB,90,0,0,0,0,2,0,0,0,49,1,2,0,0.2,0.2,0.2,2,0,23,26,3,15,0,0,0,441,200,6,6,14,15,2,4,0.0,1,1,0,0,26,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,0,0,17,0,9,24,22,3,3,89.0,49.0,0,0,1,0,22,1,0,11,0,10.4,5.4,34.0,2017-08-27 12:30:00+00:00,90,0,3,0,87758,10.0,2,3699,7176,3477,50,2017-08-27
3,2017-10-21,Sat,9,Home,L 1–2,Stoke City,Bournemouth,Y*,CB,90,0,0,0,0,1,0,0,0,46,2,1,1,0.2,0.2,0.0,0,0,27,37,4,20,2,0,0,482,188,13,15,12,17,2,4,0.0,0,1,0,0,35,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,1,3,0,3,11,29,7,3,99.0,63.0,0,0,0,0,22,2,0,5,0,0.8,1.5,6.4,2017-10-21 14:00:00+00:00,90,0,9,0,43947,8.0,1,-2360,36,2396,49,2017-10-21
4,2017-10-28,Sat,10,Away,W 1–0,Stoke City,Watford,Y*,CB,90,0,0,0,0,0,0,0,0,29,0,0,5,0.0,0.0,0.0,0,0,9,13,1,7,1,0,0,201,117,1,1,4,5,3,6,0.0,0,2,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,10,0,15,19,10,0,0,63.0,45.0,0,0,0,0,7,0,0,25,1,0.3,4.3,43.0,2017-10-28 14:00:00+00:00,90,0,10,0,43516,0.0,6,-579,508,1087,48,2017-10-28
5,2017-11-04,Sat,11,Home,D 2–2,Stoke City,Leicester City,Y*,CB,90,0,0,0,0,1,1,0,0,42,1,0,2,0.1,0.1,0.0,0,0,24,32,1,23,0,0,0,460,158,8,8,13,17,3,7,0.0,0,1,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,6,0,5,17,25,1,1,89.0,54.0,0,0,0,0,22,1,0,11,0,0.3,4.0,23.0,2017-11-04 12:30:00+00:00,90,0,11,0,44087,17.0,1,346,1360,1014,48,2017-11-04
6,2017-11-20,Mon,12,Away,D 2–2,Stoke City,Brighton,Y*,CB,90,0,0,0,0,3,2,0,0,46,0,2,0,0.3,0.3,0.0,0,0,27,34,2,25,0,1,1,502,207,6,8,19,22,1,2,0.0,0,1,0,0,33,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,20,21,5,5,92.0,45.0,0,0,0,0,27,0,0,10,0,0.1,7.9,22.6,2017-11-20 20:00:00+00:00,90,0,12,0,45079,56.0,1,685,1474,789,48,2017-11-20
7,2017-11-25,Sat,13,Away,L 1–2,Stoke City,Crystal Palace,Y*,CB,90,0,1,0,0,0,0,0,0,33,1,3,0,0.0,0.0,0.1,1,1,15,20,3,10,0,1,1,286,124,3,4,9,12,2,3,0.0,1,1,0,0,20,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,7,0,8,21,12,1,1,83.0,65.0,0,0,0,0,11,0,0,21,0,10.3,5.1,38.2,2017-11-25 15:00:00+00:00,90,0,13,0,45701,2.0,4,428,1155,727,48,2017-11-25
8,2017-11-29,Wed,14,Home,L 0–3,Stoke City,Liverpool,Y*,CB,90,0,0,0,0,0,0,0,0,46,0,0,1,0.0,0.0,0.0,0,0,25,39,1,18,0,0,0,566,324,6,10,14,19,5,8,0.0,0,3,0,0,37,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,6,27,19,0,0,89.0,16.0,0,0,0,0,18,0,0,8,0,0.0,1.3,13.4,2017-11-29 20:00:00+00:00,90,0,14,0,45847,0.0,1,-5,710,715,48,2017-11-29
9,2017-12-02,Sat,15,Home,W 2–1,Stoke City,Swansea City,Y*,CB,90,0,0,0,0,0,0,0,0,41,1,0,5,0.0,0.0,0.0,1,1,19,22,0,11,0,0,0,465,320,5,6,9,10,5,5,0.0,0,2,0,0,21,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,5,0,12,0,15,28,14,0,0,42.0,12.0,0,0,0,0,12,0,0,15,0,0.0,4.8,48.0,2017-12-02 15:00:00+00:00,90,0,15,0,48517,0.0,2,2359,3230,871,48,2017-12-02
