,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2018-08-27,Mon,3,Home,L 0–3,Manchester Utd,Tottenham,Y,CB,90,0,0,0,0,0,0,0,0,58,2,1,1,0.0,0.0,0.0,0,0,42,49,1,16,0,0,0,755,211,17,19,22,26,2,3,0.0,0,0,0,0,48,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,3,1,1,0,5,0,5,25,33,1,1,69.0,32.0,0,0,0,0,22,0,0,19,0,0.3,2.3,20.2,2018-08-27 19:00:00+00:00,90,0,3,0,96677,2.0,1,-32358,517,32875,58,2018-08-27
1,2018-09-02,Sun,4,Away,W 2–0,Manchester Utd,Burnley,Y,CB,90,0,0,0,0,1,0,0,0,52,0,3,1,0.1,0.1,0.0,0,0,41,43,1,32,0,0,0,890,225,9,10,26,26,6,7,0.0,0,0,0,0,41,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,4,0,2,24,26,2,2,72.0,40.0,0,0,0,0,35,0,1,28,1,0.2,2.5,16.0,2018-09-02 15:00:00+00:00,90,0,4,0,88115,9.0,7,-11060,818,11878,58,2018-09-02
2,2018-09-15,Sat,5,Away,W 2–1,Manchester Utd,Watford,Y,CB,90,1,0,0,0,1,1,0,0,61,0,0,4,0.4,0.4,0.0,1,1,36,46,1,17,0,0,0,672,195,10,12,21,25,4,8,0.0,0,1,0,0,42,4,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,2,9,0,11,36,21,4,3,40.0,30.0,0,0,0,0,27,1,2,27,0,1.1,9.7,59.2,2018-09-15 16:30:00+00:00,90,0,5,0,87614,37.0,10,-2753,2536,5289,58,2018-09-15
3,2018-09-22,Sat,6,Home,D 1–1,Manchester Utd,Wolves,Y,CB,90,0,0,0,0,0,0,0,0,70,1,0,3,0.0,0.0,0.0,1,0,60,64,5,38,0,0,0,1115,371,20,22,32,33,6,6,0.0,0,3,0,0,64,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,3,1,0,4,21,47,2,0,139.0,61.0,0,0,1,0,53,0,0,15,0,1.5,1.2,10.8,2018-09-22 14:00:00+00:00,90,0,6,0,128042,0.0,2,32989,37989,5000,58,2018-09-22
4,2018-09-29,Sat,7,Away,L 1–3,Manchester Utd,West Ham,Y,CB,90,0,0,0,0,0,0,0,0,35,5,2,0,0.0,0.0,0.0,0,0,18,21,2,10,0,0,0,293,144,8,8,9,9,1,3,0.0,0,0,0,0,20,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,0,2,3,1,0,0,3,0,6,22,13,2,2,17.0,3.0,0,0,0,0,11,0,0,14,0,0.0,2.2,17.6,2018-09-29 11:30:00+00:00,90,0,7,0,132846,4.0,1,2380,10822,8442,58,2018-09-29
5,2018-10-06,Sat,8,Home,W 3–2,Manchester Utd,Newcastle Utd,Y,CB,90,0,0,0,0,2,1,0,0,84,0,1,1,0.2,0.2,0.0,0,0,67,75,3,38,0,0,0,1405,395,18,21,44,45,5,7,0.0,0,0,0,0,72,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,31,51,3,3,170.0,99.0,0,0,0,0,53,0,0,6,0,1.3,3.7,12.8,2018-10-06 16:30:00+00:00,90,0,8,0,125182,23.0,1,-8535,3001,11536,58,2018-10-06
6,2018-10-20,Sat,9,Away,D 2–2,Manchester Utd,Chelsea,Y,CB,90,0,0,0,0,0,0,0,0,29,1,1,2,0.0,0.0,0.0,0,0,14,19,1,9,0,0,0,271,102,5,6,8,8,1,5,0.0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,2,0,6,0,7,17,11,1,1,37.0,13.0,0,0,0,0,14,0,0,9,0,0.0,2.6,23.6,2018-10-20 11:30:00+00:00,90,0,9,0,111654,2.0,1,-14188,1387,15575,58,2018-10-20
7,2018-10-28,Sun,10,Home,W 2–1,Manchester Utd,Everton,Y,CB,90,0,0,0,0,0,0,1,0,40,0,0,1,0.0,0.0,0.0,0,0,28,37,2,22,0,1,1,467,158,12,14,15,19,1,2,0.0,0,1,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,5,19,19,2,1,76.0,48.0,0,0,0,0,28,2,0,3,0,0.3,0.7,4.4,2018-10-28 16:00:00+00:00,90,0,10,0,108314,2.0,1,-4434,1145,5579,58,2018-10-28
8,2018-11-03,Sat,11,Away,W 2–1,Manchester Utd,Bournemouth,Y,CB,90,0,0,0,0,0,0,0,0,43,0,0,1,0.0,0.0,0.1,1,0,22,29,1,11,0,0,0,380,102,9,12,10,11,2,5,0.1,1,0,0,0,29,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,1,10,28,14,1,1,50.0,8.0,0,0,0,0,21,0,0,11,0,10.3,2.7,15.0,2018-11-03 12:30:00+00:00,90,0,11,0,104273,2.0,2,-4706,1094,5800,58,2018-11-03
9,2018-11-11,Sun,12,Away,L 1–3,Manchester Utd,Manchester City,Y,CB,90,0,0,0,0,1,0,0,0,38,1,1,4,0.1,0.1,0.0,0,0,22,24,0,8,0,0,0,452,149,6,6,16,16,0,0,0.0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,1,6,0,13,24,12,2,2,12.0,0.0,0,0,0,0,19,0,0,10,0,0.1,3.5,28.8,2018-11-11 16:30:00+00:00,90,0,12,0,100495,6.0,1,-4466,752,5218,58,2018-11-11
10,2018-11-24,Sat,13,Home,D 0–0,Manchester Utd,Crystal Palace,Y,CB,90,0,0,0,0,1,0,0,0,54,4,1,1,0.2,0.2,0.0,0,0,35,42,2,30,0,0,0,600,232,15,16,18,21,2,5,0.0,0,0,0,0,40,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,1,1,0,1,0,3,0,6,19,33,2,2,204.0,116.0,0,0,0,0,32,1,0,21,1,0.4,3.0,21.0,2018-11-24 15:00:00+00:00,90,0,13,0,110830,9.0,6,7549,10798,3249,57,2018-11-24
11,2018-12-05,Wed,15,Home,D 2–2,Manchester Utd,Arsenal,Y*,CB,90,0,0,0,0,0,0,0,0,40,0,1,2,0.0,0.0,0.0,0,0,33,34,1,19,0,0,0,677,154,11,11,16,17,6,6,0.0,0,0,0,0,32,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,4,23,16,1,1,56.0,20.0,0,0,0,0,27,0,0,15,0,0.3,1.5,12.4,2018-12-05 20:00:00+00:00,90,0,15,0,100276,2.0,1,-11307,318,11625,57,2018-12-05
12,2018-12-08,Sat,16,Home,W 4–1,Manchester Utd,Fulham,Y,CB,57,0,0,0,0,1,0,0,0,43,1,1,3,0.0,0.0,0.0,1,0,31,35,3,24,0,0,0,531,198,12,14,15,15,2,4,0.0,0,1,0,0,32,3,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,1,1,0,3,25,16,2,1,76.0,43.0,1,0,0,0,23,0,0,10,0,0.4,3.5,16.2,2018-12-08 15:00:00+00:00,57,0,16,0,99073,18.0,1,-2776,2620,5396,57,2018-12-08
13,2019-02-09,Sat,26,Away,W 3–0,Manchester Utd,Fulham,Y,CB,90,0,0,0,0,0,0,0,0,42,1,0,2,0.0,0.0,0.0,0,0,23,27,1,13,0,0,0,472,164,7,8,9,11,6,7,0.0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,9,0,8,21,20,1,1,75.0,40.0,0,0,1,0,18,0,0,23,1,0.1,2.6,23.8,2019-02-09 12:30:00+00:00,90,0,26,0,73908,2.0,6,-247,293,540,56,2019-02-09
14,2019-02-24,Sun,27,Home,D 0–0,Manchester Utd,Liverpool,Y,CB,90,0,0,0,0,1,0,0,0,32,1,2,0,0.0,0.0,0.0,1,0,25,28,1,14,0,0,0,519,86,7,7,14,15,4,6,0.0,0,0,0,0,26,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,5,22,9,1,1,73.0,38.0,0,0,0,0,20,0,0,21,1,0.1,2.5,7.2,2019-02-24 14:05:00+00:00,90,0,27,0,75604,18.0,6,950,1437,487,56,2019-02-24
15,2019-02-27,Wed,28,Away,W 3–1,Manchester Utd,Crystal Palace,Y,CB,90,0,0,0,0,0,0,0,0,62,1,0,2,0.0,0.0,0.0,1,1,45,50,1,33,0,0,0,820,133,12,13,28,30,3,4,0.1,0,3,0,0,50,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,7,0,10,23,37,2,1,165.0,87.0,0,0,1,0,37,0,0,14,0,0.9,2.5,21.8,2019-02-27 20:00:00+00:00,90,0,28,0,78066,2.0,2,2321,2613,292,56,2019-02-27
16,2019-03-02,Sat,29,Home,W 3–2,Manchester Utd,Southampton,Y,CB,90,0,0,0,0,1,0,0,0,76,3,1,1,0.1,0.1,0.0,3,0,55,63,2,39,0,0,0,1221,362,11,15,35,37,9,10,0.2,0,1,0,0,61,2,2,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,1,0,4,0,6,37,35,4,3,152.0,62.0,0,0,1,0,45,1,0,10,0,0.8,3.1,22.6,2019-03-02 15:00:00+00:00,90,0,29,0,79525,8.0,1,1244,1858,614,56,2019-03-02
