,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2022-12-26,Mon,17,Away,D 2–2,Tottenham,Brentford,Y,CB,66,0,0,0,0,0,0,0,0,44,2,0,0,0.0,0.0,0.0,0,0,32,36,1,31,0,1,1,484,118,19,22,12,13,1,1,0.0,0,2,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,4,0,3,17,26,1,0,156.0,82.0,1,0,3,1,27,1,0,9,0,1.1,1.1,10.2,2022-12-26 12:30:00+00:00,66,0,17,0,301148,0.0,1,-20935,14533,35468,39,2022-12-26
1,2023-02-11,Sat,23,Away,L 1–4,Tottenham,Leicester City,Y,CB,75,0,0,0,0,0,0,0,0,59,1,2,1,0.0,0.0,0.0,0,0,48,53,4,35,1,1,0,804,403,22,23,21,23,4,6,0.0,0,2,1,1,52,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,2,0,1,2,0,1,27,31,2,0,137.0,51.0,1,0,0,0,42,1,0,17,0,5.1,1.9,14.2,2023-02-11 15:00:00+00:00,75,0,23,0,284446,0.0,1,-3552,1194,4746,39,2023-02-11
2,2023-04-08,Sat,30,Home,W 2–1,Tottenham,Brighton,N,WB,1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0.0,0.0,0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,2023-04-08 14:00:00+00:00,1,0,30,0,268496,0.0,1,785,2713,1928,38,2023-04-08
3,2023-04-27,Thu,33,Home,D 2–2,Tottenham,Manchester Utd,N,RB,4,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,2,2,0,2,0,0,0,35,20,1,1,1,1,0,0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,4,1,0,0,15.0,0.0,0,0,0,0,2,0,0,3,0,0.0,0.3,3.2,2023-04-27 19:15:00+00:00,3,0,33,0,271569,0.0,1,902,2827,1925,38,2023-04-27
4,2021-08-15,Sun,1,Home,W 1–0,Tottenham,Manchester City,Y,RB,82,0,0,0,0,0,0,0,0,48,2,1,5,0.0,0.0,0.0,0,0,28,31,3,20,0,1,0,435,229,14,14,9,11,3,3,0.2,0,1,0,0,21,10,0,0,1,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,3,1,1,4,3,0,6,20,17,11,1,77.0,25.0,1,0,3,0,18,3,0,20,1,5.7,2.2,13.8,2021-08-15 15:30:00+00:00,82,0,1,0,11654,2.0,6,0,0,0,45,2021-08-15
5,2021-08-22,Sun,2,Away,W 1–0,Tottenham,Wolves,Y,RB,90,0,0,0,0,0,0,1,0,46,0,2,3,0.0,0.0,0.0,0,0,21,35,0,14,2,0,0,262,104,14,18,5,12,0,2,0.0,0,1,0,0,28,7,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,7,0,8,14,26,7,1,92.0,72.0,0,1,0,1,23,1,0,17,1,0.8,2.2,19.4,2021-08-22 13:00:00+00:00,90,0,2,0,103579,2.0,5,54382,62241,7859,45,2021-08-22
6,2021-08-29,Sun,3,Home,W 1–0,Tottenham,Watford,Y,RB,90,0,0,0,0,1,1,0,0,66,1,0,1,0.1,0.1,0.2,1,0,49,59,2,27,1,1,1,609,163,34,36,12,18,1,2,0.2,2,3,2,1,48,11,0,0,0,5,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3,3,0,1,1,0,3,9,29,29,4,132.0,34.0,0,0,1,3,47,10,0,25,1,29.0,8.6,17.8,2021-08-29 13:00:00+00:00,90,0,3,0,205349,39.0,6,87778,106498,18720,45,2021-08-29
7,2021-09-11,Sat,4,Away,L 0–3,Tottenham,Crystal Palace,Y,CB,57,0,0,0,0,0,0,2,1,30,0,1,0,0.0,0.0,0.0,0,0,16,24,0,20,0,0,0,349,169,4,5,6,8,5,9,0.0,0,0,0,0,24,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,21,9,0,0,52.0,23.0,0,0,0,0,18,0,0,-5,0,0.0,0.4,3.6,2021-09-11 11:30:00+00:00,57,0,4,0,321062,0.0,-3,95064,177745,82681,46,2021-09-11
8,2021-09-26,Sun,6,Away,L 1–3,Tottenham,Arsenal,Y,RB,45,0,0,0,0,1,0,0,0,29,1,1,0,0.1,0.1,0.0,0,0,17,25,0,15,1,0,0,230,12,8,8,7,12,0,2,0.0,0,1,0,0,20,5,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,1,0,1,8,15,6,1,57.0,31.0,1,0,0,0,19,1,0,4,0,1.1,0.9,0.8,2021-09-26 15:30:00+00:00,45,0,6,0,190403,7.0,0,-9987,9757,19744,46,2021-09-26
9,2021-11-21,Sun,12,Home,W 2–1,Tottenham,Leeds United,Y,CB,67,0,0,0,0,0,0,0,0,45,2,0,0,0.0,0.0,0.0,0,0,31,38,3,21,1,3,2,569,283,10,11,19,22,2,5,0.0,0,1,0,0,34,4,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,3,0,4,21,22,3,0,136.0,85.0,1,0,1,0,29,0,0,11,0,0.8,1.4,13.6,2021-11-21 16:30:00+00:00,67,0,12,0,108426,0.0,2,-7807,916,8723,43,2021-11-21
10,2021-12-02,Thu,14,Home,W 2–0,Tottenham,Brentford,N,RB,8,0,0,0,0,1,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,1,4,0,2,1,0,0,22,18,0,3,1,1,0,0,0.0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,1,1,15.0,11.0,0,1,0,0,2,1,0,3,0,0.0,1.8,0.4,2021-12-02 19:30:00+00:00,7,0,14,0,102438,18.0,1,-2597,687,3284,43,2021-12-02
11,2021-12-05,Sun,15,Home,W 3–0,Tottenham,Norwich City,Y,WB,61,0,0,0,0,0,0,0,0,31,1,1,1,0.0,0.0,0.0,1,0,25,27,1,23,1,1,1,351,62,14,14,8,8,2,3,0.0,0,0,1,0,23,4,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,0,1,0,0,0,7,14,10,0,126.0,70.0,3,0,1,1,24,2,0,18,1,2.8,0.4,1.2,2021-12-05 14:00:00+00:00,61,0,15,0,99080,0.0,6,-3505,760,4265,43,2021-12-05
12,2021-12-26,Sun,19,Home,W 3–0,Tottenham,Crystal Palace,Y,CB,90,0,0,0,0,2,0,0,0,81,2,2,1,0.1,0.1,0.0,1,0,66,71,5,60,3,0,0,1015,218,30,30,30,34,3,3,0.0,0,1,1,0,69,2,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,2,2,0,1,0,4,0,5,25,43,14,1,368.0,215.0,3,0,0,0,61,2,0,26,1,3.8,4.9,19.4,2021-12-26 15:00:00+00:00,90,0,19,0,99598,26.0,6,-884,2783,3667,42,2021-12-26
13,2022-01-19,Wed,17,Away,W 3–2,Tottenham,Leicester City,Y,CB,90,0,0,0,0,2,1,0,0,91,4,1,1,0.2,0.2,0.0,0,0,68,79,6,72,3,1,1,961,194,42,47,23,27,1,3,0.0,0,1,0,0,76,3,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,0,1,1,0,1,0,3,0,8,27,52,13,1,330.0,216.0,2,0,1,0,71,1,0,15,0,3.8,4.1,22.8,2022-01-19 19:30:00+00:00,90,0,22,0,100880,14.0,1,-5178,2567,7745,42,2022-01-19
14,2022-01-23,Sun,23,Away,L 0–2,Tottenham,Chelsea,Y,RB,55,0,0,0,0,0,0,1,0,21,1,0,1,0.0,0.0,0.0,0,0,11,14,0,1,0,0,0,192,79,5,5,4,5,2,4,0.0,0,0,0,0,5,9,1,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,3,0,1,4,0,4,10,11,0,0,3.0,0.0,0,0,0,0,3,0,0,-1,0,0.3,0.6,5.2,2022-01-23 16:30:00+00:00,56,0,23,0,101467,0.0,-1,-1429,2194,3623,42,2022-01-23
15,2021-02-13,Sat,24,Away,L 0–3,Tottenham,Manchester City,Y,RB,90,0,0,0,0,0,0,0,0,52,2,1,0,0.0,0.0,0.0,1,0,37,43,3,24,1,4,3,524,145,22,24,12,13,2,4,0.0,0,0,1,1,39,4,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,6,23,21,9,0,98.0,45.0,1,0,1,2,31,1,0,13,0,6.1,1.9,13.2,2021-02-13 17:30:00+00:00,90,0,24,0,3788,0.0,1,-22,97,119,49,2021-02-13
16,2021-02-21,Sun,25,Away,L 1–2,Tottenham,West Ham,Y,RB,45,0,0,0,0,0,0,0,0,32,0,0,0,0.0,0.0,0.0,0,0,20,30,2,16,2,0,0,319,132,11,17,6,9,2,3,0.0,0,1,0,0,25,5,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,17,12,3,1,106.0,37.0,1,0,0,0,17,1,0,4,0,1.2,0.6,2.8,2021-02-21 12:00:00+00:00,45,0,25,0,3967,2.0,1,70,174,104,49,2021-02-21
17,2021-03-21,Sun,18,Away,W 2–0,Tottenham,Aston Villa,Y,RB,90,0,0,0,0,0,0,0,0,45,2,1,3,0.0,0.0,0.0,0,0,22,30,2,11,1,4,2,282,141,14,15,7,8,0,3,0.0,0,0,1,0,21,9,2,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,1,0,2,1,5,0,7,19,21,6,1,88.0,51.0,1,0,1,1,13,0,0,22,1,0.9,2.3,22.4,2021-03-21 19:30:00+00:00,90,0,29,0,4176,0.0,6,-20,56,76,49,2021-03-21
18,2021-04-04,Sun,30,Away,D 2–2,Tottenham,Newcastle Utd,Y,RB,90,0,0,0,0,1,0,1,0,46,0,1,2,0.4,0.4,0.6,2,0,33,40,3,19,0,1,1,491,167,18,21,13,15,1,2,0.4,1,0,1,0,36,4,0,1,0,1,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,2,0,4,12,22,12,1,69.0,39.0,0,0,0,0,27,2,0,14,0,15.4,6.6,17.0,2021-04-04 13:05:00+00:00,90,0,30,0,4388,34.0,0,143,230,87,49,2021-04-04
19,2021-05-16,Sun,36,Home,W 2–0,Tottenham,Wolves,Y,RB,90,0,0,0,0,1,0,1,0,56,0,0,1,0.1,0.1,0.0,0,0,44,52,3,32,3,4,3,552,234,31,34,9,10,1,3,0.0,0,3,0,0,44,8,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,2,15,28,14,1,157.0,93.0,0,0,0,2,40,4,0,15,1,2.6,1.1,4.0,2021-05-16 13:05:00+00:00,90,0,36,0,4557,4.0,5,-29,35,64,49,2021-05-16
20,2021-05-19,Wed,37,Home,L 1–2,Tottenham,Aston Villa,Y,RB,82,0,0,0,0,0,0,0,0,51,1,0,0,0.0,0.0,0.0,0,0,39,44,1,18,1,0,0,472,178,25,25,12,12,0,3,0.0,0,1,0,0,36,8,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,5,0,5,18,24,11,0,85.0,48.0,1,0,0,0,26,3,0,13,0,3.3,1.3,9.4,2021-05-19 17:00:00+00:00,82,0,37,0,4860,0.0,1,269,309,40,49,2021-05-19
21,2020-01-11,Sat,22,Home,L 0–1,Tottenham,Liverpool,Y,"RB,LB",90,0,0,0,0,0,0,0,0,49,2,2,1,0.0,0.0,0.0,2,0,27,34,0,28,0,0,0,328,85,17,18,8,12,0,1,0.0,0,0,0,0,31,3,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,1,3,2,1,0,8,0,9,31,21,0,0,129.0,88.0,0,0,2,0,24,0,0,20,0,0.3,2.6,26.0,2020-01-11 17:30:00+00:00,90,0,22,0,1077,0.0,2,126,249,123,40,2020-01-11
