,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-09-02,Sat,4,Away,W 1–0,Nott'ham Forest,Chelsea,N,WB,19,0,0,0,0,0,0,1,0,13,2,0,0,0.0,0.0,0.0,0,0,2,5,0,2,1,0,0,20,8,2,2,0,2,0,1,0.0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,0,3,0,4,10,2,1,0,20.0,9.0,0,0,2,0,1,0,0,4,0,0.1,0.7,7.2,2023-09-02 14:00:00+00:00,18,0,4,0,28485,0.0,0,771,3414,2643,40,2023-09-02
1,2023-09-18,Mon,5,Home,D 1–1,Nott'ham Forest,Burnley,N,LB,38,0,0,0,0,0,0,0,0,21,0,0,1,0.0,0.0,0.0,1,0,14,16,0,8,1,2,1,240,58,5,6,8,8,1,2,0.0,0,0,0,0,14,2,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,8,6,8,0,69.0,43.0,1,0,0,0,8,0,0,4,0,1.8,0.4,2.0,2023-09-18 18:45:00+00:00,37,0,5,0,36807,0.0,1,6265,9393,3128,40,2023-09-18
2,2023-09-23,Sat,6,Away,L 0–2,Nott'ham Forest,Manchester City,Y,LB,38,0,0,0,0,0,0,1,0,13,0,0,0,0.0,0.0,0.0,0,0,9,12,1,7,1,0,0,161,18,4,6,4,5,1,1,0.0,0,0,0,0,11,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,8,1,10.0,4.0,0,1,1,0,9,1,0,0,0,5.3,0.7,0.0,2023-09-23 14:00:00+00:00,38,0,6,0,37380,2.0,-1,565,2350,1785,40,2023-09-23
3,2024-01-20,Sat,21,Away,L 2–3,Nott'ham Forest,Brentford,Y,LB,90,0,0,0,0,2,1,0,0,83,0,0,2,0.0,0.0,0.0,0,0,54,71,10,42,4,4,3,784,322,33,35,18,26,3,7,0.0,0,6,2,0,59,11,2,0,1,2,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,3,0,2,15,36,35,0,210.0,148.0,7,0,3,1,53,2,0,12,0,6.3,2.8,13.2,2024-01-20 17:30:00+00:00,90,0,21,0,26694,8.0,1,-1067,357,1424,40,2024-01-20
4,2024-02-04,Sun,23,Away,D 1–1,Nott'ham Forest,Bournemouth,Y,LB,90,0,0,0,0,1,0,0,0,60,3,0,1,0.0,0.0,0.0,1,0,30,50,2,25,2,2,1,454,180,19,27,8,13,2,6,0.0,0,1,0,0,40,10,2,0,1,4,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,0,1,2,2,0,0,1,3,0,3,29,13,19,2,139.0,85.0,1,0,0,1,30,4,0,10,0,3.3,1.9,8.8,2024-02-04 14:00:00+00:00,90,0,23,0,25871,7.0,2,-88,175,263,40,2024-02-04
5,2024-02-10,Sat,24,Home,L 2–3,Nott'ham Forest,Newcastle Utd,Y,LB,90,0,0,0,0,2,0,0,0,58,2,0,2,0.1,0.1,0.3,3,0,38,47,5,37,2,1,1,485,202,23,25,13,16,1,4,0.1,1,4,0,0,39,8,2,0,1,2,6,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,2,2,0,0,2,3,0,3,15,27,18,2,263.0,128.0,2,1,2,1,35,4,0,13,0,14.6,3.2,10.4,2024-02-10 17:30:00+00:00,90,0,24,0,26255,7.0,1,266,661,395,40,2024-02-10
6,2024-02-17,Sat,25,Home,W 2–0,Nott'ham Forest,West Ham,Y,LB,90,0,0,0,0,2,0,0,0,85,3,1,0,0.0,0.0,0.2,4,0,50,66,6,43,3,0,0,733,286,30,33,17,23,2,6,0.2,1,3,0,0,53,13,2,0,1,5,11,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,1,0,0,0,6,0,6,32,33,20,1,218.0,138.0,1,0,2,1,48,1,0,22,1,17.4,3.7,16.0,2024-02-17 15:00:00+00:00,90,0,25,0,27528,4.0,6,812,1448,636,40,2024-02-17
7,2024-04-13,Sat,33,Home,D 2–2,Nott'ham Forest,Wolves,N,LB,2,0,0,0,0,0,0,0,0,10,1,0,0,0.0,0.0,0.0,0,0,4,7,0,2,0,0,0,77,58,1,2,1,3,1,1,0.0,0,0,0,0,4,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,2,0,1,8,2,0,0,11.0,9.0,0,0,0,0,2,0,0,4,0,0.0,0.4,4.2,2024-04-13 14:00:00+00:00,1,0,33,0,25960,0.0,1,-549,10,559,40,2024-04-13
8,2021-08-13,Fri,1,Away,L 0–2,Arsenal,Brentford,N,RB,10,0,0,0,0,1,0,0,0,16,0,0,1,0.0,0.0,0.0,0,0,8,10,1,8,0,0,0,125,32,4,4,4,4,0,0,0.0,0,1,0,0,7,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,4,7,5,0,37.0,21.0,0,0,0,1,9,0,0,0,0,0.7,0.1,0.0,2021-08-13 19:00:00+00:00,9,0,1,0,21150,1.0,1,0,0,0,45,2021-08-13
9,2021-08-22,Sun,2,Home,L 0–2,Arsenal,Chelsea,N,LB,25,0,0,0,0,0,0,0,0,16,1,0,2,0.0,0.0,0.0,0,0,7,10,1,5,0,2,1,68,28,5,5,1,2,0,0,0.0,0,0,1,0,8,2,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,0,2,6,2,8,0,20.0,6.0,0,0,1,0,8,1,0,4,0,0.8,1.0,9.4,2021-08-22 15:30:00+00:00,24,0,2,0,21734,0.0,1,-3065,921,3986,45,2021-08-22
