,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-13,Sun,1,Home,D 1–1,Chelsea,Liverpool,Y,CB,90,0,0,0,0,0,0,0,0,128,1,1,2,0.0,0.0,0.1,1,0,111,118,6,98,0,0,0,2037,899,49,53,46,48,13,14,0.1,1,5,0,0,114,4,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,3,1,1,6,0,12,52,72,4,4,334.0,143.0,0,0,1,0,96,1,0,19,0,11.7,5.3,32.8,2023-08-13 15:30:00+00:00,90,0,1,0,168173,8.0,2,0,0,0,50,2023-08-13
1,2023-08-20,Sun,2,Away,L 1–3,Chelsea,West Ham,Y,CB,90,0,0,0,0,1,0,0,0,110,0,0,2,0.0,0.0,0.0,1,0,98,102,7,79,0,0,0,1582,485,51,53,44,46,3,3,0.0,0,7,0,0,99,3,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,4,0,10,43,58,9,1,462.0,291.0,3,0,0,0,81,0,0,16,0,4.3,3.7,27.8,2023-08-20 15:30:00+00:00,90,0,2,0,247836,5.0,1,14631,30150,15519,50,2023-08-20
2,2023-08-25,Fri,3,Home,W 3–0,Chelsea,Luton Town,Y,CB,90,0,0,0,0,0,0,0,0,109,0,1,2,0.0,0.0,0.0,1,1,97,102,3,74,0,0,0,1936,729,30,31,55,56,11,13,0.0,0,3,0,0,98,4,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,15,55,53,1,1,398.0,253.0,0,0,0,0,87,0,0,28,1,0.8,3.1,28.2,2023-08-25 19:00:00+00:00,90,0,3,0,288905,2.0,6,17555,39974,22419,50,2023-08-25
3,2023-09-02,Sat,4,Home,L 0–1,Chelsea,Nott'ham Forest,Y,CB,90,0,0,0,0,1,1,0,0,108,1,1,0,0.1,0.1,0.0,2,0,95,100,4,88,0,0,0,1504,591,46,47,48,50,1,3,0.0,1,12,0,0,97,3,2,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,6,0,14,33,70,5,1,383.0,219.0,1,0,0,0,84,0,0,18,0,14.1,6.1,29.4,2023-09-02 14:00:00+00:00,90,0,4,0,343751,17.0,2,29842,47857,18015,50,2023-09-02
4,2023-09-17,Sun,5,Away,D 0–0,Chelsea,Bournemouth,Y,CB,90,0,0,0,0,0,0,0,0,85,0,1,1,0.0,0.0,0.0,0,0,79,83,2,69,1,0,0,1518,572,25,26,46,48,8,8,0.0,0,3,0,0,82,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,16,48,37,1,0,235.0,153.0,1,0,0,0,63,0,0,26,1,1.1,1.1,10.2,2023-09-17 13:00:00+00:00,90,0,5,0,358292,0.0,6,-5293,20592,25885,50,2023-09-17
5,2023-09-24,Sun,6,Home,L 0–1,Chelsea,Aston Villa,Y,CB,90,0,0,0,0,0,0,0,0,69,1,1,1,0.0,0.0,0.2,3,0,56,57,6,48,0,1,1,1185,651,21,21,23,23,11,11,0.0,2,9,4,0,55,2,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,0,9,0,13,34,33,4,0,189.0,74.0,1,0,1,0,48,0,0,23,0,21.4,5.4,32.2,2023-09-24 13:00:00+00:00,90,0,6,0,367728,0.0,2,1549,15663,14114,50,2023-09-24
6,2023-10-02,Mon,7,Away,W 2–0,Chelsea,Fulham,Y,CB,90,0,0,0,0,0,0,0,0,57,4,1,0,0.0,0.0,0.0,0,0,42,45,0,28,0,0,0,726,291,21,22,19,19,2,4,0.0,0,0,0,0,39,6,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,0,2,2,0,0,0,8,0,18,47,10,0,0,84.0,28.0,0,0,0,0,30,0,2,30,1,0.2,2.5,24.8,2023-10-02 19:00:00+00:00,90,0,7,0,360667,0.0,8,-12059,11648,23707,50,2023-10-02
7,2023-10-07,Sat,8,Away,W 4–1,Chelsea,Burnley,Y,CB,90,0,0,0,0,0,0,1,0,111,2,0,0,0.0,0.0,0.0,0,0,105,106,3,82,0,0,0,1850,562,41,41,55,55,8,9,0.0,0,1,0,0,103,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,2,0,0,0,2,0,13,54,55,2,0,241.0,118.0,0,0,0,0,100,0,0,9,0,1.5,1.8,16.8,2023-10-07 14:00:00+00:00,90,0,8,0,401375,0.0,1,26168,40518,14350,50,2023-10-07
8,2023-10-21,Sat,9,Home,D 2–2,Chelsea,Arsenal,Y,CB,90,0,0,0,0,0,0,1,0,60,3,1,2,0.0,0.0,0.0,0,0,51,55,0,35,0,0,0,1004,344,17,18,27,29,7,8,0.0,0,2,1,0,53,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,2,2,0,2,0,0,0,8,39,21,0,0,82.0,39.0,0,0,0,0,39,0,0,13,0,0.5,2.0,19.4,2023-10-21 16:30:00+00:00,90,0,9,0,377447,0.0,0,-20612,9799,30411,50,2023-10-21
9,2023-10-28,Sat,10,Home,L 0–2,Chelsea,Brentford,Y,CB,90,0,0,0,0,2,0,0,0,93,0,1,1,0.1,0.1,0.0,1,0,83,86,8,65,0,0,0,1509,557,33,34,44,44,6,7,0.1,0,23,1,0,85,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,8,23,59,11,2,217.0,93.0,2,0,0,0,71,1,0,16,0,5.8,3.3,18.6,2023-10-28 11:30:00+00:00,90,0,10,0,369840,9.0,1,-11230,11632,22862,50,2023-10-28
