Unnamed: 0,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2018-08-27,Mon,3,Home,L 0–3,Manchester Utd,Tottenham,Y*,"WB,RB",90,0,0,0,0,1,0,1,0,77,2,1,3,0.0,0.0,0.2,7,0,52,69,10,39,6,2,1,1012,533,22,26,20,23,9,13,0.1,4,9,5,3,54,15,0,0,2,5,15,0,0,7,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,1,0,0,3,0,0,0,19,37,21,0,266.0,174.0,2,0,0,1,48,4,0,13,0,54.3,7.3,17.8,2018-08-27 19:00:00+00:00,90,0,3,0,29762,1.0,0,-6157,342,6499,65,2018-08-27
1,2018-09-02,Sun,4,Away,W 2–0,Manchester Utd,Burnley,Y*,RB,90,0,0,0,0,0,0,0,0,62,2,2,0,0.0,0.0,0.2,4,0,48,55,5,26,2,1,1,702,252,27,27,14,15,4,8,0.3,2,4,2,1,47,8,0,0,1,1,8,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,3,0,2,13,33,16,1,99.0,58.0,0,1,0,0,43,4,1,28,1,28.1,4.8,17.4,2018-09-02 15:00:00+00:00,90,0,4,0,31985,2.0,7,-805,1813,2618,65,2018-09-02
2,2018-09-15,Sat,5,Away,W 2–1,Manchester Utd,Watford,Y*,RB,89,0,0,0,0,0,0,1,0,68,3,0,1,0.0,0.0,0.0,2,0,51,62,3,35,2,0,0,797,278,30,33,17,22,4,6,0.0,0,1,0,0,53,9,0,0,0,2,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,2,2,0,0,1,3,0,4,17,34,17,0,162.0,82.0,3,0,0,0,37,6,0,12,0,7.9,1.8,10.2,2018-09-15 16:30:00+00:00,90,0,5,0,39031,0.0,1,1983,3978,1995,65,2018-09-15
3,2018-09-22,Sat,6,Home,D 1–1,Manchester Utd,Wolves,Y*,RB,90,0,0,0,0,0,0,0,0,72,1,1,1,0.0,0.0,0.0,0,0,62,70,7,41,5,1,1,831,166,37,38,20,23,2,6,0.0,0,3,0,0,63,7,1,0,1,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,0,0,1,6,47,19,0,252.0,159.0,4,0,0,0,52,6,0,16,0,5.8,1.2,6.6,2018-09-22 14:00:00+00:00,90,0,6,0,44857,0.0,2,3012,5128,2116,65,2018-09-22
4,2019-01-02,Wed,21,Away,W 2–0,Manchester Utd,Newcastle Utd,Y*,RB,90,0,0,0,0,0,0,0,0,66,0,1,4,0.0,0.0,0.0,0,0,48,56,0,31,0,1,0,583,187,28,30,17,19,0,3,0.0,0,1,0,0,48,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,2,18,41,7,0,132.0,73.0,1,0,0,0,44,0,0,21,1,3.0,1.1,7.8,2019-01-02 20:00:00+00:00,90,0,21,0,42259,0.0,6,-383,547,930,64,2019-01-02
5,2019-05-12,Sun,38,Home,L 0–2,Manchester Utd,Cardiff City,N,RB,17,0,0,0,0,1,0,0,0,19,0,0,0,0.0,0.0,0.1,1,0,16,16,0,9,3,1,0,198,53,13,13,3,3,0,0,0.0,1,2,0,0,14,2,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,11,1,75.0,62.0,2,1,0,0,14,1,0,2,0,12.1,1.7,1.6,2019-05-12 14:00:00+00:00,16,0,38,0,41686,3.0,1,362,507,145,64,2019-05-12
6,2017-08-13,Sun,1,Home,W 4–0,Manchester Utd,West Ham,Y*,RB,90,0,0,0,0,1,0,1,0,63,2,2,1,0.0,0.0,0.0,3,0,45,49,4,30,3,3,1,712,254,28,28,10,11,5,7,0.0,1,5,1,1,42,7,0,0,1,2,7,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,0,3,0,2,11,39,13,0,167.0,96.0,1,0,0,1,36,5,0,22,1,17.2,4.5,19.4,2017-08-13 15:00:00+00:00,90,0,1,0,362470,8.0,5,0,0,0,65,2017-08-13
7,2017-08-19,Sat,2,Away,W 4–0,Manchester Utd,Swansea City,Y*,RB,90,0,0,0,0,0,0,0,0,98,3,1,2,0.0,0.0,0.0,2,0,79,89,5,47,3,0,0,1067,429,52,56,22,23,3,7,0.0,0,2,0,0,76,13,3,0,0,2,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,2,2,0,2,20,56,23,0,248.0,171.0,1,0,1,2,58,3,0,27,1,5.8,2.0,14.4,2017-08-19 11:30:00+00:00,90,0,2,0,438316,0.0,6,8613,28474,19861,65,2017-08-19
8,2017-08-26,Sat,3,Home,W 2–0,Manchester Utd,Leicester City,Y*,RB,90,0,0,0,0,1,0,0,0,101,2,0,0,0.0,0.0,0.0,1,0,76,97,2,63,8,2,2,993,304,55,59,17,22,2,11,0.2,1,5,1,1,90,7,0,0,0,10,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,0,0,0,2,0,2,17,41,43,5,308.0,224.0,7,1,0,0,74,10,3,33,1,26.3,7.4,19.2,2017-08-26 16:30:00+00:00,90,0,3,0,443380,28.0,9,-15364,24663,40027,65,2017-08-26
9,2017-09-09,Sat,4,Away,D 2–2,Manchester Utd,Stoke City,Y*,RB,90,0,0,0,0,1,0,0,0,90,2,0,0,0.0,0.0,0.1,5,0,64,80,2,41,4,3,3,963,313,37,39,19,24,5,10,0.1,2,6,2,0,68,12,2,0,1,6,10,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,2,4,2,0,0,5,0,4,10,33,48,7,172.0,117.0,3,2,1,2,60,8,0,15,0,27.7,6.4,21.0,2017-09-09 16:30:00+00:00,90,0,4,0,479178,15.0,1,9397,35210,25813,65,2017-09-09
