,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2022-08-06,Sat,1,Away,L 1–4,Southampton,Tottenham,Y,CB,45,0,0,0,0,0,0,0,0,28,0,0,1,0.0,0.0,0.0,0,0,15,23,0,17,0,0,0,213,39,9,10,4,6,1,5,0.0,0,1,0,0,23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,3,7,18,3,0,91.0,18.0,1,0,1,3,20,0,0,1,0,0.9,0.5,4.0,2022-08-06 14:00:00+00:00,45,0,1,0,70717,0.0,0,0,0,0,40,2022-08-06
1,2021-12-28,Tue,20,Home,D 1–1,Southampton,Tottenham,Y,CB,90,0,0,0,0,1,0,0,0,35,1,1,2,0.0,0.0,0.0,0,0,17,25,1,20,1,0,0,281,41,6,8,9,12,1,3,0.0,0,2,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,2,0,2,0,5,8,22,5,0,130.0,38.0,1,0,1,0,16,0,0,10,0,1.1,1.7,15.0,2021-12-28 15:00:00+00:00,90,0,20,0,44320,1.0,2,514,1131,617,39,2021-12-28
2,2022-03-05,Sat,28,Away,L 0–4,Southampton,Aston Villa,N,CB,45,0,0,0,0,1,0,0,0,44,0,1,0,0.0,0.0,0.1,1,0,28,41,4,24,1,0,0,434,159,16,18,12,18,0,4,0.1,1,5,1,1,37,4,1,0,1,2,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,31,3,0,129.0,91.0,1,0,0,1,25,0,0,8,0,15.0,2.1,5.0,2022-03-05 15:00:00+00:00,45,0,28,0,46008,1.0,0,-452,700,1152,39,2022-03-05
3,2022-04-09,Sat,32,Home,L 0–6,Southampton,Chelsea,N,CB,55,0,0,0,0,0,0,0,0,30,2,0,1,0.0,0.0,0.0,0,0,17,24,2,15,0,2,0,210,117,7,7,7,10,0,2,0.0,0,2,0,0,17,7,0,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,1,2,1,0,1,0,0,1,12,10,8,0,61.0,9.0,0,0,0,0,12,1,0,6,0,0.7,0.6,5.6,2022-04-09 14:00:00+00:00,54,0,32,0,47069,0.0,0,451,878,427,39,2022-04-09
4,2022-04-16,Sat,33,Home,W 1–0,Southampton,Arsenal,Y,CB,90,0,0,0,0,0,0,0,0,40,2,3,1,0.0,0.0,0.0,0,0,11,19,1,17,0,0,0,180,34,4,5,7,10,0,3,0.0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,2,1,1,0,7,1,9,21,15,4,0,111.0,31.0,1,0,0,1,13,0,0,23,1,1.2,2.0,18.8,2022-04-16 14:00:00+00:00,90,0,33,0,49410,0.0,6,1486,2334,848,39,2022-04-16
5,2022-04-21,Thu,30,Away,L 0–2,Southampton,Burnley,Y,"CB,RB",90,0,0,0,0,0,0,0,0,64,3,1,2,0.0,0.0,0.0,0,0,35,46,2,30,1,3,1,600,151,15,18,17,20,2,5,0.0,0,4,0,0,41,5,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,1,3,2,0,2,9,0,4,30,26,8,0,131.0,65.0,1,0,0,0,29,3,0,15,0,2.4,2.9,26.4,2022-04-21 18:45:00+00:00,90,0,33,0,49410,0.0,1,1486,2334,848,39,2022-04-21
6,2021-01-04,Mon,17,Home,W 1–0,Southampton,Liverpool,N,"RM,LM",9,0,0,0,0,1,0,0,0,7,0,0,1,0.1,0.1,0.0,0,0,3,4,0,4,1,0,0,36,0,3,4,0,0,0,0,0.0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,3,0,40.0,22.0,0,0,0,0,3,1,0,1,0,0.5,0.9,0.0,2021-01-04 20:00:00+00:00,8,0,17,0,4798,8.0,1,-41,69,110,47,2021-01-04
7,2021-01-16,Sat,19,Away,L 0–2,Southampton,Leicester City,N,RM,4,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,3,4,0,4,0,2,0,33,0,0,0,1,2,0,0,0.0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,15.0,0.0,0,0,0,2,4,1,0,-1,0,1.3,0.1,0.0,2021-01-16 20:00:00+00:00,3,0,19,0,4846,0.0,1,-17,53,70,47,2021-01-16
8,2021-01-26,Tue,20,Home,L 1–3,Southampton,Arsenal,Y,RB,90,0,0,0,0,1,0,0,0,81,5,2,1,0.1,0.1,0.1,1,0,48,56,3,46,5,2,0,762,266,24,24,23,26,1,3,0.1,1,1,3,2,41,15,1,0,0,4,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,2,3,0,1,5,4,0,1,5,0,5,32,30,20,1,334.0,127.0,3,1,6,3,41,7,0,12,0,20.3,5.0,26.0,2021-01-26 20:15:00+00:00,90,0,20,0,5060,4.0,1,107,231,124,47,2021-01-26
9,2019-08-10,Sat,1,Away,L 0–3,Southampton,Burnley,Y,"WB,RB",90,0,0,0,0,0,0,0,0,54,1,0,2,0.0,0.0,0.5,1,0,22,38,1,20,1,2,0,349,190,13,18,5,10,3,8,0.3,1,0,1,1,24,14,0,0,1,3,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,1,13,26,15,3,153.0,70.0,1,1,3,4,20,6,0,5,0,15.2,2.9,7.8,2019-08-10 14:00:00+00:00,90,0,1,0,23676,6.0,1,0,0,0,50,2019-08-10
10,2019-08-17,Sat,2,Home,L 1–2,Southampton,Liverpool,Y,WB,90,0,0,0,0,1,0,0,0,55,3,1,2,0.1,0.1,0.5,3,0,28,40,1,20,1,2,2,394,134,17,22,8,9,1,5,0.3,1,1,0,0,33,7,1,0,1,3,6,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,2,2,0,0,2,5,0,6,20,19,16,2,94.0,19.0,1,1,0,3,22,6,0,14,0,16.1,5.9,21.0,2019-08-17 14:00:00+00:00,90,0,2,0,22492,22.0,1,-2813,355,3168,50,2019-08-17
11,2019-08-24,Sat,3,Away,W 2–0,Southampton,Brighton,Y,RB,52,0,0,0,0,0,0,0,0,28,1,0,0,0.0,0.0,0.0,0,0,12,21,0,10,1,1,0,160,54,8,9,4,8,0,4,0.0,0,0,0,0,15,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,3,0,2,7,16,5,0,37.0,24.0,2,0,1,1,9,2,0,3,0,1.1,0.7,6.0,2019-08-24 14:00:00+00:00,52,0,3,0,22223,0.0,1,-1164,1445,2609,50,2019-08-24
12,2019-10-06,Sun,8,Home,L 1–4,Southampton,Chelsea,Y,RB,90,0,0,0,0,0,0,0,0,66,4,3,1,0.0,0.0,0.0,1,1,31,52,5,25,4,5,3,587,157,13,16,16,22,2,10,0.0,0,4,0,0,40,12,0,0,0,2,12,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,2,1,3,3,0,1,0,1,0,3,20,32,15,1,185.0,101.0,1,2,1,0,24,1,0,20,0,1.0,2.3,20.4,2019-10-06 13:00:00+00:00,90,0,8,0,15293,2.0,3,-1216,170,1386,48,2019-10-06
13,2019-10-19,Sat,9,Away,D 1–1,Southampton,Wolves,Y,WB,75,0,0,0,0,0,0,1,0,31,0,3,0,0.0,0.0,0.0,0,0,13,20,1,8,0,0,0,195,54,9,10,3,8,1,2,0.0,0,1,0,0,15,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,10,14,7,0,60.0,6.0,0,0,1,0,11,2,0,6,0,0.8,0.7,6.6,2019-10-19 14:00:00+00:00,75,0,9,0,15609,0.0,1,-19,705,724,48,2019-10-19
14,2019-10-25,Fri,10,Home,L 0–9,Southampton,Leicester City,Y,"LB,RM,WB",69,0,0,0,0,1,1,0,0,43,2,0,0,0.1,0.1,0.0,0,0,12,30,1,18,3,6,4,159,95,8,14,3,7,1,5,0.0,0,1,0,0,19,11,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,4,3,0,0,2,1,2,11,21,12,1,109.0,38.0,2,0,3,4,20,4,0,3,0,0.5,2.5,7.6,2019-10-25 19:00:00+00:00,69,0,10,0,15540,17.0,-1,-184,321,505,48,2019-10-25
