Unnamed: 0,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2017-08-26,Sat,3,Away,W 2–0,Swansea City,Crystal Palace,Y,CB,69,0,0,0,0,1,1,0,0,47,2,0,0,0.1,0.1,0.0,0,0,35,39,2,28,0,0,0,754,280,13,14,16,18,6,7,0.0,0,2,0,0,39,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,1,0,0,0,6,0,7,20,26,1,1,143.0,108.0,0,0,0,0,32,0,1,29,1,0.3,3.8,20.2,2017-08-26 14:00:00+00:00,69,0,3,0,4577,17.0,7,-545,78,623,45,2017-08-26
1,2017-09-16,Sat,5,Away,D 0–0,Swansea City,Tottenham,Y,CB,84,0,0,0,0,1,0,1,0,43,1,0,1,0.1,0.1,0.0,0,0,22,36,0,20,0,0,0,526,225,5,6,11,16,6,14,0.0,0,1,0,0,35,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,3,0,6,23,19,1,1,77.0,54.0,0,0,0,0,20,0,0,17,1,0.2,1.2,7.6,2017-09-16 16:30:00+00:00,84,0,5,0,5451,4.0,5,-262,138,400,45,2017-09-16
2,2017-09-23,Sat,6,Home,L 1–2,Swansea City,Watford,Y,CB,45,0,0,0,0,0,0,0,0,37,1,3,1,0.0,0.0,0.0,1,0,25,29,0,17,0,0,0,524,163,5,5,16,17,4,7,0.0,0,0,0,0,29,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,2,1,1,0,3,0,5,21,14,2,0,105.0,72.0,0,0,0,0,25,0,0,11,0,0.5,1.6,15.0,2017-09-23 14:00:00+00:00,45,0,6,0,6382,0.0,1,538,914,376,45,2017-09-23
3,2017-10-28,Sat,10,Away,L 1–2,Swansea City,Arsenal,Y,CB,81,0,0,0,0,0,0,0,0,30,4,2,1,0.0,0.0,0.0,0,0,11,19,0,5,1,0,0,288,93,2,3,6,8,3,7,0.0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,1,1,0,1,0,6,0,7,16,14,0,0,22.0,17.0,0,0,0,0,12,0,0,10,0,0.1,2.3,23.0,2017-10-28 14:00:00+00:00,81,0,10,0,5984,0.0,1,-210,123,333,44,2017-10-28
4,2017-11-25,Sat,13,Home,D 0–0,Swansea City,Bournemouth,Y,CB,90,0,0,0,0,0,0,0,0,59,0,3,0,0.0,0.0,0.0,0,0,37,48,1,32,0,0,0,810,288,9,11,18,21,7,13,0.0,0,1,0,0,46,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,9,36,22,1,0,106.0,44.0,2,1,0,0,32,0,0,25,1,0.2,1.7,16.8,2017-11-25 15:00:00+00:00,90,0,13,0,6139,0.0,6,-75,141,216,44,2017-11-25
5,2017-11-29,Wed,14,Away,L 0–1,Swansea City,Chelsea,Y,CB,90,0,0,0,0,0,0,0,0,46,2,2,0,0.0,0.0,0.0,0,0,30,35,0,12,0,0,0,726,261,4,5,18,19,8,11,0.0,0,1,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,0,8,0,10,28,18,1,0,58.0,15.0,0,0,0,0,28,0,0,20,0,0.1,2.1,21.0,2017-11-29 19:45:00+00:00,90,0,14,0,6490,0.0,2,280,449,169,44,2017-11-29
6,2017-12-02,Sat,15,Away,L 1–2,Swansea City,Stoke City,Y,CB,90,0,0,0,0,1,0,0,0,61,1,0,1,0.1,0.1,0.0,0,0,37,52,3,40,0,0,0,773,203,11,12,18,22,7,15,0.0,0,1,0,0,48,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,6,0,4,28,30,3,1,249.0,178.0,2,0,0,0,45,0,0,13,0,0.3,3.7,18.4,2017-12-02 15:00:00+00:00,90,0,15,0,7049,18.0,1,476,678,202,44,2017-12-02
7,2017-12-09,Sat,16,Home,W 1–0,Swansea City,West Brom,Y,CB,90,0,0,0,0,0,0,0,0,54,0,3,2,0.0,0.0,0.0,0,0,31,40,1,19,0,0,0,599,233,11,13,18,24,2,3,0.0,0,1,0,0,36,4,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,8,0,10,35,19,0,0,89.0,35.0,1,0,0,0,22,0,0,25,1,0.1,2.9,28.8,2017-12-09 15:00:00+00:00,90,0,16,0,7685,0.0,6,475,844,369,44,2017-12-09
8,2017-12-13,Wed,17,Home,L 0–4,Swansea City,Manchester City,Y,CB,90,0,0,0,0,1,1,0,0,25,1,0,2,0.1,0.1,0.0,0,0,13,18,0,15,0,0,0,269,130,4,4,7,7,2,7,0.0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,2,0,3,0,8,19,5,1,1,82.0,30.0,0,0,0,0,14,0,0,6,0,0.3,3.6,18.6,2017-12-13 19:45:00+00:00,90,0,17,0,8647,17.0,0,795,1305,510,44,2017-12-13
9,2018-01-02,Tue,22,Home,L 0–2,Swansea City,Tottenham,Y,"CB,RB",90,0,0,0,0,0,0,1,0,50,3,4,3,0.0,0.0,0.0,1,0,22,35,1,24,0,1,1,435,118,5,9,16,22,1,4,0.0,0,1,0,0,30,5,1,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,2,2,0,0,3,5,0,8,36,12,2,0,113.0,48.0,0,0,0,1,27,1,0,6,0,0.1,1.9,16.6,2018-01-02 19:45:00+00:00,90,0,22,0,7451,2.0,0,-261,50,311,44,2018-01-02
