,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-14,Mon,1,Home,W 1–0,Manchester Utd,Wolves,Y,CB,90,1,0,0,0,2,1,0,0,49,1,0,1,1.0,1.0,0.0,2,0,34,38,1,25,1,0,0,595,150,14,15,16,17,4,6,0.0,0,1,0,0,35,3,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,1,1,0,5,0,7,21,26,3,2,235.0,178.0,0,0,1,1,27,0,2,38,1,1.2,8.5,46.6,2023-08-14 19:00:00+00:00,90,0,1,0,153254,37.0,14,0,0,0,50,2023-08-14
1,2023-08-19,Sat,2,Away,L 0–2,Manchester Utd,Tottenham,Y,CB,90,0,0,0,0,2,1,0,0,56,1,1,1,0.0,0.0,0.0,3,0,38,44,3,25,1,1,1,698,228,16,16,19,22,3,5,0.0,0,4,0,0,41,3,3,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,1,5,0,6,24,26,6,2,148.0,87.0,2,0,0,0,26,0,0,17,0,1.8,3.8,15.4,2023-08-19 16:30:00+00:00,90,0,2,0,424217,21.0,1,124897,138535,13638,50,2023-08-19
2,2023-08-26,Sat,3,Home,W 3–2,Manchester Utd,Nott'ham Forest,Y,CB,45,0,0,0,0,0,0,0,0,55,0,0,1,0.0,0.0,0.0,1,0,52,53,8,51,3,0,0,905,282,20,20,29,29,3,4,0.0,0,9,0,0,52,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,10,35,10,0,272.0,208.0,7,0,0,0,44,0,0,10,0,4.7,1.1,6.2,2023-08-26 14:00:00+00:00,45,0,3,0,657743,0.0,0,153927,194149,40222,51,2023-08-26
3,2023-09-23,Sat,6,Away,W 1–0,Manchester Utd,Burnley,N,CB,12,0,0,0,0,0,0,0,0,7,0,0,1,0.0,0.0,0.0,0,0,4,4,0,4,0,0,0,121,13,0,0,2,2,2,2,0.0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,4,3,0,0,11.0,0.0,0,0,0,0,3,0,0,4,0,0.1,0.8,8.2,2023-09-23 19:00:00+00:00,11,0,6,0,257159,0.0,1,-32996,650,33646,50,2023-09-23
4,2023-09-30,Sat,7,Home,L 0–1,Manchester Utd,Crystal Palace,Y,CB,86,0,0,0,0,1,0,0,0,131,3,0,0,0.1,0.1,0.1,2,0,113,121,14,103,1,0,0,1982,541,41,42,67,72,3,3,0.1,1,12,1,0,120,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,5,0,5,37,86,8,2,723.0,371.0,1,0,0,1,103,1,0,22,0,14.7,4.3,21.8,2023-09-30 14:00:00+00:00,86,0,7,0,281128,6.0,2,16035,26634,10599,50,2023-09-30
5,2023-10-21,Sat,9,Away,W 2–1,Manchester Utd,Sheffield Utd,N,CB,7,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,1,1,0,1,0,0,0,8,0,1,1,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,1,0,0,2.0,0.0,0,0,0,0,1,0,0,3,0,0.0,0.3,3.0,2023-10-21 19:00:00+00:00,6,0,9,0,288606,0.0,1,172,15168,14996,50,2023-10-21
6,2023-11-04,Sat,11,Away,W 1–0,Manchester Utd,Fulham,N,"CB,LW",1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,2023-11-04 12:30:00+00:00,1,0,11,0,268691,0.0,1,-8007,6091,14098,50,2023-11-04
7,2023-11-11,Sat,12,Home,W 1–0,Manchester Utd,Luton Town,N,CB,12,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,3,0,2,0,0,0,23,7,1,2,1,1,0,0,0.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,1,30.0,20.0,0,0,0,0,3,0,0,3,0,0.0,0.4,2.2,2023-11-11 15:00:00+00:00,11,0,12,0,267433,2.0,1,-2945,6892,9837,50,2023-11-11
8,2023-12-17,Sun,17,Away,D 0–0,Manchester Utd,Liverpool,Y,CB,90,0,0,0,0,0,0,0,0,58,0,3,2,0.0,0.0,0.0,0,0,28,37,0,8,0,0,0,466,127,13,15,10,13,3,5,0.0,0,0,0,0,21,14,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,15,0,29,46,12,0,0,43.0,11.0,0,0,1,0,13,0,0,30,1,0.0,3.9,38.8,2023-12-17 16:30:00+00:00,90,0,17,0,236071,0.0,6,-4033,963,4996,49,2023-12-17
9,2023-12-26,Tue,19,Home,W 3–2,Manchester Utd,Aston Villa,Y,CB,90,0,0,0,0,0,0,0,0,60,2,3,1,0.0,0.0,0.0,0,0,43,50,2,34,2,0,0,733,272,23,23,16,20,4,6,0.2,0,3,0,0,45,5,2,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,1,1,0,3,0,10,33,25,2,0,197.0,143.0,0,0,1,0,35,0,0,14,0,3.4,2.2,19.0,2023-12-26 20:00:00+00:00,90,0,19,0,237885,0.0,1,-7103,918,8021,49,2023-12-26
