,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-12,Sat,1,Home,W 2–1,Arsenal,Nott'ham Forest,Y,"CB,RB",90,0,0,0,0,0,0,1,0,110,0,2,0,0.0,0.0,0.0,2,0,94,106,7,91,2,1,0,1467,464,43,46,47,51,3,7,0.0,0,10,2,0,103,3,0,1,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,34,65,11,1,383.0,234.0,1,0,0,0,92,1,0,8,0,7.3,2.0,10.8,2023-08-12 12:00:00+00:00,90,0,1,0,812755,2.0,1,0,0,0,55,2023-08-12
1,2023-08-21,Mon,2,Away,W 1–0,Arsenal,Crystal Palace,Y,"CB,RB",90,0,0,0,0,0,0,0,0,76,0,0,2,0.0,0.0,0.0,1,0,61,69,6,54,0,0,0,963,298,31,32,26,26,2,9,0.0,0,10,1,0,68,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,4,0,6,22,46,8,0,224.0,141.0,0,0,1,0,59,0,1,26,1,4.2,2.6,21.6,2023-08-21 19:00:00+00:00,90,0,2,0,846686,0.0,7,-26439,40504,66943,55,2023-08-21
2,2023-08-26,Sat,3,Home,D 2–2,Arsenal,Fulham,Y,"CB,RB",90,0,0,0,0,0,0,0,0,108,0,0,1,0.0,0.0,0.1,5,0,87,99,9,61,3,1,0,1551,484,42,45,36,39,8,13,0.1,2,10,4,1,94,4,0,1,4,3,4,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,5,24,61,24,2,351.0,239.0,0,0,2,0,88,9,0,18,0,32.4,5.7,20.6,2023-08-26 14:00:00+00:00,90,0,3,0,895528,4.0,1,18413,67894,49481,55,2023-08-26
3,2023-09-03,Sun,4,Home,W 3–1,Arsenal,Manchester Utd,Y,RB,90,0,0,0,0,0,0,0,0,76,1,0,3,0.0,0.0,0.4,2,0,57,70,1,41,2,0,0,915,245,28,31,27,31,2,8,0.3,2,3,0,0,60,10,2,0,0,4,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,2,3,0,2,0,6,18,26,32,1,178.0,91.0,3,0,0,0,50,7,0,19,0,26.5,5.5,26.6,2023-09-03 15:30:00+00:00,90,0,4,0,859849,2.0,2,-46415,27773,74188,55,2023-09-03
4,2023-09-17,Sun,5,Away,W 1–0,Arsenal,Everton,Y,RB,90,0,0,0,0,1,1,0,0,109,1,0,0,0.0,0.0,0.1,3,0,90,105,7,74,3,2,1,1580,449,42,46,36,41,10,13,0.1,1,4,2,1,91,14,3,1,1,2,11,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,2,30,46,35,5,235.0,126.0,2,2,1,0,90,8,1,28,1,27.9,6.5,20.2,2023-09-17 15:30:00+00:00,90,0,5,0,870119,17.0,7,-13195,36886,50081,55,2023-09-17
5,2023-09-24,Sun,6,Home,D 2–2,Arsenal,Tottenham,Y,RB,90,0,0,0,0,1,0,0,0,52,0,2,1,0.3,0.3,0.0,3,1,37,44,3,19,2,0,0,762,363,15,18,17,18,5,7,0.0,0,2,1,1,31,13,4,0,0,2,9,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,4,0,6,15,25,12,2,66.0,50.0,0,1,0,1,29,5,0,19,0,5.8,2.9,15.4,2023-09-24 13:00:00+00:00,90,0,6,0,873638,8.0,4,-4393,28862,33255,55,2023-09-24
6,2023-09-30,Sat,7,Away,W 4–0,Arsenal,Bournemouth,Y,RB,90,1,0,0,0,1,1,0,0,73,4,2,3,0.1,0.1,0.0,0,0,41,55,3,34,1,1,0,518,246,26,30,13,17,0,3,0.0,0,2,0,0,47,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,2,0,4,4,0,1,2,5,0,6,34,28,11,3,188.0,100.0,1,0,1,1,37,1,2,40,1,1.8,7.9,56.2,2023-09-30 14:00:00+00:00,90,0,7,0,955610,21.0,14,55864,88760,32896,55,2023-09-30
7,2023-10-08,Sun,8,Home,W 1–0,Arsenal,Manchester City,Y,RB,90,0,0,0,0,0,0,0,0,69,3,0,3,0.0,0.0,0.1,3,0,50,58,6,35,2,1,1,661,218,34,36,15,19,1,2,0.1,2,2,1,0,46,12,1,0,0,0,11,0,0,2,1,0,0,0,0,0,0,0,0,0,0,3,0,2,1,1,1,0,0,3,2,0,3,15,28,26,3,135.0,72.0,3,1,0,0,39,3,3,31,1,23.6,4.6,16.0,2023-10-08 15:30:00+00:00,90,0,8,0,1085967,6.0,9,127049,181884,54835,55,2023-10-08
8,2023-10-21,Sat,9,Away,D 2–2,Arsenal,Chelsea,Y,RB,90,0,0,0,0,0,0,1,0,66,0,1,2,0.0,0.0,0.1,3,0,52,63,5,30,0,0,0,964,370,21,27,24,27,6,7,0.1,2,7,2,1,53,10,2,0,1,1,8,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,21,33,13,0,67.0,28.0,0,0,2,0,43,7,0,8,0,27.2,4.1,13.6,2023-10-21 16:30:00+00:00,90,0,9,0,1333314,0.0,0,216831,244689,27858,56,2023-10-21
9,2023-10-28,Sat,10,Home,W 5–0,Arsenal,Sheffield Utd,Y,RB,65,0,0,0,0,1,1,0,0,71,2,0,0,0.0,0.0,0.0,0,0,56,67,5,44,0,2,2,918,208,18,23,34,38,2,3,0.0,0,3,0,0,60,7,2,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,12,49,12,1,164.0,89.0,0,0,1,0,52,3,0,24,1,2.6,3.1,11.6,2023-10-28 14:00:00+00:00,65,0,10,0,1479984,17.0,6,134728,193115,58387,56,2023-10-28
