,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,attempted_passes,big_chances_created,big_chances_missed,bonus,bps,clean_sheets,clearances_blocks_interceptions,completed_passes,creativity,dribbles,ea_index,errors_leading_to_goal,errors_leading_to_goal_attempt,fouls,ict_index,id,influence,key_passes,kickoff_time,kickoff_time_formatted,loaned_in,loaned_out,minutes,offside,open_play_crosses,own_goals,penalties_conceded,recoveries,round,saves,selected,tackled,tackles,target_missed,threat,total_points,transfers_balance,transfers_in,transfers_out,value,winning_goals,kickoff_date
0,2017-09-09,Sat,4,Home,D 2–2,Stoke City,Manchester Utd,Y,CB,90,0,0,0,0,0,0,0,0,51,2,1,2,0.0,0.0,0.0,0,0,32,41,2,23,0,0,0,546,242,15,16,14,16,2,8,0.0,0,2,0,0,36,5,3,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,2,5,0,7,22,30,0,0,85.0,50.0,0,0,0,0,25,0,39,0,0,0,11,0,5,31,0.5,0,0,0,0,0,1.5,1941,14.6,0,2017-09-09 16:30:00+00:00,09 Sep 17:30,0,0,90,0,0,0,0,5,4,0,19090,0,0,0,0.0,1,5863,10551,4688,44,0,2017-09-09
1,2017-09-16,Sat,5,Away,L 1–2,Stoke City,Newcastle Utd,Y,CB,90,0,0,0,0,0,0,1,0,71,0,2,2,0.0,0.0,0.0,0,0,50,65,8,41,0,0,0,986,529,21,24,19,24,10,17,0.0,0,8,0,0,50,15,2,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,4,0,3,24,48,0,0,163.0,117.0,0,0,0,0,43,0,51,0,0,0,9,0,8,40,0.9,0,0,0,0,1,2.4,2485,22.6,0,2017-09-16 14:00:00+00:00,16 Sep 15:00,0,0,90,0,0,0,0,5,5,0,27310,0,0,0,0.0,0,7684,10406,2722,44,0,2017-09-16
2,2017-09-30,Sat,7,Home,W 2–1,Stoke City,Southampton,Y,CB,90,0,0,0,0,0,0,0,0,26,0,0,3,0.0,0.0,0.0,2,0,14,18,2,11,0,0,0,313,103,4,5,8,9,2,4,0.0,0,2,0,0,16,2,1,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,5,0,6,15,11,0,0,37.0,4.0,0,0,0,0,10,0,17,0,0,0,8,0,7,13,0.3,0,0,0,0,2,1.8,3581,17.2,0,2017-09-30 14:00:00+00:00,30 Sep 15:00,0,0,90,0,0,0,0,4,7,0,22274,0,0,0,0.0,2,-4109,290,4399,44,0,2017-09-30
3,2017-10-14,Sat,8,Away,L 2–7,Stoke City,Manchester City,Y,CB,45,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.0,0,0,6,12,0,2,0,0,0,146,60,1,2,3,5,1,3,0.0,0,0,0,0,11,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,10,6,0,0,12.0,0.0,0,0,0,0,6,0,11,0,0,0,4,0,2,6,0.0,0,0,0,0,0,0.3,4135,3.4,0,2017-10-14 14:00:00+00:00,14 Oct 15:00,0,0,45,0,0,0,0,0,8,0,22579,0,0,0,0.0,0,164,2178,2014,44,0,2017-10-14
4,2017-10-28,Sat,10,Away,W 1–0,Stoke City,Watford,Y,CB,90,0,0,0,0,0,0,0,0,40,1,0,2,0.0,0.0,0.0,0,0,19,29,1,13,0,0,0,357,251,7,7,9,13,2,7,0.0,0,1,0,0,21,8,2,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,1,7,0,8,21,19,0,0,28.0,14.0,0,0,0,0,13,0,24,0,0,1,26,1,8,16,0.1,0,0,0,0,0,2.1,5251,20.4,0,2017-10-28 14:00:00+00:00,28 Oct 15:00,0,0,90,0,0,0,0,6,10,0,20277,0,1,0,0.0,7,-2486,206,2692,44,0,2017-10-28
5,2017-11-04,Sat,11,Home,D 2–2,Stoke City,Leicester City,Y,CB,90,0,0,0,0,0,0,0,0,58,3,3,3,0.0,0.0,0.0,0,0,30,44,2,30,1,0,0,592,201,11,12,14,19,5,10,0.0,0,5,0,0,36,8,0,0,2,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,1,0,3,0,4,0,5,24,32,2,1,176.0,91.0,0,0,0,1,26,0,36,0,0,0,10,0,9,26,0.8,0,0,0,0,3,3.1,5814,28.6,0,2017-11-04 12:30:00+00:00,04 Nov 12:30,0,0,90,0,0,0,0,7,11,0,22457,1,0,0,2.0,1,1906,2626,720,44,0,2017-11-04
6,2017-11-20,Mon,12,Away,D 2–2,Stoke City,Brighton,Y,CB,90,0,0,0,0,0,0,0,0,47,2,0,0,0.0,0.0,0.1,0,0,31,36,3,27,1,2,1,688,257,10,11,16,19,5,6,0.0,1,2,0,0,30,6,2,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,2,0,0,0,5,0,6,22,24,3,1,184.0,123.0,1,0,0,0,26,0,33,0,0,0,17,0,4,29,10.8,1,0,0,0,1,2.9,6380,16.6,1,2017-11-20 20:00:00+00:00,20 Nov 20:00,0,0,90,0,0,0,0,4,12,0,22842,1,2,0,2.0,1,238,1350,1112,44,0,2017-11-20
7,2017-11-25,Sat,13,Away,L 1–2,Stoke City,Crystal Palace,Y,CB,90,0,0,0,0,0,0,1,0,72,1,5,0,0.0,0.0,0.0,0,0,37,61,3,21,0,0,0,653,351,13,14,17,28,4,14,0.0,0,5,0,0,47,14,1,0,2,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,6,0,5,36,36,1,0,116.0,79.0,0,0,0,0,21,0,48,0,0,0,9,0,9,28,0.9,0,0,0,0,2,1.6,6949,15.4,0,2017-11-25 15:00:00+00:00,25 Nov 15:00,0,0,90,0,0,0,0,7,13,0,23975,0,1,0,0.0,0,1001,1938,937,44,0,2017-11-25
8,2017-12-02,Sat,15,Home,W 2–1,Stoke City,Swansea City,N,CB,38,0,0,0,0,0,0,1,0,17,0,2,0,0.0,0.0,0.0,0,0,3,7,1,3,0,0,0,107,67,1,2,0,2,2,2,0.0,0,1,0,0,6,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,5,14,2,1,1,22.0,12.0,0,0,0,0,2,0,7,0,0,0,3,0,8,4,0.1,0,0,0,0,1,1.7,8090,14.6,0,2017-12-02 15:00:00+00:00,02 Dec 15:00,0,0,37,0,0,0,0,0,15,0,21818,0,0,0,2.0,0,-849,544,1393,44,0,2017-12-02
9,2017-12-09,Sat,16,Away,L 1–5,Stoke City,Tottenham,Y,CB,90,0,0,0,0,0,0,0,0,33,2,1,2,0.0,0.0,0.0,1,0,16,23,4,7,0,0,0,395,184,6,7,6,10,4,6,0.0,0,1,0,0,19,4,2,0,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,5,0,9,20,13,0,0,16.0,14.0,0,0,0,0,8,0,21,0,0,0,12,0,8,15,0.0,0,0,0,0,1,1.9,8664,19.2,0,2017-12-09 15:00:00+00:00,09 Dec 15:00,0,0,90,0,0,0,0,4,16,0,20149,0,1,0,0.0,0,-1724,178,1902,43,0,2017-12-09
10,2017-12-12,Tue,17,Away,L 0–1,Stoke City,Burnley,N,"CM,CB",25,0,0,0,0,0,0,0,0,12,1,0,0,0.0,0.0,0.0,0,0,1,5,0,2,0,0,0,16,14,0,2,1,3,0,0,0.0,0,0,0,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,7,0,3,10,3,0,0,5.0,3.0,0,0,0,0,1,0,4,0,0,0,9,0,8,0,0.0,0,0,0,0,0,1.3,9241,13.0,0,2017-12-12 19:45:00+00:00,12 Dec 19:45,0,0,24,0,0,0,0,1,17,0,19270,0,1,0,0.0,1,-897,278,1175,43,0,2017-12-12
11,2017-12-16,Sat,18,Home,L 0–3,Stoke City,West Ham,Y,CB,90,0,0,0,0,0,0,1,0,47,2,1,2,0.0,0.0,0.0,0,0,35,42,3,22,0,0,0,594,328,22,24,8,9,5,8,0.0,0,3,0,0,39,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,3,3,1,1,2,0,4,22,25,1,1,98.0,57.0,0,0,0,0,24,0,38,0,0,0,11,0,4,31,0.8,0,0,0,0,3,1.6,9819,12.8,0,2017-12-16 16:00:00+00:00,16 Dec 16:00,0,0,90,0,0,0,0,5,18,0,18385,0,2,0,2.0,0,-921,224,1145,43,0,2017-12-16
