,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2020-09-20,Sun,2,Home,W 4–2,Leicester City,Burnley,N,"LM,CB",1,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,0,0,0,0,0,13,11,1,1,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0,0,0,0,1,0,0,3,0,0.0,0.0,0.2,2020-09-20 18:00:00+00:00,1,0,2,0,5573,0.0,1,-1076,194,1270,45,2020-09-20
1,2020-11-02,Mon,7,Away,W 4–1,Leicester City,Leeds United,N,CB,6,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,3,0,0.0,0.2,2.0,2020-11-02 20:00:00+00:00,5,0,7,0,10515,0.0,1,-221,548,769,44,2020-11-02
2,2020-11-08,Sun,8,Home,W 1–0,Leicester City,Wolves,N,CB,11,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,4,4,2,2,0,0,0,69,65,2,2,2,2,0,0,0.0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,5.0,3.0,0,0,0,0,2,0,0,3,0,0.1,0.1,0.8,2020-11-08 14:00:00+00:00,10,0,8,0,10601,0.0,1,-165,477,642,44,2020-11-08
3,2019-08-24,Sat,3,Away,W 2–1,Leicester City,Sheffield Utd,N,CB,13,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,5,5,1,0,0,0.0,0.0,0,0,0,0,0,0,0,5,0,0.0,0.9,9.0,2019-08-24 14:00:00+00:00,12,0,3,0,72215,0.0,1,-10580,1536,12116,44,2019-08-24
4,2019-10-19,Sat,9,Home,W 2–1,Leicester City,Burnley,N,CB,12,0,0,0,0,0,0,0,0,3,0,0,1,0.0,0.0,0.0,0,0,1,1,0,1,0,0,0,32,3,0,0,0,0,1,1,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,3,0,0,0,4.0,0.0,0,0,0,0,1,0,0,4,0,0.0,0.6,6.0,2019-10-19 14:00:00+00:00,11,0,9,0,54411,0.0,1,-2101,822,2923,43,2019-10-19
5,2019-11-03,Sun,11,Away,W 2–0,Leicester City,Crystal Palace,N,CB,6,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0.0,0.0,0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,2019-11-03 14:00:00+00:00,5,0,11,0,52550,0.0,1,-1749,1385,3134,42,2019-11-03
6,2019-11-23,Sat,13,Away,W 2–0,Leicester City,Brighton,N,CB,29,0,0,0,0,0,0,0,0,9,0,0,1,0.0,0.0,0.0,0,0,7,7,0,5,0,0,0,112,10,4,4,3,3,0,0,0.0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,7,2,0,0,17.0,2.0,0,0,0,0,6,0,0,4,0,0.1,0.7,7.2,2019-11-23 15:00:00+00:00,28,0,13,0,49906,0.0,1,-2222,1039,3261,42,2019-11-23
7,2019-12-28,Sat,20,Away,W 2–1,Leicester City,West Ham,Y*,CB,90,0,0,0,0,2,2,0,0,70,0,1,1,0.4,0.4,0.0,1,0,50,61,1,51,1,2,2,876,238,19,22,28,32,2,5,0.0,0,1,0,0,60,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,0,2,32,36,2,2,197.0,96.0,0,0,1,0,50,0,0,11,0,0.4,5.5,18.8,2019-12-28 17:30:00+00:00,90,0,20,0,47747,36.0,2,-240,726,966,41,2019-12-28
8,2020-01-01,Wed,21,Away,W 3–0,Leicester City,Newcastle Utd,N,CB,7,0,0,0,0,0,0,0,0,16,0,0,1,0.0,0.0,0.0,0,0,13,14,0,11,0,0,0,251,115,1,1,12,13,0,0,0.0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,13,0,0,52.0,24.0,0,0,0,0,13,0,0,3,0,0.2,0.4,3.4,2020-01-01 15:00:00+00:00,6,0,21,0,49026,0.0,1,995,2404,1409,41,2020-01-01
9,2020-01-22,Wed,24,Home,W 4–1,Leicester City,West Ham,N,CB,8,0,0,0,0,0,0,0,0,4,0,1,0,0.0,0.0,0.0,0,0,2,3,0,1,0,0,0,34,19,0,0,2,2,0,0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1.0,0.0,0,0,0,0,3,0,0,3,0,0.0,0.1,1.4,2020-01-22 19:30:00+00:00,7,0,24,0,45959,0.0,1,-195,671,866,41,2020-01-22
