,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2017-08-13,Sun,1,Away,L 0–4,West Ham,Manchester Utd,Y,CB,90,0,0,0,0,0,0,0,0,60,1,3,2,0.0,0.0,0.0,0,0,41,47,3,38,0,0,0,865,176,11,14,23,23,6,9,0.0,0,2,0,0,47,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,2,0,6,0,10,38,22,1,0,142.0,70.0,1,0,0,0,33,0,0,19,0,0.1,2.7,26.4,2017-08-13 15:00:00+00:00,90,0,1,0,75418,0.0,0,0,0,0,50,2017-08-13
1,2017-09-11,Mon,4,Home,W 2–0,West Ham,Huddersfield,Y*,CB,90,0,0,0,0,0,0,0,0,40,0,1,2,0.0,0.0,0.0,1,0,23,28,4,13,0,1,0,542,145,5,5,15,16,3,7,0.0,0,2,0,0,27,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,7,0,7,19,21,0,0,51.0,15.0,0,0,0,0,16,0,0,21,1,0.6,1.8,17.2,2017-09-11 19:00:00+00:00,90,0,4,0,45896,0.0,6,-9833,181,10014,49,2017-09-11
2,2017-09-16,Sat,5,Away,D 0–0,West Ham,West Brom,Y*,CB,90,0,0,0,0,0,0,0,0,77,0,1,1,0.0,0.0,0.0,0,0,64,68,0,51,0,0,0,1528,410,4,4,54,55,6,9,0.0,0,0,0,0,64,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,6,0,4,28,50,1,1,238.0,97.0,0,0,0,0,54,0,3,30,1,0.3,2.6,24.0,2017-09-16 14:00:00+00:00,90,0,5,0,45210,2.0,9,-1146,539,1685,49,2017-09-16
3,2017-09-23,Sat,6,Home,L 2–3,West Ham,Tottenham,Y,CB,90,0,0,0,0,1,0,1,0,53,1,2,4,0.0,0.0,0.0,0,0,31,39,1,19,0,0,0,739,264,7,8,15,16,8,11,0.0,0,2,0,0,36,1,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,1,0,4,7,0,7,24,27,2,1,88.0,43.0,0,0,0,0,22,1,0,14,0,0.5,2.3,18.0,2017-09-23 11:30:00+00:00,90,0,6,0,47900,4.0,0,1280,2996,1716,49,2017-09-23
4,2017-09-30,Sat,7,Home,W 1–0,West Ham,Swansea City,Y,CB,90,0,0,0,0,0,0,0,0,44,2,1,1,0.0,0.0,0.0,0,0,20,26,2,14,0,0,0,529,181,4,4,8,10,8,11,0.0,0,2,0,0,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,1,0,1,0,14,0,14,24,20,0,0,58.0,34.0,0,0,0,0,12,0,0,27,1,0.5,3.2,31.2,2017-09-30 14:00:00+00:00,90,0,7,0,49576,0.0,6,796,3312,2516,49,2017-09-30
5,2017-10-14,Sat,8,Away,D 1–1,West Ham,Burnley,Y*,CB,90,0,0,0,0,0,0,1,0,39,0,2,0,0.0,0.0,0.0,0,0,23,28,3,19,0,0,0,507,204,5,6,15,16,3,6,0.0,0,0,0,0,26,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,22,17,0,0,127.0,72.0,0,0,0,0,16,0,0,5,0,0.0,1.1,11.4,2017-10-14 14:00:00+00:00,90,0,8,0,49850,0.0,1,-443,1216,1659,49,2017-10-14
6,2017-10-20,Fri,9,Home,L 0–3,West Ham,Brighton,Y*,CB,90,0,0,0,0,2,0,0,0,82,0,2,2,0.1,0.1,0.0,1,0,67,70,5,42,1,0,0,1464,340,15,16,38,38,13,15,0.0,0,1,0,0,70,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,2,3,0,4,25,54,4,4,329.0,168.0,0,0,1,0,56,0,0,15,0,1.0,3.9,12.0,2017-10-20 19:00:00+00:00,90,0,9,0,50541,26.0,1,423,1416,993,49,2017-10-20
7,2017-11-04,Sat,11,Home,L 1–4,West Ham,Liverpool,Y,CB,90,0,0,0,0,0,0,1,0,56,1,1,3,0.0,0.0,0.0,0,0,38,48,1,28,1,0,0,853,308,12,13,14,19,12,15,0.0,0,1,0,0,47,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,2,1,2,2,0,5,25,29,2,0,125.0,70.0,1,0,0,1,25,0,0,9,0,0.9,1.7,15.8,2017-11-04 17:30:00+00:00,90,0,11,0,44958,0.0,-1,-3961,54,4015,49,2017-11-04
8,2017-11-19,Sun,12,Away,L 0–2,West Ham,Watford,Y,CB,90,0,0,0,0,1,0,0,0,52,1,1,1,0.1,0.1,0.0,1,0,32,41,1,21,0,0,0,726,285,3,7,22,25,7,9,0.0,0,2,0,0,41,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,5,0,7,28,20,4,2,59.0,14.0,0,0,1,0,32,0,0,11,0,0.5,2.2,15.8,2017-11-19 16:00:00+00:00,90,0,12,0,43733,6.0,1,-1362,277,1639,49,2017-11-19
9,2017-11-24,Fri,13,Home,D 1–1,West Ham,Leicester City,Y*,CB,90,0,0,0,0,0,0,0,0,32,0,1,0,0.0,0.0,0.1,1,0,15,25,1,16,1,0,0,299,138,6,8,5,8,4,9,0.6,1,2,0,0,24,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,3,0,3,17,12,3,2,116.0,43.0,0,0,2,1,16,1,0,9,0,10.8,2.4,9.0,2017-11-24 20:00:00+00:00,90,0,13,0,43117,4.0,2,-711,281,992,49,2017-11-24
