,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2019-08-17,Sat,2,Home,L 1–2,Southampton,Liverpool,Y,CB,90,0,0,0,0,2,1,0,0,40,1,0,1,0.4,0.4,0.0,0,0,21,31,6,18,0,0,0,456,180,7,9,7,8,5,10,0.0,0,4,0,0,29,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,5,0,4,16,21,3,2,65.0,38.0,0,0,0,0,25,0,0,7,0,0.3,5.0,12.4,2019-08-17 14:00:00+00:00,90,0,2,0,21568,37.0,1,-2657,320,2977,45,2019-08-17
1,2019-08-31,Sat,4,Home,D 1–1,Southampton,Manchester Utd,N,LB,14,0,0,0,0,0,0,0,0,13,1,0,0,0.0,0.0,0.0,0,0,6,9,1,5,0,0,0,118,85,3,4,2,3,1,2,0.0,0,1,0,0,7,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,3,7,5,1,0,13.0,11.0,0,0,0,0,5,0,0,6,0,0.4,0.7,7.0,2019-08-31 11:30:00+00:00,13,0,4,0,21567,0.0,1,-1597,686,2283,45,2019-08-31
2,2019-09-14,Sat,5,Away,W 1–0,Southampton,Sheffield Utd,Y,CB,90,0,0,0,0,0,0,0,0,63,1,1,2,0.0,0.0,0.0,0,0,47,55,0,34,0,0,0,701,284,27,27,18,22,1,4,0.0,0,0,0,0,54,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,3,0,7,42,20,1,1,180.0,68.0,0,0,0,1,39,0,1,26,1,0.4,2.2,19.6,2019-09-14 14:00:00+00:00,90,0,5,0,21887,2.0,7,-473,1254,1727,44,2019-09-14
3,2019-09-28,Sat,7,Away,L 1–2,Southampton,Tottenham,Y,CB,90,0,0,0,0,2,1,1,0,71,3,1,0,0.3,0.3,0.0,1,0,51,57,3,36,1,0,0,893,352,19,21,28,28,3,6,0.0,0,2,0,0,56,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,2,2,2,0,0,0,4,0,8,24,36,11,4,204.0,113.0,1,0,1,0,47,2,0,10,0,1.8,4.6,19.4,2019-09-28 14:00:00+00:00,90,0,7,0,26677,25.0,0,-2234,837,3071,44,2019-09-28
4,2019-10-06,Sun,8,Home,L 1–4,Southampton,Chelsea,Y,CB,90,0,0,0,0,1,1,0,0,65,1,0,1,0.0,0.0,0.0,0,0,40,55,1,28,0,0,0,664,261,23,26,13,21,4,7,0.0,0,2,0,0,53,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,4,0,4,29,33,3,1,106.0,52.0,0,0,0,0,34,1,0,10,0,0.4,2.3,13.8,2019-10-06 13:00:00+00:00,90,0,8,0,25951,9.0,0,-1076,753,1829,44,2019-10-06
5,2019-10-19,Sat,9,Away,D 1–1,Southampton,Wolves,Y,CB,90,0,0,0,0,0,0,0,0,45,0,1,1,0.0,0.0,0.0,1,0,29,34,0,19,0,0,0,499,147,12,12,17,17,0,3,0.0,0,0,0,0,33,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,6,0,8,25,19,1,1,71.0,16.0,0,0,0,0,26,0,0,13,0,0.1,1.5,13.2,2019-10-19 14:00:00+00:00,90,0,9,0,25371,2.0,2,-843,545,1388,44,2019-10-19
6,2019-10-25,Fri,10,Home,L 0–9,Southampton,Leicester City,Y,CB,90,0,0,0,0,0,0,0,0,37,1,1,1,0.0,0.0,0.0,0,0,17,27,1,18,0,1,1,339,207,8,9,4,6,4,11,0.0,0,2,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,3,2,1,0,3,1,4,20,15,2,1,56.0,20.0,1,0,1,1,22,0,0,10,0,0.3,1.4,11.4,2019-10-25 19:00:00+00:00,90,0,10,0,25242,2.0,-2,-276,397,673,44,2019-10-25
7,2019-12-04,Wed,15,Home,W 2–1,Southampton,Norwich City,N,CB,6,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,3,0,0,0,0,0,24,4,2,2,0,1,0,0,0.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2,0,0,0.0,0.0,0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,2019-12-04 19:30:00+00:00,5,0,15,0,21185,0.0,1,-390,150,540,43,2019-12-04
8,2018-10-07,Sun,8,Home,L 0–3,Southampton,Chelsea,Y,CB,90,0,0,0,0,0,0,0,0,42,1,3,2,0.0,0.0,0.0,0,0,24,30,2,18,0,0,0,613,223,5,5,10,11,9,13,0.0,0,2,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,2,0,5,0,7,22,20,0,0,36.0,8.0,0,0,1,0,27,0,0,17,0,0.3,2.6,26.0,2018-10-07 13:15:00+00:00,90,0,8,0,35370,0.0,1,-1541,262,1803,42,2018-10-07
9,2018-11-10,Sat,12,Home,D 1–1,Southampton,Watford,Y,CB,90,0,0,0,0,3,0,0,0,41,0,4,1,0.3,0.3,0.0,1,0,18,25,3,8,0,0,0,288,118,9,10,8,9,0,4,0.0,0,1,0,0,24,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,7,18,18,5,4,36.0,18.0,0,0,2,0,17,1,0,9,0,0.2,5.8,15.4,2018-11-10 15:00:00+00:00,90,0,12,0,31353,42.0,2,-890,111,1001,42,2018-11-10
