,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2022-03-10,Thu,30,Home,L 1–3,Norwich City,Chelsea,Y,CB,45,0,0,0,0,1,1,0,0,16,1,0,0,0.0,0.0,0.0,1,0,8,13,1,9,1,1,1,128,102,3,6,5,6,0,1,0.0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,10,5,1,0,137.0,61.0,0,0,0,0,11,0,0,4,0,0.2,1.5,7.6,2022-03-10 19:30:00+00:00,45,0,28,0,3545,7.0,0,-21,36,57,44,2022-03-10
1,2022-04-23,Sat,34,Home,L 0–3,Norwich City,Newcastle Utd,Y,CB,57,0,0,0,0,0,0,0,0,38,3,1,0,0.0,0.0,0.0,0,0,22,32,2,24,0,0,0,426,212,8,9,8,11,5,9,0.0,0,2,1,0,31,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,2,2,0,0,0,2,0,5,20,18,0,0,109.0,55.0,0,0,0,0,25,0,0,10,0,0.3,1.3,12.2,2022-04-23 14:00:00+00:00,57,0,34,0,3659,0.0,0,0,41,41,44,2022-04-23
2,2022-05-22,Sun,38,Home,L 0–5,Norwich City,Tottenham,N,CB,55,0,0,0,0,1,0,0,0,23,2,0,0,0.0,0.0,0.0,0,0,16,18,1,14,0,0,0,263,90,4,4,10,10,0,2,0.0,0,1,0,0,16,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2,1,0,0,1,0,3,9,12,2,1,90.0,49.0,0,0,0,0,10,0,0,2,0,0.0,0.0,0.0,2022-05-22 15:00:00+00:00,54,0,38,0,3701,0.0,0,72,127,55,44,2022-05-22
3,2019-08-31,Sat,4,Away,L 0–2,Norwich City,West Ham,Y*,CB,35,0,0,0,0,0,0,0,0,20,0,0,1,0.0,0.0,0.0,0,0,15,18,2,15,1,0,0,325,145,6,7,7,8,2,2,0.0,0,2,0,0,18,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,2,6,13,1,1,89.0,77.0,0,0,0,1,14,0,0,3,0,0.0,0.9,6.6,2019-08-31 14:00:00+00:00,35,0,4,0,1311,2.0,1,-38,88,126,45,2019-08-31
4,2019-11-23,Sat,13,Away,W 2–0,Norwich City,Everton,Y,CB,90,0,0,0,0,0,0,1,0,43,0,0,0,0.0,0.0,0.0,0,0,23,33,4,19,0,0,0,542,218,5,6,11,14,6,11,0.0,0,4,1,0,33,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,11,26,16,1,1,110.0,50.0,0,0,1,0,20,0,0,21,1,0.3,1.6,14.0,2019-11-23 15:00:00+00:00,90,0,13,0,967,2.0,5,17,38,21,44,2019-11-23
5,2019-12-01,Sun,14,Home,D 2–2,Norwich City,Arsenal,Y*,CB,90,0,0,0,0,0,0,0,0,40,2,2,0,0.0,0.0,0.0,0,0,24,27,0,19,1,1,1,438,178,10,11,9,9,4,6,0.0,0,0,0,0,25,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,2,2,0,0,0,8,0,11,28,13,0,0,84.0,27.0,0,0,1,0,20,0,0,13,0,0.1,1.5,15.0,2019-12-01 14:00:00+00:00,90,0,14,0,1237,0.0,1,202,236,34,44,2019-12-01
6,2019-12-04,Wed,15,Away,L 1–2,Norwich City,Southampton,Y*,CB,90,0,0,0,0,0,0,0,0,98,1,1,0,0.0,0.0,0.0,0,0,70,84,2,67,1,2,1,1335,456,23,24,39,44,7,14,0.0,0,3,0,0,82,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,2,1,0,0,10,0,14,67,32,0,0,382.0,225.0,0,0,1,0,66,0,0,19,0,0.4,3.1,30.4,2019-12-04 19:30:00+00:00,90,0,15,0,1383,0.0,1,108,148,40,44,2019-12-04
7,2019-12-08,Sun,16,Home,L 1–2,Norwich City,Sheffield Utd,Y,CB,90,0,1,0,0,0,0,0,0,61,3,1,0,0.0,0.0,0.0,0,0,32,46,4,29,0,0,0,581,330,12,14,18,20,2,12,0.0,1,2,0,0,43,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,2,2,0,0,0,6,0,11,38,20,3,2,180.0,116.0,0,0,0,0,31,0,0,23,0,10.3,5.2,37.2,2019-12-08 14:00:00+00:00,90,0,16,0,1535,4.0,4,108,166,58,44,2019-12-08
8,2019-12-14,Sat,17,Away,D 1–1,Norwich City,Leicester City,Y,CB,90,0,0,0,0,1,0,0,0,33,4,0,0,0.1,0.1,0.0,1,0,19,24,1,16,1,0,0,369,181,8,9,8,10,3,4,0.0,0,1,0,0,23,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,4,0,0,3,3,0,0,0,2,0,8,23,9,1,1,128.0,103.0,0,0,1,1,15,0,0,9,0,0.2,4.7,12.4,2019-12-14 15:00:00+00:00,90,0,17,0,2039,34.0,2,376,502,126,44,2019-12-14
9,2019-12-21,Sat,18,Home,L 1–2,Norwich City,Wolves,Y,CB,90,0,0,0,0,1,0,0,0,48,2,2,1,0.1,0.1,0.0,0,0,32,42,2,30,0,1,1,644,313,12,12,14,17,5,10,0.0,0,1,0,0,41,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,2,3,1,1,0,1,1,3,25,22,2,1,215.0,119.0,1,0,0,0,31,0,0,11,0,0.5,1.6,11.8,2019-12-21 15:00:00+00:00,90,0,18,0,2602,4.0,1,363,490,127,44,2019-12-21
