,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2021-08-14,Sat,1,Home,L 1–2,Burnley,Brighton,N,"FW,DM",21,0,0,0,0,0,0,0,0,5,0,1,0,0.0,0.0,0.0,1,0,1,3,1,2,0,0,0,11,11,1,1,0,0,0,1,0.0,1,1,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,5.0,5.0,0,0,0,0,2,0,0,3,0,10.1,1.2,2.2,2021-08-14 14:00:00+00:00,20,0,1,0,133470,0.0,1,0,0,0,55,2021-08-14
1,2021-08-21,Sat,2,Away,L 0–2,Burnley,Liverpool,Y,FW,90,0,0,0,0,1,1,0,0,29,1,0,1,0.5,0.5,0.1,5,0,13,19,4,7,1,1,1,187,64,8,9,3,6,1,2,0.1,3,3,2,0,18,0,0,0,1,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,2,3,11,15,3,40.0,30.0,0,1,5,0,19,3,0,5,0,33.6,7.3,18.0,2021-08-21 11:30:00+00:00,90,0,2,0,137355,21.0,2,-9562,13670,23232,55,2021-08-21
2,2021-08-29,Sun,3,Home,D 1–1,Burnley,Leeds United,Y,FW,78,0,0,0,0,1,0,1,0,41,3,0,1,0.1,0.1,0.1,2,0,14,22,2,25,1,1,0,180,88,11,14,2,5,1,1,0.1,1,3,1,0,21,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,3,0,1,2,1,0,1,0,0,0,3,23,15,2,85.0,14.0,0,0,8,5,30,7,0,-5,1,11.6,2.0,2.2,2021-08-29 13:00:00+00:00,78,0,3,0,144074,6.0,1,239,25055,24816,55,2021-08-29
3,2021-09-13,Mon,4,Away,L 1–3,Burnley,Everton,Y,FW,75,0,0,0,0,0,0,0,0,18,0,0,0,0.0,0.0,0.1,1,0,9,16,0,7,0,1,1,121,14,5,9,2,3,1,1,0.3,1,0,0,0,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,10,6,1,30.0,7.0,0,0,1,2,13,2,0,4,0,10.8,1.4,1.4,2021-09-13 19:00:00+00:00,75,0,4,0,129774,2.0,2,-18354,22559,40913,55,2021-09-13
4,2021-09-18,Sat,5,Home,L 0–1,Burnley,Arsenal,Y,FW,56,0,0,0,0,2,0,1,0,21,0,0,1,0.1,0.1,0.0,1,0,11,16,2,11,1,0,0,178,20,7,8,2,2,2,3,0.0,0,1,0,0,16,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,11,5,47.0,24.0,0,0,1,2,18,6,0,-7,0,4.5,1.3,0.0,2021-09-18 14:00:00+00:00,56,0,5,0,127901,16.0,0,-5048,17311,22359,55,2021-09-18
5,2021-09-25,Sat,6,Away,D 2–2,Burnley,Leicester City,N,FW,16,0,0,0,0,1,1,0,0,7,1,0,0,0.0,0.0,0.0,0,0,2,4,0,2,0,0,0,12,4,1,1,0,0,0,0,0.0,0,1,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,4,3,2,6.0,0.0,0,0,0,2,6,0,0,-1,0,1.3,2.4,3.2,2021-09-25 14:00:00+00:00,15,0,6,0,114277,19.0,1,-14649,7050,21699,54,2021-09-25
6,2021-10-02,Sat,7,Home,D 0–0,Burnley,Norwich City,N,FW,11,0,0,0,0,0,0,0,0,5,0,0,0,0.0,0.0,0.0,0,0,3,5,0,4,0,0,0,33,1,2,2,1,2,0,0,0.0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,16.0,1.0,0,0,0,0,5,3,0,3,0,0.6,0.3,0.2,2021-10-02 14:00:00+00:00,10,0,7,0,108028,2.0,1,-7425,5603,13028,54,2021-10-02
7,2021-10-16,Sat,8,Away,L 0–2,Burnley,Manchester City,N,FW,35,0,0,0,0,3,1,0,0,8,0,0,0,0.2,0.2,0.0,0,0,2,4,0,2,0,0,0,29,0,1,3,1,1,0,0,0.0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,3,4,3,3.0,3.0,0,0,0,0,5,1,0,0,0,1.3,4.1,2.0,2021-10-16 14:00:00+00:00,34,0,8,0,100728,38.0,1,-8332,4076,12408,54,2021-10-16
8,2022-02-08,Tue,24,Home,D 1–1,Burnley,Manchester Utd,N,FW,3,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,0,2,0,1,1,6,0,1,1,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6.0,0.0,0,0,0,1,2,0,0,3,0,0.1,0.1,1.0,2022-02-08 20:00:00+00:00,2,0,24,0,55844,0.0,1,-720,230,950,52,2022-02-08
9,2022-02-13,Sun,25,Home,L 0–1,Burnley,Liverpool,N,FW,16,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,3,3,0,2,0,0,0,31,0,3,3,0,0,0,0,0.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,9.0,0.0,1,0,1,2,4,1,0,1,0,0.3,0.0,0.0,2022-02-13 14:00:00+00:00,15,0,25,0,57259,0.0,1,1172,1665,493,52,2022-02-13
