,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-12,Sat,1,Away,L 1–4,Luton Town,Brighton,Y,FW,63,0,0,0,0,0,0,0,0,16,0,1,0,0.0,0.0,0.0,1,0,7,10,4,7,1,3,0,113,41,3,4,4,6,0,0,0.0,1,0,1,0,10,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,10,5,0,56.0,27.0,2,0,0,0,8,3,0,5,0,10.8,1.6,5.0,2023-08-12 14:00:00+00:00,63,0,1,0,96850,0.0,2,0,0,0,50,2023-08-12
1,2023-08-25,Fri,3,Away,L 0–3,Luton Town,Chelsea,Y,FW,69,0,0,0,0,0,0,0,0,20,0,0,1,0.0,0.0,0.1,1,0,13,15,1,12,0,2,1,201,37,8,9,4,4,1,1,0.1,1,1,0,0,15,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,2,2,10,8,2,87.0,2.0,1,1,1,2,15,4,0,1,0,11.9,1.8,1.6,2023-08-25 19:00:00+00:00,69,0,3,0,82300,4.0,2,-10646,2715,13361,50,2023-08-25
2,2023-09-01,Fri,4,Home,L 1–2,Luton Town,West Ham,Y,FW,70,0,0,0,0,3,0,0,0,22,0,0,0,0.4,0.4,0.0,1,0,4,6,0,12,0,5,2,50,21,2,2,2,4,0,0,0.0,1,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,3,4,15,5,32.0,3.0,0,0,4,2,14,5,0,2,0,11.8,3.7,2.2,2023-09-01 19:00:00+00:00,70,0,4,0,76701,23.0,2,-6896,3402,10298,49,2023-09-01
3,2023-09-16,Sat,5,Away,L 0–1,Luton Town,Fulham,N,"FW,CM",17,0,0,0,0,0,0,0,0,8,0,0,0,0.0,0.0,0.0,2,0,4,4,0,4,0,0,0,57,14,3,3,1,1,0,0,0.0,1,1,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,14.0,8.0,0,0,2,0,8,2,0,4,0,10.8,1.7,2.4,2023-09-16 14:00:00+00:00,15,0,5,0,71337,4.0,1,-6714,3800,10514,49,2023-09-16
4,2023-09-23,Sat,6,Home,D 1–1,Luton Town,Wolves,N,LW,6,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,2023-09-23 14:00:00+00:00,5,0,6,0,65600,0.0,1,-6109,1898,8007,49,2023-09-23
5,2023-09-30,Sat,7,Away,W 2–1,Luton Town,Everton,N,FW,13,0,0,0,0,0,0,0,0,7,0,0,0,0.0,0.0,0.0,0,0,1,1,0,3,0,1,0,9,9,1,1,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0.0,0.0,0,0,2,1,5,0,0,1,0,0.1,0.0,0.2,2023-09-30 14:00:00+00:00,12,0,7,0,62325,0.0,1,-3594,3158,6752,48,2023-09-30
6,2023-10-03,Tue,2,Home,L 1–2,Luton Town,Burnley,N,WB,29,1,0,0,0,2,1,0,0,16,0,0,0,0.2,0.2,0.0,1,0,4,5,0,9,1,4,1,59,0,1,1,3,3,0,1,0.0,0,0,0,0,5,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,13,5,37.0,8.0,0,0,4,0,10,4,2,25,0,0.8,6.0,34.2,2023-10-03 18:30:00+00:00,28,0,7,0,62325,25.0,7,-3594,3158,6752,48,2023-10-03
7,2023-10-07,Sat,8,Home,L 0–1,Luton Town,Tottenham,Y,FW,66,0,0,0,0,0,0,0,0,22,1,2,1,0.0,0.0,0.1,1,0,2,6,1,10,1,3,0,36,32,1,3,0,1,1,2,0.0,1,1,0,0,6,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,1,5,9,8,3,50.0,5.0,0,1,3,0,11,2,0,-2,0,10.3,2.1,4.2,2023-10-07 11:30:00+00:00,66,0,8,0,60247,6.0,2,-2438,4065,6503,48,2023-10-07
8,2023-10-21,Sat,9,Away,D 2–2,Luton Town,Nott'ham Forest,N,FW,19,1,0,0,0,2,1,0,0,15,0,0,0,0.6,0.6,0.1,1,0,7,8,1,7,0,0,0,64,5,7,8,0,0,0,0,0.0,1,0,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,4,9,6,27.0,2.0,1,0,1,1,11,4,0,26,0,11.2,7.6,35.4,2023-10-21 14:00:00+00:00,18,0,9,0,62248,29.0,5,1277,5917,4640,48,2023-10-21
9,2023-10-29,Sun,10,Away,L 1–3,Luton Town,Aston Villa,N,FW,15,0,0,0,0,1,0,0,0,4,0,0,0,0.1,0.1,0.0,0,0,0,1,0,2,1,0,0,0,0,0,1,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,18.0,18.0,0,1,1,0,3,1,0,2,0,0.0,0.9,0.0,2023-10-29 14:00:00+00:00,14,0,10,0,69010,9.0,1,6147,10676,4529,48,2023-10-29
