,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-12,Sat,1,Home,W 4–1,Brighton,Luton Town,N,RW,17,1,0,0,0,1,1,0,0,9,0,0,0,0.3,0.3,0.0,0,0,6,6,0,5,0,1,0,65,10,5,5,1,1,0,0,0.0,0,0,0,0,4,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,2,16.0,3.0,0,0,1,0,5,2,0,20,0,1.3,6.9,33.0,2023-08-12 14:00:00+00:00,16,0,1,0,18476,35.0,6,0,0,0,50,2023-08-12
1,2023-08-26,Sat,3,Home,L 1–3,Brighton,West Ham,N,RW,19,0,0,0,0,0,0,0,0,17,3,0,1,0.0,0.0,0.1,1,0,8,12,0,10,2,3,1,105,29,7,9,1,2,0,0,0.0,1,0,0,0,11,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,3,3,0,0,1,0,0,1,1,3,13,3,65.0,33.0,0,3,0,0,10,3,0,5,0,11.8,2.9,9.0,2023-08-26 16:30:00+00:00,18,0,3,0,36122,8.0,1,-9963,3219,13182,50,2023-08-26
2,2023-09-02,Sat,4,Home,W 3–1,Brighton,Newcastle Utd,N,RM,2,0,0,0,0,1,0,0,0,5,0,0,0,0.1,0.1,0.0,0,0,3,3,0,4,0,0,0,39,0,3,3,0,0,0,0,0.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,2,12.0,4.0,0,0,0,0,4,0,0,3,0,1.6,0.9,0.0,2023-09-02 16:30:00+00:00,1,0,4,0,30701,7.0,1,-6213,1180,7393,50,2023-09-02
3,2023-09-16,Sat,5,Away,W 3–1,Brighton,Manchester Utd,Y,RW,84,0,1,0,0,0,0,0,0,42,3,2,0,0.0,0.0,0.5,1,1,26,31,0,23,3,2,1,446,104,15,17,9,10,2,3,0.1,1,0,2,2,31,0,0,1,1,2,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,2,1,0,2,5,3,0,0,1,0,3,18,18,7,1,162.0,108.0,1,1,4,0,26,4,0,21,0,24.0,5.4,28.2,2023-09-16 14:00:00+00:00,84,0,5,0,26958,2.0,5,-4424,799,5223,50,2023-09-16
4,2023-09-24,Sun,6,Home,W 3–1,Brighton,Bournemouth,Y,"LW,RW",86,0,0,0,0,0,0,0,0,42,0,2,0,0.0,0.0,0.6,2,0,28,30,1,21,2,6,2,355,67,21,21,6,8,1,1,0.1,2,0,2,1,29,1,0,0,0,3,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,10,16,16,2,106.0,53.0,2,1,5,1,25,7,0,8,0,27.1,3.6,7.0,2023-09-24 13:00:00+00:00,87,0,6,0,31913,2.0,2,4102,6128,2026,50,2023-09-24
5,2023-09-30,Sat,7,Away,L 1–6,Brighton,Aston Villa,N,RM,29,0,0,0,0,1,1,0,0,10,0,0,0,0.0,0.0,0.0,0,0,5,7,0,8,1,1,0,84,50,4,5,0,1,1,1,0.0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,6,1,45.0,35.0,0,0,0,2,7,2,0,-2,0,0.8,1.2,2.2,2023-09-30 11:30:00+00:00,28,0,7,0,31169,9.0,1,-757,2948,3705,50,2023-09-30
6,2023-10-08,Sun,8,Home,D 2–2,Brighton,Liverpool,Y,RW,90,1,0,0,0,2,2,0,0,29,4,2,1,0.4,0.4,0.0,3,1,7,13,1,13,2,9,3,146,34,2,5,3,5,2,3,0.0,0,1,1,0,13,0,0,1,0,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0,1,3,2,2,0,2,2,0,0,1,0,0,0,9,10,11,2,91.0,53.0,0,2,1,0,15,6,0,23,0,3.9,8.0,48.4,2023-10-08 13:00:00+00:00,90,0,8,0,29190,28.0,7,-2087,1579,3666,50,2023-10-08
7,2023-10-21,Sat,9,Away,L 1–2,Brighton,Manchester City,Y,RW,90,0,0,0,0,0,0,0,0,33,0,2,3,0.0,0.0,0.1,1,0,22,25,3,19,0,2,0,315,89,12,14,8,9,1,1,0.2,1,0,2,0,23,2,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,6,11,17,0,53.0,23.0,2,0,1,0,19,7,0,6,0,16.2,2.1,5.0,2023-10-21 14:00:00+00:00,90,0,9,0,38778,0.0,2,8407,11972,3565,50,2023-10-21
8,2023-10-29,Sun,10,Home,D 1–1,Brighton,Fulham,Y,WB,70,0,0,0,0,2,1,0,0,39,1,0,1,0.2,0.2,0.0,1,0,22,29,4,28,3,7,3,329,70,9,12,9,9,2,3,0.0,0,3,0,0,26,3,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,4,16,19,2,160.0,101.0,1,0,1,0,28,4,0,3,0,2.6,4.5,6.8,2023-10-29 14:00:00+00:00,70,0,10,0,76713,36.0,2,37468,46724,9256,50,2023-10-29
9,2023-11-04,Sat,11,Away,D 1–1,Brighton,Everton,Y,"RW,RM",89,0,0,0,0,2,0,0,0,51,1,0,1,0.1,0.1,0.0,0,0,34,38,2,44,5,5,2,481,65,22,22,11,14,1,1,0.0,0,2,1,0,37,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,2,0,1,1,0,1,4,26,23,4,234.0,95.0,4,3,0,2,44,19,0,11,0,5.3,1.9,1.0,2023-11-04 15:00:00+00:00,89,0,11,0,99989,13.0,2,22566,28374,5808,50,2023-11-04
