,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-12-23,Sat,18,Away,L 1–2,Everton,Tottenham,N,"AM,CM",67,1,0,0,0,2,1,1,0,40,0,0,4,0.1,0.1,0.4,3,0,27,34,7,20,1,0,0,477,198,14,19,9,10,3,3,0.1,2,5,1,0,32,2,0,1,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,0,1,5,19,16,3,84.0,29.0,0,1,1,0,29,6,0,24,1,25.9,8.2,33.2,2023-12-23 15:00:00+00:00,66,0,18,0,11248,23.0,7,-234,23,257,44,2023-12-23
1,2023-12-27,Wed,19,Home,L 1–3,Everton,Manchester City,Y,DM,64,0,0,0,0,0,0,1,0,20,1,0,2,0.0,0.0,0.0,0,0,7,16,0,8,0,1,1,141,36,4,6,2,4,1,5,0.0,0,0,0,0,9,7,3,0,0,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,5,11,5,1,24.0,7.0,0,1,1,0,8,2,0,6,0,4.3,0.5,0.0,2023-12-27 20:15:00+00:00,64,0,19,0,13671,2.0,1,2160,2371,211,44,2023-12-27
2,2023-12-30,Sat,20,Away,L 0–3,Everton,Wolves,N,LM,28,0,0,0,0,0,0,0,0,18,0,0,0,0.0,0.0,0.0,2,0,14,18,3,9,0,0,0,215,86,8,10,6,7,0,1,0.0,1,2,2,1,18,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,0,36.0,16.0,0,0,0,1,17,6,0,2,0,15.8,1.9,3.6,2023-12-30 15:00:00+00:00,27,0,20,0,14445,0.0,1,817,1465,648,44,2023-12-30
3,2024-03-02,Sat,27,Home,L 1–3,Everton,West Ham,N,"CM,RM",11,0,0,0,0,2,2,0,0,18,0,1,0,0.1,0.1,0.0,2,0,11,13,2,8,1,0,0,208,70,5,5,5,6,1,2,0.0,0,2,0,0,9,4,1,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,10,2,61.0,34.0,0,1,1,1,10,1,0,1,0,1.0,3.4,6.8,2024-03-02 15:00:00+00:00,10,0,27,0,11338,26.0,1,-147,9,156,44,2024-03-02
4,2024-03-09,Sat,28,Away,L 0–2,Everton,Manchester Utd,N,FW,30,0,0,0,0,2,1,0,0,24,1,0,1,0.1,0.1,0.0,0,0,13,18,3,15,3,0,0,199,49,6,8,7,9,0,1,0.0,0,0,1,0,16,2,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,1,0,0,1,3,3,9,12,1,95.0,56.0,3,0,1,0,17,4,0,2,0,1.7,2.9,8.0,2024-03-09 12:30:00+00:00,29,0,28,0,11367,19.0,1,3,96,93,44,2024-03-09
5,2024-03-30,Sat,30,Away,L 1–2,Everton,Bournemouth,N,FW,19,0,0,0,0,0,0,0,0,24,2,0,0,0.0,0.0,0.0,0,0,10,17,2,7,1,1,0,154,26,6,9,3,4,1,4,0.0,0,1,0,0,14,3,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,1,3,2,0,0,0,0,0,2,9,13,1,36.0,25.0,2,0,1,1,10,0,0,4,0,1.9,0.8,3.6,2024-03-30 15:00:00+00:00,18,0,30,0,11372,2.0,1,3,97,94,44,2024-03-30
6,2024-04-02,Tue,31,Away,D 1–1,Everton,Newcastle Utd,N,"FW,CM",30,0,0,0,0,0,0,0,0,18,0,0,0,0.0,0.0,0.0,1,0,12,14,2,12,0,2,1,176,40,6,7,6,6,0,0,0.0,1,2,0,0,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,1,4,8,6,1,41.0,2.0,0,0,0,0,14,3,0,2,0,11.4,1.9,5.2,2024-04-02 18:30:00+00:00,30,0,31,0,11384,2.0,1,5,66,61,44,2024-04-02
7,2024-04-06,Sat,32,Home,W 1–0,Everton,Burnley,Y,CM,90,0,0,0,0,1,0,1,0,59,3,2,2,0.0,0.0,0.0,5,0,35,44,7,25,0,3,0,768,180,12,13,12,13,10,15,0.0,0,4,1,0,37,5,3,0,0,3,0,2,2,3,0,0,0,1,1,0,0,0,0,0,0,1,0,2,1,1,2,1,0,2,2,0,2,6,37,16,1,99.0,33.0,1,0,0,1,32,3,0,4,1,3.1,1.5,9.0,2024-04-06 14:00:00+00:00,90,0,32,0,11380,3.0,2,-14,95,109,44,2024-04-06
8,2024-04-15,Mon,33,Away,L 0–6,Everton,Chelsea,N,CM,45,0,0,0,0,1,0,0,0,43,0,0,0,0.0,0.0,0.0,2,0,35,40,4,31,0,3,1,664,99,16,17,13,14,5,8,0.1,0,1,1,0,38,2,0,1,2,2,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,11,20,13,0,153.0,44.0,0,0,0,0,32,0,0,9,0,6.5,1.2,3.0,2024-04-15 19:00:00+00:00,45,0,33,0,11500,2.0,1,89,182,93,44,2024-04-15
9,2024-04-21,Sun,34,Home,W 2–0,Everton,Nott'ham Forest,Y,CM,66,0,0,0,0,0,0,0,0,54,0,0,1,0.0,0.0,0.0,2,1,37,48,5,32,1,1,0,627,108,19,21,11,14,6,9,0.0,0,5,0,0,43,5,2,1,0,4,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,11,30,14,0,143.0,32.0,0,0,1,2,40,2,0,7,1,6.8,0.6,0.0,2024-04-21 12:30:00+00:00,66,0,34,0,11610,0.0,3,69,227,158,44,2024-04-21
10,2024-05-03,Fri,36,Away,D 1–1,Everton,Luton Town,N,FW,37,0,0,0,0,0,0,1,0,16,0,0,0,0.0,0.0,0.0,0,0,10,13,0,4,1,1,0,142,39,6,6,4,6,0,0,0.2,0,0,0,0,12,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,7,8,3,1,52.0,43.0,0,0,1,0,8,0,0,0,0,5.6,0.8,0.4,2024-05-03 19:00:00+00:00,36,0,36,0,11500,2.0,0,-18,93,111,44,2024-05-03
11,2024-05-11,Sat,37,Home,W 1–0,Everton,Sheffield Utd,N,FW,21,0,0,0,0,0,0,0,0,18,0,0,0,0.0,0.0,0.0,1,0,12,16,1,12,0,0,0,138,40,10,11,2,2,0,3,0.0,0,2,0,0,15,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,10,5,0,44.0,12.0,1,0,1,0,15,2,0,3,0,4.3,0.4,0.0,2024-05-11 14:00:00+00:00,24,0,37,0,11486,0.0,1,-44,149,193,44,2024-05-11
12,2021-08-28,Sat,3,Away,W 2–0,Everton,Brighton,N,CM,10,0,0,0,0,2,1,0,0,17,0,1,0,0.0,0.0,0.0,0,0,12,14,0,16,1,0,0,135,59,8,9,1,1,1,1,0.0,0,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,11,1,83.0,41.0,1,1,0,2,15,0,0,0,0,1.8,3.2,3.6,2021-08-28 14:00:00+00:00,9,0,3,0,10422,27.0,1,-1600,715,2315,49,2021-08-28
