,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2021-08-29,Sun,3,Home,D 1–1,Burnley,Leeds United,N,RM,28,0,0,0,0,0,0,1,0,9,2,0,0,0.0,0.0,0.0,0,0,4,4,0,4,0,1,0,42,29,2,2,1,1,0,0,0.0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,2,0,0,5,2,2,0,6.0,0.0,0,0,0,0,3,1,0,-2,0,0.5,0.5,4.6,2021-08-29 13:00:00+00:00,27,0,3,0,0,0.0,0,0,0,0,50,2021-08-29
1,2021-09-13,Mon,4,Away,L 1–3,Burnley,Everton,N,RM,15,0,0,0,0,0,0,0,0,7,0,0,1,0.0,0.0,0.0,1,0,4,5,0,3,0,0,0,45,0,3,4,1,1,0,0,0.0,0,0,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,4,1,0,5.0,1.0,0,0,0,0,4,0,0,3,0,0.1,0.0,0.0,2021-09-13 19:00:00+00:00,14,0,4,0,590,0.0,1,271,382,111,50,2021-09-13
2,2021-09-25,Sat,6,Away,D 2–2,Burnley,Leicester City,N,LM,4,0,0,0,0,1,0,0,0,4,1,0,0,0.0,0.0,0.0,0,0,1,2,0,1,0,0,0,9,0,1,2,0,0,0,0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,3,1,0,2.0,0.0,0,0,0,0,0,0,0,4,0,0.3,0.2,0.0,2021-09-25 14:00:00+00:00,3,0,6,0,954,2.0,1,-67,102,169,50,2021-09-25
3,2021-10-02,Sat,7,Home,D 0–0,Burnley,Norwich City,Y,RM,59,0,0,0,0,1,0,0,0,20,0,0,1,0.1,0.1,0.0,1,0,10,15,0,11,3,2,1,107,8,8,8,2,3,0,2,0.0,0,0,0,0,15,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,5,1,0,0,0,1,2,7,12,5,95.0,66.0,1,1,2,1,16,3,0,2,0,1.6,3.4,4.0,2021-10-02 14:00:00+00:00,59,0,7,0,1105,28.0,1,36,145,109,50,2021-10-02
4,2021-12-01,Wed,14,Away,D 0–0,Burnley,Wolves,N,"RM,FW",6,0,0,0,0,0,0,0,0,2,0,0,0,0.0,0.0,0.0,0,0,1,1,0,1,0,0,0,7,3,1,1,0,0,0,0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1.0,0.0,0,0,1,0,2,1,0,3,0,0.0,0.0,0.0,2021-12-01 19:30:00+00:00,5,0,14,0,1330,0.0,1,19,57,38,49,2021-12-01
5,2021-12-12,Sun,16,Home,D 0–0,Burnley,West Ham,N,LM,3,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,1,1,1,1,0,0,0,31,16,0,0,0,0,1,1,0.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,5.0,0.0,0,0,0,0,1,1,0,3,0,0.1,0.0,0.2,2021-12-12 14:00:00+00:00,2,0,16,0,1364,0.0,1,-35,44,79,49,2021-12-12
6,2021-12-30,Thu,20,Away,L 1–3,Burnley,Manchester Utd,Y,FW,73,1,0,0,0,2,1,0,0,27,6,0,3,0.2,0.2,0.0,2,1,11,14,2,16,3,2,1,165,13,6,6,5,6,0,1,0.0,0,0,0,0,10,3,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,2,0,2,4,0,3,3,0,3,0,0,0,0,15,14,4,127.0,76.0,1,3,3,0,13,2,0,19,0,1.3,6.7,41.6,2021-12-30 20:15:00+00:00,73,0,20,0,1412,24.0,7,-3,25,28,49,2021-12-30
7,2022-01-02,Sun,21,Away,L 1–3,Burnley,Leeds United,Y,"FW,RM",79,0,0,0,0,0,0,0,0,19,1,0,0,0.0,0.0,0.0,1,0,6,15,1,12,1,0,0,80,17,5,9,1,6,0,0,0.0,0,1,0,0,15,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,0,0,0,0,2,3,5,11,1,69.0,23.0,0,1,1,2,15,6,0,3,0,1.2,0.4,1.2,2022-01-02 14:00:00+00:00,79,0,21,0,2754,2.0,2,911,1204,293,49,2022-01-02
8,2022-01-23,Sun,23,Away,D 0–0,Burnley,Arsenal,Y,"RM,FW",90,0,0,0,0,0,0,0,0,18,1,0,2,0.0,0.0,0.0,0,0,10,12,0,7,0,0,0,121,18,4,5,5,6,0,0,0.0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,2,0,1,7,5,6,0,32.0,6.0,0,0,1,0,7,1,0,6,1,1.8,0.8,6.4,2022-01-23 14:00:00+00:00,90,0,23,0,5854,0.0,3,1682,2372,690,49,2022-01-23
9,2022-02-05,Sat,17,Home,D 0–0,Burnley,Watford,Y,RM,65,0,0,0,0,0,0,0,0,24,3,0,0,0.0,0.0,0.0,0,0,11,15,0,15,1,3,1,137,28,7,7,3,5,0,1,0.0,0,2,0,0,15,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,0,0,1,0,1,3,13,9,1,79.0,23.0,1,1,1,2,18,1,0,1,1,1.5,1.0,4.8,2022-02-05 18:00:00+00:00,65,0,23,0,5854,4.0,3,1682,2372,690,49,2022-02-05
