,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2022-08-06,Sat,1,Home,L 0–1,Everton,Chelsea,N,LM,30,0,0,0,0,0,0,0,0,16,0,0,0,0.0,0.0,0.0,0,0,10,13,1,9,0,1,0,92,10,5,7,3,4,0,0,0.0,0,2,0,0,12,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,9,1,26.0,2.0,0,0,1,1,13,0,0,2,0,1.9,0.6,0.4,2022-08-06 16:30:00+00:00,29,0,1,0,44204,4.0,1,0,0,0,55,2022-08-06
1,2022-08-13,Sat,2,Away,L 1–2,Everton,Aston Villa,N,AM,10,0,0,0,0,0,0,0,0,4,0,0,0,0.0,0.0,0.0,0,0,2,2,0,2,0,0,0,31,0,1,1,1,1,0,0,0.0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,4.0,1.0,0,0,2,0,1,1,0,3,0,0.3,0.3,0.2,2022-08-13 11:30:00+00:00,9,0,2,0,49148,2.0,1,-5304,3837,9141,55,2022-08-13
2,2021-08-15,Sun,1,Home,W 1–0,Tottenham,Manchester City,Y,LM,90,0,0,0,0,0,0,0,0,32,3,1,1,0.0,0.0,0.0,1,0,17,22,3,19,1,1,1,249,86,10,13,5,6,1,1,0.0,0,1,2,0,21,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,1,0,0,7,7,0,1,3,0,2,9,16,9,0,108.0,53.0,2,0,1,2,17,1,0,6,1,2.2,1.5,12.4,2021-08-15 15:30:00+00:00,90,0,1,0,84222,0.0,3,0,0,0,65,2021-08-15
3,2021-08-22,Sun,2,Away,W 1–0,Tottenham,Wolves,Y,"LM,AM",90,1,0,1,1,0,0,0,0,55,2,0,6,0.8,0.0,0.0,1,1,26,32,3,29,1,7,1,311,82,18,19,5,5,1,4,0.0,0,3,1,0,32,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,3,3,2,0,6,16,32,8,4,162.0,63.0,0,0,2,4,34,2,1,27,1,3.5,8.5,56.6,2021-08-22 13:00:00+00:00,90,0,2,0,108881,25.0,9,5723,18886,13163,65,2021-08-22
4,2021-08-29,Sun,3,Home,W 1–0,Tottenham,Watford,Y,"LM,AM",90,0,0,0,0,2,1,1,0,50,3,0,4,0.2,0.2,0.0,1,0,29,36,3,24,3,0,0,401,113,17,19,8,8,1,3,0.0,0,5,0,0,34,2,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,2,1,0,3,3,0,0,4,1,0,1,3,28,19,4,144.0,87.0,2,0,1,3,34,2,0,5,1,3.3,3.3,8.2,2021-08-29 13:00:00+00:00,90,0,3,0,266000,21.0,2,127144,156547,29403,65,2021-08-29
5,2021-09-11,Sat,4,Away,L 0–3,Tottenham,Crystal Palace,Y,"AM,LM",90,0,0,0,0,0,0,0,0,31,2,2,1,0.0,0.0,0.0,0,0,19,22,4,17,0,5,3,313,51,7,8,5,6,4,4,0.0,0,2,0,0,18,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,3,2,1,0,1,0,2,9,18,4,0,56.0,22.0,0,0,0,1,16,3,0,9,0,1.7,1.4,11.8,2021-09-11 11:30:00+00:00,90,0,4,0,297733,0.0,2,17461,103736,86275,65,2021-09-11
6,2021-09-19,Sun,5,Home,L 0–3,Tottenham,Chelsea,Y,LM,90,0,0,0,0,0,0,0,0,60,2,0,3,0.0,0.0,0.0,1,0,32,42,2,37,0,4,2,358,102,19,22,8,10,1,4,0.0,0,1,0,0,40,2,0,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,1,0,1,2,4,0,7,13,34,14,2,170.0,63.0,3,0,3,1,35,1,0,11,0,3.8,2.7,19.2,2021-09-19 15:30:00+00:00,90,0,5,0,240787,4.0,2,-58572,20660,79232,65,2021-09-19
7,2021-09-26,Sun,6,Away,L 1–3,Tottenham,Arsenal,Y,RM,45,0,0,0,0,0,0,0,0,21,1,0,0,0.0,0.0,0.0,0,0,14,16,0,7,0,2,0,204,9,7,8,5,5,0,0,0.0,0,0,0,0,9,6,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,17,3,0,36.0,0.0,0,0,2,2,11,4,0,1,0,1.5,0.5,1.4,2021-09-26 15:30:00+00:00,45,0,6,0,208203,2.0,1,-37961,13195,51156,65,2021-09-26
8,2021-10-30,Sat,10,Home,L 0–3,Tottenham,Manchester Utd,N,AM,18,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.0,1,0,8,11,2,5,1,0,0,95,26,6,8,1,1,0,0,0.0,0,0,0,0,10,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,1,28.0,11.0,0,0,0,0,8,1,0,3,0,2.1,0.5,0.8,2021-10-30 16:30:00+00:00,17,0,10,0,115159,2.0,1,-17524,1077,18601,64,2021-10-30
9,2021-11-21,Sun,12,Home,W 2–1,Tottenham,Leeds United,N,AM,3,0,0,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0,0,1,0,0,0,0,2,0,0.0,0.0,0.0,2021-11-21 16:30:00+00:00,2,0,12,0,105160,0.0,1,-4936,1496,6432,63,2021-11-21
