,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2021-08-14,Sat,1,Away,W 2–1,Brighton,Burnley,Y,"DM,CM",71,0,0,0,0,0,0,0,0,46,2,0,0,0.0,0.0,0.2,2,0,36,38,5,25,0,0,0,648,148,13,14,16,16,5,6,0.1,2,4,1,0,38,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,2,2,0,0,0,2,0,0,9,26,11,1,128.0,75.0,2,0,1,1,30,3,0,12,0,24.1,3.7,10.4,2021-08-14 14:00:00+00:00,71,0,1,0,3347,2.0,2,0,0,0,50,2021-08-14
1,2021-09-27,Mon,6,Away,D 1–1,Brighton,Crystal Palace,N,LM,19,0,0,0,0,0,0,0,0,15,0,0,0,0.0,0.0,0.0,0,0,12,13,0,10,0,0,0,157,25,6,6,3,3,1,1,0.0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,10,0,0,26.0,1.0,0,0,0,1,8,0,0,2,0,0.4,0.2,1.6,2021-09-27 19:00:00+00:00,19,0,6,0,3945,0.0,1,-195,233,428,50,2021-09-27
2,2021-12-26,Sun,19,Home,W 2–0,Brighton,Brentford,N,CM,6,0,0,0,0,1,1,0,0,8,0,1,0,0.1,0.1,0.0,0,0,4,5,0,4,0,0,0,19,3,1,1,0,1,0,0,0.0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,4,1,8.0,2.0,0,0,0,0,5,0,0,3,0,0.8,2.2,4.0,2021-12-26 20:00:00+00:00,5,0,19,0,2507,17.0,1,49,99,50,48,2021-12-26
3,2021-12-29,Wed,20,Away,D 1–1,Brighton,Chelsea,N,WB,3,0,0,0,0,0,0,0,0,7,2,0,0,0.0,0.0,0.0,0,0,4,4,1,4,0,0,0,94,62,2,2,1,1,1,1,0.0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,1,1,0,0,0,0,0,0,0,5,2,0,12.0,7.0,0,0,1,0,5,0,0,2,0,0.3,0.4,3.8,2021-12-29 19:30:00+00:00,2,0,20,0,2459,0.0,1,4,29,25,48,2021-12-29
4,2022-01-18,Tue,24,Home,D 1–1,Brighton,Chelsea,Y,"DM,CM",90,0,0,0,0,0,0,0,0,59,1,3,1,0.0,0.0,0.0,2,0,40,47,4,24,0,2,0,581,232,24,25,13,15,2,5,0.1,0,5,0,0,47,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,2,0,6,19,30,10,0,108.0,59.0,3,0,1,0,37,1,0,11,0,6.3,1.7,10.8,2022-01-18 20:00:00+00:00,90,0,22,0,2716,0.0,2,56,153,97,48,2022-01-18
5,2022-01-23,Sun,23,Away,D 1–1,Brighton,Leicester City,Y,DM,61,0,0,0,0,0,0,0,0,41,2,1,0,0.0,0.0,0.0,0,0,28,32,3,24,1,2,2,465,125,14,15,11,12,2,3,0.0,0,2,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,0,0,2,0,2,14,27,1,0,131.0,58.0,0,0,1,0,24,0,0,18,0,1.0,1.3,12.0,2022-01-23 14:00:00+00:00,61,0,23,0,2591,0.0,2,10,66,56,48,2022-01-23
6,2022-02-15,Tue,18,Away,L 0–2,Brighton,Manchester Utd,N,CM,31,0,0,0,0,0,0,0,0,25,2,1,1,0.0,0.0,0.0,1,0,13,17,0,7,1,0,0,163,23,9,11,3,3,0,1,0.0,0,0,0,0,15,2,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,3,2,1,0,2,0,5,12,10,4,1,52.0,41.0,0,1,0,0,9,1,0,6,0,1.3,1.9,15.6,2022-02-15 20:15:00+00:00,30,0,25,0,2733,2.0,1,96,148,52,48,2022-02-15
7,2022-03-05,Sat,28,Away,L 1–2,Brighton,Newcastle Utd,Y,"DM,CM",78,0,0,0,0,0,0,0,0,63,0,3,0,0.0,0.0,0.0,1,1,52,55,8,32,1,4,4,857,225,27,29,21,21,4,5,0.0,0,5,0,0,54,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,41,14,0,124.0,70.0,2,0,2,0,41,1,0,21,0,5.8,1.6,10.2,2022-03-05 15:00:00+00:00,78,0,28,0,2633,0.0,2,-53,27,80,48,2022-03-05
8,2022-03-12,Sat,29,Home,L 0–2,Brighton,Liverpool,Y,DM,45,0,0,0,0,0,0,0,0,28,1,1,0,0.0,0.0,0.0,0,0,15,22,0,18,0,0,0,229,22,9,13,4,6,2,2,0.0,0,1,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,9,15,4,0,61.0,17.0,0,0,2,1,18,0,0,2,0,0.8,0.3,1.8,2022-03-12 12:30:00+00:00,45,0,29,0,2726,0.0,1,33,102,69,48,2022-03-12
9,2020-09-14,Mon,1,Home,L 1–3,Brighton,Chelsea,Y,CM,78,0,0,0,0,2,1,0,0,41,0,1,0,0.1,0.1,0.1,3,0,28,34,5,24,1,2,1,541,114,10,13,10,11,6,6,0.0,2,2,1,0,34,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,9,20,12,1,124.0,69.0,3,0,0,0,30,1,0,14,0,24.0,5.4,13.4,2020-09-14 19:15:00+00:00,78,0,1,0,21938,17.0,2,0,0,0,45,2020-09-14
