,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-12,Sat,1,Home,W 5–1,Newcastle Utd,Aston Villa,N,RM,1,0,0,0,0,0,0,0,0,3,0,0,0,0.0,0.0,0.0,0,0,1,2,0,0,0,0,0,8,0,1,1,0,0,0,0,0.0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0.0,0.0,0,0,0,0,1,0,0,3,0,0.1,0.1,1.0,2023-08-12 16:30:00+00:00,1,0,1,0,517541,0.0,1,0,0,0,45,2023-08-12
1,2023-08-19,Sat,2,Away,L 0–1,Newcastle Utd,Manchester City,N,LM,25,0,0,0,0,0,0,0,0,16,1,1,1,0.0,0.0,0.0,1,0,9,12,1,10,3,2,1,184,13,4,4,2,2,2,4,0.0,1,2,1,0,12,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,1,0,0,0,1,2,10,5,2,105.0,69.0,1,0,1,0,10,2,0,7,0,14.9,3.3,13.6,2023-08-19 19:00:00+00:00,23,0,2,0,507637,4.0,1,-33661,15050,48711,45,2023-08-19
2,2023-08-27,Sun,3,Home,L 1–2,Newcastle Utd,Liverpool,N,LM,9,0,0,0,0,0,0,0,0,9,1,0,0,0.0,0.0,0.0,1,0,7,7,1,6,0,0,0,139,21,3,3,3,3,1,1,0.0,0,2,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,4,4,1,22.0,11.0,0,0,0,1,7,2,0,4,0,1.0,0.5,2.4,2023-08-27 15:30:00+00:00,8,0,3,0,432435,2.0,1,-78157,7439,85596,45,2023-08-27
3,2023-09-02,Sat,4,Away,L 1–3,Newcastle Utd,Brighton,N,LM,33,0,0,0,0,0,0,0,0,11,0,0,0,0.0,0.0,0.2,1,0,7,7,0,8,1,1,0,98,12,5,5,2,2,0,0,0.1,1,0,0,0,7,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,1,41.0,25.0,3,0,1,1,8,2,0,3,0,11.3,1.6,2.4,2023-09-02 16:30:00+00:00,32,0,4,0,375355,2.0,1,-60470,9025,69495,44,2023-09-02
4,2023-09-16,Sat,5,Home,W 1–0,Newcastle Utd,Brentford,Y,LM,90,0,0,0,0,0,0,0,0,49,2,0,1,0.0,0.0,0.0,1,0,25,39,7,25,2,4,3,355,103,14,21,9,11,1,4,0.1,0,2,3,0,39,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,2,2,0,0,1,1,0,1,11,24,16,2,135.0,65.0,1,0,2,1,39,5,0,10,1,3.5,1.7,9.8,2023-09-16 16:30:00+00:00,90,0,5,0,326865,4.0,3,-51908,8217,60125,44,2023-09-16
5,2023-09-24,Sun,6,Away,W 8–0,Newcastle Utd,Sheffield Utd,Y,"LM,LW",90,0,1,0,0,2,1,0,0,66,3,0,4,0.1,0.1,0.6,5,1,44,47,12,42,4,3,0,535,178,31,34,11,11,0,0,0.1,3,4,4,0,46,1,1,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,3,0,2,1,0,2,2,2,2,0,0,2,4,32,30,2,320.0,154.0,3,0,4,3,46,7,0,27,1,35.8,10.0,43.6,2023-09-24 15:30:00+00:00,90,0,6,0,326168,21.0,6,-3860,21228,25088,44,2023-09-24
6,2023-09-30,Sat,7,Home,W 2–0,Newcastle Utd,Burnley,Y,LM,63,0,0,0,0,3,1,0,0,36,1,0,0,0.5,0.5,0.0,4,0,18,21,3,21,0,4,2,249,38,12,14,4,4,1,1,0.0,0,2,0,0,20,1,0,0,0,1,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,2,0,1,8,14,15,3,118.0,21.0,0,0,3,1,24,7,0,2,1,5.6,4.6,9.0,2023-09-30 14:00:00+00:00,63,0,7,0,342093,31.0,3,13046,41366,28320,44,2023-09-30
7,2023-10-08,Sun,8,Away,D 2–2,Newcastle Utd,West Ham,Y,LW,89,0,0,0,0,2,0,0,0,44,0,1,0,0.1,0.1,0.0,1,0,29,35,0,32,4,2,2,354,37,25,28,4,4,0,1,0.0,1,0,0,0,34,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,5,19,22,6,168.0,86.0,2,2,4,2,33,6,0,9,0,14.9,3.6,0.0,2023-10-08 13:00:00+00:00,90,0,8,0,410268,21.0,2,64316,122846,58530,44,2023-10-08
8,2023-10-21,Sat,9,Home,W 4–0,Newcastle Utd,Crystal Palace,N,LM,11,0,0,0,0,0,0,0,0,10,0,0,0,0.0,0.0,0.0,0,0,8,8,2,6,0,1,0,138,26,3,3,5,5,0,0,0.0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,7,2,0,16.0,5.0,1,0,0,1,8,2,0,0,0,1.7,0.3,1.4,2023-10-21 14:00:00+00:00,10,0,9,0,431718,0.0,1,21683,49405,27722,44,2023-10-21
9,2024-03-02,Sat,27,Home,W 3–0,Newcastle Utd,Wolves,N,LW,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,2024-03-02 15:00:00+00:00,1,0,27,0,164958,0.0,1,7094,11320,4226,42,2024-03-02
