,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2023-08-14,Mon,1,Home,W 1–0,Manchester Utd,Wolves,Y,RM,76,0,0,0,0,3,0,0,0,38,0,0,3,0.2,0.2,0.3,4,0,24,32,2,24,7,2,2,254,71,18,23,4,4,0,1,0.0,3,1,2,0,31,1,1,0,0,3,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,3,0,0,0,4,9,25,5,194.0,160.0,4,2,0,1,27,10,0,8,1,34.8,6.1,7.4,2023-08-14 19:00:00+00:00,76,0,1,0,110792,19.0,3,0,0,0,70,2023-08-14
1,2023-08-19,Sat,2,Away,L 0–2,Manchester Utd,Tottenham,Y,RW,65,0,0,0,0,3,0,1,0,37,6,2,0,0.2,0.2,0.1,2,0,14,19,5,24,3,3,0,199,58,11,14,1,2,2,2,0.1,1,1,2,0,19,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,3,1,4,4,0,0,0,0,0,1,2,16,19,4,196.0,71.0,1,2,3,1,25,6,0,1,0,12.4,3.3,8.0,2023-08-19 16:30:00+00:00,65,0,2,0,116753,13.0,1,-10910,5592,16502,70,2023-08-19
2,2023-08-26,Sat,3,Home,W 3–2,Manchester Utd,Nott'ham Forest,Y,RW,84,0,0,0,0,4,2,0,0,55,0,0,0,0.2,0.2,0.4,7,0,37,44,6,46,3,5,1,490,143,24,26,10,12,1,4,0.5,4,3,3,0,42,2,1,0,0,2,1,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,3,14,40,4,257.0,146.0,4,2,2,1,46,20,0,15,0,48.3,8.8,12.8,2023-08-26 14:00:00+00:00,84,0,3,0,105491,27.0,2,-16163,5049,21212,69,2023-08-26
3,2023-09-03,Sun,4,Away,L 1–3,Manchester Utd,Arsenal,Y,RW,83,0,0,0,0,1,0,0,0,44,1,3,3,0.0,0.0,0.0,0,0,17,28,1,28,3,6,2,185,29,12,18,3,5,0,0,0.0,0,0,0,0,27,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,1,0,3,0,0,2,11,23,11,1,177.0,102.0,1,1,1,0,27,8,0,7,0,1.3,1.1,5.4,2023-09-03 15:30:00+00:00,83,0,4,0,95018,4.0,2,-13879,2574,16453,69,2023-09-03
4,2023-10-07,Sat,8,Home,W 2–1,Manchester Utd,Brentford,N,"RW,WB",28,0,0,0,0,3,0,0,0,23,0,0,1,0.1,0.1,0.0,1,0,15,19,4,21,2,0,0,224,36,10,13,4,4,1,2,0.0,0,0,2,0,19,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,9,14,1,185.0,133.0,1,0,0,0,19,8,0,3,0,2.7,0.9,0.0,2023-10-07 14:00:00+00:00,27,0,8,0,58657,8.0,1,-2,1605,1607,68,2023-10-07
5,2023-10-21,Sat,9,Away,W 2–1,Manchester Utd,Sheffield Utd,Y,RW,63,0,0,0,0,2,1,0,0,43,0,0,0,0.1,0.1,0.0,1,0,24,33,3,34,1,3,1,317,103,12,14,6,8,2,2,0.1,0,4,1,1,31,2,1,0,0,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,15,23,3,160.0,88.0,0,1,4,1,28,9,0,9,0,8.5,2.8,4.2,2023-10-21 19:00:00+00:00,63,0,9,0,59451,15.0,2,92,1473,1381,68,2023-10-21
6,2023-10-29,Sun,10,Home,L 0–3,Manchester Utd,Manchester City,N,RW,5,0,0,0,0,0,0,1,0,1,0,0,0,0.0,0.0,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,9.0,0.0,0,0,1,0,1,0,0,-1,0,0.0,0.0,0.0,2023-10-29 15:30:00+00:00,4,0,10,0,58827,0.0,0,-972,540,1512,68,2023-10-29
7,2023-11-04,Sat,11,Away,W 1–0,Manchester Utd,Fulham,Y,RW,62,0,0,0,0,0,0,0,0,42,1,1,5,0.0,0.0,0.0,4,0,23,29,1,28,0,5,1,318,44,11,13,10,10,0,2,0.0,0,1,0,0,28,1,0,0,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,3,3,0,5,1,0,0,8,18,16,1,92.0,33.0,0,0,1,0,29,8,0,7,1,2.8,0.8,3.4,2023-11-04 12:30:00+00:00,62,0,11,0,58843,2.0,3,-444,985,1429,68,2023-11-04
8,2023-11-11,Sat,12,Home,W 1–0,Manchester Utd,Luton Town,N,LW,23,0,0,0,0,0,0,0,0,8,0,0,1,0.0,0.0,0.3,2,0,5,5,3,6,1,0,0,75,43,2,2,3,3,0,0,0.1,1,0,2,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,7,2,83.0,34.0,2,1,1,0,6,2,0,7,0,11.3,1.9,3.6,2023-11-11 15:00:00+00:00,22,0,12,0,59111,4.0,1,-120,1130,1250,68,2023-11-11
9,2023-12-02,Sat,14,Away,L 0–1,Manchester Utd,Newcastle Utd,N,RW,30,0,0,0,0,1,0,1,0,15,0,0,1,0.2,0.2,0.0,0,0,8,10,3,10,0,2,0,117,41,5,5,3,3,0,0,0.0,0,0,0,0,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,8,2,98.0,18.0,1,0,0,0,10,3,0,-3,0,1.6,0.7,0.0,2023-12-02 20:00:00+00:00,29,0,14,0,58702,7.0,0,-595,533,1128,68,2023-12-02
