,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2024-03-04,Mon,27,Home,L 0–6,Sheffield Utd,Arsenal,N,CM,27,0,0,0,0,0,0,0,0,9,0,1,0,0.0,0.0,0.0,1,0,8,8,1,4,0,0,0,128,13,4,4,4,4,0,0,0.0,1,1,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,1,0,13.0,8.0,1,0,0,0,6,0,0,4,0,10.6,1.4,3.2,2024-03-04 20:00:00+00:00,26,0,27,0,122,0.0,1,35,58,23,45,2024-03-04
1,2024-03-09,Sat,28,Away,D 2–2,Sheffield Utd,Bournemouth,Y,CM,79,0,0,0,0,1,1,0,0,38,0,0,2,0.0,0.0,0.0,2,1,22,27,3,13,2,1,0,327,128,15,16,5,5,2,3,0.0,0,1,0,0,25,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,6,17,17,4,1,112.0,64.0,2,1,1,1,14,0,0,5,0,0.9,2.7,8.6,2024-03-09 15:00:00+00:00,79,0,28,0,155,17.0,2,22,50,28,45,2024-03-09
2,2024-03-30,Sat,30,Home,D 3–3,Sheffield Utd,Fulham,Y,CM,84,0,0,0,0,0,0,0,0,28,2,0,3,0.0,0.0,0.0,1,0,15,21,2,13,0,1,1,297,91,5,7,8,9,2,5,0.0,1,2,0,0,18,3,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,0,2,1,0,0,4,9,15,4,0,62.0,7.0,0,0,0,1,13,0,0,14,0,10.8,2.8,17.0,2024-03-30 15:00:00+00:00,84,0,30,0,224,0.0,2,26,47,21,45,2024-03-30
3,2024-04-04,Thu,31,Away,L 1–3,Sheffield Utd,Liverpool,Y,CM,90,0,0,0,0,0,0,0,0,35,4,0,3,0.0,0.0,0.0,0,0,13,23,1,9,1,2,1,220,74,4,7,7,10,1,3,0.0,0,3,0,0,22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,0,3,5,2,1,2,1,0,2,10,25,1,0,61.0,12.0,0,0,2,0,10,1,0,12,0,0.9,1.7,15.8,2024-04-04 18:30:00+00:00,90,0,31,0,264,0.0,2,26,55,29,45,2024-04-04
4,2024-04-07,Sun,32,Home,D 2–2,Sheffield Utd,Chelsea,Y,"CM,DM",90,0,0,0,0,0,0,1,0,64,2,2,1,0.0,0.0,0.2,6,0,44,52,8,41,1,2,2,783,301,27,31,11,13,6,8,0.1,5,5,1,0,49,3,3,0,0,1,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,2,1,1,0,2,2,0,0,1,3,0,3,12,45,8,1,216.0,117.0,3,0,0,3,38,0,0,17,0,54.2,8.0,23.8,2024-04-07 16:30:00+00:00,90,0,32,0,298,2.0,1,30,54,24,45,2024-04-07
5,2024-04-13,Sat,33,Away,L 0–2,Sheffield Utd,Brentford,Y,CM,90,0,0,0,0,0,0,0,0,52,1,1,1,0.0,0.0,0.0,0,0,32,42,1,28,3,5,5,466,114,17,18,14,17,1,6,0.0,0,4,0,0,37,5,2,0,0,5,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,7,30,16,1,161.0,71.0,1,1,2,0,28,1,0,11,0,3.5,1.1,5.2,2024-04-13 14:00:00+00:00,90,1,33,0,511,2.0,0,186,222,36,45,2024-04-13
6,2024-04-20,Sat,34,Home,L 1–4,Sheffield Utd,Burnley,Y,DM,90,0,0,0,0,0,0,0,0,59,2,1,2,0.0,0.0,0.0,4,0,40,52,8,31,2,2,2,707,282,17,21,21,24,2,4,0.1,0,6,1,0,51,1,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,1,0,0,2,0,0,2,9,38,13,0,116.0,86.0,1,0,1,1,40,1,0,7,0,4.0,1.4,9.6,2024-04-20 14:00:00+00:00,90,0,34,0,602,0.0,2,53,130,77,45,2024-04-20
7,2024-04-24,Wed,29,Away,L 2–4,Sheffield Utd,Manchester Utd,Y*,CM,90,0,0,0,0,0,0,0,0,47,7,5,2,0.0,0.0,0.0,2,0,23,29,1,16,0,1,0,370,49,11,11,11,12,1,3,0.0,0,2,0,0,23,5,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,2,5,1,1,0,1,1,2,0,1,0,5,19,24,4,0,166.0,20.0,1,0,2,1,22,0,0,6,0,1.2,3.0,28.8,2024-04-24 19:00:00+00:00,90,0,34,0,602,0.0,2,53,130,77,45,2024-04-24
8,2024-04-27,Sat,35,Away,L 1–5,Sheffield Utd,Newcastle Utd,Y*,CM,90,0,0,0,0,0,0,0,0,79,1,2,2,0.0,0.0,0.0,2,1,58,66,6,55,2,8,5,1002,244,28,28,20,23,7,11,0.1,0,4,2,0,60,6,4,0,1,0,0,2,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,3,3,1,1,1,0,5,20,49,13,0,260.0,127.0,1,0,1,1,52,0,0,17,0,6.2,2.4,18.2,2024-04-27 14:00:00+00:00,90,0,35,0,544,0.0,2,-40,65,105,45,2024-04-27
9,2024-05-04,Sat,36,Home,L 1–3,Sheffield Utd,Nott'ham Forest,Y,CM,90,0,0,0,0,0,0,0,0,75,1,1,0,0.0,0.0,0.4,4,0,58,70,11,38,2,0,0,944,268,28,34,29,32,1,2,0.5,3,5,2,0,68,2,1,0,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,2,0,0,0,0,1,9,47,19,0,201.0,85.0,2,0,0,0,50,1,0,20,0,35.4,5.0,14.6,2024-05-04 14:00:00+00:00,90,0,36,0,574,0.0,2,13,68,55,45,2024-05-04
