,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2018-08-12,Sun,1,Away,L 0–4,West Ham,Liverpool,Y,FW,66,0,0,0,0,2,0,0,0,15,0,0,0,0.2,0.2,0.0,1,0,11,11,0,5,1,2,0,145,9,6,6,5,5,0,0,0.0,0,0,0,0,8,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,4,37.0,21.0,0,1,0,1,12,4,0,-1,0,2.6,2.6,0.0,2018-08-12 12:30:00+00:00,66,0,1,0,973948,28.0,2,0,0,0,70,2018-08-12
1,2018-08-18,Sat,2,Home,L 1–2,West Ham,Bournemouth,Y,"FW,CM",90,1,0,1,1,3,1,0,0,35,1,0,0,0.9,0.1,0.1,3,0,21,29,2,17,1,0,0,288,95,7,12,11,13,0,0,0.1,3,1,2,1,27,2,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,7,26,4,79.0,41.0,0,2,2,0,30,7,2,35,0,38.5,13.2,45.0,2018-08-18 14:00:00+00:00,90,0,2,0,1024707,48.0,8,-3581,68153,71734,70,2018-08-18
2,2018-08-25,Sat,3,Away,L 1–3,West Ham,Arsenal,Y*,FW,58,1,0,0,0,5,2,0,0,30,1,0,0,0.3,0.3,0.0,2,1,14,17,1,15,1,0,0,162,25,10,11,3,5,0,0,0.1,1,1,0,0,14,3,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,1,1,10,19,8,39.0,22.0,1,0,4,1,22,3,0,19,0,13.9,9.0,33.4,2018-08-25 14:00:00+00:00,58,0,3,0,1043371,43.0,5,-7520,112101,119621,70,2018-08-25
3,2018-09-01,Sat,4,Home,L 0–1,West Ham,Wolves,Y*,FW,90,0,0,0,0,2,1,0,0,37,1,0,0,0.4,0.4,0.0,4,0,14,27,2,22,1,4,3,164,34,12,16,1,6,1,2,0.1,0,1,0,0,26,1,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,2,0,1,5,17,16,7,113.0,64.0,1,1,1,5,28,8,0,0,0,1.3,4.2,6.8,2018-09-01 14:00:00+00:00,90,0,4,0,980692,34.0,2,-71323,67863,139186,70,2018-09-01
4,2018-09-16,Sun,5,Away,W 3–1,West Ham,Everton,Y,FW,63,1,1,0,0,1,1,0,0,22,0,0,0,0.3,0.3,0.5,2,2,14,17,1,14,0,1,0,192,45,9,9,3,5,1,1,0.2,1,1,0,0,16,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,11,10,5,74.0,5.0,1,0,2,0,17,5,3,43,0,12.3,8.7,49.4,2018-09-16 15:00:00+00:00,63,0,5,0,927762,25.0,12,-64657,65059,129716,70,2018-09-16
5,2018-09-29,Sat,7,Home,W 3–1,West Ham,Manchester Utd,Y,FW,82,1,0,0,0,2,1,0,0,43,0,0,0,0.5,0.5,0.0,1,0,29,36,1,29,1,2,0,351,22,18,21,6,8,1,1,0.0,1,0,0,0,34,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,26,9,143.0,17.0,1,1,3,2,39,18,1,30,0,16.3,8.6,32.6,2018-09-29 11:30:00+00:00,82,0,7,0,753356,37.0,7,-79622,18211,97833,69,2018-09-29
6,2018-10-05,Fri,8,Away,L 0–1,West Ham,Brighton,Y,FW,90,0,0,0,0,5,1,1,0,51,1,0,0,0.4,0.4,0.4,4,0,29,36,3,36,3,2,2,363,87,21,25,4,7,2,2,0.3,3,1,2,0,34,2,0,0,0,1,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,12,36,11,183.0,56.0,2,4,6,5,46,7,0,3,0,36.3,11.0,7.6,2018-10-05 19:00:00+00:00,90,0,8,0,1030596,66.0,1,245484,260445,14961,70,2018-10-05
7,2018-10-20,Sat,9,Home,L 0–1,West Ham,Tottenham,Y,FW,90,0,0,0,0,5,4,1,0,46,1,1,1,0.3,0.3,0.1,5,0,25,33,2,23,1,3,2,326,63,14,20,7,8,1,1,0.0,1,2,0,0,29,4,1,0,0,1,1,0,0,2,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,17,29,9,85.0,36.0,2,1,3,0,30,8,0,7,0,15.7,10.5,18.6,2018-10-20 14:00:00+00:00,90,0,9,0,958191,71.0,1,-56331,61401,117732,70,2018-10-20
8,2018-11-03,Sat,11,Home,W 4–2,West Ham,Burnley,Y,FW,89,1,0,0,0,4,3,0,0,57,2,0,0,0.8,0.8,0.4,9,2,36,48,6,40,3,1,0,536,112,20,26,8,11,4,4,0.3,2,1,4,0,46,2,0,1,0,0,0,0,0,6,0,0,3,0,0,1,0,0,1,0,0,2,2,0,0,0,0,0,0,0,0,0,0,3,12,43,10,207.0,90.0,4,1,3,0,50,11,3,47,0,33.4,15.7,50.6,2018-11-03 15:00:00+00:00,90,0,11,0,1030984,73.0,12,17446,132132,114686,70,2018-11-03
9,2018-11-10,Sat,12,Away,D 1–1,West Ham,Huddersfield,Y,"FW,AM",90,0,0,0,0,1,1,0,0,42,0,0,0,0.2,0.2,0.2,2,0,25,37,4,30,5,3,3,435,97,12,17,8,11,3,4,0.0,2,3,0,0,34,2,0,0,0,3,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,18,22,4,154.0,75.0,1,2,3,0,37,10,0,11,0,29.1,6.5,12.8,2018-11-10 15:00:00+00:00,90,0,12,0,1306843,23.0,2,261286,277710,16424,71,2018-11-10
