,Date,Day,Matchweek,Venue,Result,Team,Opponent,Start,Position,Minutes Played,Goals,Assists,Penalties Scored,Penalties Attempted,Shots,Shots on Target,Yellow Cards,Red Cards,Touches,Tackles,Interceptions,Blocks,xG,npxG,xAG,Shot Creating Actions,Goal Creating Actions,Passes Completed,Passes Attempted,Progressive Passes,Carries,Progressive Carries,Take-ons Attempted,Successful Take-ons,Passing Distance,Progressive Passing Distance,Short Passes Completed,Short Passes Attempted,Medium Passes Completed,Medium Passes Attempted,Long Passes Completed,Long Passes Attempted,Expected Assists,Key Passes,Passes into Final Third,Passes into Penalty Area,Crosses into Penalty Area,Live Pass,Dead Pass,Free Kick Pass,Through Balls,Switches,Crosses,Throw Ins Taken,Corners Taken,Passes Offside,Live SCA,Deadball SCA,Take-on SCA,Shot SCA,Foul SCA,Defense SCA,Live GCA,Deadball GCA,Take-on GCA,Shot GCA,Foul GCA,Defense GCA,Tackles Won,Defensive Third Tackles,Middle Third Tackles,Attacking Third Tackles,Dribblers Tackled,Dribblers Tackled Attempts,Challenges Lost,Shots Blocked,Passes Blocked,Clearances,Defensive Errors,Defensive Penalty Area Touches,Defensive Third Touches,Middle Third Touches,Attacking Third Touches,Penalty Area Touches,Carry Distance,Progressive Carry Distance,Final Third Carries,Carries into Penalty Area,Miscontrols,Dispossessed,Passes Received,Progressive Passes Received,bonus,bps,clean_sheets,creativity,ict_index,influence,kickoff_time,minutes,own_goals,round,saves,selected,threat,total_points,transfers_balance,transfers_in,transfers_out,value,kickoff_date
0,2022-08-20,Sat,3,Home,L 1–2,Leicester City,Southampton,Y,RM,64,0,0,0,0,1,0,0,0,44,2,0,1,0.1,0.1,0.0,2,1,22,30,2,25,1,5,1,250,38,19,22,2,2,0,0,0.0,1,2,1,0,30,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,1,1,0,2,2,0,1,2,0,2,8,14,22,3,107.0,39.0,1,0,0,3,30,12,0,10,1,13.8,2.7,5.0,2022-08-20 14:00:00+00:00,64,0,3,0,10867,8.0,6,-1535,990,2525,49,2022-08-20
1,2022-08-27,Sat,4,Away,L 1–2,Leicester City,Chelsea,N,RM,36,0,0,0,0,1,0,0,0,21,0,0,1,0.2,0.2,0.6,1,0,14,17,4,10,2,1,1,240,124,9,9,3,4,2,4,0.2,2,4,1,0,16,1,0,1,0,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,9,12,3,55.0,34.0,0,2,1,1,17,6,0,7,0,24.9,3.9,4.0,2022-08-27 14:00:00+00:00,35,0,4,0,13392,10.0,1,1098,2758,1660,49,2022-08-27
2,2022-10-08,Sat,10,Away,L 1–2,Leicester City,Bournemouth,N,WB,5,0,0,0,0,0,0,0,0,1,1,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0.0,0.0,0,0,0,0,0,0,0,5,0,0.0,0.2,2.0,2022-10-08 14:00:00+00:00,4,0,10,0,10743,0.0,1,-365,443,808,48,2022-10-08
3,2022-10-20,Thu,12,Home,W 2–0,Leicester City,Leeds United,N,RM,21,0,0,0,0,1,0,0,0,13,1,0,0,0.0,0.0,0.0,0,0,4,7,0,6,1,1,0,44,0,2,3,1,3,0,0,0.0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,2,6,5,1,27.0,11.0,0,1,2,0,7,2,0,3,0,0.6,2.0,1.0,2022-10-20 19:15:00+00:00,20,0,12,0,10260,18.0,1,-219,153,372,48,2022-10-20
4,2022-11-12,Sat,16,Away,W 2–0,Leicester City,West Ham,N,CM,22,0,1,0,0,0,0,0,0,15,1,0,0,0.0,0.0,0.5,3,1,9,11,4,11,4,1,0,127,59,5,7,4,4,0,0,0.2,3,1,1,0,11,0,0,1,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,12,2,0,87.0,70.0,1,0,1,3,13,0,0,17,0,33.6,5.7,23.8,2022-11-12 15:00:00+00:00,22,0,16,0,9429,0.0,4,-193,111,304,47,2022-11-12
5,2022-12-26,Mon,17,Home,L 0–3,Leicester City,Newcastle Utd,N,RW,74,0,0,0,0,1,0,0,0,53,4,2,1,0.1,0.1,0.0,0,0,25,33,6,31,3,5,1,344,92,17,20,7,8,1,1,0.0,0,5,0,0,32,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,4,8,4,0,1,0,0,0,4,28,21,2,133.0,65.0,1,2,3,0,34,9,0,6,0,4.4,2.8,11.6,2022-12-26 15:00:00+00:00,73,0,17,0,9890,12.0,2,297,1030,733,47,2022-12-26
6,2022-12-30,Fri,18,Away,L 1–2,Leicester City,Liverpool,Y,RW,70,0,0,0,0,0,0,0,0,39,2,0,0,0.0,0.0,0.1,3,0,19,32,2,20,1,2,2,350,119,11,14,0,5,6,9,0.1,3,1,2,0,28,4,0,1,0,6,0,4,0,1,2,0,0,0,0,0,0,0,0,0,0,2,1,1,0,2,4,2,0,0,1,0,1,10,17,15,2,117.0,49.0,1,0,2,3,23,6,0,13,0,43.3,5.8,10.6,2022-12-30 20:00:00+00:00,70,0,18,0,9828,4.0,2,-106,156,262,47,2022-12-30
7,2023-01-03,Tue,19,Home,L 0–1,Leicester City,Fulham,Y,"AM,CM,RW",90,0,0,0,0,4,2,0,0,58,0,0,3,0.7,0.7,0.2,5,0,25,41,2,29,5,6,1,343,36,12,14,11,17,0,4,0.0,2,0,1,0,32,9,1,2,0,7,1,6,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,3,0,0,0,11,18,31,6,170.0,88.0,2,1,3,1,31,8,0,8,0,30.4,7.8,7.2,2023-01-03 19:45:00+00:00,90,0,19,0,9873,40.0,2,15,268,253,47,2023-01-03
8,2021-08-14,Sat,1,Home,W 1–0,Leicester City,Wolves,Y,RW,61,0,0,0,0,0,0,0,0,31,0,1,1,0.0,0.0,0.1,3,0,20,23,3,17,0,1,0,217,80,13,14,3,4,1,1,0.0,3,4,1,0,22,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,1,1,0,0,6,15,10,1,44.0,20.0,1,0,2,0,24,4,0,7,1,35.2,4.4,7.2,2021-08-14 14:00:00+00:00,61,0,1,0,18150,2.0,3,0,0,0,60,2021-08-14
9,2021-08-23,Mon,2,Away,L 1–4,Leicester City,West Ham,Y,RW,39,0,0,0,0,1,0,0,1,17,0,0,0,0.1,0.1,0.1,2,0,12,15,1,17,1,2,1,105,23,9,11,0,1,0,0,0.0,1,3,0,0,15,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,2,64.0,27.0,1,1,0,1,17,7,0,-8,0,11.9,1.6,0.0,2021-08-23 19:00:00+00:00,39,0,2,0,22761,8.0,-2,-684,2320,3004,60,2021-08-23
